entity_id,entity_name,event_id,decision,target_aa_names,reason
AIT-2023-03-001-E01,Midjourney v5,AIT-2023-03-001,unmatched,,AA 未收录该历史版本
AIT-2023-05-001-E01,Midjourney v5.1,AIT-2023-05-001,unmatched,,AA 未收录该历史版本
AIT-2023-06-001-E01,Midjourney v5.2,AIT-2023-06-001,unmatched,,AA 未收录该历史版本
AIT-2022-08-001-E01,Stable Diffusion 1.4,AIT-2022-08-001,unmatched,,AA 未收录 1.4
AIT-2022-11-003-E01,Stable Diffusion 2.0,AIT-2022-11-003,unmatched,,AA 未收录 2.0
AIT-2024-03-001-E01,Grok 1.5,AIT-2024-03-001,unmatched,,AA 未收录 Grok 1.5
AIT-2024-04-002-E01,Grok-1.5V,AIT-2024-04-002,unmatched,,AA 未收录 Grok 1.5V
AIT-2024-03-003-E01,Suno v3,AIT-2024-03-003,unmatched,,AA 未收录 Suno V3
AIT-2024-05-007-E01,Suno v3.5,AIT-2024-05-007,unmatched,,AA 未收录 Suno V3.5
AIT-2024-11-004-E02,v4,AIT-2024-11-004,unmatched,,AA 未收录 Suno V4
AIT-2024-06-007-E01,Gemma 2,AIT-2024-06-007,unmatched,,AA 未收录 Gemma 2
AIT-2024-07-009-E01,Gemma 2 2B,AIT-2024-07-009,unmatched,,AA 未收录 Gemma 2
AIT-2024-08-007-E01,Ideogram 2.0,AIT-2024-08-007,unmatched,,AA 未收录 Ideogram 2.0
AIT-2025-08-001-E01,Gemini 2.5 Deep Think,AIT-2025-08-001,unmatched,,AA 仅有 Gemini 3 Deep Think，2.5 版未收录
AIT-2025-09-002-E01,Gemini 2.5 - Deep Think,AIT-2025-09-002,unmatched,,AA 仅有 Gemini 3 Deep Think，2.5 版未收录
AIT-2025-11-009-E01,DeepSeekMath-V2,AIT-2025-11-009,unmatched,,数学专用模型，AA 未收录
AIT-2026-02-007-E01,gpt-audio-1.5,AIT-2026-02-007,unmatched,,音频模型，AA 未收录
AIT-2026-03-001-E01,GPT-5.3 Instant,AIT-2026-03-001,unmatched,,AA 未收录 GPT-5.3 Instant（仅有 5.3 Codex）
AIT-2025-03-006-E01,Qwen2.5-VL 32B,AIT-2025-03-006,unmatched,,AA 未收录 Qwen2.5-VL（原错配到 Qwen3 VL 32B）
AIT-2024-05-005-E01,Mistral-7B-Instruct-v0.3,AIT-2024-05-005,unmatched,,AA 仅有 2023-09 初代 Mistral 7B Instruct，v0.3 更新未收录
AIT-2024-07-008-E01,Midjourney v6.1,AIT-2024-07-008,redirect,Midjourney v6.1,AA 有同名同月记录，此前被排序 bug 埋没
AIT-2024-02-001-E01,Stable Diffusion 3,AIT-2024-02-001,redirect,Stable Diffusion 3 Large; Stable Diffusion 3 Large Turbo,2月宣布对应 AA 同月的 Large/Large Turbo，家族全收
AIT-2024-06-001-E01,Stable Diffusion 3,AIT-2024-06-001,redirect,Stable Diffusion 3 Medium,6月发布 medium 2B，事件文本明示
AIT-2024-10-010-E01,Stable Diffusion 3.5,AIT-2024-10-010,redirect,Stable Diffusion 3.5 Large; Stable Diffusion 3.5 Large Turbo; Stable Diffusion 3.5 Medium,事件为三尺寸发布，家族全收，AA 同月
AIT-2024-03-002-E01,Claude 3,AIT-2024-03-002,redirect,Claude 3 Opus; Claude 3 Sonnet; Claude 3 Haiku,AA 有同月的 Claude 3 三尺寸，家族全收
AIT-2024-04-004-E01,LLaMA 3,AIT-2024-04-004,redirect,Llama 3 Instruct 70B; Llama 3 Instruct 8B,AA 有同月的 Llama 3 两尺寸，家族全收
AIT-2025-02-007-E01,GPT-4.5,AIT-2025-02-007,redirect,GPT-4.5 (Preview),AA 有同月记录 GPT-4.5 (Preview)
AIT-2025-08-005-E01,GPT-5,AIT-2025-08-005,redirect,GPT-5 (high),AA 有同月记录，取最高 effort 测量口径
AIT-2025-09-007-E01,Claude Sonnet 4.5,AIT-2025-09-007,redirect,Claude 4.5 Sonnet (Reasoning),AA 有同月记录（词序差异导致排序错误），取 Reasoning 口径
AIT-2025-09-004-E01,Suno v5,AIT-2025-09-004,redirect,Suno V5,AA 有 Suno V5
AIT-2025-04-008-E01,Qwen 3,AIT-2025-04-008,redirect,Qwen3 235B A22B (Reasoning); Qwen3 32B (Reasoning); Qwen3 30B A3B (Reasoning),AA 有同月的 Qwen3 家族（2025-04-28），家族全收
AIT-2025-12-003-E01,Gemini 3.0 Flash,AIT-2025-12-003,redirect,Gemini 3 Flash Preview (Reasoning),AA 有同月记录（3.0≡3）
AIT-2025-12-004-E01,Nova 2,AIT-2025-12-004,redirect,Nova 2.0 Omni (medium); Nova 2.0 Pro Preview (medium),Nova 2 家族发布，AA 收录 Omni/Pro Preview（2025-11），家族全收
AIT-2024-10-001-E01,Flux 1.1 Pro,AIT-2024-10-001,redirect,FLUX1.1 [pro],AA 有 FLUX1.1 [pro] 同月记录，此前被 FLUX.1 抢占 top-1
AIT-2025-01-002-E01,Gemini Flash Thinking 0121,AIT-2025-01-002,redirect,Gemini 2.0 Flash Thinking Experimental (Jan '25),0121 即 2025-01-21 发布的 Thinking 快照，AA 有对应记录
AIT-2024-09-007-E02,Gemini Pro 1.5 002,AIT-2024-09-007,redirect,Gemini 1.5 Pro (Sep '24),Sep '24 快照即 002 版本更新
AIT-2023-02-001-E01,LLaMA,AIT-2023-02-001,unmatched,,AA 未收录初代 LLaMA
AIT-2023-04-001-E01,Firefly,AIT-2023-04-001,unmatched,,AA 未收录初代 Firefly
AIT-2023-11-001-E01,Stable Diffusion XL Turbo,AIT-2023-11-001,unmatched,,AA 未收录 SDXL Turbo（原错配到 SD3 Large Turbo）
AIT-2024-05-002-E04,Veo,AIT-2024-05-002,unmatched,,AA 未收录初代 Veo
AIT-2024-05-008-E01,Codestral,AIT-2024-05-008,unmatched,,AA 未收录 Codestral（原错配到 Devstral 2）
AIT-2024-07-003-E02,Mistral NeMo,AIT-2024-07-003,unmatched,,AA 未收录 Mistral NeMo（原错配到 Mistral Medium）
AIT-2024-10-004-E01,Firefly Video,AIT-2024-10-004,unmatched,,AA 未收录 Firefly 视频模型
AIT-2024-10-007-E01,Ministral,AIT-2024-10-007,unmatched,,AA 未收录 2024-10 的 les Ministraux（Ministral 3 是 2025-12 家族）
AIT-2024-10-008-E01,Janus AI,AIT-2024-10-008,unmatched,,AA 仅收录 Janus Pro（2025-01），初代 Janus 未收录
AIT-2024-12-010-E01,PaliGemma 2,AIT-2024-12-010,unmatched,,AA 未收录 PaliGemma（原错配到 PALM-2）
AIT-2024-12-010-E02,Gemma,AIT-2024-12-010,unmatched,,'integrated with existing Gemma models' 为提及，非发布
AIT-2024-12-014-E01,QVQ-72B-Preview,AIT-2024-12-014,unmatched,,QVQ 视觉推理模型，AA 未收录（原错配到 QwQ）
AIT-2024-08-004-E02,Grok 2 mini,AIT-2024-08-004,unmatched,,AA 未收录 mini，事件由 Grok 2 记录覆盖
AIT-2025-02-005-E01,QwQ-Max,AIT-2025-02-005,unmatched,,基于 Qwen2.5-Max 的推理预览，AA 未收录（原错配到 Qwen3 Max）
AIT-2025-07-004-E01,Gemini Deep Think,AIT-2025-07-004,unmatched,,2025-07 事件为 Gemini 2.5 Deep Think，AA 仅有 Gemini 3 版
AIT-2025-05-001-E01,Phi-4 reasoning,AIT-2025-05-001,unmatched,,Phi-4-reasoning 为独立模型，AA 仅有 2024-12 基础版 Phi-4
AIT-2025-11-005-E01,GPT 5.1 Codex Max,AIT-2025-11-005,unmatched,,Codex Max 为独立增强模型，AA 仅有基础 GPT-5.1 Codex
AIT-2026-02-002-E02,GPT-5.3-Codex-Spark,AIT-2026-02-002,unmatched,,Spark 为独立变体，AA 仅有基础 GPT-5.3 Codex
AIT-2024-06-004-E01,Runway,AIT-2024-06-004,unmatched,,公司名被误标为模型实体（Gen3 Alpha 已单独匹配）
AIT-2025-01-003-E02,R1-Zero,AIT-2025-01-003,unmatched,,R1-Zero 为独立模型，AA 未收录；同事件 R1 已覆盖
AIT-2024-11-003-E01,DeepSeek-R1-Lite-Preview,AIT-2024-11-003,unmatched,,预览版；正式发布为 2025-01 R1 事件（announce/release 去重：保留 release）
AIT-2023-12-002-E01,Gemini Pro,AIT-2023-12-002,redirect,Gemini 1.0 Pro,2023-12 Bard 升级即 Gemini 1.0 Pro 发布（原错配到 Gemini 3 Pro）
AIT-2024-12-002-E01,SORA,AIT-2024-12-002,redirect,Sora,2024-12 为 Sora 正式发布（原错配到 Sora 2 Pro）
AIT-2024-08-001-E01,Flux,AIT-2024-08-001,redirect,FLUX.1 [pro]; FLUX.1 [dev]; FLUX.1 [schnell],2024-08 FLUX.1 家族发布，家族全收（原错配到 FLUX.2）
AIT-2024-09-003-E01,Qwen 2.5,AIT-2024-09-003,redirect,Qwen2.5 Instruct 72B; Qwen2.5 Instruct 32B,2024-09 开源家族发布，家族全收（原错配到 2025-01 的闭源 Max）
AIT-2024-09-010-E01,Mistral Small,AIT-2024-09-010,redirect,Mistral Small (Sep '24),AA 有同月快照（原错配到 2025-01 的 Small 3）
AIT-2024-10-003-E01,Video Model 1.5,AIT-2024-10-003,redirect,Pika 1.5,Pika 的视频模型 1.5，AA 有同月记录（原错配到腾讯混元）
AIT-2024-08-006-E01,Gemini 1.5 Flash8B,AIT-2024-08-006,redirect,Gemini 1.5 Flash-8B,AA 有独立的 Flash-8B 记录
AIT-2024-12-005-E01,Gemini-2.0-Flash-Thinking,AIT-2024-12-005,redirect,Gemini 2.0 Flash Thinking Experimental (Dec '24),AA 有同月的 Thinking 专门记录
AIT-2025-08-004-E02,gpt-oss-20b,AIT-2025-08-004,redirect,gpt-oss-20B (high),AA 有独立 20B 记录（原错配到 120b）
AIT-2025-09-008-E01,Sora 2,AIT-2025-09-008,redirect,Sora 2 (October),事件为 Sora 2 基础版发布（原错配到 Pro 档）
AIT-2025-07-005-E02,Qwen3-Coder,AIT-2025-07-005,redirect,Qwen3 Coder 480B A35B Instruct,2025-07 发布，AA 同月记录（原错配到 2026-02 的 Coder Next）
AIT-2023-07-003-E01,LLaMA 2,AIT-2023-07-003,redirect,Llama 2 Chat 70B; Llama 2 Chat 13B; Llama 2 Chat 7B,家族全收（原仅配到 7B）
AIT-2024-07-002-E01,llama 3.1 model,AIT-2024-07-002,redirect,Llama 3.1 Instruct 405B; Llama 3.1 Instruct 70B; Llama 3.1 Instruct 8B,家族全收
AIT-2024-09-006-E02,Llama 3.2,AIT-2024-09-006,redirect,Llama 3.2 Instruct 90B (Vision); Llama 3.2 Instruct 11B (Vision); Llama 3.2 Instruct 3B; Llama 3.2 Instruct 1B,家族全收
AIT-2025-04-001-E01,Llama 4,AIT-2025-04-001,redirect,Llama 4 Maverick; Llama 4 Scout,家族全收
AIT-2025-12-001-E01,Mistral 3,AIT-2025-12-001,redirect,Mistral Large 3; Ministral 3 3B; Ministral 3 8B; Ministral 3 14B,Mistral 3 家族（Large & Ministral）全收（上轮判定漏写进脚本，且原错配到 Ministral 3 3B 单条）
AIT-2024-12-001-E01,NOVA,AIT-2024-12-001,redirect,Nova Pro; Nova Lite; Nova Micro,2024-12 Nova 家族发布，家族全收
AIT-2025-03-003-E01,GPT-4o Image Generation,AIT-2025-03-003,redirect,GPT Image 1 (high),该能力的 AA 对应记录为 GPT Image 1（2025-04 API 化）
AIT-2025-12-003-E03,Gemini 2.5 Flash Audio,AIT-2025-12-003,redirect,Gemini 2.5 Flash Native Audio Preview (Dec 2025),AA 有同月的 Native Audio 记录
AIT-2025-05-004-E02,Imagen 4,AIT-2025-05-004,redirect,Imagen 4 Ultra; Imagen 4 Standard; Imagen 4 Fast,Imagen 4 三档发布，家族全收
AIT-2025-11-008-E01,FLUX 2,AIT-2025-11-008,redirect,FLUX.2 [pro]; FLUX.2 [flex]; FLUX.2 [dev],FLUX.2 家族 2025-11 发布，家族全收（原配到 12 月的 [max]）
AIT-2024-02-004-E01,Sora,AIT-2024-02-004,unmatched,,announce（'not released to the public at this time'），release 为 2024-12 事件
AIT-2024-10-011-E02,Claude 3.5 Haiku,AIT-2024-10-011,unmatched,,announce，release 为 2024-11 事件
AIT-2024-12-015-E01,o3,AIT-2024-12-015,unmatched,,announce，release 为 2025-04 事件（o3 full）
AIT-2024-12-015-E04,o3 Mini,AIT-2024-12-015,unmatched,,announce（'expected in January 2025'），release 为 2025-01 事件
AIT-2025-05-008-E02,o3,AIT-2025-05-008,unmatched,,Operator 产品更新提及，非模型发布
AIT-2024-12-002-E04,GPT 4o,AIT-2024-12-002,unmatched,,live video mode 功能提及，GPT-4o 发布为 2024-05 事件
AIT-2024-02-002-E01,Gemini Pro,AIT-2024-02-002,unmatched,,Bard 改名/多语言扩展提及，Gemini Pro 发布为 2023-12 事件
AIT-2024-12-005-E02,Gemini 2.0 Flash,AIT-2024-12-005,unmatched,,'based on Gemini 2.0 Flash' 提及，发布为同月 -004 事件
AIT-2025-03-004-E01,Gemini 2.0 Flash Experimental,AIT-2025-03-004,unmatched,,图像功能扩展提及，非模型发布
AIT-2025-05-007-E01,Gemini 2.5 Pro,AIT-2025-05-007,unmatched,,Deep Think Mode 提及，首次可用为 2025-03 事件
AIT-2025-05-007-E02,Gemini 2.5 Flash,AIT-2025-05-007,unmatched,,重复提及，首次可用为 2025-04 事件
AIT-2025-06-001-E01,Gemini 2.5 Pro,AIT-2025-06-001,unmatched,,GA 再发布，首次可用为 2025-03 事件（去重保留首次可用）
AIT-2024-05-002-E02,Imagen 3,AIT-2024-05-002,unmatched,,I/O announce，release 为 2024-08 事件
AIT-2024-12-006-E03,Imagen 3,AIT-2024-12-006,unmatched,,v002 更新提及，主发布保留 2024-08 事件
AIT-2025-04-007-E01,Veo 2.0,AIT-2025-04-007,unmatched,,视频模型综述提及，Veo 2 发布为 2024-12 事件
AIT-2024-08-006-E02,Gemini 1.5 Pro,AIT-2024-08-006,unmatched,,experimental 更新预览，正式 002 版发布为 2024-09 事件
AIT-2024-08-006-E03,Gemini 1.5 Flash,AIT-2024-08-006,unmatched,,experimental 更新预览，正式 002 版发布为 2024-09 事件
AIT-2025-11-003-E01,Grok 4.1,AIT-2025-11-003,confirm,,AA 仅收录 Fast 档，同版本按档位变体规则算 match
AIT-2024-09-004-E01,KLING 1.5,AIT-2024-09-004,confirm,,AA 仅收录 Pro 档，同版本算 match
AIT-2025-12-008-E02,Qwen-Image-2512,AIT-2025-12-008,confirm,,AA 仅收录 Max 档，同版本算 match
AIT-2024-08-004-E01,Grok 2,AIT-2024-08-004,confirm,,AA 仅有 Dec '24 快照，无 8 月快照，保留
AIT-2024-08-003-E01,Imagen 3,AIT-2024-08-003,confirm,,AA 仅收录 v002 构建，同版本算 match（release 事件保留在此）
AIT-2025-04-006-E01,v7,AIT-2025-04-006,confirm,,AA 仅收录 v7 Alpha，同版本算 match
AIT-2024-12-016-E01,Kling 1.6,AIT-2024-12-016,confirm,,AA 仅收录 Standard 档，同版本算 match
AIT-2025-05-012-E01,Gemma 3n,AIT-2025-05-012,confirm,,AA 仅收录 E2B 尺寸标注版，同版本算 match
AIT-2024-07-006-E01,Udio v1.5,AIT-2024-07-006,confirm,,AA 仅收录 Allegro 档，同版本算 match
AIT-2025-09-006-E01,Wan 2.5,AIT-2025-09-006,confirm,,AA 仅收录 Preview，同版本算 match
AIT-2026-01-004-E01,Imagine Video,AIT-2026-01-004,confirm,,grok-imagine-video 同月（2026-01）记录
