final_event_id,release_date,event_name,true_model_creator,representative_model_name,representative_aa_model_id,representative_aa_model_name,representative_aa_creator_name,representative_aa_source_table,representative_selection_rule,aa_model_ids,aa_model_names,aa_intelligence_index,aa_coding_index,aa_math_index,mmlu_pro,gpqa,hle,livecodebench,scicode,math_500,aime,price_1m_input_tokens,price_1m_output_tokens,price_1m_blended_3_to_1,median_output_tokens_per_second,median_time_to_first_token_seconds,aa_media_elo,aa_media_rank,aa_media_ci95,aa_media_appearances,aa_media_category_rows
FMR-0011,2024-10-03,Gemini 1.5 Pro,Google,Gemini 1.5 Pro,2ac96b67-f4f8-4c8c-ac08-c7510faa7bb9,Gemini 1.5 Pro (Sep '24),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,2ac96b67-f4f8-4c8c-ac08-c7510faa7bb9,Gemini 1.5 Pro (Sep '24),16.0,23.6,,0.75,0.589,0.049,0.316,0.295,0.876,0.23,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0012,2024-10-03,Gemini 1.5 Flash8B,Google,Gemini 1.5 Flash8B,94229066-9381-4ee1-bf70-a16d63756a6e,Gemini 1.5 Flash-8B,Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,94229066-9381-4ee1-bf70-a16d63756a6e,Gemini 1.5 Flash-8B,11.1,,,0.569,0.359,0.045,0.217,0.229,0.689,0.033,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0013,2024-10-22,Claude 3.5 Sonnet New / Haiku family,Anthropic,Claude 3.5 Haiku,033e4aa9-a556-4224-87b0-341ed1070257,Claude 3.5 Haiku,Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,0a603978-03b9-4f47-a273-2f7fd969be85; 033e4aa9-a556-4224-87b0-341ed1070257,Claude 3.5 Sonnet (Oct '24); Claude 3.5 Haiku,18.7,10.7,,0.634,0.408,0.035,0.314,0.274,0.721,0.033,0.8,4.0,1.6,0.0,0.0,,,,,
FMR-0014,2024-11-12,Qwen2.5 Coder 32B,Alibaba,Qwen2.5 Coder 32B,04586102-6a28-48f8-a82e-85775d7ed779,Qwen2.5 Coder Instruct 32B,Alibaba,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,04586102-6a28-48f8-a82e-85775d7ed779,Qwen2.5 Coder Instruct 32B,12.9,,,0.635,0.417,0.038,0.295,0.271,0.767,0.12,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0015,2024-12-06,Llama 3.3 70B,Meta,Llama 3.3 70B,976cc8ad-7904-4056-83c5-960181f47d5f,Llama 3.3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,976cc8ad-7904-4056-83c5-960181f47d5f,Llama 3.3 Instruct 70B,14.5,10.7,7.7,0.713,0.498,0.04,0.288,0.26,0.773,0.3,0.585,0.71,0.675,95.3,0.572,,,,,
FMR-0016,2024-12-09,SORA,OpenAI,SORA,fe4a10a5-abd4-42a7-9bb2-852089d1a550,Sora,OpenAI,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,fe4a10a5-abd4-42a7-9bb2-852089d1a550,Sora,,,,,,,,,,,,,,,,978.0,73.0,-1.0,5156.0,55.0
FMR-0017,2024-12-11,Gemini-2.0-Flash-Thinking,Google,Gemini-2.0-Flash-Thinking,dfeeb904-e784-4d5c-ad66-9400146b150b,Gemini 2.0 Flash Thinking Experimental (Dec '24),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,dfeeb904-e784-4d5c-ad66-9400146b150b,Gemini 2.0 Flash Thinking Experimental (Dec '24),12.3,,,,,,,,0.48,,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0018,2024-12-17,o1,OpenAI,o1,5ad2f60f-ee05-49fd-85a0-cef69aa7cb7b,o1,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,5ad2f60f-ee05-49fd-85a0-cef69aa7cb7b,o1,30.8,20.5,,0.841,0.747,0.077,0.679,0.358,0.97,0.723,15.0,60.0,26.25,105.718,20.792,,,,,
FMR-0019,2024-12-17,o1 Pro,OpenAI,o1 Pro,e8d4100e-165b-4c5d-ac11-ac553590a334,o1-pro,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,e8d4100e-165b-4c5d-ac11-ac553590a334,o1-pro,25.8,,,,,,,,,,150.0,600.0,262.5,0.0,0.0,,,,,
FMR-0020,2024-12-20,o3 family announcement,OpenAI,o3,16c5b637-8bce-4252-81f2-1b87a36a4e4c,o3,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,16c5b637-8bce-4252-81f2-1b87a36a4e4c; 2dad8957-4c16-4e74-bf2d-8b21514e0ae9,o3; o3-mini,38.4,38.4,88.3,0.853,0.827,0.2,0.808,0.41,0.992,0.903,2.0,8.0,3.5,104.719,7.67,,,,,
FMR-0021,2025-01-22,DeepSeek R1,DeepSeek,DeepSeek R1,0e34f05c-387e-4968-be15-ccec4a55d8c1,DeepSeek R1 (Jan '25),DeepSeek,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,0e34f05c-387e-4968-be15-ccec4a55d8c1,DeepSeek R1 (Jan '25),18.8,15.9,68.0,0.844,0.708,0.093,0.617,0.357,0.966,0.683,1.675,4.7,2.362,0.0,0.0,,,,,
FMR-0022,2025-01-28,Qwen2.5-Max,Alibaba,Qwen2.5-Max,b9dc72c6-7bea-4936-a55a-4b0c835fc755,Qwen2.5 Max,Alibaba,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,b9dc72c6-7bea-4936-a55a-4b0c835fc755,Qwen2.5 Max,16.3,,,0.762,0.587,0.045,0.359,0.337,0.835,0.233,1.6,6.4,2.8,48.809,1.137,,,,,
FMR-0023,2025-01-31,o3 mini,OpenAI,o3 mini,2dad8957-4c16-4e74-bf2d-8b21514e0ae9,o3-mini,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,2dad8957-4c16-4e74-bf2d-8b21514e0ae9,o3-mini,25.9,17.9,,0.791,0.748,0.087,0.717,0.399,0.973,0.77,1.1,4.4,1.925,150.402,6.94,,,,,
FMR-0024,2025-02-05,Gemini 2.0 family,Google,Gemini 2.0 Pro Experimental,c6a47d8a-7517-46e2-8383-329fe7241725,Gemini 2.0 Pro Experimental (Feb '25),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,c6a47d8a-7517-46e2-8383-329fe7241725; fddb72bd-60d3-41af-acc5-3df9a290eb8e,Gemini 2.0 Pro Experimental (Feb '25); Gemini 2.0 Flash (experimental),18.1,25.5,,0.805,0.622,0.068,0.347,0.312,0.923,0.36,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0025,2025-02-17,Grok 3 family,xAI,Grok 3 mini,ff9bc5e5-a02f-4270-983e-4b3f834f3363,Grok 3 mini Reasoning (high),xAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,2443ac9e-a3db-423d-accb-8963f6fb0a53; ec3b22e6-48ac-416a-b4ae-55565a4f3046; ff9bc5e5-a02f-4270-983e-4b3f834f3363,Grok 3; Grok 3 Reasoning Beta; Grok 3 mini Reasoning (high),32.1,25.2,84.7,0.828,0.791,0.111,0.696,0.406,0.992,0.933,0.3,0.5,0.35,214.083,0.395,,,,,
FMR-0026,2025-02-18,Claude 3.7,Anthropic,Claude 3.7,13358187-4584-479c-ab43-5bcdf8f297a4,Claude 3.7 Sonnet (Reasoning),Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,13358187-4584-479c-ab43-5bcdf8f297a4,Claude 3.7 Sonnet (Reasoning),34.7,27.6,56.3,0.837,0.772,0.103,0.473,0.403,0.947,0.487,3.0,15.0,6.0,0.0,0.0,,,,,
FMR-0027,2025-02-25,Gemini 2.0 Flash-Lite Preview,Google,Gemini 2.0 Flash-Lite Preview,3de55b83-e02b-412e-8211-315bbebe3e94,Gemini 2.0 Flash-Lite (Preview),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,3de55b83-e02b-412e-8211-315bbebe3e94,Gemini 2.0 Flash-Lite (Preview),14.5,,,,0.542,0.044,0.179,0.247,0.873,0.303,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0028,2025-02-26,Phi-4 mini / multimodal family,Microsoft,Phi4 Multimodal,2cd04201-2b6e-47ef-853e-7601f705f2a8,Phi-4 Multimodal Instruct,Microsoft,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,2cd04201-2b6e-47ef-853e-7601f705f2a8; 9f873c2f-2c2d-4ccb-9e1b-71bf61b052be,Phi-4 Multimodal Instruct; Phi-4 Mini Instruct,10.0,,,0.485,0.315,0.044,0.131,0.11,0.693,0.093,0.0,0.0,0.0,16.946,0.363,,,,,
FMR-0029,2025-03-12,Gemini 2.0 Flash Experimental,Google,Gemini 2.0 Flash Experimental,fddb72bd-60d3-41af-acc5-3df9a290eb8e,Gemini 2.0 Flash (experimental),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,fddb72bd-60d3-41af-acc5-3df9a290eb8e,Gemini 2.0 Flash (experimental),16.8,,,0.782,0.636,0.047,0.21,0.34,0.911,0.3,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0030,2025-03-31,Runway Gen-4,Runway,Runway Gen-4,d4684d1c-c874-4f2f-8e6a-1d2a21902663,Runway Gen 4,Runway,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,d4684d1c-c874-4f2f-8e6a-1d2a21902663,Runway Gen 4,,,,,,,,,,,,,,,,1093.0,61.0,-1.0,9895.0,28.0
FMR-0031,2025-04-15,Veo 2.0,Google,Veo 2.0,2175641c-9303-4ac3-af3c-21cc7113adb0,Veo 2,Google,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,2175641c-9303-4ac3-af3c-21cc7113adb0,Veo 2,,,,,,,,,,,,,,,,1092.0,62.0,-1.0,5212.0,54.0
FMR-0032,2025-04-15,Kling 2.0,Kuaishou,Kling 2.0,53ce6c01-8a4d-4d22-94a8-d48ffe32ce32,Kling 2.0,KlingAI,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,53ce6c01-8a4d-4d22-94a8-d48ffe32ce32,Kling 2.0,,,,,,,,,,,,,,,,1173.0,49.0,-1.0,4663.0,55.0
FMR-0033,2025-04-16,o3 full,OpenAI,o3 full,16c5b637-8bce-4252-81f2-1b87a36a4e4c,o3,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,16c5b637-8bce-4252-81f2-1b87a36a4e4c,o3,38.4,38.4,88.3,0.853,0.827,0.2,0.808,0.41,0.992,0.903,2.0,8.0,3.5,104.719,7.67,,,,,
FMR-0034,2025-04-16,o4 mini,OpenAI,o4 mini,84b49308-6b93-47aa-a4f6-776ee1a1e8cd,o4-mini (high),OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,84b49308-6b93-47aa-a4f6-776ee1a1e8cd,o4-mini (high),33.1,25.6,90.7,0.832,0.784,0.175,0.859,0.465,0.989,0.94,1.1,4.4,1.925,145.63,27.91,,,,,
FMR-0035,2025-04-21,Vidu Q1,ShengShu Technology,Vidu Q1,21bce815-dea9-4e48-8515-cf2b193ae711,Vidu Q1,Vidu,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,21bce815-dea9-4e48-8515-cf2b193ae711,Vidu Q1,,,,,,,,,,,,,,,,1026.0,65.0,-1.0,3057.0,51.0
FMR-0036,2025-05-06,Gemini 2.5 Pro,Google,Gemini 2.5 Pro,27202e5f-c82d-4710-92e9-4317877d4883,Gemini 2.5 Pro,Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,27202e5f-c82d-4710-92e9-4317877d4883,Gemini 2.5 Pro,34.6,31.9,87.7,0.862,0.844,0.211,0.801,0.428,0.967,0.887,1.25,10.0,3.438,131.471,19.206,,,,,
FMR-0037,2025-05-20,Gemma 3n,Google,Gemma 3n,a8c67863-9d66-44dd-8d27-f58654ecde03,Gemma 3n E2B Instruct,Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,a8c67863-9d66-44dd-8d27-f58654ecde03,Gemma 3n E2B Instruct,4.8,2.2,10.3,0.378,0.229,0.04,0.095,0.052,0.691,0.09,0.0,0.0,0.0,58.39,0.482,,,,,
FMR-0038,2025-05-21,Claude Sonnet 4,Anthropic,Claude Sonnet 4,a7564055-f8ba-4c4b-9e2d-060f61263645,Claude 4 Sonnet (Reasoning),Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,a7564055-f8ba-4c4b-9e2d-060f61263645,Claude 4 Sonnet (Reasoning),38.7,34.1,74.3,0.842,0.777,0.096,0.655,0.4,0.991,0.773,3.0,15.0,6.0,61.904,8.849,,,,,
FMR-0039,2025-05-21,Google I/O media model family,Google,Veo 3,7623b756-8b01-4e60-aed4-3322c1933e36,Veo 3,Google,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,7623b756-8b01-4e60-aed4-3322c1933e36; 8460c028-d357-4ca9-b761-d59d219be8f7,Veo 3; Imagen 4 Ultra Preview 0606,,,,,,,,,,,,,,,,1226.0,40.0,-1.0,4316.0,55.0
FMR-0040,2025-05-22,Claude 4 Opus,Anthropic,Claude 4 Opus,8a4a5ead-7789-4389-8400-30e9d20370b7,Claude 4 Opus (Reasoning),Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,8a4a5ead-7789-4389-8400-30e9d20370b7,Claude 4 Opus (Reasoning),39.0,34.0,73.3,0.873,0.796,0.117,0.636,0.398,0.982,0.757,15.0,75.0,30.0,47.094,7.753,,,,,
FMR-0041,2025-06-17,Gemini 2.5 Flash,Google,Gemini 2.5 Flash,219ed587-60c5-4a48-9517-8480e08d0ca1,Gemini 2.5 Flash (Reasoning),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,219ed587-60c5-4a48-9517-8480e08d0ca1,Gemini 2.5 Flash (Reasoning),27.0,22.2,73.3,0.832,0.79,0.111,0.695,0.394,0.981,0.823,0.3,2.5,0.85,217.367,11.032,,,,,
FMR-0042,2025-06-17,Gemini 2.5 Pro,Google,Gemini 2.5 Pro,27202e5f-c82d-4710-92e9-4317877d4883,Gemini 2.5 Pro,Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,27202e5f-c82d-4710-92e9-4317877d4883,Gemini 2.5 Pro,34.6,31.9,87.7,0.862,0.844,0.211,0.801,0.428,0.967,0.887,1.25,10.0,3.438,131.471,19.206,,,,,
FMR-0043,2025-07-21,Qwen3-235B-A22B-Instruct-2507,Alibaba,Qwen3-235B-A22B-Instruct-2507,3373245b-e6dc-4b66-a7b0-3f06f9b7bd46,Qwen3 235B A22B 2507 Instruct,Alibaba,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,3373245b-e6dc-4b66-a7b0-3f06f9b7bd46,Qwen3 235B A22B 2507 Instruct,25.0,22.1,71.7,0.828,0.753,0.106,0.524,0.36,0.98,0.717,0.7,2.8,1.225,67.108,1.156,,,,,
FMR-0044,2025-07-22,Qwen3-Coder,Alibaba,Qwen3-Coder,093883ed-f5fc-443b-8e18-afbfb166699e,Qwen3 Coder 480B A35B Instruct,Alibaba,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,093883ed-f5fc-443b-8e18-afbfb166699e,Qwen3 Coder 480B A35B Instruct,24.8,24.6,39.3,0.788,0.618,0.044,0.585,0.359,0.942,0.477,1.5,7.5,3.0,72.135,1.666,,,,,
FMR-0045,2025-07-28,GLM-4.5,Zhipu AI,GLM-4.5,1cf439b8-0cfd-47b2-9de2-9a2157e6762b,GLM-4.5 (Reasoning),Z AI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,1cf439b8-0cfd-47b2-9de2-9a2157e6762b,GLM-4.5 (Reasoning),26.4,26.3,73.7,0.835,0.782,0.122,0.738,0.348,0.979,0.873,0.6,2.2,1.0,47.382,0.878,,,,,
FMR-0046,2025-08-05,gpt-oss family,OpenAI,gpt-oss-120b,f0083258-8646-45b8-8082-7aaf6c2ea82a,gpt-oss-120B (high),OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,16149b9c-a1e9-4669-a5cb-ff3c00d78f89; f0083258-8646-45b8-8082-7aaf6c2ea82a,gpt-oss-20B (low); gpt-oss-120B (high),33.3,28.6,93.4,0.808,0.782,0.185,0.878,0.389,,,0.15,0.6,0.263,216.388,0.479,,,,,
FMR-0047,2025-08-26,Gemini 2.5 Flash Image,Google,Gemini 2.5 Flash Image,ead01c00-8518-4f8d-8033-76fcaef910fd,Nano Banana (Gemini 2.5 Flash Image),Google,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,ead01c00-8518-4f8d-8033-76fcaef910fd,Nano Banana (Gemini 2.5 Flash Image),,,,,,,,,,,,,,,,1175.0,17.0,-1.0,6781.0,15.0
FMR-0048,2025-09-05,Qwen-3-Max,Alibaba,Qwen-3-Max,7ae943a9-9310-4472-a834-c61f0ab68485,Qwen3 Max,Alibaba,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,7ae943a9-9310-4472-a834-c61f0ab68485,Qwen3 Max,31.4,26.4,80.7,0.841,0.764,0.111,0.767,0.383,,,1.2,6.0,2.4,32.66,1.968,,,,,
FMR-0049,2025-09-25,Claude Sonnet 4.5,Anthropic,Claude Sonnet 4.5,90e078f2-051b-4c63-8919-76618971cb3f,Claude 4.5 Sonnet (Reasoning),Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,90e078f2-051b-4c63-8919-76618971cb3f,Claude 4.5 Sonnet (Reasoning),43.0,38.6,88.0,0.875,0.834,0.173,0.714,0.447,,,3.0,15.0,6.0,66.476,8.36,,,,,
FMR-0050,2025-10-14,Claude 4.5 Haiku,Anthropic,Claude 4.5 Haiku,a6340098-d7ae-462d-b372-0a0a67fc44b4,Claude 4.5 Haiku (Reasoning),Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,a6340098-d7ae-462d-b372-0a0a67fc44b4,Claude 4.5 Haiku (Reasoning),37.1,32.6,83.7,0.76,0.672,0.097,0.615,0.433,,,1.0,5.0,2.0,155.639,13.428,,,,,
FMR-0051,2025-12-02,Mistral 3,Mistral AI,Mistral 3,4928e950-7f37-4475-b0dc-c5bad781a321,Mistral Large 3,Mistral,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,4928e950-7f37-4475-b0dc-c5bad781a321,Mistral Large 3,22.8,22.7,38.0,0.807,0.68,0.041,0.465,0.362,,,0.5,1.5,0.75,56.317,0.594,,,,,
FMR-0052,2025-12-09,Devstral 2,Mistral AI,Devstral 2,09f43999-b67b-4c1b-b050-44df41ed7e62,Devstral 2,Mistral,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,09f43999-b67b-4c1b-b050-44df41ed7e62,Devstral 2,22.0,23.7,36.7,0.762,0.594,0.036,0.448,0.331,,,0.0,0.0,0.0,77.21,0.711,,,,,
FMR-0053,2025-12-18,Z-Image-Turbo,Alibaba,Z-Image-Turbo,d48735c9-9f0f-45b6-ad45-cc03eec252c8,Z-Image Turbo,Alibaba,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,d48735c9-9f0f-45b6-ad45-cc03eec252c8,Z-Image Turbo,,,,,,,,,,,,,,,,1110.0,43.0,-1.0,5181.0,15.0
FMR-0054,2025-12-18,GPT-5.2,OpenAI,GPT-5.2,498862c3-f9ac-49d2-852f-16a02bb0c38f,GPT-5.2 (xhigh),OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,498862c3-f9ac-49d2-852f-16a02bb0c38f,GPT-5.2 (xhigh),51.3,48.7,99.0,0.874,0.903,0.354,0.889,0.521,,,1.75,14.0,4.813,74.667,61.275,,,,,
FMR-0055,2025-12-31,Qwen-Image-2512,Alibaba,Qwen-Image-2512,6cb40a9f-7823-4667-870f-19619afc10ea,Qwen Image Max 2512,Alibaba,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,6cb40a9f-7823-4667-870f-19619afc10ea,Qwen Image Max 2512,,,,,,,,,,,,,,,,1161.0,19.0,-1.0,3511.0,14.0
FMR-0056,2026-02-05,Claude Opus 4.6,Anthropic,Claude Opus 4.6,53c98840-47af-49aa-94e6-469fb17e9a1b,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,53c98840-47af-49aa-94e6-469fb17e9a1b,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",53.0,48.1,,,0.896,0.367,,0.519,,,5.0,25.0,10.0,59.959,13.612,,,,,
