event_id,official_date,official_date_all,official_date_month_candidates,date_status,date_confidence,date_source_urls,date_source_titles,date_source_types,date_notes
AIT-2024-12-006,2024-12-16,2024-12-16,,day_resolved,high,https://deepmind.google/models/veo/; https://blog.google/innovation-and-ai/models-and-research/google-labs/video-image-generation-update-december-2024/,Veo; State-of-the-art video and image generation with Veo 2 and Imagen 3,Google DeepMind model page; official blog,"No dated first-party technical blog or announcement page found in this pass; official date left blank rather than using third-party reports. | Second-pass verification. Official Google blog page is dated Dec 16, 2024 and announces Veo 2."
AIT-2024-12-008,2024-12-12,2024-12-12,,day_resolved,high,https://huggingface.co/microsoft/phi-4,microsoft/phi-4,official_model_card,"Official Microsoft Hugging Face model card lists release date December 12, 2024 and MIT license. I did not find a stable Microsoft Research blog URL during this pass."
AIT-2024-12-009,2024-12-06,2024-12-06,,day_resolved,high,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,official_model_card,"Official Meta Llama Hugging Face model card states Llama 3.3 Version Release Date: December 6, 2024. I did not find a separate ai.meta.com/blog post during this pass."
AIT-2024-12-011,,,,unresolved,unresolved,,Pika 2.0,official source not found,No accessible Pika first-party announcement page was found for Pika 2.0 in this run.
AIT-2024-12-013,2024-12-26,2024-12-26,,day_resolved,high,https://api-docs.deepseek.com/news/news1226,Introducing DeepSeek-V3,official_api_announcement,DeepSeek API Docs news page carries the release date.
AIT-2024-12-016,,,,unresolved,unresolved,,Kling 1.6,official source not found,No accessible first-party technical blog or announcement page was found for Kling 1.6 in this run.
AIT-2025-01-002,2025-01-21,2025-01-21,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,Release notes list gemini-2.0-flash-thinking-exp-01-21.
AIT-2025-01-003,2025-01-20,2025-01-20,,day_resolved,high,https://api-docs.deepseek.com/news/news250120,DeepSeek-R1 Release,official_api_announcement,DeepSeek API Docs news page carries the release date.
AIT-2025-01-005,2025-01-27,2025-01-27,,day_resolved,high,https://github.com/deepseek-ai/Janus,Janus-Series: Unified Multimodal Understanding and Generation Models,official_github_repository,Official DeepSeek GitHub repository news says Janus-Pro was released on 2025.01.27.
AIT-2025-01-006,2025-01-28,2025-01-28,,day_resolved,high,https://qwenlm.github.io/blog/qwen2.5-max/,Qwen2.5-Max: Exploring the Intelligence of Large-scale MoE Model,official_technical_blog,Official Qwen blog date.
AIT-2025-01-007,2025-01-31,2025-01-31,,day_resolved,high,https://openai.com/index/openai-o3-mini/,OpenAI o3-mini,official product/research announcement,"OpenAI page is dated January 31, 2025 and says o3-mini is available in ChatGPT and API today."
AIT-2025-02-001,2025-02-19,2025-02-19,,day_resolved,high,https://x.ai/news/grok-3,Grok 3 Beta — The Age of Reasoning Agents,official technical blog,xAI blog introduces Grok 3 and Grok 3 mini reasoning.
AIT-2025-02-002,2025-02-24,2025-02-24,,day_resolved,high,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet and Claude Code,official_news,Anthropic News page directly announces Claude 3.7 Sonnet.
AIT-2025-02-004,2025-02-05,2025-02-05,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,"Release notes list gemini-2.0-flash-001, gemini-2.0-pro-exp-02-05 and gemini-2.0-flash-lite-preview-02-05."
AIT-2025-02-006,2025-02-26,2025-02-26,,day_resolved,high,https://azure.microsoft.com/en-us/blog/empowering-innovation-the-next-generation-of-the-phi-family/,Empowering innovation: The next generation of the Phi family,official_blog,"Microsoft Azure Blog states February 26, 2025 and announces Phi-4-mini and Phi-4-multimodal. This corrects the AA-side 2024-02-26 typo for Phi-4 Mini."
AIT-2025-02-007,2025-02-27,2025-02-27,,day_resolved,high,https://openai.com/index/introducing-gpt-4-5/,Introducing GPT-4.5,official product/research announcement,"OpenAI page is dated February 27, 2025 and announces GPT-4.5 research preview."
AIT-2025-03-001,2025-03-25,2025-03-25,,day_resolved,high,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/gemini-model-thinking-updates-march-2025/,Gemini 2.5: Our most intelligent AI model,Google Blog,Official Gemini 2.5 Pro Experimental announcement; AA record is a later stable release.
AIT-2025-03-003,2025-03-25,2025-03-25,,day_resolved,high,https://openai.com/index/introducing-4o-image-generation/,Introducing 4o Image Generation,official product/release announcement,"OpenAI page is dated March 25, 2025 and announces native image generation in GPT-4o. The API model gpt-image-1 was separately announced on April 23, 2025."
AIT-2025-03-005,2025-03-06,2025-03-06,,day_resolved,high,https://qwenlm.github.io/blog/qwq-32b/,QwQ-32B: Embracing the Power of Reinforcement Learning,official_technical_blog,Official Qwen blog date differs from AA date by one day.
AIT-2025-03-007,2025-03-25,2025-03-25,,day_resolved,high,https://api-docs.deepseek.com/news/news250325,DeepSeek-V3-0324 Release,official_api_announcement,"DeepSeek API Docs news page carries the release date. Model name encodes 0324, but the official announcement page is dated 2025/03/25."
AIT-2025-04-001,2025-04-05,2025-04-05,,day_resolved,high,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,The Llama 4 herd: The beginning of a new era of natively multimodal AI innovation,official_blog,"Meta AI blog page states April 5, 2025 and says Llama 4 Scout and Llama 4 Maverick are available for download today."
AIT-2025-04-002,2025-04-17,2025-04-17,,day_resolved,high,https://developers.googleblog.com/en/start-building-with-gemini-25-flash/,Start building with Gemini 2.5 Flash,Google Developers Blog,Official developer blog says Gemini 2.5 Flash is rolling out in preview through the Gemini API.
AIT-2025-04-004,2025-04-14,2025-04-14,,day_resolved,high,https://openai.com/index/gpt-4-1/,Introducing GPT-4.1 in the API,official product/research announcement,"OpenAI page is dated April 14, 2025 and launches GPT-4.1, GPT-4.1 mini, and GPT-4.1 nano in the API."
AIT-2025-04-005,2025-04-16,2025-04-16,,day_resolved,high,https://openai.com/index/introducing-o3-and-o4-mini/,Introducing OpenAI o3 and o4-mini,official product/research announcement,"OpenAI page is dated April 16, 2025 and announces o3 and o4-mini."
AIT-2025-04-006,2025-04-03,2025-04-03,,day_resolved,high,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,Version,official documentation,Midjourney documentation states V7 was released on 2025-04-03.
AIT-2025-04-007,2025-03-31,2025-03-31,,day_resolved,medium,https://runwayml.com/research/introducing-runway-gen-4,Runway Gen-4: AI Video Generation with World Consistency; Vidu Q1; Kling 2.0,official research page; official source not found,"Official Runway page was retrieved but the captured text did not show a date; public indexes consistently associate the official Gen-4 launch with 2025-03-31. | No accessible first-party technical blog or announcement page was found for Vidu Q1 in this run. | Secondary sources report mid-April 2025 for Kling 2.0, but no accessible first-party announcement page was found."
AIT-2025-04-008,2025-04-29,2025-04-29,,day_resolved,high,https://qwenlm.github.io/blog/qwen3/,"Qwen3: Think Deeper, Act Faster",official_technical_blog,Official Qwen blog date differs from AA date by one day.
AIT-2025-05-002,2025-05-01,2025-05-01,,day_resolved,high,https://suno.com/blog/introducing-v4-5,Introducing v4.5,official product blog,"Suno blog and release notes list Introducing v4.5 on May 1, 2025."
AIT-2025-05-003,2025-05-22,2025-05-22,,day_resolved,high,https://www.anthropic.com/news/claude-4,Introducing Claude 4,official_news,Anthropic News page announces Claude Opus 4 and Claude Sonnet 4 together.
AIT-2025-05-004,2025-05-20,2025-05-20,,day_resolved,high,https://blog.google/innovation-and-ai/products/generative-media-models-io-2025/,Fuel your creativity with new generative media models and tools,Google Blog,Official Google I/O generative media article introduces Veo 3 and Imagen 4.
AIT-2025-05-009,2025-05-28,2025-05-28,,day_resolved,high,https://api-docs.deepseek.com/news/news250528,DeepSeek-R1-0528 Release,official_api_announcement,DeepSeek API Docs news page carries the release date.
AIT-2025-05-012,2025-05-20,2025-05-20,,day_resolved,high,https://developers.googleblog.com/en/introducing-gemma-3n/,"Announcing Gemma 3n preview: powerful, efficient, mobile-first AI",Google Developers Blog,Official developer blog announces Gemma 3n preview.
AIT-2025-06-002,2025-06-03,2025-06-03,,day_resolved,high,https://elevenlabs.io/blog/eleven-v3,Introducing Eleven v3 (alpha),official research blog,"Official ElevenLabs blog says Eleven v3 alpha was published Jun 3, 2025 and available that day."
AIT-2025-06-003,2025-06-10,2025-06-10,,day_resolved,medium,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,ChatGPT Release Notes,official release notes,"OpenAI first-party release notes state that o3-pro became available on June 10, 2025. The o3/o4-mini page also notes this June 10 update."
AIT-2025-07-001,2025-07-09,2025-07-09,,day_resolved,high,https://x.ai/news/grok-4,Grok 4,official technical blog,xAI blog says Grok 4 is available now.
AIT-2025-07-005,2025-07-21,2025-07-21; 2025-07-22,,day_resolved,medium,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507; https://qwenlm.github.io/blog/qwen3-coder/,Qwen3-235B-A22B-Instruct-2507; Qwen3-Coder: Agentic Coding in the World,official_model_card; official_technical_blog,Qwen3-Coder date is directly from official Qwen blog. The 2507 Instruct date is from the official Qwen Hugging Face model card and AA release date because no separate dated Qwen blog was found.
AIT-2025-07-006,2025-07-11,2025-07-11,,day_resolved,high,https://www.kimi.com/en/blog/kimi-k2,Kimi K2: Open Agentic Intelligence,official_research_page,Kimi research index lists Kimi K2 with date 2025/07/11 and links this page.
AIT-2025-07-007,2025-07-28,2025-07-28,,day_resolved,medium,https://z.ai/blog/glm-4.5,"GLM-4.5: Reasoning, Coding, and Agentic Abilities",official_blog_js_rendered,"Official Z.ai blog URL and title identified; static read did not expose page date, but official references and first-party model card point to this release."
AIT-2025-08-002,2025-08-05,2025-08-05,,day_resolved,high,https://www.anthropic.com/news/claude-opus-4-1,Claude Opus 4.1,official_news,Anthropic News page directly announces Claude Opus 4.1.
AIT-2025-08-004,2025-08-05,2025-08-05,,day_resolved,high,https://openai.com/index/introducing-gpt-oss/,Introducing gpt-oss,official product/research announcement,"OpenAI page is dated August 5, 2025 and releases gpt-oss-120b and gpt-oss-20b."
AIT-2025-08-005,2025-08-07,2025-08-07,,day_resolved,high,https://openai.com/index/introducing-gpt-5/,Introducing GPT-5,official product/research announcement,"OpenAI page is dated August 7, 2025 and introduces GPT-5."
AIT-2025-08-006,2025-08-21,2025-08-21,,day_resolved,high,https://api-docs.deepseek.com/news/news250821,DeepSeek-V3.1 Release,official_api_announcement,DeepSeek API Docs news page carries the release date.
AIT-2025-08-007,2025-08-26,2025-08-26,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,"Release notes list Gemini 2.5 Image Preview, the native image model corresponding to Nano Banana/Gemini 2.5 Flash Image."
AIT-2025-09-001,2025-09-24,2025-09-24,,day_resolved,medium,https://arxiv.org/abs/2509.20427,Seedream 4.0: Toward Next-generation Multimodal Image Generation,first-party technical report,ByteDance Seed product page was retrieved but has no visible date. The first-party technical report date is used; product availability likely preceded the report.
AIT-2025-09-004,2025-09-23,2025-09-23,,day_resolved,high,https://suno.com/release-notes,Introducing v5 - the world's best music model,official release notes,"Suno release notes list v5 launch on Sep 23, 2025."
AIT-2025-09-005,2025-09-24,2025-09-24,,day_resolved,medium,https://qwen.ai/blog/qwen3-max,Qwen3-Max: Just Scale it,official_blog_js_rendered,Official Qwen new-site page is JS-rendered in static tools. Search/index evidence identifies the official title and 2025-09-24 date; AA date is one day earlier.
AIT-2025-09-006,,,,unresolved,low,,,no_official_source_found,No official Alibaba/Wan technical blog or first-party announcement was found for exact model name Wan 2.5 Preview in targeted searches. | 2026-07-02 三次补漏：二手来源一致指向 2025-09-24（云栖大会）发布 Wan 2.5 Preview，但未找到可访问的一方公告页，按规则不写入。
AIT-2025-09-007,2025-09-29,2025-09-29,,day_resolved,high,https://www.anthropic.com/news/claude-sonnet-4-5,Introducing Claude Sonnet 4.5,official_news,Anthropic News page directly announces Claude Sonnet 4.5.
AIT-2025-09-008,2025-09-30,2025-09-30,,day_resolved,high,https://openai.com/index/sora-2/,Sora 2 is here,official product/research announcement,"OpenAI page is dated September 30, 2025 and says Sora 2 is being released. This differs from the AA label that says October."
AIT-2025-09-009,2025-09-29,2025-09-29,,day_resolved,high,https://api-docs.deepseek.com/news/news250929,Introducing DeepSeek-V3.2-Exp,official_api_announcement,DeepSeek API Docs news page carries the release date.
AIT-2025-10-003,2025-10-15,2025-10-15,,day_resolved,high,https://www.anthropic.com/news/claude-haiku-4-5,Introducing Claude Haiku 4.5,official_product,Anthropic first-party product page states Claude Haiku 4.5 is available today.
AIT-2025-11-001,2025-11-06,2025-11-06,,day_resolved,high,https://www.kimi.com/en/blog/kimi-k2-thinking,Kimi K2 Thinking,official_research_page,Kimi research index lists Kimi K2 Thinking with date 2025/11/06 and links this page.
AIT-2025-11-002,2025-11-12,2025-11-12,,day_resolved,high,https://openai.com/index/gpt-5-1/,"GPT-5.1: A smarter, more conversational ChatGPT",official product/release announcement,"OpenAI page is dated November 12, 2025 and announces GPT-5.1 Instant and GPT-5.1 Thinking. This differs from the AA date 2025-11-13."
AIT-2025-11-003,2025-11-17,2025-11-17,,day_resolved,high,https://x.ai/news/grok-4-1,Grok 4.1,official technical blog,"Event maps to AA Fast reasoning variant, but blog date is base Grok 4.1 rollout."
