AI Timeline event,AI Timeline date,AA most likely model,AA most likely release date,Confidence 1-10,Candidate 1 time mismatch,AA second likely model,AA second release date,Confidence 2 1-10,Candidate 2 time mismatch,match_level,entity_name
Stable Diffusion 2.1 — Stable Diffusion 2.1 is released.,2022 December,Stable Diffusion 2.1 (Stability.ai),2022-12,10.0,,Stable Diffusion 1.5 (Stability.ai),2022-10,9.4,,exact_or_near_exact,Stable Diffusion 2.1
LLaMA — Meta releases the LLaMA language model as open-source for research purposes. The model is later leaked.,2023 February,Llama 3.3 Instruct 70B (Meta),2024-12-06,6.3,yes,Llama 3.1 Instruct 405B (Meta),2024-07-23,6.3,yes,exact_or_near_exact,LLaMA
Midjourney v5 — Midjourney v5 is launched.,2023 March,Midjourney v6,2023-12,7.2,,Midjourney v6.1,2024-07,6.3,yes,exact_or_near_exact,Midjourney v5
"GPT-4 — OpenAI's GPT-4 model is partially released, featuring multimodal image analysis and improved multi-language support.",2023 March,GPT-4 (OpenAI),2023-03-14,10.0,,GPT-4 Turbo (OpenAI),2023-11-06,7.2,,exact_or_near_exact,GPT-4
Firefly — Adobe releases the Firefly image creation model as a beta version to a waiting list. The model allowed a variety of capabilities including text formatting.,2023 April,Firefly Image 3 (Adobe),2024-04,7.2,,Firefly Image 4 (Adobe),2025-04,6.3,yes,exact_or_near_exact,Firefly
Midjourney v5.1 — Midjourney v5.1 is released.,2023 May,Midjourney v6,2023-12,7.2,,Midjourney v6.1,2024-07,6.3,yes,exact_or_near_exact,Midjourney v5.1
"PaLM 2 — Google announces an upgrade to Bard, moving it to the upgraded PaLM 2 language model. It will support 180 countries and many languages.",2023 May,PALM-2 (Google),2023-05-10,10.0,,Veo 2 (Google),2024-12,5.6,yes,exact_or_near_exact,PaLM 2
Midjourney v5.2 — Midjourney v5.2 is launched.,2023 June,Midjourney v6,2023-12,8.4,,Midjourney v6.1,2024-07,6.3,yes,exact_or_near_exact,Midjourney v5.2
Stable Diffusion XL 1.0 — Stable Diffusion XL 1.0 is released.,2023 July,Stable Diffusion XL 1.0 (Stability.ai),2023-07,10.0,,Stable Diffusion 1.6 (Stability.ai),2023-11,8.2,,exact_or_near_exact,Stable Diffusion XL 1.0
Claude 2 — Anthropic announces a new version of their large language model - Claude 2 .,2023 July,Claude 2.0 (Anthropic),2023-07-11,10.0,,Claude 2.1 (Anthropic),2023-11-21,8.7,,exact_or_near_exact,Claude 2
LLaMA 2 — Meta releases the LLaMA 2 open source language model to the general public in a variety of sizes.,2023 July,Llama 2 Chat 7B (Meta),2023-07-18,9.9,,Llama 2 Chat 70B (Meta),2023-07-18,9.9,,exact_or_near_exact,LLaMA 2
DALL-E 3 — DALL-E 3 is released.,2023 October,DALLE 3 (OpenAI),2023-09,9.8,,DALLE 3 HD (OpenAI),2023-09,8.9,,exact_or_near_exact,DALL-E 3
Firefly 2 — Adobe releases Firefly 2 .,2023 October,Firefly Image 3 (Adobe),2024-04,7.9,,Firefly Image 4 (Adobe),2025-04,6.2,yes,medium,Firefly 2
Stable Diffusion XL Turbo — Stable Diffusion XL Turbo is released - A fast model that allows the creation of an image in one step in real-time.,2023 November,Stable Diffusion 1.6 (Stability.ai),2023-11,9.0,,Stable Diffusion 3 Large Turbo (Stability.ai),2024-02,8.9,,high,Stable Diffusion XL Turbo
Midjourney v6 — Midjourney v6 is launched.,2023 December,Midjourney v6,2023-12,10.0,,Midjourney v6.1,2024-07,7.2,,exact_or_near_exact,Midjourney v6
"Gemini Pro — Google upgrades Bard in limited areas, moving it to be based on the upgraded Gemini Pro language model.",2023 December,Gemini 1.0 Pro (Google),2023-12-06,9.7,,Gemini 3 Pro Preview (high) (Google),2025-11-18,6.3,yes,exact_or_near_exact,Gemini Pro
Stable Diffusion 3 — Stability AI announces Stable Diffusion 3 (gradually released to waiting list).,2024 February,Stable Diffusion 3 Large (Stability.ai),2024-02,10.0,,Stable Diffusion 3 Medium (Stability.ai),2024-06,8.7,,exact_or_near_exact,Stable Diffusion 3
"Gemini Pro — Google upgrades the artificial intelligence chat in Bard, basing it on the new Gemini Pro model, in all available languages. Google replaces ""Bard"" with ""Gemini"".",2024 February,Gemini 1.0 Pro (Google),2023-12-06,9.1,,Gemini 3 Pro Preview (high) (Google),2025-11-18,6.3,yes,exact_or_near_exact,Gemini Pro
"Gemini Pro 1.5 — Google announces the Gemini Pro 1.5 multimodal language model capable of parsing up to a million tokens, as well as parsing video and images. The model is gradually released to developers on a waiting list.",2024 February,Gemini 1.5 Pro (May '24) (Google),2024-05-15,9.4,,Gemini 1.0 Pro (Google),2023-12-06,8.9,,exact_or_near_exact,Gemini Pro 1.5
Sora — OpenAI announces the Sora model that produces videos up to a minute long. The model is not released to the public at this time.,2024 February,Sora (OpenAI),2024-12,7.2,,Sora (OpenAI),2024-12,7.2,,exact_or_near_exact,Sora
Grok 1.5 — X Corporation announces the upcoming release of the Grok 1.5 open source model.,2024 March,Grok-1 (xAI),2024-03-17,9.9,,Grok 4.3 (low) (xAI),2026-04-30,5.2,yes,exact_or_near_exact,Grok 1.5
"Claude 3 — Anthropic announces Claude 3 , a new version of their large language model. The version is deployed in 3 different sizes, with the largest model performing better than GPT-4.",2024 March,Claude 3 Opus (Anthropic),2024-03-04,9.9,,Claude 3 Sonnet (Anthropic),2024-03-04,9.9,,exact_or_near_exact,Claude 3
"Suno v3 — Suno AI, which develops a model for creating music, releases Suno v3 to the general public.",2024 March,Suno V5,,6.0,,Suno V5,,6.0,,exact_or_near_exact,Suno v3
Stable Audio 2.0 — Stability AI releases a new update to the music creation model - Stable Audio 2.0 .,2024 April,Stable Audio 2.0 (Stability.ai),,6.0,,Stable Diffusion 1.6 (Stability.ai),2023-11,6.0,,exact_or_near_exact,Stable Audio 2.0
"Grok-1.5V — X Corporation releases an upgrade to its language model, Grok-1.5V , which integrates high-level image recognition. In the test presented by the company, the model is the best in identifying and analyzing images compared to other models.",2024 April,Grok-1 (xAI),2024-03-17,9.9,,Grok 4.3 (low) (xAI),2026-04-30,5.5,yes,exact_or_near_exact,Grok-1.5V
Mixtral 8x22B — The Mistral company releases its new model Mixtral 8x22B as open source. This is the most powerful model among the open source models and it contains 141 billion parameters but uses a method that allows more economical use.,2024 April,Mixtral 8x22B Instruct (Mistral),2024-04-17,9.9,,Mixtral 8x7B Instruct (Mistral),2023-12-11,7.6,,exact_or_near_exact,Mixtral 8x22B
LLaMA 3 — Meta releases the LLaMA 3 model as open source in sizes 8B and 70B parameters. The large model shows better performance than Claude 3 Sonnet and Gemini Pro 1.5 in several measures. Meta is expected to later release larger models with 400 billion parameters and more.,2024 April,Llama 3.1 Instruct 405B (Meta),2024-07-23,9.3,,Llama 3.1 Instruct 70B (Meta),2024-07-23,9.3,,exact_or_near_exact,LLaMA 3
"Phi-3-mini — Microsoft releases the Phi-3-mini model in open source. The model comes in a reduced version of 3.8B parameters, which allows it to run on mobile devices as well, and it presents capabilities similar to GPT-3.5.",2024 April,Phi-3 Mini Instruct 3.8B (Microsoft),2024-04-23,10.0,,Phi-4 Mini Instruct (Microsoft),2024-02-26,9.2,,exact_or_near_exact,Phi-3-mini
Firefly 3 — Adobe announces its new image creation model Firefly 3 .,2024 April,Firefly Image 3 (Adobe),2024-04,9.7,,Firefly Image 4 (Adobe),2025-04,7.0,,high,Firefly 3
OpenELM — Apple releases as full open source a series of small language models under the name OpenELM . The models are available in four weights between 270 million and 3 billion parameters.,2024 April,DALLE 3 (OpenAI),2023-09,4.5,,DALLE 3 HD (OpenAI),2023-09,4.5,,unmatched,OpenELM
"GPT-4o model — OpenAI announces the GPT-4o model that presents full multimodal capabilities, including receiving and creating text, images, and audio. The model presents an impressive ability to speak with a high response speed and in natural language. The model is 2 times more efficient than the GPT-4 Turbo model, and has better capabilities for languages other than English.",2024 May,GPT-4o (May '24) (OpenAI),2024-05-13,10.0,,GPT-4o (Aug '24) (OpenAI),2024-08-06,9.4,,exact_or_near_exact,GPT-4o model
"Gemini Flash 1.5 model — Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",2024 May,Gemini 1.5 Flash (May '24) (Google),2024-05-14,10.0,,Gemini 1.5 Flash (Sep '24) (Google),2024-09-24,8.7,,exact_or_near_exact,Gemini Flash 1.5 model
"Imagen 3 — Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",2024 May,Imagen 3 (v002) (Google),2024-12,7.2,,Image-01 (MiniMax),2025-02,6.7,,exact_or_near_exact,Imagen 3
"Music AI — Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",2024 May,Studio (Google),,5.0,,Music 2.6 (MiniMax),,5.0,,medium,Music AI
"Veo — Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",2024 May,Veo 3 Preview (Google),2025-05,7.2,,Veo 3.1 Preview (Google),2025-10,6.3,yes,exact_or_near_exact,Veo
"Astra model — Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",2024 May,Imagen 4 Ultra (Google),2025-06,5.5,yes,Standard (Google),,5.0,,medium,Astra model
"Phi-3 Small — Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability.",2024 May,Phi-3 Mini Instruct 3.8B (Microsoft),2024-04-23,6.0,,Mistral Small 3,2025-01-30,5.8,,low,Phi-3 Small
"Phi-3 Medium — Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability.",2024 May,Phi-3 Mini Instruct 3.8B (Microsoft),2024-04-23,8.7,,Phi-4 Mini Instruct (Microsoft),2024-02-26,6.0,,medium,Phi-3 Medium
"Phi-3 Vision — Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability.",2024 May,Phi-3 Mini Instruct 3.8B (Microsoft),2024-04-23,8.7,,Phi-4 Mini Instruct (Microsoft),2024-02-26,6.0,,medium,Phi-3 Vision
"Chameleon — Meta introduces Chameleon , a new multimodal model that seamlessly renders text and images.",2024 May,MusicGen (Meta),,5.0,,Llama 2 Chat 7B (Meta),2023-07-18,4.5,,low,Chameleon
Mistral-7B-Instruct-v0.3 — Mistral AI releases a new open source version of its language model Mistral-7B-Instruct-v0.3 .,2024 May,Mixtral 8x22B Instruct (Mistral),2024-04-17,9.0,,Mixtral 8x7B Instruct (Mistral),2023-12-11,7.8,,exact_or_near_exact,Mistral-7B-Instruct-v0.3
Suno v3.5 — Suno AI releases an updated music creation model Suno v3.5 .,2024 May,Suno V5.5,,6.0,,Suno V4.5,,6.0,,exact_or_near_exact,Suno v3.5
Codestral — Mistral AI releases a new language model designed for coding Codestral in size 22B.,2024 May,Mistral Small (Feb '24),2024-02-26,8.1,,Mistral Small (Sep '24),2024-09-17,7.4,,high,Codestral
Stable Diffusion 3 — Stability AI releases its updated image creation model Stable Diffusion 3 in a medium version in size 2B parameters.,2024 June,Stable Diffusion 3 Medium (Stability.ai),2024-06,10.0,,Stable Diffusion 3.5 Large (Stability.ai),2024-10,8.7,,exact_or_near_exact,Stable Diffusion 3
"DeepSeekCoderV2 — DeepSeekAI publishes the DeepSeekCoderV2 open source language model which presents similar coding capabilities to models such as GPT-4, Claude 3 Opus and more.",2024 June,DeepSeek-Coder-V2,2024-06-17,10.0,,DeepSeek Coder V2 Lite Instruct,2024-06-17,9.2,,exact_or_near_exact,DeepSeekCoderV2
"Runway — Runway introduces Gen3 Alpha , a new AI model for video generation.",2024 June,Runway Gen 3 Alpha,2024-06,10.0,,Runway Gen-4 Image,2024-11,8.5,,exact_or_near_exact,Runway
"Gen3 Alpha — Runway introduces Gen3 Alpha , a new AI model for video generation.",2024 June,Runway Gen 3 Alpha,2024-06,10.0,,Runway Gen 3 Alpha,2024-06,10.0,,exact_or_near_exact,Gen3 Alpha
"Claude Sonnet 3.5 — Anthropic releases the Claude Sonnet 3.5 model, which presents better capabilities than other models with low resource usage.",2024 June,Claude 3.5 Sonnet (June '24) (Anthropic),2024-06-21,10.0,,Claude 3.5 Sonnet (Oct '24) (Anthropic),2024-10-22,8.7,,exact_or_near_exact,Claude Sonnet 3.5
Florence 2 — Microsoft releases in open source a series of image recognition models called Florence 2 .,2024 June,MAI-Voice-1 (Microsoft),,5.0,,Azure HD 2.5 (Microsoft),,5.0,,low,Florence 2
"Gemma 2 — Google announces Gemma 2 open source language models with 9B and 27B parameter sizes. Also, the company opens the context window capabilities to developers for up to 2 million tokens.",2024 June,Gemma 3 270M (Google),2025-08-14,6.3,yes,"Gemma 4 12B, Google",,6.0,,high,Gemma 2
GPT-4o mini — OpenAI has released a miniaturized model called GPT-4o mini that presents high capabilities at a low cost,2024 July,GPT-4o mini (OpenAI),2024-07-18,10.0,,GPT-4o (Aug '24) (OpenAI),2024-08-06,9.9,,exact_or_near_exact,GPT-4o mini
"llama 3.1 model — Meta releases as open source the llama 3.1 model in sizes 8B, 70B and 405B. The large model features the same capabilities as the best closed source models",2024 July,Llama 3.1 Instruct 405B (Meta),2024-07-23,9.9,,Llama 3.1 Instruct 70B (Meta),2024-07-23,9.9,,exact_or_near_exact,llama 3.1 model
"Codestral Mamba — mistral ai releases three new models: Codestral Mamba , Mistral NeMo and Mathstral designed for mathematics",2024 July,Mistral Saba,2025-02-17,6.8,,Devstral Medium (Mistral),2025-07-10,6.7,,medium,Codestral Mamba
"Mistral NeMo — mistral ai releases three new models: Codestral Mamba , Mistral NeMo and Mathstral designed for mathematics",2024 July,Mistral Small 3,2025-01-30,7.7,,Mistral Medium,2023-12-11,7.2,,high,Mistral NeMo
"Mathstral — mistral ai releases three new models: Codestral Mamba , Mistral NeMo and Mathstral designed for mathematics",2024 July,Mistral Small (Sep '24),2024-09-17,8.1,,Mistral Small (Feb '24),2024-02-26,7.4,,medium,Mathstral
"AlphaProof — Google DeepMind has unveiled two new AI systems that won silver medals at this year's International Mathematical Olympiad (IMO), AlphaProof and AlphaGeometry 2 .",2024 July,Lyria 3 Pro (Google),,5.0,,Lyria 3 Pro (Google),,5.0,,low,AlphaProof
"AlphaGeometry 2 — Google DeepMind has unveiled two new AI systems that won silver medals at this year's International Mathematical Olympiad (IMO), AlphaProof and AlphaGeometry 2 .",2024 July,Veo 2 (Google),2024-12,6.0,,Veo 2 (Google),2024-12,6.0,,low,AlphaGeometry 2
"Udio v1.5 — Startup Udio has released Udio v1.5 , an updated version of its music creation model",2024 July,Udio v1.5 Allegro,,6.0,,Udio v1.5 Allegro,,6.0,,exact_or_near_exact,Udio v1.5
"Mistral Large 2 — Mistral AI has released a large language model Mistral Large 2 in size 123B, which presents capabilities close to the closed SOTA models.",2024 July,Mistral Large 2 (Jul '24),2024-07-24,10.0,,Mistral Large 2 (Nov '24),2024-11-18,8.7,,exact_or_near_exact,Mistral Large 2
Midjourney v6.1 — Midjourney v6.1 is released,2024 July,Midjourney v6.1,2024-07,10.0,,Midjourney v6,2023-12,7.2,,exact_or_near_exact,Midjourney v6.1
Gemma 2 2B — Google releases the Gemma 2 2B model as open source. The model demonstrates better capabilities than much larger models.,2024 July,Gemma 3 27B Instruct (Google),2025-03-12,7.2,,Gemma 4 12B (Non-reasoning) (Google),2026-06-03,6.3,yes,high,Gemma 2 2B
"Flux — ""Black Forest Labs"" releases weights for an image creation model named Flux , which shows better performance than similar closedsource models.",2024 August,FLUX.1 Kontext [max] (Black Forest Labs),2025-05,7.2,,FLUX.2 [max] (Black Forest Labs),2025-12,6.3,yes,exact_or_near_exact,Flux
"GPT-4o 0806 — OpenAI released a new version of its model, GPT-4o 0806 , achieving 100% success in generating valid JSON output.",2024 August,GPT-4o (Aug '24) (OpenAI),2024-08-06,9.9,,GPT-4o (May '24) (OpenAI),2024-05-13,9.3,,exact_or_near_exact,GPT-4o 0806
"Imagen 3 — Google's image generation model, Imagen 3 , has been released.",2024 August,Imagen 3 (v002) (Google),2024-12,8.7,,Image-01 (MiniMax),2025-02,7.7,,exact_or_near_exact,Imagen 3
"Grok 2 — xAI Corporation has launched the models Grok 2 and Grok 2 mini , which demonstrate performance on par with leading SOTA models in the market.",2024 August,Grok 2 (Dec '24) (xAI),2024-12-12,8.7,,Grok 2 (xAI),2024-12,8.7,,exact_or_near_exact,Grok 2
"Grok 2 mini — xAI Corporation has launched the models Grok 2 and Grok 2 mini , which demonstrate performance on par with leading SOTA models in the market.",2024 August,Grok 2 (Dec '24) (xAI),2024-12-12,8.5,,Grok 2 (xAI),2024-12,8.5,,exact_or_near_exact,Grok 2 mini
"Phi 3.5 — Microsoft has introduced its small language models, Phi 3.5 , in three versions, each showcasing impressive performance relative to their size.",2024 August,Phi-3 Mini Instruct 3.8B (Microsoft),2024-04-23,7.2,,Phi-4 (Microsoft),2024-12-12,6.0,,medium,Phi 3.5
"Gemini 1.5 Flash8B — Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",2024 August,Gemini 1.5 Flash (Sep '24) (Google),2024-09-24,10.0,,Gemini 1.5 Flash-8B (Google),2024-10-03,9.4,,exact_or_near_exact,Gemini 1.5 Flash8B
"Gemini 1.5 Pro — Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",2024 August,Gemini 1.5 Pro (Sep '24) (Google),2024-09-24,10.0,,Gemini 1.5 Pro (May '24) (Google),2024-05-15,9.4,,exact_or_near_exact,Gemini 1.5 Pro
"Gemini 1.5 Flash — Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",2024 August,Gemini 1.5 Flash (Sep '24) (Google),2024-09-24,10.0,,Gemini 1.5 Flash (May '24) (Google),2024-05-14,9.4,,exact_or_near_exact,Gemini 1.5 Flash
"Ideogram 2.0 — Ideogram 2.0 has been released, offering image generation capabilities that surpass those of other leading models.",2024 August,Ideogram v2,2024-08,9.4,,Ideogram v2a,2025-02,7.9,,high,Ideogram 2.0
Dream Machine 1.5 — Luma has unveiled the Dream Machine 1.5 model for video creation.,2024 August,Jamba 1.5 Mini (AI21 Labs),2024-08-22,6.0,,Mochi 1 (Genmo),2024-10,6.0,,low,Dream Machine 1.5
"Pixtral12B — The French AI company Mistral has introduced Pixtral12B , its first multimodal model capable of processing both images and text.",2024 September,Pixtral Large (Mistral),2024-11-18,8.4,,Mistral Saba,2025-02-17,7.4,,medium,Pixtral12B
"o1 preview — OPENAI has released two nextgeneration AI models to its subscribers: o1 preview and o1 mini . These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more.",2024 September,o1-preview (OpenAI),2024-09-12,10.0,,o1 (OpenAI),2024-12-05,9.3,,exact_or_near_exact,o1 preview
"o1 mini — OPENAI has released two nextgeneration AI models to its subscribers: o1 preview and o1 mini . These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more.",2024 September,o1-mini (OpenAI),2024-09-12,10.0,,o1 (OpenAI),2024-12-05,9.3,,exact_or_near_exact,o1 mini
"Qwen 2.5 — Chinese company Alibaba releases the Qwen 2.5 model in various sizes, ranging from 0.5B to 72B. The models demonstrate capabilities comparable to much larger models.",2024 September,Qwen2.5 Max (Alibaba),2025-01-28,8.5,,Qwen3.5 2B (Reasoning) (Alibaba),2026-03-02,6.3,yes,exact_or_near_exact,Qwen 2.5
KLING 1.5 — The video generation model KLING 1.5 has been released.,2024 September,Kling 1.5 Pro (KlingAI),2024-09,9.8,,Kling 1.0 (KlingAI),2024-06,9.0,,exact_or_near_exact,KLING 1.5
"Llama 3.2 — Meta releases Llama 3.2 in sizes 1B, 3B, 11B and 90B, featuring image recognition capabilities for the first time.",2024 September,Llama 3.2 Instruct 90B (Vision) (Meta),2024-09-25,9.9,,Llama 3.2 Instruct 11B (Vision) (Meta),2024-09-25,9.9,,exact_or_near_exact,Llama 3.2
"Gemini Pro 1.5 002 — Google has rolled out new model updates ready for deployment, Gemini Pro 1.5 002 and Gemini Flash 1.5 002 , showcasing significantly improved longcontext processing.",2024 September,Gemini 1.5 Pro (Sep '24) (Google),2024-09-24,10.0,,Gemini 1.5 Pro (May '24) (Google),2024-05-15,8.6,,exact_or_near_exact,Gemini Pro 1.5 002
"Gemini Flash 1.5 002 — Google has rolled out new model updates ready for deployment, Gemini Pro 1.5 002 and Gemini Flash 1.5 002 , showcasing significantly improved longcontext processing.",2024 September,Gemini 1.5 Flash (Sep '24) (Google),2024-09-24,10.0,,Gemini 1.5 Flash (May '24) (Google),2024-05-14,8.7,,exact_or_near_exact,Gemini Flash 1.5 002
"Moshi — Kyutai releases two opensource versions of its voicetovoice model, Moshi .",2024 September,Moshi (Kyutai),,6.0,,Mochi 1 (Genmo),2024-10,6.0,,exact_or_near_exact,Moshi
Mistral Small — Mistral AI launches a 22B model named Mistral Small .,2024 September,Mistral Small (Sep '24),2024-09-17,10.0,,Mistral Small 3,2025-01-30,8.7,,exact_or_near_exact,Mistral Small
"Flux 1.1 Pro — Flux 1.1 Pro is released, showcasing advanced capabilities for image creation.",2024 October,FLUX1.1 [pro] (Black Forest Labs),2024-10,10.0,,FLUX.1 [pro] (Black Forest Labs),2024-08,9.4,,exact_or_near_exact,Flux 1.1 Pro
"Movie Gen — Meta unveils Movie Gen , a new AI model that generates videos, images, and audio from text input.",2024 October,Mochi 1 (Genmo),2024-10,6.0,,MusicGen (Meta),,5.0,,medium,Movie Gen
"Video Model 1.5 — Pika introduces Video Model 1.5 along with ""Pika Effects.""",2024 October,HunyuanVideo-1.5 (Fal) (Tencent),2025-11,6.3,yes,grok-imagine-video-1.5-preview (xAI),2026-05,6.3,yes,exact_or_near_exact,Video Model 1.5
"Firefly Video — Adobe announces its video creation model, Firefly Video .",2024 October,Firefly Image 4 (Adobe),2025-04,8.1,,Firefly Image 3 (Adobe),2024-04,8.1,,high,Firefly Video
"Aria — Startup Rhymes AI releases Aria , an opensource, multimodal model exhibiting capabilities similar to comparably sized proprietary models.",2024 October,"Solaria-1, Gladia",,5.0,,"Solaria-3, Gladia",,5.0,,medium,Aria
Meta Spirit LM — Meta releases an opensource speechtospeech language model named Meta Spirit LM .,2024 October,Llama 4 Scout (Meta),2025-04-05,6.0,,Muse Spark (Meta),2026-04-08,4.6,yes,low,Meta Spirit LM
"Ministral — Mistral AI introduces Ministral , a new model available in 3B and 8B parameter sizes.",2024 October,Mistral Saba,2025-02-17,7.9,,Mistral Medium,2023-12-11,7.0,,exact_or_near_exact,Ministral
"Janus AI — Janus AI , a multimodal language model capable of recognizing and generating both text and images, is released as open source by DeepSeekAI.",2024 October,Janus Pro (DeepSeek),2025-01,9.3,,DeepSeek R1 (Jan '25),2025-01-20,8.3,,exact_or_near_exact,Janus AI
"Fluid — Google DeepMind and MIT unveil Fluid , a texttoimage generation model with industryleading performance at a scale of 10.5B parameters.",2024 October,PALM-2 (Google),2023-05-10,5.1,yes,Studio (Google),,5.0,,medium,Fluid
Stable Diffusion 3.5 — Stable Diffusion 3.5 is released in three sizes as open source.,2024 October,Stable Diffusion 3.5 Large (Stability.ai),2024-10,9.8,,Stable Diffusion 3.5 Large Turbo (Stability.ai),2024-10,9.8,,exact_or_near_exact,Stable Diffusion 3.5
"Claude 3.5 Sonnet New — Anthropic launches Claude 3.5 Sonnet New , demonstrating significant advancements in specific areas over its previous version, and announces Claude 3.5 Haiku .",2024 October,Claude 3.5 Sonnet (Oct '24) (Anthropic),2024-10-22,10.0,,Claude 3.5 Sonnet (June '24) (Anthropic),2024-06-21,8.7,,exact_or_near_exact,Claude 3.5 Sonnet New
"Claude 3.5 Haiku — Anthropic launches Claude 3.5 Sonnet New , demonstrating significant advancements in specific areas over its previous version, and announces Claude 3.5 Haiku .",2024 October,Claude 3.5 Haiku (Anthropic),2024-10-22,10.0,,Claude 3.5 Sonnet (Oct '24) (Anthropic),2024-10-22,8.8,,exact_or_near_exact,Claude 3.5 Haiku
"Recraft v3 — The texttoimage model Recraft v3 has been released to the public, ranking first in benchmarks compared to similar models.",2024 October,Recraft V3,2024-10,10.0,,Recraft 20B,2024-03,6.5,,exact_or_near_exact,Recraft v3
