event_id,ai_year,ai_month,model_names,aa_names,aa_release_dates,aa_creators,model_count,event_text,official_date,official_date_all,official_date_month_candidates,date_status,date_confidence,date_source_urls,date_source_titles,date_source_types,date_notes
AIT-2024-04-003,2024,April,Mixtral 8x22B,Mixtral 8x22B Instruct,2024-04-17,Mistral,1,The Mistral company releases its new model Mixtral 8x22B as open source. This is the most powerful model among the open source models and it contains 141 billion parameters but uses a method that allows more economical use.,2024-04-17,2024-04-17,,day_resolved,high,https://mistral.ai/news/mixtral-8x22b/,"Cheaper, Better, Faster, Stronger",official_blog,"Mistral AI news page states April 17, 2024 and describes Mixtral 8x22B as the latest open model."
AIT-2024-04-004,2024,April,LLaMA 3,Llama 3 Instruct 70B; Llama 3 Instruct 8B,2024-04-18; 2024-04-18,Meta,2,Meta releases the LLaMA 3 model as open source in sizes 8B and 70B parameters. The large model shows better performance than Claude 3 Sonnet and Gemini Pro 1.5 in several measures. Meta is expected to later release larger models with 400 billion parameters and more.,2024-04-18,2024-04-18,,day_resolved,high,https://ai.meta.com/blog/meta-llama-3/,Introducing Meta Llama 3: The most capable openly available LLM to date,official_blog,"Meta AI blog page states April 18, 2024 and introduces the 8B and 70B Llama 3 models."
AIT-2024-04-005,2024,April,Phi-3-mini,Phi-3 Mini Instruct 3.8B,2024-04-23,Microsoft,1,"Microsoft releases the Phi-3-mini model in open source. The model comes in a reduced version of 3.8B parameters, which allows it to run on mobile devices as well, and it presents capabilities similar to GPT-3.5.",2024-04-23,2024-04-23,,day_resolved,high,https://azure.microsoft.com/en-us/blog/introducing-phi-3-redefining-whats-possible-with-slms/,Introducing Phi-3: Redefining what's possible with SLMs,official_blog,"Microsoft Azure Blog states April 23, 2024 and says Phi-3-mini is available starting today."
AIT-2024-04-006,2024,April,Firefly 3,Firefly Image 3,2024-04,Adobe,1,Adobe announces its new image creation model Firefly 3 .,,,2024-04,month_only,medium,,Firefly Image 3 Foundation Model,official source not found,Adobe 一方新闻稿/博客未能访问（news.adobe.com 与 blog.adobe.com 均无法定位存档）。二手来源一致为 2024-04-23（Adobe MAX London），按规则不写入 official_date，保留月份候选 2024-04（2026-07-02 三次补漏）。
AIT-2024-05-001,2024,May,GPT-4o model,GPT-4o (May '24),2024-05-13,OpenAI,1,"OpenAI announces the GPT-4o model that presents full multimodal capabilities, including receiving and creating text, images, and audio. The model presents an impressive ability to speak with a high response speed and in natural language. The model is 2 times more efficient than the GPT-4 Turbo model, and has better capabilities for languages other than English.",2024-05-13,2024-05-13,,day_resolved,high,https://openai.com/index/hello-gpt-4o/,Hello GPT-4o,official research/product announcement,"OpenAI page is dated May 13, 2024 and announces GPT-4o."
AIT-2024-05-002,2024,May,Gemini Flash 1.5 model,Gemini 1.5 Flash (May '24),2024-05-14,Google,1,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",2024-05-14,2024-05-14,,day_resolved,high,https://blog.google/innovation-and-ai/products/google-gemini-update-flash-ai-assistant-io-2024/,"Gemini breaks new ground with a faster model, longer context, AI agents and more",Google Blog,Official I/O article introduces Gemini 1.5 Flash and preview availability.
AIT-2024-06-001,2024,June,Stable Diffusion 3,Stable Diffusion 3 Medium,2024-06,Stability.ai,1,Stability AI releases its updated image creation model Stable Diffusion 3 in a medium version in size 2B parameters.,2024-06-12,2024-06-12,,day_resolved,high,https://stability.ai/news/stable-diffusion-3-medium,Announcing the Open Release of Stable Diffusion 3 Medium,official blog,Official Stability AI page dated Jun 12; year inferred from event year and page context.
AIT-2024-06-003,2024,June,DeepSeekCoderV2,DeepSeek-Coder-V2,2024-06-17,DeepSeek,1,"DeepSeekAI publishes the DeepSeekCoderV2 open source language model which presents similar coding capabilities to models such as GPT-4, Claude 3 Opus and more.",2024-06-17,2024-06-17,,day_resolved,high,https://arxiv.org/abs/2406.11931,DeepSeek-Coder-V2: Breaking the Barrier of Closed-Source Models in Code Intelligence,first-party_technical_report,DeepSeek-authored technical report date. No separate DeepSeek blog page found.
AIT-2024-06-004,2024,June,Gen3 Alpha,Runway Gen 3 Alpha,2024-06,Runway,1,"Runway introduces Gen3 Alpha , a new AI model for video generation.",2024-06-17,2024-06-17,,day_resolved,high,https://runwayml.com/research/introducing-gen-3-alpha,Runway Gen-3 Alpha: Next-Generation AI Video Generation,official research blog,"Official Runway research page is dated June 17, 2024."
AIT-2024-06-005,2024,June,Claude Sonnet 3.5,Claude 3.5 Sonnet (June '24),2024-06-21,Anthropic,1,"Anthropic releases the Claude Sonnet 3.5 model, which presents better capabilities than other models with low resource usage.",2024-06-20,2024-06-20,,day_resolved,high,https://www.anthropic.com/news/claude-3-5-sonnet,Claude 3.5 Sonnet,official_news,Anthropic 页面元数据 publishedOn 为 2024-06-21T03:28Z（UTC），即美东时间 2024-06-20 23:28。美国公告日为 2024-06-20，媒体与官方发布均为该日；原 06-21 为 UTC 时区伪影，已改正（2026-07-02 复核）。
AIT-2024-07-001,2024,July,GPT-4o mini,GPT-4o mini,2024-07-18,OpenAI,1,OpenAI has released a miniaturized model called GPT-4o mini that presents high capabilities at a low cost,2024-07-18,2024-07-18,,day_resolved,high,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,GPT-4o mini: advancing cost-efficient intelligence,official product announcement,"OpenAI page is dated July 18, 2024 and says GPT-4o mini is available starting today."
AIT-2024-07-002,2024,July,llama 3.1 model,Llama 3.1 Instruct 405B; Llama 3.1 Instruct 70B; Llama 3.1 Instruct 8B,2024-07-23; 2024-07-23; 2024-07-23,Meta,3,"Meta releases as open source the llama 3.1 model in sizes 8B, 70B and 405B. The large model features the same capabilities as the best closed source models",2024-07-23,2024-07-23,,day_resolved,high,https://ai.meta.com/blog/meta-llama-3-1/,Introducing Llama 3.1: Our most capable models to date,official_blog,"Meta AI blog page states July 23, 2024 and says the latest models include Llama 3.1 405B plus upgraded 8B and 70B models."
AIT-2024-07-006,2024,July,Udio v1.5,Udio v1.5 Allegro,,Udio,1,"Startup Udio has released Udio v1.5 , an updated version of its music creation model",2024-07-23,2024-07-23,,day_resolved,high,https://www.udio.com/blog/introducing-v1-5,Introducing v1.5,official blog,Udio 官方博客页面元数据 datePublished 2024-07-23，与二手报道一致。（2026-07-02 三次补漏）
AIT-2024-07-007,2024,July,Mistral Large 2,Mistral Large 2 (Jul '24),2024-07-24,Mistral,1,"Mistral AI has released a large language model Mistral Large 2 in size 123B, which presents capabilities close to the closed SOTA models.",2024-07-24,2024-07-24,,day_resolved,high,https://mistral.ai/news/mistral-large-2407/,Large Enough,official_blog,"Mistral AI news page states July 24, 2024 and identifies the API name as mistral-large-2407."
AIT-2024-07-008,2024,July,Midjourney v6.1,Midjourney v6.1,2024-07,Midjourney,1,Midjourney v6.1 is released,2024-07-30,2024-07-30,,day_resolved,high,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,Version,official documentation,Midjourney documentation states V6.1 was released on 2024-07-30.
AIT-2024-08-001,2024,August,Flux,FLUX.1 [pro]; FLUX.1 [dev]; FLUX.1 [schnell],2024-08; 2024-08; 2024-08,Black Forest Labs,3,"""Black Forest Labs"" releases weights for an image creation model named Flux , which shows better performance than similar closedsource models.",2024-08-01,2024-08-01,,day_resolved,high,https://bfl.ai/blog/24-08-01-bfl,Announcing Black Forest Labs,official blog,"Official BFL blog dated August 1, 2024 states FLUX.1 suite is released today."
AIT-2024-08-002,2024,August,GPT-4o 0806,GPT-4o (Aug '24),2024-08-06,OpenAI,1,"OpenAI released a new version of its model, GPT-4o 0806 , achieving 100% success in generating valid JSON output.",2024-08-06,2024-08-06,,day_resolved,high,https://openai.com/index/introducing-structured-outputs-in-the-api/,Introducing structured outputs in the API,official blog (dated via Wayback first snapshot),该官方博客发布 gpt-4o-2024-08-06 快照模型；Wayback 首次快照为 2024-08-06，且模型版本号本身编码 0806。（2026-07-02 三次补漏）
AIT-2024-08-003,2024,August,Imagen 3,Imagen 3 (v002),2024-12,Google,1,"Google's image generation model, Imagen 3 , has been released.",2024-08-13,2024-08-13,,day_resolved,medium,https://arxiv.org/abs/2408.07009,Imagen 3 (Imagen-Team-Google technical report),first-party technical report (arXiv),一手技术报告 arXiv v1 提交于 2024-08-13，与 ATL 8 月事件一致。原引用的 2024-12-16 Whisk 博客并非发布公告且与事件月不符，已弃用（2026-07-02 复核）。
AIT-2024-08-004,2024,August,Grok 2,Grok 2 (Dec '24),2024-12-12,xAI,1,"xAI Corporation has launched the models Grok 2 and Grok 2 mini , which demonstrate performance on par with leading SOTA models in the market.",2024-08-13,2024-08-13,,day_resolved,high,https://x.ai/news/grok-2,Grok-2 Beta Release,official technical blog,xAI blog date; source announces Grok-2 and Grok-2 mini.
AIT-2024-08-006,2024,August,Gemini 1.5 Flash8B,Gemini 1.5 Flash-8B,2024-10-03,Google,1,"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",2024-08-27,2024-08-27,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,"Gemini API release notes (August 27, 2024)",official changelog,官方 changelog 记录 2024-08-27 发布三个实验模型（gemini-1.5-pro-exp-0827、flash-exp-0827、flash-8b-exp-0827），与事件文本完全对应。原 2024-10-03 为 stable 版日期，与 8 月实验版事件不符，已弃用（2026-07-02 复核）。
AIT-2024-09-002,2024,September,o1 preview; o1 mini,o1-preview; o1-mini,2024-09-12; 2024-09-12,OpenAI,2,"OPENAI has released two nextgeneration AI models to its subscribers: o1 preview and o1 mini . These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more.",2024-09-12,2024-09-12,,day_resolved,high,https://openai.com/index/introducing-openai-o1-preview/,Introducing OpenAI o1-preview,official product announcement,"OpenAI page is dated September 12, 2024 and says o1-preview and o1-mini are released in ChatGPT and API."
AIT-2024-09-003,2024,September,Qwen 2.5,Qwen2.5 Instruct 72B; Qwen2.5 Instruct 32B,2024-09-19; 2024-09-19,Alibaba,2,"Chinese company Alibaba releases the Qwen 2.5 model in various sizes, ranging from 0.5B to 72B. The models demonstrate capabilities comparable to much larger models.",2024-09-19,2024-09-19,,day_resolved,high,https://qwenlm.github.io/blog/qwen2.5/,Qwen2.5: A Party of Foundation Models!,official_technical_blog,Official Qwen blog date.
AIT-2024-09-004,2024,September,KLING 1.5,Kling 1.5 Pro,2024-09,KlingAI,1,The video generation model KLING 1.5 has been released.,,,,unresolved,unresolved,,KLING 1.5,official source not found,No accessible first-party technical blog or announcement page was found for Kling 1.5 in this run.
AIT-2024-09-006,2024,September,Llama 3.2,Llama 3.2 Instruct 90B (Vision); Llama 3.2 Instruct 11B (Vision); Llama 3.2 Instruct 3B; Llama 3.2 Instruct 1B,2024-09-25; 2024-09-25; 2024-09-25; 2024-09-25,Meta,4,"Meta releases Llama 3.2 in sizes 1B, 3B, 11B and 90B, featuring image recognition capabilities for the first time.",2024-09-25,2024-09-25,,day_resolved,high,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,"Llama 3.2: Revolutionizing edge AI and vision with open, customizable models",official_blog,"Meta AI blog page states September 25, 2024 and lists the 11B, 90B, 1B, and 3B Llama 3.2 models."
AIT-2024-09-007,2024,September,Gemini Pro 1.5 002; Gemini Flash 1.5 002,Gemini 1.5 Pro (Sep '24); Gemini 1.5 Flash (Sep '24),2024-09-24; 2024-09-24,Google,2,"Google has rolled out new model updates ready for deployment, Gemini Pro 1.5 002 and Gemini Flash 1.5 002 , showcasing significantly improved longcontext processing.",2024-09-24,2024-09-24,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,Release notes list gemini-1.5-pro-002 and gemini-1.5-flash-002 as released for general availability.
AIT-2024-09-008,2024,September,Moshi,Moshi,,Kyutai,1,"Kyutai releases two opensource versions of its voicetovoice model, Moshi .",2024-09-18,2024-09-18,,day_resolved,high,https://kyutai.org/blog/2024-09-18-moshi-release/,Moshi open-source release: run Moshi locally!,official technical blog,Matches event text about open-source Moshi release.
AIT-2024-09-010,2024,September,Mistral Small,Mistral Small (Sep '24),2024-09-17,Mistral,1,Mistral AI launches a 22B model named Mistral Small .,2024-09-17,2024-09-17,,day_resolved,high,https://docs.mistral.ai/models/model-cards/mistral-small-2-0-24-09,Mistral Small 2.0 - Mistral AI,official_model_card,"No separate Mistral news post was found in this pass; official Mistral model card states September 17, 2024 and gives API name mistral-small-2409."
AIT-2024-10-001,2024,October,Flux 1.1 Pro,FLUX1.1 [pro],2024-10,Black Forest Labs,1,"Flux 1.1 Pro is released, showcasing advanced capabilities for image creation.",2024-10-02,2024-10-02,,day_resolved,high,https://bfl.ai/blog/24-10-02-flux,Announcing FLUX1.1 [pro] and the BFL API,official blog,"Official BFL blog dated October 2, 2024."
AIT-2024-10-003,2024,October,Video Model 1.5,Pika 1.5,2024-10,Pika Art,1,"Pika introduces Video Model 1.5 along with ""Pika Effects.""",,,,unresolved,unresolved,,Pika 1.5,official source not found,No accessible Pika first-party announcement page was found. Secondary sources suggest early October 2024 but are not used as official_date.
AIT-2024-10-010,2024,October,Stable Diffusion 3.5,Stable Diffusion 3.5 Large; Stable Diffusion 3.5 Large Turbo; Stable Diffusion 3.5 Medium,2024-10; 2024-10; 2024-10,Stability.ai,3,Stable Diffusion 3.5 is released in three sizes as open source.,2024-10-22,2024-10-22,,day_resolved,high,https://stability.ai/news/introducing-stable-diffusion-3-5,Introducing Stable Diffusion 3.5,official blog,Official page dated Oct 22 introduces 3.5 Large and Large Turbo; page notes Medium was added on Oct 29.
AIT-2024-10-011,2024,October,Claude 3.5 Sonnet New,Claude 3.5 Sonnet (Oct '24),2024-10-22,Anthropic,1,"Anthropic launches Claude 3.5 Sonnet New , demonstrating significant advancements in specific areas over its previous version, and announces Claude 3.5 Haiku .",2024-10-22,2024-10-22,,day_resolved,high,https://www.anthropic.com/news/3-5-models-and-computer-use,"Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",official_news,Anthropic News page announces the upgraded Claude 3.5 Sonnet.
AIT-2024-10-013,2024,October,Recraft v3,Recraft V3,2024-10,Recraft,1,"The texttoimage model Recraft v3 has been released to the public, ranking first in benchmarks compared to similar models.",2024-10-30,2024-10-30,,day_resolved,high,https://www.recraft.ai/blog/recraft-introduces-a-revolutionary-ai-model-that-thinks-in-design-language,Introducing Recraft V3: #1 AI Image Generation Model,official blog,"Recraft 官方博客页面日期 October 30, 2024，由 month_only 升级为 day_resolved。（2026-07-02 三次补漏）"
AIT-2024-11-001,2024,November,QwQ 32B Preview,QwQ 32B-Preview,2024-11-27,Alibaba,1,"Alibaba released its new model, QwQ 32B Preview , which integrates reasoning capabilities before responding. The model competes with, and sometimes surpasses, OpenAI's o1-preview model.",2024-11-28,2024-11-28,,day_resolved,high,https://qwenlm.github.io/blog/qwq-32b-preview/,QwQ: Reflect Deeply on the Boundaries of the Unknown,official_technical_blog,Official Qwen blog date differs from AA date by one day.
AIT-2024-11-002,2024,November,Qwen2.5 Coder 32B,Qwen2.5 Coder Instruct 32B,2024-11-11,Alibaba,1,"Alibaba opensourced the model Qwen2.5 Coder 32B , which offers comparable capabilities to leading proprietary language models in the coding domain.",2024-11-12,2024-11-12,,day_resolved,high,https://qwenlm.github.io/blog/qwen2.5-coder-family/,"Qwen2.5-Coder Series: Powerful, Diverse, Practical.",official_technical_blog,Official Qwen blog date differs from AA date by one day.
AIT-2024-11-005,2024,November,Pixtral Large,Pixtral Large,2024-11-18,Mistral,1,"Mistral AI launched the Pixtral Large model, a multimodal language model excelling in image recognition and advanced performance metrics, and an update to Mistral Large, 2411.",2024-11-18,2024-11-18,,day_resolved,high,https://mistral.ai/news/pixtral-large/,Pixtral Large,official_blog,"Mistral AI news page states November 18, 2024 and announces Pixtral Large as a 124B open-weights multimodal model."
AIT-2024-11-007,2024,November,Claude 3.5 Haiku,Claude 3.5 Haiku,2024-10-22,Anthropic,1,Anthropic launches Claude 3.5 Haiku and Visual PDF Analysis in Claude.,2024-11-04,2024-11-04,,day_resolved,medium,https://cloud.google.com/vertex-ai/generative-ai/docs/release-notes; https://www.anthropic.com/news/3-5-models-and-computer-use,"Vertex AI release notes (November 04, 2024); Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",platform release notes; official_news,"ATL 11 月事件对应模型可用而非预告。Vertex AI release notes 记录 2024-11-04 Claude 3.5 Haiku GA（Anthropic 同日在 API 开放）。Anthropic 2024-10-22 博客为预告（""later this month""），保留为背景证据（2026-07-02 复核）。"
AIT-2024-12-001,2024,December,NOVA,Nova Pro; Nova Lite; Nova Micro,2024-12-03; 2024-12-03; 2024-12-03,Amazon,3,"Amazon introduced a new series of models called NOVA , designed for text, image, and video processing.",2024-12-03,2024-12-03,,day_resolved,high,https://aws.amazon.com/blogs/aws/introducing-amazon-nova-frontier-intelligence-and-industry-leading-price-performance/,Introducing Amazon Nova foundation models: Frontier intelligence and industry leading price performance,official AWS News Blog,AWS News Blog announces Amazon Nova foundation models.
AIT-2024-12-002,2024,December,SORA; o1; o1 Pro,Sora; o1; o1-pro,2024-12; 2024-12-05; 2025-03-19,OpenAI,3,"OpenAI released SORA , a video generation model, along with the full version of o1 and o1 Pro for advanced subscribers. Additionally, the company launched a live video mode for GPT 4o .",2024-12-05,2024-12-05; 2024-12-09,,day_resolved,medium,https://openai.com/index/sora-is-here/; https://help.openai.com/en/articles/6825453-chatgpt-release-notes,Sora is here; ChatGPT Release Notes,official product announcement; official release notes,"Multi-model event. Sora page is dated December 9, 2024. o1 and o1 Pro dates are from first-party ChatGPT release notes rather than a dedicated dated page captured here."
AIT-2024-12-004,2024,December,Gemini 2.0 Flash,Gemini 2.0 Flash (experimental),2024-12-11,Google,1,"Google launched Gemini 2.0 Flash in beta. This model leads benchmarks and outperforms the previous version, Gemini Pro 1.5 . Additionally, Google introduced live speech and video mode and announced built-in image generation capabilities within the model.",2024-12-11,2024-12-11,,day_resolved,high,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/google-gemini-ai-update-december-2024/,Introducing Gemini 2.0: our new AI model for the agentic era,Google Blog,Official Gemini 2.0 launch article; includes Gemini 2.0 Flash Experimental availability.
AIT-2024-12-005,2024,December,Gemini-2.0-Flash-Thinking,Gemini 2.0 Flash Thinking Experimental (Dec '24),2024-12-19,Google,1,"Google revealed Gemini-2.0-Flash-Thinking , a thinking model based on Gemini 2.0 Flash , which secured second place in the chatbot leaderboard.",2024-12-19,2024-12-19,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,Release notes list Gemini 2.0 Flash Thinking Mode public preview on this date.
AIT-2024-12-006,2024,December,Veo 2,Veo 2,2024-12,Google,1,"Google introduced Veo 2 , a beta version video generation model capable of producing 4K videos up to two minutes long. The model outperformed SORA in human evaluations. Additionally, Google updated Imagen 3 , offering enhanced image quality and realism.",2024-12-16,2024-12-16,,day_resolved,high,https://deepmind.google/models/veo/; https://blog.google/innovation-and-ai/models-and-research/google-labs/video-image-generation-update-december-2024/,Veo; State-of-the-art video and image generation with Veo 2 and Imagen 3,Google DeepMind model page; official blog,"No dated first-party technical blog or announcement page found in this pass; official date left blank rather than using third-party reports. | Second-pass verification. Official Google blog page is dated Dec 16, 2024 and announces Veo 2."
AIT-2024-12-008,2024,December,Phi4,Phi-4,2024-12-12,Microsoft,1,"Microsoft open-sourced the Phi4 model, sized at 14B, showcasing impressive capabilities for its size.",2024-12-12,2024-12-12,,day_resolved,high,https://huggingface.co/microsoft/phi-4,microsoft/phi-4,official_model_card,"Official Microsoft Hugging Face model card lists release date December 12, 2024 and MIT license. I did not find a stable Microsoft Research blog URL during this pass."
AIT-2024-12-009,2024,December,Llama 3.3 70B,Llama 3.3 Instruct 70B,2024-12-06,Meta,1,"Meta released Llama 3.3 70B , a model offering performance comparable to Llama 3.1 405B .",2024-12-06,2024-12-06,,day_resolved,high,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,official_model_card,"Official Meta Llama Hugging Face model card states Llama 3.3 Version Release Date: December 6, 2024. I did not find a separate ai.meta.com/blog post during this pass."
AIT-2024-12-011,2024,December,2.0,Pika 2.0,2024-12,Pika Art,1,"Pika Labs released 2.0 , the latest version of its AI-powered video generator.",,,,unresolved,unresolved,,Pika 2.0,official source not found,No accessible Pika first-party announcement page was found for Pika 2.0 in this run.
AIT-2024-12-013,2024,December,Deepseek V3,DeepSeek V3 (Dec '24),2024-12-26,DeepSeek,1,"Deepseek open-sourced Deepseek V3 , a model with 671B parameters that surpasses closed-source SOTA models across several benchmarks.",2024-12-26,2024-12-26,,day_resolved,high,https://api-docs.deepseek.com/news/news1226,Introducing DeepSeek-V3,official_api_announcement,DeepSeek API Docs news page carries the release date.
AIT-2024-12-016,2024,December,Kling 1.6,Kling 1.6 Standard,2024-12,KlingAI,1,"The video generation model Kling 1.6 was released, offering significant performance enhancements.",,,,unresolved,unresolved,,Kling 1.6,official source not found,No accessible first-party technical blog or announcement page was found for Kling 1.6 in this run.
