name_exact_status,time_match_status,strict_status,strict_reason,entity_id,event_id,ai_model_name,ai_year_month,ai_year,ai_month,aa_name,aa_creator,aa_modality,aa_release_date,aa_url,canonical_name,exact_name_candidate_count,same_month_candidate_count,same_month_candidates,all_exact_name_candidates,event_text
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2022-12-001-E01,AIT-2022-12-001,Stable Diffusion 2.1,2022-12,2022,December,Stable Diffusion 2.1,Stability.ai,text-to-image,2022-12,https://artificialanalysis.ai/models/stable-diffusion-2-1,stablediffusion21,1,1,Stable Diffusion 2.1 | 2022-12 | Stability.ai | text-to-image,Stable Diffusion 2.1 | 2022-12 | Stability.ai | text-to-image,Stable Diffusion 2.1 is released.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2023-02-001-E01,AIT-2023-02-001,LLaMA,2023-02,2023,February,,,,,,llama,0,0,,,Meta releases the LLaMA language model as open-source for research purposes. The model is later leaked.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2023-03-001-E01,AIT-2023-03-001,Midjourney v5,2023-03,2023,March,,,,,,midjourneyv5,0,0,,,Midjourney v5 is launched.
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2023-03-002-E01,AIT-2023-03-002,GPT-4,2023-03,2023,March,GPT-4,OpenAI,language,2023-03-14,https://artificialanalysis.ai/models/gpt-4,gpt4,1,1,GPT-4 | 2023-03-14 | OpenAI | language,GPT-4 | 2023-03-14 | OpenAI | language,"OpenAI's GPT-4 model is partially released, featuring multimodal image analysis and improved multi-language support."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2023-04-001-E01,AIT-2023-04-001,Firefly,2023-04,2023,April,,,,,,firefly,0,0,,,Adobe releases the Firefly image creation model as a beta version to a waiting list. The model allowed a variety of capabilities including text formatting.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2023-05-001-E01,AIT-2023-05-001,Midjourney v5.1,2023-05,2023,May,,,,,,midjourneyv51,0,0,,,Midjourney v5.1 is released.
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2023-05-002-E01,AIT-2023-05-002,PaLM 2,2023-05,2023,May,PALM-2,Google,language,2023-05-10,https://artificialanalysis.ai/models/palm-2,palm2,1,1,PALM-2 | 2023-05-10 | Google | language,PALM-2 | 2023-05-10 | Google | language,"Google announces an upgrade to Bard, moving it to the upgraded PaLM 2 language model. It will support 180 countries and many languages."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2023-06-001-E01,AIT-2023-06-001,Midjourney v5.2,2023-06,2023,June,,,,,,midjourneyv52,0,0,,,Midjourney v5.2 is launched.
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2023-07-001-E01,AIT-2023-07-001,Stable Diffusion XL 1.0,2023-07,2023,July,Stable Diffusion XL 1.0,Stability.ai,text-to-image,2023-07,https://artificialanalysis.ai/models/stable-diffusion-xl-1-0,stablediffusionxl10,1,1,Stable Diffusion XL 1.0 | 2023-07 | Stability.ai | text-to-image,Stable Diffusion XL 1.0 | 2023-07 | Stability.ai | text-to-image,Stable Diffusion XL 1.0 is released.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2023-07-002-E01,AIT-2023-07-002,Claude 2,2023-07,2023,July,,,,,,claude2,0,0,,,Anthropic announces a new version of their large language model - Claude 2 .
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2023-07-003-E01,AIT-2023-07-003,LLaMA 2,2023-07,2023,July,,,,,,llama2,0,0,,,Meta releases the LLaMA 2 open source language model to the general public in a variety of sizes.
name_exact_keep,time_mismatch_or_missing,drop_name_exact_time_mismatch,normalized_name_exact_but_release_month_not_same_or_missing,AIT-2023-10-001-E01,AIT-2023-10-001,DALL-E 3,2023-10,2023,October,DALLE 3,OpenAI,text-to-image,2023-09,https://artificialanalysis.ai/models/dalle-3,dalle3,1,0,,DALLE 3 | 2023-09 | OpenAI | text-to-image,DALL-E 3 is released.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2023-10-002-E01,AIT-2023-10-002,Firefly 2,2023-10,2023,October,,,,,,firefly2,0,0,,,Adobe releases Firefly 2 .
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2023-11-001-E01,AIT-2023-11-001,Stable Diffusion XL Turbo,2023-11,2023,November,,,,,,stablediffusionxlturbo,0,0,,,Stable Diffusion XL Turbo is released - A fast model that allows the creation of an image in one step in real-time.
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2023-12-001-E01,AIT-2023-12-001,Midjourney v6,2023-12,2023,December,Midjourney v6,Midjourney,text-to-image,2023-12,https://artificialanalysis.ai/models/midjourney-v6,midjourneyv6,1,1,Midjourney v6 | 2023-12 | Midjourney | text-to-image,Midjourney v6 | 2023-12 | Midjourney | text-to-image,Midjourney v6 is launched.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2023-12-002-E01,AIT-2023-12-002,Gemini Pro,2023-12,2023,December,,,,,,geminipro,0,0,,,"Google upgrades Bard in limited areas, moving it to be based on the upgraded Gemini Pro language model."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-02-001-E01,AIT-2024-02-001,Stable Diffusion 3,2024-02,2024,February,,,,,,stablediffusion3,0,0,,,Stability AI announces Stable Diffusion 3 (gradually released to waiting list).
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-02-002-E01,AIT-2024-02-002,Gemini Pro,2024-02,2024,February,,,,,,geminipro,0,0,,,"Google upgrades the artificial intelligence chat in Bard, basing it on the new Gemini Pro model, in all available languages. Google replaces ""Bard"" with ""Gemini""."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-02-003-E01,AIT-2024-02-003,Gemini Pro 1.5,2024-02,2024,February,,,,,,geminipro15,0,0,,,"Google announces the Gemini Pro 1.5 multimodal language model capable of parsing up to a million tokens, as well as parsing video and images. The model is gradually released to developers on a waiting list."
name_exact_keep,time_mismatch_or_missing,drop_name_exact_time_mismatch,normalized_name_exact_but_release_month_not_same_or_missing,AIT-2024-02-004-E01,AIT-2024-02-004,Sora,2024-02,2024,February,Sora,OpenAI,image-to-video,2024-12,https://artificialanalysis.ai/models/sora,sora,2,0,,Sora | 2024-12 | OpenAI | text-to-video; Sora | 2024-12 | OpenAI | image-to-video,OpenAI announces the Sora model that produces videos up to a minute long. The model is not released to the public at this time.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-03-001-E01,AIT-2024-03-001,Grok 1.5,2024-03,2024,March,,,,,,grok15,0,0,,,X Corporation announces the upcoming release of the Grok 1.5 open source model.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-03-002-E01,AIT-2024-03-002,Claude 3,2024-03,2024,March,,,,,,claude3,0,0,,,"Anthropic announces Claude 3 , a new version of their large language model. The version is deployed in 3 different sizes, with the largest model performing better than GPT-4."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-03-003-E01,AIT-2024-03-003,Suno v3,2024-03,2024,March,,,,,,sunov3,0,0,,,"Suno AI, which develops a model for creating music, releases Suno v3 to the general public."
name_exact_keep,time_mismatch_or_missing,drop_name_exact_time_mismatch,normalized_name_exact_but_release_month_not_same_or_missing,AIT-2024-04-001-E01,AIT-2024-04-001,Stable Audio 2.0,2024-04,2024,April,Stable Audio 2.0,Stability.ai,music-instrumental,,,stableaudio20,1,0,,Stable Audio 2.0 | no_date | Stability.ai | music-instrumental,Stability AI releases a new update to the music creation model - Stable Audio 2.0 .
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-04-002-E01,AIT-2024-04-002,Grok-1.5V,2024-04,2024,April,,,,,,grok15v,0,0,,,"X Corporation releases an upgrade to its language model, Grok-1.5V , which integrates high-level image recognition. In the test presented by the company, the model is the best in identifying and analyzing images compared to other models."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-04-003-E01,AIT-2024-04-003,Mixtral 8x22B,2024-04,2024,April,,,,,,mixtral8x22b,0,0,,,The Mistral company releases its new model Mixtral 8x22B as open source. This is the most powerful model among the open source models and it contains 141 billion parameters but uses a method that allows more economical use.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-04-004-E01,AIT-2024-04-004,LLaMA 3,2024-04,2024,April,,,,,,llama3,0,0,,,Meta releases the LLaMA 3 model as open source in sizes 8B and 70B parameters. The large model shows better performance than Claude 3 Sonnet and Gemini Pro 1.5 in several measures. Meta is expected to later release larger models with 400 billion parameters and more.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-04-005-E01,AIT-2024-04-005,Phi-3-mini,2024-04,2024,April,,,,,,phi3mini,0,0,,,"Microsoft releases the Phi-3-mini model in open source. The model comes in a reduced version of 3.8B parameters, which allows it to run on mobile devices as well, and it presents capabilities similar to GPT-3.5."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-04-006-E01,AIT-2024-04-006,Firefly 3,2024-04,2024,April,,,,,,firefly3,0,0,,,Adobe announces its new image creation model Firefly 3 .
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-04-008-E01,AIT-2024-04-008,OpenELM,2024-04,2024,April,,,,,,openelm,0,0,,,Apple releases as full open source a series of small language models under the name OpenELM . The models are available in four weights between 270 million and 3 billion parameters.
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2024-05-001-E01,AIT-2024-05-001,GPT-4o model,2024-05,2024,May,GPT-4o (May '24),OpenAI,language,2024-05-13,https://artificialanalysis.ai/models/gpt-4o-2024-05-13,gpt4o,3,1,GPT-4o (May '24) | 2024-05-13 | OpenAI | language,GPT-4o (Aug '24) | 2024-08-06 | OpenAI | language; GPT-4o (May '24) | 2024-05-13 | OpenAI | language; GPT-4o (Nov '24) | 2024-11-20 | OpenAI | language,"OpenAI announces the GPT-4o model that presents full multimodal capabilities, including receiving and creating text, images, and audio. The model presents an impressive ability to speak with a high response speed and in natural language. The model is 2 times more efficient than the GPT-4 Turbo model, and has better capabilities for languages other than English."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-05-002-E01,AIT-2024-05-002,Gemini Flash 1.5 model,2024-05,2024,May,,,,,,geminiflash15,0,0,,,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-05-002-E02,AIT-2024-05-002,Imagen 3,2024-05,2024,May,,,,,,imagen3,0,0,,,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-05-002-E03,AIT-2024-05-002,Music AI,2024-05,2024,May,,,,,,musicai,0,0,,,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-05-002-E04,AIT-2024-05-002,Veo,2024-05,2024,May,,,,,,veo,0,0,,,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-05-002-E05,AIT-2024-05-002,Astra model,2024-05,2024,May,,,,,,astra,0,0,,,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-05-003-E02,AIT-2024-05-003,Phi-3 Small,2024-05,2024,May,,,,,,phi3small,0,0,,,"Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-05-003-E03,AIT-2024-05-003,Phi-3 Medium,2024-05,2024,May,,,,,,phi3medium,0,0,,,"Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-05-003-E04,AIT-2024-05-003,Phi-3 Vision,2024-05,2024,May,,,,,,phi3vision,0,0,,,"Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-05-004-E01,AIT-2024-05-004,Chameleon,2024-05,2024,May,,,,,,chameleon,0,0,,,"Meta introduces Chameleon , a new multimodal model that seamlessly renders text and images."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-05-005-E01,AIT-2024-05-005,Mistral-7B-Instruct-v0.3,2024-05,2024,May,,,,,,mistral7binstructv03,0,0,,,Mistral AI releases a new open source version of its language model Mistral-7B-Instruct-v0.3 .
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-05-007-E01,AIT-2024-05-007,Suno v3.5,2024-05,2024,May,,,,,,sunov35,0,0,,,Suno AI releases an updated music creation model Suno v3.5 .
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-05-008-E01,AIT-2024-05-008,Codestral,2024-05,2024,May,,,,,,codestral,0,0,,,Mistral AI releases a new language model designed for coding Codestral in size 22B.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-06-001-E01,AIT-2024-06-001,Stable Diffusion 3,2024-06,2024,June,,,,,,stablediffusion3,0,0,,,Stability AI releases its updated image creation model Stable Diffusion 3 in a medium version in size 2B parameters.
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2024-06-003-E01,AIT-2024-06-003,DeepSeekCoderV2,2024-06,2024,June,DeepSeek-Coder-V2,DeepSeek,language,2024-06-17,https://artificialanalysis.ai/models/deepseek-coder-v2,deepseekcoderv2,1,1,DeepSeek-Coder-V2 | 2024-06-17 | DeepSeek | language,DeepSeek-Coder-V2 | 2024-06-17 | DeepSeek | language,"DeepSeekAI publishes the DeepSeekCoderV2 open source language model which presents similar coding capabilities to models such as GPT-4, Claude 3 Opus and more."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-06-004-E01,AIT-2024-06-004,Runway,2024-06,2024,June,,,,,,runway,0,0,,,"Runway introduces Gen3 Alpha , a new AI model for video generation."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-06-004-E02,AIT-2024-06-004,Gen3 Alpha,2024-06,2024,June,,,,,,gen3alpha,0,0,,,"Runway introduces Gen3 Alpha , a new AI model for video generation."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-06-005-E01,AIT-2024-06-005,Claude Sonnet 3.5,2024-06,2024,June,,,,,,claudesonnet35,0,0,,,"Anthropic releases the Claude Sonnet 3.5 model, which presents better capabilities than other models with low resource usage."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-06-006-E01,AIT-2024-06-006,Florence 2,2024-06,2024,June,,,,,,florence2,0,0,,,Microsoft releases in open source a series of image recognition models called Florence 2 .
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-06-007-E01,AIT-2024-06-007,Gemma 2,2024-06,2024,June,,,,,,gemma2,0,0,,,"Google announces Gemma 2 open source language models with 9B and 27B parameter sizes. Also, the company opens the context window capabilities to developers for up to 2 million tokens."
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2024-07-001-E01,AIT-2024-07-001,GPT-4o mini,2024-07,2024,July,GPT-4o mini,OpenAI,language,2024-07-18,https://artificialanalysis.ai/models/gpt-4o-mini,gpt4omini,1,1,GPT-4o mini | 2024-07-18 | OpenAI | language,GPT-4o mini | 2024-07-18 | OpenAI | language,OpenAI has released a miniaturized model called GPT-4o mini that presents high capabilities at a low cost
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-07-002-E01,AIT-2024-07-002,llama 3.1 model,2024-07,2024,July,,,,,,llama31,0,0,,,"Meta releases as open source the llama 3.1 model in sizes 8B, 70B and 405B. The large model features the same capabilities as the best closed source models"
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-07-003-E01,AIT-2024-07-003,Codestral Mamba,2024-07,2024,July,,,,,,codestralmamba,0,0,,,"mistral ai releases three new models: Codestral Mamba , Mistral NeMo and Mathstral designed for mathematics"
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-07-003-E02,AIT-2024-07-003,Mistral NeMo,2024-07,2024,July,,,,,,mistralnemo,0,0,,,"mistral ai releases three new models: Codestral Mamba , Mistral NeMo and Mathstral designed for mathematics"
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-07-003-E03,AIT-2024-07-003,Mathstral,2024-07,2024,July,,,,,,mathstral,0,0,,,"mistral ai releases three new models: Codestral Mamba , Mistral NeMo and Mathstral designed for mathematics"
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-07-004-E01,AIT-2024-07-004,AlphaProof,2024-07,2024,July,,,,,,alphaproof,0,0,,,"Google DeepMind has unveiled two new AI systems that won silver medals at this year's International Mathematical Olympiad (IMO), AlphaProof and AlphaGeometry 2 ."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-07-004-E02,AIT-2024-07-004,AlphaGeometry 2,2024-07,2024,July,,,,,,alphageometry2,0,0,,,"Google DeepMind has unveiled two new AI systems that won silver medals at this year's International Mathematical Olympiad (IMO), AlphaProof and AlphaGeometry 2 ."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-07-006-E01,AIT-2024-07-006,Udio v1.5,2024-07,2024,July,,,,,,udiov15,0,0,,,"Startup Udio has released Udio v1.5 , an updated version of its music creation model"
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2024-07-007-E01,AIT-2024-07-007,Mistral Large 2,2024-07,2024,July,Mistral Large 2 (Jul '24),Mistral,language,2024-07-24,https://artificialanalysis.ai/models/mistral-large-2407,mistrallarge2,2,1,Mistral Large 2 (Jul '24) | 2024-07-24 | Mistral | language,Mistral Large 2 (Nov '24) | 2024-11-18 | Mistral | language; Mistral Large 2 (Jul '24) | 2024-07-24 | Mistral | language,"Mistral AI has released a large language model Mistral Large 2 in size 123B, which presents capabilities close to the closed SOTA models."
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2024-07-008-E01,AIT-2024-07-008,Midjourney v6.1,2024-07,2024,July,Midjourney v6.1,Midjourney,text-to-image,2024-07,https://artificialanalysis.ai/models/midjourney-v6-1,midjourneyv61,1,1,Midjourney v6.1 | 2024-07 | Midjourney | text-to-image,Midjourney v6.1 | 2024-07 | Midjourney | text-to-image,Midjourney v6.1 is released
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-07-009-E01,AIT-2024-07-009,Gemma 2 2B,2024-07,2024,July,,,,,,gemma22b,0,0,,,Google releases the Gemma 2 2B model as open source. The model demonstrates better capabilities than much larger models.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-08-001-E01,AIT-2024-08-001,Flux,2024-08,2024,August,,,,,,flux,0,0,,,"""Black Forest Labs"" releases weights for an image creation model named Flux , which shows better performance than similar closedsource models."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-08-002-E01,AIT-2024-08-002,GPT-4o 0806,2024-08,2024,August,,,,,,gpt4o0806,0,0,,,"OpenAI released a new version of its model, GPT-4o 0806 , achieving 100% success in generating valid JSON output."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-08-003-E01,AIT-2024-08-003,Imagen 3,2024-08,2024,August,,,,,,imagen3,0,0,,,"Google's image generation model, Imagen 3 , has been released."
name_exact_keep,time_mismatch_or_missing,drop_name_exact_time_mismatch,normalized_name_exact_but_release_month_not_same_or_missing,AIT-2024-08-004-E01,AIT-2024-08-004,Grok 2,2024-08,2024,August,Grok 2,xAI,text-to-image,2024-12,https://artificialanalysis.ai/models/grok-2,grok2,2,0,,Grok 2 (Dec '24) | 2024-12-12 | xAI | language; Grok 2 | 2024-12 | xAI | text-to-image,"xAI Corporation has launched the models Grok 2 and Grok 2 mini , which demonstrate performance on par with leading SOTA models in the market."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-08-004-E02,AIT-2024-08-004,Grok 2 mini,2024-08,2024,August,,,,,,grok2mini,0,0,,,"xAI Corporation has launched the models Grok 2 and Grok 2 mini , which demonstrate performance on par with leading SOTA models in the market."
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2024-08-005-E01,AIT-2024-08-005,Phi 3.5,2024-08,2024,August,,,,,,phi35,0,0,,,"Microsoft has introduced its small language models, Phi 3.5 , in three versions, each showcasing impressive performance relative to their size."
name_exact_keep,time_mismatch_or_missing,drop_name_exact_time_mismatch,normalized_name_exact_but_release_month_not_same_or_missing,AIT-2024-08-006-E01,AIT-2024-08-006,Gemini 1.5 Flash8B,2024-08,2024,August,Gemini 1.5 Flash-8B,Google,language,2024-10-03,https://artificialanalysis.ai/models/gemini-1-5-flash-8b,gemini15flash8b,1,0,,Gemini 1.5 Flash-8B | 2024-10-03 | Google | language,"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated."
