entity_id,event_id,year,month,month_num,event_order,entity_order,entity_name,entity_type,entity_classification_reason,inferred_creator,inferred_modality,event_text,is_special,source
AIT-2023-03-002-E01,AIT-2023-03-002,2023,March,3,15,1,GPT-4,model,model-family or model-context clue,,language,"OpenAI's GPT-4 model is partially released, featuring multimodal image analysis and improved multi-language support.",True,AI Timeline _data/timeline.yml
AIT-2023-04-001-E01,AIT-2023-04-001,2023,April,4,17,1,Firefly,model,model-family or model-context clue,Adobe,text-to-image,Adobe releases the Firefly image creation model as a beta version to a waiting list. The model allowed a variety of capabilities including text formatting.,False,AI Timeline _data/timeline.yml
AIT-2023-05-001-E01,AIT-2023-05-001,2023,May,5,18,1,Midjourney v5.1,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v5.1 is released.,False,AI Timeline _data/timeline.yml
AIT-2023-05-002-E01,AIT-2023-05-002,2023,May,5,19,1,PaLM 2,model,model-family or model-context clue,Google,language,"Google announces an upgrade to Bard, moving it to the upgraded PaLM 2 language model. It will support 180 countries and many languages.",False,AI Timeline _data/timeline.yml
AIT-2023-06-001-E01,AIT-2023-06-001,2023,June,6,20,1,Midjourney v5.2,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v5.2 is launched.,False,AI Timeline _data/timeline.yml
AIT-2023-07-001-E01,AIT-2023-07-001,2023,July,7,21,1,Stable Diffusion XL 1.0,model,model-family or model-context clue,,text-to-image,Stable Diffusion XL 1.0 is released.,False,AI Timeline _data/timeline.yml
AIT-2023-07-002-E01,AIT-2023-07-002,2023,July,7,22,1,Claude 2,model,model-family or model-context clue,Anthropic,language,Anthropic announces a new version of their large language model - Claude 2 .,False,AI Timeline _data/timeline.yml
AIT-2023-07-003-E01,AIT-2023-07-003,2023,July,7,23,1,LLaMA 2,model,model-family or model-context clue,Meta,language,Meta releases the LLaMA 2 open source language model to the general public in a variety of sizes.,False,AI Timeline _data/timeline.yml
AIT-2023-10-001-E01,AIT-2023-10-001,2023,October,10,24,1,DALL-E 3,model,model-family or model-context clue,,text-to-image,DALL-E 3 is released.,False,AI Timeline _data/timeline.yml
AIT-2023-10-002-E01,AIT-2023-10-002,2023,October,10,25,1,Firefly 2,model,model-family or model-context clue,Adobe,text-to-image,Adobe releases Firefly 2 .,False,AI Timeline _data/timeline.yml
AIT-2023-11-001-E01,AIT-2023-11-001,2023,November,11,26,1,Stable Diffusion XL Turbo,model,model-family or model-context clue,,text-to-image,Stable Diffusion XL Turbo is released - A fast model that allows the creation of an image in one step in real-time.,False,AI Timeline _data/timeline.yml
AIT-2023-12-001-E01,AIT-2023-12-001,2023,December,12,27,1,Midjourney v6,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v6 is launched.,False,AI Timeline _data/timeline.yml
AIT-2023-12-002-E01,AIT-2023-12-002,2023,December,12,28,1,Gemini Pro,model,model-family or model-context clue,Google,language,"Google upgrades Bard in limited areas, moving it to be based on the upgraded Gemini Pro language model.",False,AI Timeline _data/timeline.yml
AIT-2024-02-001-E01,AIT-2024-02-001,2024,February,2,30,1,Stable Diffusion 3,model,model-family or model-context clue,Stability AI,text-to-image,Stability AI announces Stable Diffusion 3 (gradually released to waiting list).,False,AI Timeline _data/timeline.yml
AIT-2024-02-002-E01,AIT-2024-02-002,2024,February,2,31,1,Gemini Pro,model,model-family or model-context clue,Google,language,"Google upgrades the artificial intelligence chat in Bard, basing it on the new Gemini Pro model, in all available languages. Google replaces ""Bard"" with ""Gemini"".",False,AI Timeline _data/timeline.yml
AIT-2024-02-003-E01,AIT-2024-02-003,2024,February,2,32,1,Gemini Pro 1.5,model,model-family or model-context clue,Google,text-to-video,"Google announces the Gemini Pro 1.5 multimodal language model capable of parsing up to a million tokens, as well as parsing video and images. The model is gradually released to developers on a waiting list.",True,AI Timeline _data/timeline.yml
AIT-2024-02-004-E01,AIT-2024-02-004,2024,February,2,33,1,Sora,model,model-family or model-context clue,OpenAI,text-to-video,OpenAI announces the Sora model that produces videos up to a minute long. The model is not released to the public at this time.,True,AI Timeline _data/timeline.yml
AIT-2024-03-001-E01,AIT-2024-03-001,2024,March,3,34,1,Grok 1.5,model,model-family or model-context clue,xAI,language,X Corporation announces the upcoming release of the Grok 1.5 open source model.,False,AI Timeline _data/timeline.yml
AIT-2024-03-002-E01,AIT-2024-03-002,2024,March,3,35,1,Claude 3,model,model-family or model-context clue,Anthropic,language,"Anthropic announces Claude 3 , a new version of their large language model. The version is deployed in 3 different sizes, with the largest model performing better than GPT-4.",False,AI Timeline _data/timeline.yml
AIT-2024-03-003-E01,AIT-2024-03-003,2024,March,3,36,1,Suno v3,model,model-family or model-context clue,Suno,music,"Suno AI, which develops a model for creating music, releases Suno v3 to the general public.",False,AI Timeline _data/timeline.yml
AIT-2024-04-001-E01,AIT-2024-04-001,2024,April,4,37,1,Stable Audio 2.0,model,model-family or model-context clue,Stability AI,music,Stability AI releases a new update to the music creation model - Stable Audio 2.0 .,False,AI Timeline _data/timeline.yml
AIT-2024-04-002-E01,AIT-2024-04-002,2024,April,4,38,1,Grok-1.5V,model,model-family or model-context clue,xAI,language,"X Corporation releases an upgrade to its language model, Grok-1.5V , which integrates high-level image recognition. In the test presented by the company, the model is the best in identifying and analyzing images compared to other models.",False,AI Timeline _data/timeline.yml
AIT-2024-04-003-E01,AIT-2024-04-003,2024,April,4,39,1,Mixtral 8x22B,model,model-family or model-context clue,Mistral,language,The Mistral company releases its new model Mixtral 8x22B as open source. This is the most powerful model among the open source models and it contains 141 billion parameters but uses a method that allows more economical use.,False,AI Timeline _data/timeline.yml
AIT-2024-04-004-E01,AIT-2024-04-004,2024,April,4,40,1,LLaMA 3,model,model-family or model-context clue,Meta,language,Meta releases the LLaMA 3 model as open source in sizes 8B and 70B parameters. The large model shows better performance than Claude 3 Sonnet and Gemini Pro 1.5 in several measures. Meta is expected to later release larger models with 400 billion parameters and more.,False,AI Timeline _data/timeline.yml
AIT-2024-04-005-E01,AIT-2024-04-005,2024,April,4,41,1,Phi-3-mini,model,model-family or model-context clue,Microsoft,language,"Microsoft releases the Phi-3-mini model in open source. The model comes in a reduced version of 3.8B parameters, which allows it to run on mobile devices as well, and it presents capabilities similar to GPT-3.5.",True,AI Timeline _data/timeline.yml
AIT-2024-04-006-E01,AIT-2024-04-006,2024,April,4,42,1,Firefly 3,model,model-family or model-context clue,Adobe,text-to-image,Adobe announces its new image creation model Firefly 3 .,False,AI Timeline _data/timeline.yml
AIT-2024-04-008-E01,AIT-2024-04-008,2024,April,4,44,1,OpenELM,model,model-family or model-context clue,Apple,language,Apple releases as full open source a series of small language models under the name OpenELM . The models are available in four weights between 270 million and 3 billion parameters.,False,AI Timeline _data/timeline.yml
AIT-2024-05-001-E01,AIT-2024-05-001,2024,May,5,45,1,GPT-4o model,model,model-family or model-context clue,OpenAI,music,"OpenAI announces the GPT-4o model that presents full multimodal capabilities, including receiving and creating text, images, and audio. The model presents an impressive ability to speak with a high response speed and in natural language. The model is 2 times more efficient than the GPT-4 Turbo model, and has better capabilities for languages other than English.",True,AI Timeline _data/timeline.yml
AIT-2024-05-002-E01,AIT-2024-05-002,2024,May,5,46,1,Gemini Flash 1.5 model,model,model-family or model-context clue,Google,text-to-image,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",False,AI Timeline _data/timeline.yml
AIT-2024-05-002-E02,AIT-2024-05-002,2024,May,5,46,2,Imagen 3,model,model-family or model-context clue,Google,text-to-image,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",False,AI Timeline _data/timeline.yml
AIT-2024-05-002-E03,AIT-2024-05-002,2024,May,5,46,3,Music AI,model,model-family or model-context clue,Google,text-to-image,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",False,AI Timeline _data/timeline.yml
AIT-2024-05-002-E04,AIT-2024-05-002,2024,May,5,46,4,Veo,model,model-family or model-context clue,Google,text-to-image,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",False,AI Timeline _data/timeline.yml
AIT-2024-05-002-E05,AIT-2024-05-002,2024,May,5,46,5,Astra model,model,model-family or model-context clue,Google,text-to-image,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",False,AI Timeline _data/timeline.yml
AIT-2024-05-003-E02,AIT-2024-05-003,2024,May,5,47,2,Phi-3 Small,model,model-family or model-context clue,Microsoft,language,"Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability.",False,AI Timeline _data/timeline.yml
AIT-2024-05-003-E03,AIT-2024-05-003,2024,May,5,47,3,Phi-3 Medium,model,model-family or model-context clue,Microsoft,language,"Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability.",False,AI Timeline _data/timeline.yml
AIT-2024-05-003-E04,AIT-2024-05-003,2024,May,5,47,4,Phi-3 Vision,model,model-family or model-context clue,Microsoft,language,"Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability.",False,AI Timeline _data/timeline.yml
AIT-2024-05-004-E01,AIT-2024-05-004,2024,May,5,48,1,Chameleon,model,model-family or model-context clue,Meta,language,"Meta introduces Chameleon , a new multimodal model that seamlessly renders text and images.",False,AI Timeline _data/timeline.yml
AIT-2024-05-005-E01,AIT-2024-05-005,2024,May,5,49,1,Mistral-7B-Instruct-v0.3,model,model-family or model-context clue,Mistral,language,Mistral AI releases a new open source version of its language model Mistral-7B-Instruct-v0.3 .,False,AI Timeline _data/timeline.yml
AIT-2024-05-007-E01,AIT-2024-05-007,2024,May,5,51,1,Suno v3.5,model,model-family or model-context clue,Suno,music,Suno AI releases an updated music creation model Suno v3.5 .,False,AI Timeline _data/timeline.yml
AIT-2024-05-008-E01,AIT-2024-05-008,2024,May,5,52,1,Codestral,model,model-family or model-context clue,Mistral,language,Mistral AI releases a new language model designed for coding Codestral in size 22B.,False,AI Timeline _data/timeline.yml
AIT-2024-06-001-E01,AIT-2024-06-001,2024,June,6,53,1,Stable Diffusion 3,model,model-family or model-context clue,Stability AI,text-to-image,Stability AI releases its updated image creation model Stable Diffusion 3 in a medium version in size 2B parameters.,False,AI Timeline _data/timeline.yml
AIT-2024-06-003-E01,AIT-2024-06-003,2024,June,6,55,1,DeepSeekCoderV2,model,model-family or model-context clue,DeepSeek,language,"DeepSeekAI publishes the DeepSeekCoderV2 open source language model which presents similar coding capabilities to models such as GPT-4, Claude 3 Opus and more.",False,AI Timeline _data/timeline.yml
AIT-2024-06-004-E01,AIT-2024-06-004,2024,June,6,56,1,Runway,model,model-family or model-context clue,Runway,text-to-video,"Runway introduces Gen3 Alpha , a new AI model for video generation.",False,AI Timeline _data/timeline.yml
AIT-2024-06-004-E02,AIT-2024-06-004,2024,June,6,56,2,Gen3 Alpha,model,model-family or model-context clue,Runway,text-to-video,"Runway introduces Gen3 Alpha , a new AI model for video generation.",False,AI Timeline _data/timeline.yml
AIT-2024-06-005-E01,AIT-2024-06-005,2024,June,6,57,1,Claude Sonnet 3.5,model,model-family or model-context clue,Anthropic,language,"Anthropic releases the Claude Sonnet 3.5 model, which presents better capabilities than other models with low resource usage.",True,AI Timeline _data/timeline.yml
AIT-2024-06-006-E01,AIT-2024-06-006,2024,June,6,58,1,Florence 2,model,model-family or model-context clue,Microsoft,language,Microsoft releases in open source a series of image recognition models called Florence 2 .,False,AI Timeline _data/timeline.yml
AIT-2024-06-007-E01,AIT-2024-06-007,2024,June,6,59,1,Gemma 2,model,model-family or model-context clue,Google,language,"Google announces Gemma 2 open source language models with 9B and 27B parameter sizes. Also, the company opens the context window capabilities to developers for up to 2 million tokens.",False,AI Timeline _data/timeline.yml
AIT-2024-07-001-E01,AIT-2024-07-001,2024,July,7,60,1,GPT-4o mini,model,model-family or model-context clue,OpenAI,language,OpenAI has released a miniaturized model called GPT-4o mini that presents high capabilities at a low cost,False,AI Timeline _data/timeline.yml
AIT-2024-07-002-E01,AIT-2024-07-002,2024,July,7,61,1,llama 3.1 model,model,model-family or model-context clue,Meta,language,"Meta releases as open source the llama 3.1 model in sizes 8B, 70B and 405B. The large model features the same capabilities as the best closed source models",True,AI Timeline _data/timeline.yml
AIT-2024-07-003-E01,AIT-2024-07-003,2024,July,7,62,1,Codestral Mamba,model,model-family or model-context clue,Mistral,language,"mistral ai releases three new models: Codestral Mamba , Mistral NeMo and Mathstral designed for mathematics",False,AI Timeline _data/timeline.yml
AIT-2024-07-003-E02,AIT-2024-07-003,2024,July,7,62,2,Mistral NeMo,model,model-family or model-context clue,Mistral,language,"mistral ai releases three new models: Codestral Mamba , Mistral NeMo and Mathstral designed for mathematics",False,AI Timeline _data/timeline.yml
AIT-2024-07-003-E03,AIT-2024-07-003,2024,July,7,62,3,Mathstral,model,model-family or model-context clue,Mistral,language,"mistral ai releases three new models: Codestral Mamba , Mistral NeMo and Mathstral designed for mathematics",False,AI Timeline _data/timeline.yml
AIT-2024-07-004-E01,AIT-2024-07-004,2024,July,7,63,1,AlphaProof,model,model-family or model-context clue,Google,language,"Google DeepMind has unveiled two new AI systems that won silver medals at this year's International Mathematical Olympiad (IMO), AlphaProof and AlphaGeometry 2 .",True,AI Timeline _data/timeline.yml
AIT-2024-07-004-E02,AIT-2024-07-004,2024,July,7,63,2,AlphaGeometry 2,model,model-family or model-context clue,Google,language,"Google DeepMind has unveiled two new AI systems that won silver medals at this year's International Mathematical Olympiad (IMO), AlphaProof and AlphaGeometry 2 .",True,AI Timeline _data/timeline.yml
AIT-2024-07-006-E01,AIT-2024-07-006,2024,July,7,65,1,Udio v1.5,model,model-family or model-context clue,Udio,music,"Startup Udio has released Udio v1.5 , an updated version of its music creation model",False,AI Timeline _data/timeline.yml
AIT-2024-07-007-E01,AIT-2024-07-007,2024,July,7,66,1,Mistral Large 2,model,model-family or model-context clue,Mistral,language,"Mistral AI has released a large language model Mistral Large 2 in size 123B, which presents capabilities close to the closed SOTA models.",True,AI Timeline _data/timeline.yml
AIT-2024-07-008-E01,AIT-2024-07-008,2024,July,7,67,1,Midjourney v6.1,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v6.1 is released,False,AI Timeline _data/timeline.yml
AIT-2024-07-009-E01,AIT-2024-07-009,2024,July,7,68,1,Gemma 2 2B,model,model-family or model-context clue,Google,language,Google releases the Gemma 2 2B model as open source. The model demonstrates better capabilities than much larger models.,False,AI Timeline _data/timeline.yml
AIT-2024-08-001-E01,AIT-2024-08-001,2024,August,8,69,1,Flux,model,model-family or model-context clue,Black Forest Labs,text-to-image,"""Black Forest Labs"" releases weights for an image creation model named Flux , which shows better performance than similar closedsource models.",False,AI Timeline _data/timeline.yml
AIT-2024-08-002-E01,AIT-2024-08-002,2024,August,8,70,1,GPT-4o 0806,model,model-family or model-context clue,OpenAI,language,"OpenAI released a new version of its model, GPT-4o 0806 , achieving 100% success in generating valid JSON output.",False,AI Timeline _data/timeline.yml
AIT-2024-08-003-E01,AIT-2024-08-003,2024,August,8,71,1,Imagen 3,model,model-family or model-context clue,,text-to-image,"Google's image generation model, Imagen 3 , has been released.",False,AI Timeline _data/timeline.yml
AIT-2024-08-004-E01,AIT-2024-08-004,2024,August,8,72,1,Grok 2,model,model-family or model-context clue,xAI,language,"xAI Corporation has launched the models Grok 2 and Grok 2 mini , which demonstrate performance on par with leading SOTA models in the market.",False,AI Timeline _data/timeline.yml
AIT-2024-08-004-E02,AIT-2024-08-004,2024,August,8,72,2,Grok 2 mini,model,model-family or model-context clue,xAI,language,"xAI Corporation has launched the models Grok 2 and Grok 2 mini , which demonstrate performance on par with leading SOTA models in the market.",False,AI Timeline _data/timeline.yml
AIT-2024-08-005-E01,AIT-2024-08-005,2024,August,8,73,1,Phi 3.5,model,model-family or model-context clue,Microsoft,language,"Microsoft has introduced its small language models, Phi 3.5 , in three versions, each showcasing impressive performance relative to their size.",False,AI Timeline _data/timeline.yml
AIT-2024-08-006-E01,AIT-2024-08-006,2024,August,8,74,1,Gemini 1.5 Flash8B,model,model-family or model-context clue,Google,language,"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",False,AI Timeline _data/timeline.yml
AIT-2024-08-006-E02,AIT-2024-08-006,2024,August,8,74,2,Gemini 1.5 Pro,model,model-family or model-context clue,Google,language,"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",False,AI Timeline _data/timeline.yml
AIT-2024-08-006-E03,AIT-2024-08-006,2024,August,8,74,3,Gemini 1.5 Flash,model,model-family or model-context clue,Google,language,"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",False,AI Timeline _data/timeline.yml
AIT-2024-08-007-E01,AIT-2024-08-007,2024,August,8,75,1,Ideogram 2.0,model,model-family or model-context clue,,text-to-image,"Ideogram 2.0 has been released, offering image generation capabilities that surpass those of other leading models.",False,AI Timeline _data/timeline.yml
AIT-2024-08-008-E01,AIT-2024-08-008,2024,August,8,76,1,Dream Machine 1.5,model,model-family or model-context clue,Luma,text-to-video,Luma has unveiled the Dream Machine 1.5 model for video creation.,False,AI Timeline _data/timeline.yml
AIT-2024-09-001-E01,AIT-2024-09-001,2024,September,9,77,1,Pixtral12B,model,model-family or model-context clue,Mistral,language,"The French AI company Mistral has introduced Pixtral12B , its first multimodal model capable of processing both images and text.",False,AI Timeline _data/timeline.yml
AIT-2024-09-002-E01,AIT-2024-09-002,2024,September,9,78,1,o1 preview,model,model-family or model-context clue,OpenAI,language,"OPENAI has released two nextgeneration AI models to its subscribers: o1 preview and o1 mini . These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more.",True,AI Timeline _data/timeline.yml
AIT-2024-09-002-E02,AIT-2024-09-002,2024,September,9,78,2,o1 mini,model,model-family or model-context clue,OpenAI,language,"OPENAI has released two nextgeneration AI models to its subscribers: o1 preview and o1 mini . These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more.",True,AI Timeline _data/timeline.yml
AIT-2024-09-003-E01,AIT-2024-09-003,2024,September,9,79,1,Qwen 2.5,model,model-family or model-context clue,Alibaba,language,"Chinese company Alibaba releases the Qwen 2.5 model in various sizes, ranging from 0.5B to 72B. The models demonstrate capabilities comparable to much larger models.",False,AI Timeline _data/timeline.yml
AIT-2024-09-004-E01,AIT-2024-09-004,2024,September,9,80,1,KLING 1.5,model,model-family or model-context clue,Kling,text-to-video,The video generation model KLING 1.5 has been released.,False,AI Timeline _data/timeline.yml
AIT-2024-09-006-E02,AIT-2024-09-006,2024,September,9,82,2,Llama 3.2,model,model-family or model-context clue,Meta,language,"Meta releases Llama 3.2 in sizes 1B, 3B, 11B and 90B, featuring image recognition capabilities for the first time.",False,AI Timeline _data/timeline.yml
AIT-2024-09-007-E02,AIT-2024-09-007,2024,September,9,83,2,Gemini Pro 1.5 002,model,model-family or model-context clue,Google,language,"Google has rolled out new model updates ready for deployment, Gemini Pro 1.5 002 and Gemini Flash 1.5 002 , showcasing significantly improved longcontext processing.",False,AI Timeline _data/timeline.yml
AIT-2024-09-007-E03,AIT-2024-09-007,2024,September,9,83,3,Gemini Flash 1.5 002,model,model-family or model-context clue,Google,language,"Google has rolled out new model updates ready for deployment, Gemini Pro 1.5 002 and Gemini Flash 1.5 002 , showcasing significantly improved longcontext processing.",False,AI Timeline _data/timeline.yml
AIT-2024-09-008-E02,AIT-2024-09-008,2024,September,9,84,2,Moshi,model,model-family or model-context clue,Kyutai,text-to-speech,"Kyutai releases two opensource versions of its voicetovoice model, Moshi .",False,AI Timeline _data/timeline.yml
AIT-2024-09-010-E01,AIT-2024-09-010,2024,September,9,86,1,Mistral Small,model,model-family or model-context clue,Mistral,language,Mistral AI launches a 22B model named Mistral Small .,False,AI Timeline _data/timeline.yml
AIT-2024-10-001-E01,AIT-2024-10-001,2024,October,10,87,1,Flux 1.1 Pro,model,model-family or model-context clue,,text-to-image,"Flux 1.1 Pro is released, showcasing advanced capabilities for image creation.",False,AI Timeline _data/timeline.yml
AIT-2024-10-002-E01,AIT-2024-10-002,2024,October,10,88,1,Movie Gen,model,model-family or model-context clue,Meta,text-to-video,"Meta unveils Movie Gen , a new AI model that generates videos, images, and audio from text input.",False,AI Timeline _data/timeline.yml
AIT-2024-10-003-E01,AIT-2024-10-003,2024,October,10,89,1,Video Model 1.5,model,model-family or model-context clue,Pika,text-to-video,"Pika introduces Video Model 1.5 along with ""Pika Effects.""",False,AI Timeline _data/timeline.yml
AIT-2024-10-004-E01,AIT-2024-10-004,2024,October,10,90,1,Firefly Video,model,model-family or model-context clue,Adobe,text-to-image,"Adobe announces its video creation model, Firefly Video .",False,AI Timeline _data/timeline.yml
AIT-2024-10-005-E01,AIT-2024-10-005,2024,October,10,91,1,Aria,model,model-family or model-context clue,Rhymes AI,language,"Startup Rhymes AI releases Aria , an opensource, multimodal model exhibiting capabilities similar to comparably sized proprietary models.",False,AI Timeline _data/timeline.yml
AIT-2024-10-006-E01,AIT-2024-10-006,2024,October,10,92,1,Meta Spirit LM,model,model-family or model-context clue,Meta,text-to-speech,Meta releases an opensource speechtospeech language model named Meta Spirit LM .,False,AI Timeline _data/timeline.yml
AIT-2024-10-007-E01,AIT-2024-10-007,2024,October,10,93,1,Ministral,model,model-family or model-context clue,Mistral,language,"Mistral AI introduces Ministral , a new model available in 3B and 8B parameter sizes.",False,AI Timeline _data/timeline.yml
AIT-2024-10-008-E01,AIT-2024-10-008,2024,October,10,94,1,Janus AI,model,model-family or model-context clue,DeepSeek,language,"Janus AI , a multimodal language model capable of recognizing and generating both text and images, is released as open source by DeepSeekAI.",False,AI Timeline _data/timeline.yml
AIT-2024-10-009-E01,AIT-2024-10-009,2024,October,10,95,1,Fluid,model,model-family or model-context clue,Google,text-to-image,"Google DeepMind and MIT unveil Fluid , a texttoimage generation model with industryleading performance at a scale of 10.5B parameters.",False,AI Timeline _data/timeline.yml
AIT-2024-10-010-E01,AIT-2024-10-010,2024,October,10,96,1,Stable Diffusion 3.5,model,model-family or model-context clue,,text-to-image,Stable Diffusion 3.5 is released in three sizes as open source.,False,AI Timeline _data/timeline.yml
AIT-2024-10-011-E01,AIT-2024-10-011,2024,October,10,97,1,Claude 3.5 Sonnet New,model,model-family or model-context clue,Anthropic,language,"Anthropic launches Claude 3.5 Sonnet New , demonstrating significant advancements in specific areas over its previous version, and announces Claude 3.5 Haiku .",False,AI Timeline _data/timeline.yml
AIT-2024-10-011-E02,AIT-2024-10-011,2024,October,10,97,2,Claude 3.5 Haiku,model,model-family or model-context clue,Anthropic,language,"Anthropic launches Claude 3.5 Sonnet New , demonstrating significant advancements in specific areas over its previous version, and announces Claude 3.5 Haiku .",False,AI Timeline _data/timeline.yml
AIT-2024-10-013-E01,AIT-2024-10-013,2024,October,10,99,1,Recraft v3,model,model-family or model-context clue,,text-to-image,"The texttoimage model Recraft v3 has been released to the public, ranking first in benchmarks compared to similar models.",False,AI Timeline _data/timeline.yml
AIT-2024-11-001-E01,AIT-2024-11-001,2024,November,11,101,1,QwQ 32B Preview,model,model-family or model-context clue,Alibaba,language,"Alibaba released its new model, QwQ 32B Preview , which integrates reasoning capabilities before responding. The model competes with, and sometimes surpasses, OpenAI's o1-preview model.",False,AI Timeline _data/timeline.yml
