event_id,aa_metric_type,aa_matched_record_count,aa_matched_names,representative_aa_record_key,representative_aa_name,representative_aa_creator,representative_aa_modality,representative_aa_release_date,representative_selection_rule,aa_intelligence_index,aa_coding_index,aa_math_index,mmlu_pro,gpqa,livecodebench,aime,elo,rank,ci95,appearances,price_1m_input_tokens,price_1m_output_tokens,price_1m_blended_3_to_1,median_output_tokens_per_second,median_time_to_first_token_seconds,median_time_to_first_answer_token
AIT-2024-06-003,llm,1,DeepSeek-Coder-V2,language:8f0a75d6-8d00-4c2e-bcd4-8e88a570a93c,DeepSeek-Coder-V2,DeepSeek,language,2024-06-17,max aa_intelligence_index (llm flagship),5.1,,,,,,,,,,,0,0,0,0,0,0
AIT-2024-06-004,media,1,Runway Gen 3 Alpha,text-to-video:43b09fe3-a4a8-4bda-9244-da05949c9d65,Runway Gen 3 Alpha,Runway,text-to-video,2024-06,max media elo (media flagship),,,,,,,,992,74,-8/8,19470,,,,,,
AIT-2024-06-005,llm,1,Claude 3.5 Sonnet (June '24),language:aca9c1ad-fc86-49f3-a312-b1e517ea100c,Claude 3.5 Sonnet (June '24),Anthropic,language,2024-06-21,max aa_intelligence_index (llm flagship),8.3,26,,0.751,0.56,,0.0966666666666667,,,,,3,15,6,0,0,0
AIT-2024-07-001,llm,1,GPT-4o mini,language:b5c1c91a-7474-4409-9a9c-9c2ac45d9eb6,GPT-4o mini,OpenAI,language,2024-07-18,max aa_intelligence_index (llm flagship),6.9,,14.7,0.648,0.426,0.234,0.116666666666667,,,,,0.15,0.6,0.262,80.75,0.605,0.605
AIT-2024-07-002,llm,3,Llama 3.1 Instruct 405B; Llama 3.1 Instruct 70B; Llama 3.1 Instruct 8B,language:45c87531-2d57-48e0-8012-202cd636189e,Llama 3.1 Instruct 405B,Meta,language,2024-07-23,max aa_intelligence_index (llm flagship),8.5,,3,0.732,0.515,0.305,0.213333333333333,,,,,2.75,6.5,3.688,77.889,0.687,0.687
AIT-2024-07-006,media,1,Udio v1.5 Allegro,music-instrumental:bcfaf02a-d56e-45bc-b36b-b3fd072215a3,Udio v1.5 Allegro,Udio,music-instrumental,,max media elo (media flagship),,,,,,,,955,,10,,,,,,,
AIT-2024-07-007,llm,1,Mistral Large 2 (Jul '24),language:1b05e346-e86a-4a20-8feb-7da8c65a99aa,Mistral Large 2 (Jul '24),Mistral,language,2024-07-24,max aa_intelligence_index (llm flagship),7.3,,0,0.683,0.472,0.267,0.0933333333333333,,,,,2,6,3,0,0,0
AIT-2024-07-008,media,1,Midjourney v6.1,text-to-image:3838ac21-dbc9-4438-bbf3-3cf49f4e47c8,Midjourney v6.1,Midjourney,text-to-image,2024-07,max media elo (media flagship),,,,,,,,1054,99,-8/8,9661,,,,,,
AIT-2024-08-001,media,3,FLUX.1 [pro]; FLUX.1 [dev]; FLUX.1 [schnell],text-to-image:b416f02f-867d-4961-8f86-dc5c111a4f01,FLUX.1 [pro],Black Forest Labs,text-to-image,2024-08,max media elo (media flagship),,,,,,,,1072,85,-8/8,9766,,,,,,
AIT-2024-08-002,llm,1,GPT-4o (Aug '24),language:8c1be908-67b6-4cf4-ba08-83ddbe44fde3,GPT-4o (Aug '24),OpenAI,language,2024-08-06,max aa_intelligence_index (llm flagship),9.6,,,,0.521,0.317,0.116666666666667,,,,,2.5,10,4.375,105.192,0.595,0.595
AIT-2024-08-003,media,1,Imagen 3 (v002),text-to-image:fdca46eb-4014-45f5-b0aa-db73ee85deb1,Imagen 3 (v002),Google,text-to-image,2024-12,max media elo (media flagship),,,,,,,,1110,62,-8/8,5846,,,,,,
AIT-2024-08-004,llm,1,Grok 2 (Dec '24),language:291a510a-dcc0-40df-8a80-b3aa31900a6c,Grok 2 (Dec '24),xAI,language,2024-12-12,max aa_intelligence_index (llm flagship),8,,,0.709,0.51,0.267,0.133333333333333,,,,,0,0,0,0,0,0
AIT-2024-08-006,llm,1,Gemini 1.5 Flash-8B,language:94229066-9381-4ee1-bf70-a16d63756a6e,Gemini 1.5 Flash-8B,Google,language,2024-10-03,max aa_intelligence_index (llm flagship),5.5,,,0.569,0.359,0.217,0.0333333333333333,,,,,0,0,0,0,0,0
AIT-2024-09-002,llm,2,o1-preview; o1-mini,language:078f4dc8-5350-40a2-a5ea-e8359f795b70,o1-preview,OpenAI,language,2024-09-12,max aa_intelligence_index (llm flagship),17,34,,,,,,,,,,16.5,66,28.875,0,0,0
AIT-2024-09-003,llm,2,Qwen2.5 Instruct 72B; Qwen2.5 Instruct 32B,language:b4f7d7a4-869a-4ee7-b17a-4046cd1e79fd,Qwen2.5 Instruct 72B,Alibaba,language,2024-09-19,max aa_intelligence_index (llm flagship),9.6,,14,0.72,0.491,0.276,0.16,,,,,0.36,0.4,0.37,0,0,0
AIT-2024-09-006,llm,4,Llama 3.2 Instruct 90B (Vision); Llama 3.2 Instruct 11B (Vision); Llama 3.2 Instruct 3B; Llama 3.2 Instruct 1B,language:9ca71ac4-41c8-42c0-87dd-5704a9e5b94d,Llama 3.2 Instruct 90B (Vision),Meta,language,2024-09-25,max aa_intelligence_index (llm flagship),6.2,,,0.671,0.432,0.214,0.05,,,,,1.38,1.38,1.38,59.73,0.696,0.696
AIT-2024-09-007,llm,2,Gemini 1.5 Pro (Sep '24); Gemini 1.5 Flash (Sep '24),language:2ac96b67-f4f8-4c8c-ac08-c7510faa7bb9,Gemini 1.5 Pro (Sep '24),Google,language,2024-09-24,max aa_intelligence_index (llm flagship),10,23.6,,0.75,0.589,0.316,0.23,,,,,0,0,0,0,0,0
AIT-2024-09-008,none,1,Moshi,speech-to-speech:f0385007-f4b3-4d58-aa7c-f9532c972d2f,Moshi,Kyutai,speech-to-speech,,"first matched record, no comparable metric",,,,,,,,,,,,,,,,,
AIT-2024-09-010,llm,1,Mistral Small (Sep '24),language:7c045ca0-b331-488d-af31-df0fd331dfd1,Mistral Small (Sep '24),Mistral,language,2024-09-17,max aa_intelligence_index (llm flagship),4.7,,,0.529,0.381,0.141,0.0633333333333333,,,,,0.2,0.6,0.3,164.157,0.596,0.596
AIT-2024-10-001,media,1,FLUX1.1 [pro],text-to-image:f1182fcf-b690-413a-9a9b-38cec96e9e09,FLUX1.1 [pro],Black Forest Labs,text-to-image,2024-10,max media elo (media flagship),,,,,,,,1084,77,-8/8,7294,,,,,,
AIT-2024-10-010,media,3,Stable Diffusion 3.5 Large; Stable Diffusion 3.5 Large Turbo; Stable Diffusion 3.5 Medium,text-to-image:b0f2192b-678c-405d-94f8-4525064713eb,Stable Diffusion 3.5 Large,Stability.ai,text-to-image,2024-10,max media elo (media flagship),,,,,,,,1025,109,-8/8,7061,,,,,,
AIT-2024-10-011,llm,1,Claude 3.5 Sonnet (Oct '24),language:0a603978-03b9-4f47-a273-2f7fd969be85,Claude 3.5 Sonnet (Oct '24),Anthropic,language,2024-10-22,max aa_intelligence_index (llm flagship),9.9,30.2,,0.772,0.599,0.381,0.156666666666667,,,,,3,15,6,0,0,0
AIT-2024-10-013,media,1,Recraft V3,text-to-image:edd29d39-9fd6-4139-8307-cdcd46f597a2,Recraft V3,Recraft,text-to-image,2024-10,max media elo (media flagship),,,,,,,,1068,90,-8/8,7872,,,,,,
AIT-2024-11-001,llm,1,QwQ 32B-Preview,language:8823351e-8232-4c9c-8a1d-cd2c1d2c1196,QwQ 32B-Preview,Alibaba,language,2024-11-27,max aa_intelligence_index (llm flagship),9.2,,,0.648,0.557,0.337,0.453333333333333,,,,,0,0,0,0,0,0
AIT-2024-11-002,llm,1,Qwen2.5 Coder Instruct 32B,language:04586102-6a28-48f8-a82e-85775d7ed779,Qwen2.5 Coder Instruct 32B,Alibaba,language,2024-11-11,max aa_intelligence_index (llm flagship),7.1,,,0.635,0.417,0.295,0.12,,,,,0,0,0,0,0,0
AIT-2024-11-005,llm,1,Pixtral Large,language:de0beaf0-c951-487a-8eb4-3dd12e74122c,Pixtral Large,Mistral,language,2024-11-18,max aa_intelligence_index (llm flagship),8.1,,2.3,0.701,0.505,0.261,0.07,,,,,2,6,3,63.676,1.271,1.271
AIT-2024-11-007,llm,1,Claude 3.5 Haiku,language:033e4aa9-a556-4224-87b0-341ed1070257,Claude 3.5 Haiku,Anthropic,language,2024-10-22,max aa_intelligence_index (llm flagship),12.4,,,0.634,0.408,0.314,0.0333333333333333,,,,,0.8,4,1.6,0,0,0
AIT-2024-12-001,llm,3,Nova Pro; Nova Lite; Nova Micro,language:546ec53f-273c-4af7-b13f-b88c41f45905,Nova Pro,Amazon,language,2024-12-03,max aa_intelligence_index (llm flagship),7.7,,7,0.691,0.499,0.233,0.106666666666667,,,,,0.8,3.2,1.4,0,0,0
AIT-2024-12-002,llm,3,Sora; o1; o1-pro,language:5ad2f60f-ee05-49fd-85a0-cef69aa7cb7b,o1,OpenAI,language,2024-12-05,max aa_intelligence_index (llm flagship),23.4,39.7,,0.841,0.747,0.679,0.723333333333333,,,,,15,60,26.25,140.73,14.565,14.565
AIT-2024-12-004,llm,1,Gemini 2.0 Flash (experimental),language:fddb72bd-60d3-41af-acc5-3df9a290eb8e,Gemini 2.0 Flash (experimental),Google,language,2024-12-11,max aa_intelligence_index (llm flagship),10.7,,,0.782,0.636,0.21,0.3,,,,,0,0,0,0,0,0
AIT-2024-12-005,llm,1,Gemini 2.0 Flash Thinking Experimental (Dec '24),language:dfeeb904-e784-4d5c-ad66-9400146b150b,Gemini 2.0 Flash Thinking Experimental (Dec '24),Google,language,2024-12-19,max aa_intelligence_index (llm flagship),6.6,,,,,,,,,,,0,0,0,0,0,0
AIT-2024-12-006,media,1,Veo 2,text-to-video:2175641c-9303-4ac3-af3c-21cc7113adb0,Veo 2,Google,text-to-video,2024-12,max media elo (media flagship),,,,,,,,1127,50,-8/8,6084,,,,,,
AIT-2024-12-008,llm,1,Phi-4,language:ee708f92-374e-4123-b900-e22d7b2afc19,Phi-4,Microsoft,language,2024-12-12,max aa_intelligence_index (llm flagship),4.9,,18,0.714,0.575,0.231,0.143333333333333,,,,,0.125,0.5,0.219,36.724,0.506,0.506
AIT-2024-12-009,llm,1,Llama 3.3 Instruct 70B,language:976cc8ad-7904-4056-83c5-960181f47d5f,Llama 3.3 Instruct 70B,Meta,language,2024-12-06,max aa_intelligence_index (llm flagship),8.6,,7.7,0.713,0.498,0.288,0.3,,,,,0.58,0.71,0.612,94.092,0.655,0.655
AIT-2024-12-013,llm,1,DeepSeek V3 (Dec '24),language:43fc5506-c5ed-4dee-9b85-962bf7ae3986,DeepSeek V3 (Dec '24),DeepSeek,language,2024-12-26,max aa_intelligence_index (llm flagship),10.4,,26,0.752,0.557,0.359,0.253333333333333,,,,,0.4,0.89,0.523,0,0,0
AIT-2025-01-002,llm,1,Gemini 2.0 Flash Thinking Experimental (Jan '25),language:0399e614-5d46-484f-9183-e4f32d74e1c6,Gemini 2.0 Flash Thinking Experimental (Jan '25),Google,language,2025-01-21,max aa_intelligence_index (llm flagship),13.3,24.1,,0.798,0.701,0.321,0.5,,,,,0,0,0,0,0,0
AIT-2025-01-003,llm,1,DeepSeek R1 (Jan '25),language:0e34f05c-387e-4968-be15-ccec4a55d8c1,DeepSeek R1 (Jan '25),DeepSeek,language,2025-01-20,max aa_intelligence_index (llm flagship),12.6,,68,0.844,0.708,0.617,0.683333333333333,,,,,1.675,4.7,2.431,0,0,0
AIT-2025-01-005,media,1,Janus Pro,text-to-image:9d5d83b1-4b8e-4477-b587-5b35133d4b9e,Janus Pro,DeepSeek,text-to-image,2025-01,max media elo (media flagship),,,,,,,,714,147,-12/12,6663,,,,,,
AIT-2025-01-006,llm,1,Qwen2.5 Max,language:b9dc72c6-7bea-4936-a55a-4b0c835fc755,Qwen2.5 Max,Alibaba,language,2025-01-28,max aa_intelligence_index (llm flagship),10.2,,,0.762,0.587,0.359,0.233333333333333,,,,,1.6,6.4,2.8,0,0,0
AIT-2025-01-007,llm,1,o3-mini (high),language:076f2674-bc4b-4925-be59-50832eb8c090,o3-mini (high),OpenAI,language,2025-01-31,max aa_intelligence_index (llm flagship),18.4,42.1,,0.802,0.773,0.734,0.86,,,,,1.1,4.4,1.925,193.918,22.273,22.273
AIT-2025-02-001,llm,3,Grok 3; Grok 3 Reasoning Beta; Grok 3 mini Reasoning (high),language:ff9bc5e5-a02f-4270-983e-4b3f834f3363,Grok 3 mini Reasoning (high),xAI,language,2025-02-19,max aa_intelligence_index (llm flagship),22.5,,84.7,0.828,0.791,0.696,0.933333333333333,,,,,0.3,0.5,0.35,57.201,0.615,35.579
AIT-2025-02-002,llm,1,Claude 3.7 Sonnet (Reasoning),language:13358187-4584-479c-ab43-5bcdf8f297a4,Claude 3.7 Sonnet (Reasoning),Anthropic,language,2025-02-24,max aa_intelligence_index (llm flagship),27.1,36.4,56.3,0.837,0.772,0.473,0.486666666666667,,,,,0,0,0,0,0,0
AIT-2025-02-004,llm,3,Gemini 2.0 Flash (Feb '25); Gemini 2.0 Flash-Lite (Preview); Gemini 2.0 Pro Experimental (Feb '25),language:bcca0e70-7e80-4c07-b1fa-b33bcfb19e51,Gemini 2.0 Flash (Feb '25),Google,language,2025-02-05,max aa_intelligence_index (llm flagship),12.3,,21.7,0.779,0.623,0.334,0.33,,,,,0.15,0.6,0.262,0,0,0
AIT-2025-02-006,llm,2,Phi-4 Mini Instruct; Phi-4 Multimodal Instruct,language:2cd04201-2b6e-47ef-853e-7601f705f2a8,Phi-4 Multimodal Instruct,Microsoft,language,2025-02-26,max aa_intelligence_index (llm flagship),4.5,,,0.485,0.315,0.131,0.0933333333333333,,,,,0,0,0,16.068,1.363,1.363
AIT-2025-02-007,llm,1,GPT-4.5 (Preview),language:5ce30d25-5353-45bb-bef9-6b87480ba3a2,GPT-4.5 (Preview),OpenAI,language,2025-02-27,max aa_intelligence_index (llm flagship),13.6,,,,,,,,,,,0,0,0,0,0,0
AIT-2025-03-001,llm,1,Gemini 2.5 Pro,language:27202e5f-c82d-4710-92e9-4317877d4883,Gemini 2.5 Pro,Google,language,2025-06-05,max aa_intelligence_index (llm flagship),27,,87.7,0.862,0.844,0.801,0.886666666666667,,,,,1.25,10,3.438,141.544,17.806,17.806
AIT-2025-03-003,media,1,GPT Image 1 (high),image-editing:2f5ebb1e-6d5f-48b0-95bf-3b590fd45971,GPT Image 1 (high),OpenAI,image-editing,2025-04,max media elo (media flagship),,,,,,,,1139,45,-8/8,8058,,,,,,
AIT-2025-03-005,llm,1,QwQ 32B,language:ceb4d610-d0a4-48c1-bea0-80ed76f1e5ca,QwQ 32B,Alibaba,language,2025-03-05,max aa_intelligence_index (llm flagship),13.4,,29,0.764,0.593,0.631,0.78,,,,,0.66,1,0.745,32.08,0.465,78.115
AIT-2025-03-007,llm,1,DeepSeek V3 0324,language:75e1c197-f239-4361-a9d6-66dccfead236,DeepSeek V3 0324,DeepSeek,language,2025-03-25,max aa_intelligence_index (llm flagship),15.7,,41,0.819,0.655,0.405,0.52,,,,,1.195,1.25,1.209,0,0,0
AIT-2025-04-001,llm,2,Llama 4 Maverick; Llama 4 Scout,language:922c69c7-9037-43c6-8bcf-a1c555e7f3eb,Llama 4 Maverick,Meta,language,2025-04-05,max aa_intelligence_index (llm flagship),14.3,16.3,19.3,0.809,0.671,0.397,0.39,,,,,0.35,0.85,0.475,104.178,0.661,0.661
AIT-2025-04-002,llm,1,Gemini 2.5 Flash (Reasoning),language:219ed587-60c5-4a48-9517-8480e08d0ca1,Gemini 2.5 Flash (Reasoning),Google,language,2025-05-20,max aa_intelligence_index (llm flagship),20.1,,73.3,0.832,0.79,0.695,0.823333333333333,,,,,0.3,2.5,0.85,227.224,13.236,13.236
AIT-2025-04-004,llm,1,GPT-4.1,language:3b608b70-6434-4baa-99ad-45d499703c67,GPT-4.1,OpenAI,language,2025-04-14,max aa_intelligence_index (llm flagship),19.4,,34.7,0.806,0.666,0.457,0.436666666666667,,,,,2,8,3.5,112.581,0.618,0.618
AIT-2025-04-005,llm,2,o3; o4-mini (high),language:16c5b637-8bce-4252-81f2-1b87a36a4e4c,o3,OpenAI,language,2025-04-16,max aa_intelligence_index (llm flagship),30.4,,88.3,0.853,0.827,0.808,0.903333333333333,,,,,2,8,3.5,153.981,5.277,5.277
AIT-2025-04-006,media,1,Midjourney v7 Alpha,text-to-image:760fd02f-ee8b-42c0-86e6-2a9d48e612ad,Midjourney v7 Alpha,Midjourney,text-to-image,2025-04,max media elo (media flagship),,,,,,,,1072,86,-9/9,4031,,,,,,
AIT-2025-04-007,media,3,Runway Gen 4; Vidu Q1; Kling 2.0,text-to-video:53ce6c01-8a4d-4d22-94a8-d48ffe32ce32,Kling 2.0,KlingAI,text-to-video,2025-04,max media elo (media flagship),,,,,,,,1093,54,-8/8,4833,,,,,,
AIT-2025-04-008,llm,3,Qwen3 235B A22B (Reasoning); Qwen3 32B (Reasoning); Qwen3 30B A3B (Reasoning),language:bbe6d782-e630-48d5-b11c-3ce37f373f1e,Qwen3 235B A22B (Reasoning),Alibaba,language,2025-04-28,max aa_intelligence_index (llm flagship),13.4,,82,0.828,0.7,0.622,0.84,,,,,0.7,8.4,2.625,61.91,1.305,33.61
AIT-2025-05-002,media,1,Suno V4.5,music-instrumental:1d06bf78-0a16-4fdf-8029-663a694e3470,Suno V4.5,Suno,music-instrumental,,max media elo (media flagship),,,,,,,,1088,,10,,,,,,,
AIT-2025-05-003,llm,2,Claude 4 Opus (Reasoning); Claude 4 Sonnet (Reasoning),language:8a4a5ead-7789-4389-8400-30e9d20370b7,Claude 4 Opus (Reasoning),Anthropic,language,2025-05-22,max aa_intelligence_index (llm flagship),31,,73.3,0.873,0.796,0.636,0.756666666666667,,,,,15,75,30,0,0,0
AIT-2025-05-004,media,4,Veo 3; Imagen 4 Ultra; Imagen 4 Standard; Imagen 4 Fast,text-to-video:7623b756-8b01-4e60-aed4-3322c1933e36,Veo 3,Google,text-to-video,2025-07,max media elo (media flagship),,,,,,,,1221,16,-8/8,4363,,,,,,
AIT-2025-05-009,llm,1,DeepSeek R1 0528 (May '25),language:a83f84b3-473a-4276-9ae1-8909da723159,DeepSeek R1 0528 (May '25),DeepSeek,language,2025-05-28,max aa_intelligence_index (llm flagship),20.1,,76,0.849,0.813,0.77,0.893333333333333,,,,,1.35,4.2,2.063,0,0,0
AIT-2025-05-012,llm,1,Gemma 3n E2B Instruct,language:a8c67863-9d66-44dd-8d27-f58654ecde03,Gemma 3n E2B Instruct,Google,language,2025-06-26,max aa_intelligence_index (llm flagship),1,,10.3,0.378,0.229,0.095,0.09,,,,,0,0,0,0,0,0
AIT-2025-06-002,media,1,Eleven v3,text-to-speech:49285d46-f230-416c-aa92-6322c9f60629,Eleven v3,ElevenLabs,text-to-speech,,max media elo (media flagship),,,,,,,,1179,10,-12/12,,,,,,,
AIT-2025-06-003,llm,1,o3-pro,language:ca04852c-eaae-4881-a208-f9b2ca3b7cd6,o3-pro,OpenAI,language,2025-06-10,max aa_intelligence_index (llm flagship),32.5,,,,0.845,,,,,,,20,80,35,26.423,67.754,67.754
AIT-2025-07-001,llm,1,Grok 4,language:5ea94a4a-55ac-4ea1-8898-2b3971e94af6,Grok 4,xAI,language,2025-07-10,max aa_intelligence_index (llm flagship),33.3,,92.7,0.866,0.877,0.819,0.943333333333333,,,,,5.5,27.5,11,0,0,0
AIT-2025-07-005,llm,2,Qwen3 235B A22B 2507 Instruct; Qwen3 Coder 480B A35B Instruct,language:3373245b-e6dc-4b66-a7b0-3f06f9b7bd46,Qwen3 235B A22B 2507 Instruct,Alibaba,language,2025-07-21,max aa_intelligence_index (llm flagship),18.2,,71.7,0.828,0.753,0.524,0.716666666666667,,,,,0.2,0.825,0.356,71.295,1.086,1.086
AIT-2025-07-006,llm,1,Kimi K2,language:441734a9-8901-4850-9bae-b474c370291f,Kimi K2,Kimi,language,2025-07-11,max aa_intelligence_index (llm flagship),19.4,,57,0.824,0.766,0.556,0.693333333333333,,,,,0.585,2.4,1.039,26.35,1.587,1.587
AIT-2025-07-007,llm,1,GLM-4.5 (Reasoning),language:1cf439b8-0cfd-47b2-9de2-9a2157e6762b,GLM-4.5 (Reasoning),Z AI,language,2025-07-28,max aa_intelligence_index (llm flagship),19.5,,73.7,0.835,0.782,0.738,0.873333333333333,,,,,0.6,2.2,1,53.634,1.617,38.907
AIT-2025-08-002,llm,1,Claude 4.1 Opus (Reasoning),language:ccbfa8c3-a762-480b-aade-34fb9697f98c,Claude 4.1 Opus (Reasoning),Anthropic,language,2025-08-05,max aa_intelligence_index (llm flagship),33.7,,80.3,0.88,0.809,0.654,,,,,,15,75,30,46.943,9.825,9.825
AIT-2025-08-004,llm,2,gpt-oss-120b (high); gpt-oss-20B (high),language:f0083258-8646-45b8-8082-7aaf6c2ea82a,gpt-oss-120b (high),OpenAI,language,2025-08-05,max aa_intelligence_index (llm flagship),23.8,30.4,93.4,0.808,0.782,0.878,,,,,,0.15,0.6,0.262,311.553,0.547,6.967
AIT-2025-08-005,llm,1,GPT-5 (high),language:48e50f00-1fd1-4acc-b337-61078aa341e6,GPT-5 (high),OpenAI,language,2025-08-07,max aa_intelligence_index (llm flagship),36.1,,94.3,0.871,0.854,0.846,0.956666666666667,,,,,1.25,10,3.438,108.443,81.034,81.034
AIT-2025-08-006,llm,1,DeepSeek V3.1 (Reasoning),language:198b717f-42c8-4ab7-a699-ae9373d669d3,DeepSeek V3.1 (Reasoning),DeepSeek,language,2025-08-21,max aa_intelligence_index (llm flagship),20.7,,89.7,0.851,0.779,0.784,,,,,,0.59,1.69,0.865,0,0,0
