firm,firm_ticker,model_company,model,event_date,relationship,provisional_value,reason_for_review,key_sources,recommended_action
Oracle,ORCL,OpenAI,SORA,2024-12-09,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini-2.0-Flash-Thinking,2024-12-11,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,OpenAI,o1,2024-12-17,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,OpenAI,o1 Pro,2024-12-17,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,OpenAI,o3; o3 Mini,2024-12-20,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,DeepSeek,DeepSeek R1,2025-01-22,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Alibaba,Qwen2.5-Max,2025-01-28,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,OpenAI,o3 mini,2025-01-31,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini 2.0 Pro Experimental; Gemini 2.0 Flash,2025-02-05,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,xAI,Grok 3; Grok 3 Reasoning; Grok 3 mini,2025-02-17,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Anthropic,Claude 3.7,2025-02-18,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini 2.0 Flash-Lite Preview,2025-02-25,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Microsoft,Phi4 Multimodal; Phi4-mini,2025-02-26,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini 2.0 Flash Experimental,2025-03-12,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Runway,Runway Gen-4,2025-03-31,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Veo 2.0,2025-04-15,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Kuaishou,Kling 2.0,2025-04-15,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,OpenAI,o3 full,2025-04-16,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,OpenAI,o4 mini,2025-04-16,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,ShengShu Technology,Vidu Q1,2025-04-21,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini 2.5 Pro,2025-05-06,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemma 3n,2025-05-20,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Anthropic,Claude Sonnet 4,2025-05-21,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Veo 3; Imagen 4,2025-05-21,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Anthropic,Claude 4 Opus,2025-05-22,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini 2.5 Flash,2025-06-17,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini 2.5 Pro,2025-06-17,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Alibaba,Qwen3-235B-A22B-Instruct-2507,2025-07-21,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Alibaba,Qwen3-Coder,2025-07-22,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Zhipu AI,GLM-4.5,2025-07-28,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,OpenAI,gpt-oss-20b; gpt-oss-120b,2025-08-05,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini 2.5 Flash Image,2025-08-26,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Alibaba,Qwen-3-Max,2025-09-05,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Anthropic,Claude Sonnet 4.5,2025-09-25,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Anthropic,Claude 4.5 Haiku,2025-10-14,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Mistral AI,Mistral 3,2025-12-02,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Mistral AI,Devstral 2,2025-12-09,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Alibaba,Z-Image-Turbo,2025-12-18,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,OpenAI,GPT-5.2,2025-12-18,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Alibaba,Qwen-Image-2512,2025-12-31,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Anthropic,Claude Opus 4.6,2026-02-05,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,OpenAI,GPT-5.3-Codex,2026-02-12,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Anthropic,Claude Sonnet 4.6,2026-02-16,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Nano Banana 2,2026-02-26,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,OpenAI,GPT-5.4 mini; GPT-5.4; GPT-5.4 nano,2026-03-17,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Anthropic,Claude 3,2024-03-04,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
SK Hynix,000660 KS,Meta,LLaMA 3,2024-04-18,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (SK Hynix HBM → Nvidia GPU → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for three-step indirect chain.,SK Hynix HBM3E press release; Reuters HBM supply article,"Accept human decision. If re-auditing, consider whether HBM memory as component-of-a-component qualifies under upstream definition."
TSMC,TSM,Meta,LLaMA 3,2024-04-18,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (TSMC → Nvidia → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for lack of direct documented link.,AnandTech GH200 article; Nvidia H100 product page,"Accept human decision. If re-auditing, consider whether indirect semiconductor manufacturing qualifies under upstream definition."
TSMC,TSM,Google,Imagen 3,2024-05-14,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (TSMC → Nvidia → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for lack of direct documented link.,AnandTech GH200 article; Nvidia H100 product page,"Accept human decision. If re-auditing, consider whether indirect semiconductor manufacturing qualifies under upstream definition."
TSMC,TSM,Google,Gemini Flash 1.5,2024-05-30,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (TSMC → Nvidia → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for lack of direct documented link.,AnandTech GH200 article; Nvidia H100 product page,"Accept human decision. If re-auditing, consider whether indirect semiconductor manufacturing qualifies under upstream definition."
TSMC,TSM,Google,Gemini 1.5 Flash,2024-08-08,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (TSMC → Nvidia → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for lack of direct documented link.,AnandTech GH200 article; Nvidia H100 product page,"Accept human decision. If re-auditing, consider whether indirect semiconductor manufacturing qualifies under upstream definition."
TSMC,TSM,Google,Imagen 3,2024-08-28,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (TSMC → Nvidia → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for lack of direct documented link.,AnandTech GH200 article; Nvidia H100 product page,"Accept human decision. If re-auditing, consider whether indirect semiconductor manufacturing qualifies under upstream definition."
SK Hynix,000660 KS,OpenAI,o1 preview,2024-09-12,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (SK Hynix HBM → Nvidia GPU → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for three-step indirect chain.,SK Hynix HBM3E press release; Reuters HBM supply article,"Accept human decision. If re-auditing, consider whether HBM memory as component-of-a-component qualifies under upstream definition."
TSMC,TSM,OpenAI,o1 preview,2024-09-12,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (TSMC → Nvidia → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for lack of direct documented link.,AnandTech GH200 article; Nvidia H100 product page,"Accept human decision. If re-auditing, consider whether indirect semiconductor manufacturing qualifies under upstream definition."
SK Hynix,000660 KS,OpenAI,o1 mini,2024-09-12,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (SK Hynix HBM → Nvidia GPU → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for three-step indirect chain.,SK Hynix HBM3E press release; Reuters HBM supply article,"Accept human decision. If re-auditing, consider whether HBM memory as component-of-a-component qualifies under upstream definition."
TSMC,TSM,OpenAI,o1 mini,2024-09-12,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (TSMC → Nvidia → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for lack of direct documented link.,AnandTech GH200 article; Nvidia H100 product page,"Accept human decision. If re-auditing, consider whether indirect semiconductor manufacturing qualifies under upstream definition."
TSMC,TSM,Google,Gemini Pro 1.5 002; Gemini Flash 1.5 002,2024-09-24,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (TSMC → Nvidia → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for lack of direct documented link.,AnandTech GH200 article; Nvidia H100 product page,"Accept human decision. If re-auditing, consider whether indirect semiconductor manufacturing qualifies under upstream definition."
TSMC,TSM,Google,Gemini 1.5 Pro,2024-10-03,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (TSMC → Nvidia → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for lack of direct documented link.,AnandTech GH200 article; Nvidia H100 product page,"Accept human decision. If re-auditing, consider whether indirect semiconductor manufacturing qualifies under upstream definition."
TSMC,TSM,Google,Gemini 1.5 Flash8B,2024-10-03,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (TSMC → Nvidia → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for lack of direct documented link.,AnandTech GH200 article; Nvidia H100 product page,"Accept human decision. If re-auditing, consider whether indirect semiconductor manufacturing qualifies under upstream definition."
TSMC,TSM,Anthropic,Claude 3.5 Sonnet New; Claude 3.5 Haiku,2024-10-22,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (TSMC → Nvidia → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for lack of direct documented link.,AnandTech GH200 article; Nvidia H100 product page,"Accept human decision. If re-auditing, consider whether indirect semiconductor manufacturing qualifies under upstream definition."
SK Hynix,000660 KS,Meta,Llama 3.3 70B,2024-12-06,real_upstream,1,[MAPPED from upstream] HUMAN DECISION: Researcher accepts indirect ecosystem-based upstream link (SK Hynix HBM → Nvidia GPU → cloud → model companies). Restored to upstream=1. Previously changed to 0 by strict audit for three-step indirect chain.,SK Hynix HBM3E press release; Reuters HBM supply article,"Accept human decision. If re-auditing, consider whether HBM memory as component-of-a-component qualifies under upstream definition."
