year,date_in_ai_timeline,event_order_in_month,text_raw_html,text_plain,special
2023,December,3,X Corporation launches <b>Grok AI</b> chatbot for paid subscribers in English language.,X Corporation launches Grok AI chatbot for paid subscribers in English language.,false
2024,February,1,Stability AI announces <b>Stable Diffusion 3</b> (gradually released to waiting list).,Stability AI announces Stable Diffusion 3 (gradually released to waiting list).,false
2024,February,2,"Google upgrades the artificial intelligence chat in Bard, basing it on the new <b>Gemini Pro</b> model, in all available languages. Google replaces ""Bard"" with ""Gemini"".","Google upgrades the artificial intelligence chat in Bard, basing it on the new Gemini Pro model, in all available languages. Google replaces ""Bard"" with ""Gemini"".",false
2024,February,3,"Google announces the <b>Gemini Pro 1.5</b> multimodal language model capable of parsing up to a million tokens, as well as parsing video and images. The model is gradually released to developers on a waiting list.","Google announces the Gemini Pro 1.5 multimodal language model capable of parsing up to a million tokens, as well as parsing video and images. The model is gradually released to developers on a waiting list.",true
2024,February,4,OpenAI announces the <b>Sora</b> model that produces videos up to a minute long. The model is not released to the public at this time.,OpenAI announces the Sora model that produces videos up to a minute long. The model is not released to the public at this time.,true
2024,March,1,X Corporation announces the upcoming release of the <b>Grok 1.5</b> open source model.,X Corporation announces the upcoming release of the Grok 1.5 open source model.,false
2024,March,2,"Anthropic announces <b>Claude 3</b>, a new version of their large language model. The version is deployed in 3 different sizes, with the largest model performing better than GPT-4.","Anthropic announces Claude 3, a new version of their large language model. The version is deployed in 3 different sizes, with the largest model performing better than GPT-4.",false
2024,March,3,"Suno AI, which develops a model for creating music, releases <b>Suno v3</b> to the general public.","Suno AI, which develops a model for creating music, releases Suno v3 to the general public.",false
2024,April,1,Stability AI releases a new update to the music creation model - <b>Stable Audio 2.0</b>.,Stability AI releases a new update to the music creation model - Stable Audio 2.0.,false
2024,April,2,"X Corporation releases an upgrade to its language model, <b>Grok-1.5V</b>, which integrates high-level image recognition. In the test presented by the company, the model is the best in identifying and analyzing images compared to other models.","X Corporation releases an upgrade to its language model, Grok-1.5V, which integrates high-level image recognition. In the test presented by the company, the model is the best in identifying and analyzing images compared to other models.",false
2024,April,3,The Mistral company releases its new model <b>Mixtral 8x22B</b> as open source. This is the most powerful model among the open source models and it contains 141 billion parameters but uses a method that allows more economical use.,The Mistral company releases its new model Mixtral 8x22B as open source. This is the most powerful model among the open source models and it contains 141 billion parameters but uses a method that allows more economical use.,false
2024,April,4,Meta releases the <b>LLaMA 3</b> model as open source in sizes 8B and 70B parameters. The large model shows better performance than Claude 3 Sonnet and Gemini Pro 1.5 in several measures. Meta is expected to later release larger models with 400 billion parameters and more.,Meta releases the LLaMA 3 model as open source in sizes 8B and 70B parameters. The large model shows better performance than Claude 3 Sonnet and Gemini Pro 1.5 in several measures. Meta is expected to later release larger models with 400 billion parameters and more.,false
2024,April,5,"Microsoft releases the <b>Phi-3-mini</b> model in open source. The model comes in a reduced version of 3.8B parameters, which allows it to run on mobile devices as well, and it presents capabilities similar to GPT-3.5.","Microsoft releases the Phi-3-mini model in open source. The model comes in a reduced version of 3.8B parameters, which allows it to run on mobile devices as well, and it presents capabilities similar to GPT-3.5.",true
2024,April,6,Adobe announces its new image creation model <b>Firefly 3</b>.,Adobe announces its new image creation model Firefly 3.,false
2024,April,7,"The startup <b>Reka AI</b> presents a series of multimodal language models in 3 sizes. The models are capable of processing video, audio and images. The large model featured similar capabilities to GPT-4.","The startup Reka AI presents a series of multimodal language models in 3 sizes. The models are capable of processing video, audio and images. The large model featured similar capabilities to GPT-4.",false
2024,April,8,Apple releases as full open source a series of small language models under the name <b>OpenELM</b>. The models are available in four weights between 270 million and 3 billion parameters.,Apple releases as full open source a series of small language models under the name OpenELM. The models are available in four weights between 270 million and 3 billion parameters.,false
2024,May,1,"OpenAI announces the <b>GPT-4o model</b> that presents full multimodal capabilities, including receiving and creating text, images, and audio. The model presents an impressive ability to speak with a high response speed and in natural language. The model is 2 times more efficient than the GPT-4 Turbo model, and has better capabilities for languages other than English.","OpenAI announces the GPT-4o model that presents full multimodal capabilities, including receiving and creating text, images, and audio. The model presents an impressive ability to speak with a high response speed and in natural language. The model is 2 times more efficient than the GPT-4 Turbo model, and has better capabilities for languages other than English.",true
2024,May,2,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster <b>Gemini Flash 1.5 model</b>. Revealing the latest image creation model <b>Imagen 3</b>, music creation model <b>Music AI</b> and video creation model <b>Veo</b>. And the announcement of the <b>Astra model</b> with multimodal capabilities for realtime audio and video reception.","Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model. Revealing the latest image creation model Imagen 3, music creation model Music AI and video creation model Veo. And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",false
2024,May,3,"Microsoft announces <b>Copilot+</b> for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: <b>Phi-3 Small</b>, <b>Phi-3 Medium</b>, and <b>Phi-3 Vision</b> which includes image recognition capability.","Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small, Phi-3 Medium, and Phi-3 Vision which includes image recognition capability.",false
2024,May,4,"Meta introduces <b>Chameleon</b>, a new multimodal model that seamlessly renders text and images.","Meta introduces Chameleon, a new multimodal model that seamlessly renders text and images.",false
2024,May,5,Mistral AI releases a new open source version of its language model <b>Mistral-7B-Instruct-v0.3</b>.,Mistral AI releases a new open source version of its language model Mistral-7B-Instruct-v0.3.,false
2024,May,6,Google announces <b>AI Overviews</b> intended to give a summary of the relevant information in Google search.,Google announces AI Overviews intended to give a summary of the relevant information in Google search.,true
2024,May,7,Suno AI releases an updated music creation model <b>Suno v3.5</b>.,Suno AI releases an updated music creation model Suno v3.5.,false
2024,May,8,Mistral AI releases a new language model designed for coding <b>Codestral</b> in size 22B.,Mistral AI releases a new language model designed for coding Codestral in size 22B.,false
2024,June,1,Stability AI releases its updated image creation model <b>Stable Diffusion 3</b> in a medium version in size 2B parameters.,Stability AI releases its updated image creation model Stable Diffusion 3 in a medium version in size 2B parameters.,false
2024,June,2,"Apple announces <b>Apple Intelligence</b>, an AI system that will be integrated into the company's devices and will combine AI models of different sizes for different tasks.","Apple announces Apple Intelligence, an AI system that will be integrated into the company's devices and will combine AI models of different sizes for different tasks.",false
2024,June,3,"DeepSeekAI publishes the <b>DeepSeekCoderV2</b> open source language model which presents similar coding capabilities to models such as GPT-4, Claude 3 Opus and more.","DeepSeekAI publishes the DeepSeekCoderV2 open source language model which presents similar coding capabilities to models such as GPT-4, Claude 3 Opus and more.",false
2024,June,4,"<b>Runway</b> introduces <b>Gen3 Alpha</b>, a new AI model for video generation.","Runway introduces Gen3 Alpha, a new AI model for video generation.",false
2024,June,5,"Anthropic releases the <b>Claude Sonnet 3.5</b> model, which presents better capabilities than other models with low resource usage.","Anthropic releases the Claude Sonnet 3.5 model, which presents better capabilities than other models with low resource usage.",true
2024,June,6,Microsoft releases in open source a series of image recognition models called <b>Florence 2</b>.,Microsoft releases in open source a series of image recognition models called Florence 2.,false
2024,June,7,"Google announces <b>Gemma 2</b> open source language models with 9B and 27B parameter sizes. Also, the company opens the context window capabilities to developers for up to 2 million tokens.","Google announces Gemma 2 open source language models with 9B and 27B parameter sizes. Also, the company opens the context window capabilities to developers for up to 2 million tokens.",false
2024,July,1,OpenAI has released a miniaturized model called <b>GPT-4o mini</b> that presents high capabilities at a low cost,OpenAI has released a miniaturized model called GPT-4o mini that presents high capabilities at a low cost,false
2024,July,2,"Meta releases as open source the <b>llama 3.1 model</b> in sizes 8B, 70B and 405B. The large model features the same capabilities as the best closed source models","Meta releases as open source the llama 3.1 model in sizes 8B, 70B and 405B. The large model features the same capabilities as the best closed source models",true
2024,July,3,"mistral ai releases three new models: <b>Codestral Mamba</b>, <b>Mistral NeMo</b> and <b>Mathstral</b> designed for mathematics","mistral ai releases three new models: Codestral Mamba, Mistral NeMo and Mathstral designed for mathematics",false
2024,July,4,"Google DeepMind has unveiled two new AI systems that won silver medals at this year's International Mathematical Olympiad (IMO),  <b>AlphaProof</b> and <b>AlphaGeometry 2</b>.","Google DeepMind has unveiled two new AI systems that won silver medals at this year's International Mathematical Olympiad (IMO), AlphaProof and AlphaGeometry 2.",true
2024,July,5,"OpenAI launched <b>SearchGPT</b>, an integrated web search","OpenAI launched SearchGPT, an integrated web search",false
2024,July,6,"Startup Udio has released <b>Udio v1.5</b>, an updated version of its music creation model","Startup Udio has released Udio v1.5, an updated version of its music creation model",false
2024,July,7,"Mistral AI has released a large language model <b>Mistral Large 2</b> in size 123B, which presents capabilities close to the closed SOTA models.","Mistral AI has released a large language model Mistral Large 2 in size 123B, which presents capabilities close to the closed SOTA models.",true
2024,July,8,<b>Midjourney v6.1</b> is released,Midjourney v6.1 is released,false
2024,July,9,Google releases the <b>Gemma 2 2B</b> model as open source. The model demonstrates better capabilities than much larger models.,Google releases the Gemma 2 2B model as open source. The model demonstrates better capabilities than much larger models.,false
2024,August,1,"""Black Forest Labs"" releases weights for an image creation model named <b>Flux</b>, which shows better performance than similar closedsource models.","""Black Forest Labs"" releases weights for an image creation model named Flux, which shows better performance than similar closedsource models.",false
2024,August,2,"OpenAI released a new version of its model, <b>GPT-4o 0806</b>, achieving 100% success in generating valid JSON output.","OpenAI released a new version of its model, GPT-4o 0806, achieving 100% success in generating valid JSON output.",false
2024,August,3,"Google's image generation model, <b>Imagen 3</b>, has been released.","Google's image generation model, Imagen 3, has been released.",false
2024,August,4,"xAI Corporation has launched the models <b>Grok 2</b> and <b>Grok 2 mini</b>, which demonstrate performance on par with leading SOTA models in the market.","xAI Corporation has launched the models Grok 2 and Grok 2 mini, which demonstrate performance on par with leading SOTA models in the market.",false
2024,August,5,"Microsoft has introduced its small language models, <b>Phi 3.5</b>, in three versions, each showcasing impressive performance relative to their size.","Microsoft has introduced its small language models, Phi 3.5, in three versions, each showcasing impressive performance relative to their size.",false
2024,August,6,"Google has introduced three new experimental AI models: <b>Gemini 1.5 Flash8B</b>, <b>Gemini 1.5 Pro</b> Enhanced, and <b>Gemini 1.5 Flash</b> Updated.","Google has introduced three new experimental AI models: Gemini 1.5 Flash8B, Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",false
2024,August,7,"<b>Ideogram 2.0</b> has been released, offering image generation capabilities that surpass those of other leading models.","Ideogram 2.0 has been released, offering image generation capabilities that surpass those of other leading models.",false
2024,August,8,Luma has unveiled the <b>Dream Machine 1.5</b> model for video creation.,Luma has unveiled the Dream Machine 1.5 model for video creation.,false
2024,September,1,"The French AI company Mistral has introduced <b>Pixtral12B</b>, its first multimodal model capable of processing both images and text.","The French AI company Mistral has introduced Pixtral12B, its first multimodal model capable of processing both images and text.",false
2024,September,2,"OPENAI has released two nextgeneration AI models to its subscribers: <b>o1 preview</b> and <b>o1 mini</b>. These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more.","OPENAI has released two nextgeneration AI models to its subscribers: o1 preview and o1 mini. These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more.",true
2024,September,3,"Chinese company Alibaba releases the <b>Qwen 2.5</b> model in various sizes, ranging from 0.5B to 72B. The models demonstrate capabilities comparable to much larger models.","Chinese company Alibaba releases the Qwen 2.5 model in various sizes, ranging from 0.5B to 72B. The models demonstrate capabilities comparable to much larger models.",false
2024,September,4,The video generation model <b>KLING 1.5</b> has been released.,The video generation model KLING 1.5 has been released.,false
2024,September,5,<b>OpenAI</b> launches the <b>advanced voice mode</b> of GPT 4o for all subscribers.,OpenAI launches the advanced voice mode of GPT 4o for all subscribers.,false
2024,September,6,"<b>Meta</b> releases <b>Llama 3.2</b> in sizes 1B, 3B, 11B and 90B, featuring image recognition capabilities for the first time.","Meta releases Llama 3.2 in sizes 1B, 3B, 11B and 90B, featuring image recognition capabilities for the first time.",false
2024,September,7,"<b>Google</b> has rolled out new model updates ready for deployment, <b>Gemini Pro 1.5 002</b> and <b>Gemini Flash 1.5 002</b>, showcasing significantly improved longcontext processing.","Google has rolled out new model updates ready for deployment, Gemini Pro 1.5 002 and Gemini Flash 1.5 002, showcasing significantly improved longcontext processing.",false
2024,September,8,"<b>Kyutai</b> releases two opensource versions of its voicetovoice model, <b>Moshi</b>.","Kyutai releases two opensource versions of its voicetovoice model, Moshi.",false
2024,September,9,Google releases an update to its AI tool <b>NotebookLM</b> that enables users to create podcasts based on their own content.,Google releases an update to its AI tool NotebookLM that enables users to create podcasts based on their own content.,false
2024,September,10,Mistral AI launches a 22B model named <b>Mistral Small</b>.,Mistral AI launches a 22B model named Mistral Small.,false
2024,October,1,"<b>Flux 1.1 Pro</b> is released, showcasing advanced capabilities for image creation.","Flux 1.1 Pro is released, showcasing advanced capabilities for image creation.",false
2024,October,2,"Meta unveils <b>Movie Gen</b>, a new AI model that generates videos, images, and audio from text input.","Meta unveils Movie Gen, a new AI model that generates videos, images, and audio from text input.",false
2024,October,3,"Pika introduces <b>Video Model 1.5</b> along with ""Pika Effects.""","Pika introduces Video Model 1.5 along with ""Pika Effects.""",false
2024,October,4,"Adobe announces its video creation model, <b>Firefly Video</b>.","Adobe announces its video creation model, Firefly Video.",false
2024,October,5,"Startup Rhymes AI releases <b>Aria</b>, an opensource, multimodal model exhibiting capabilities similar to comparably sized proprietary models.","Startup Rhymes AI releases Aria, an opensource, multimodal model exhibiting capabilities similar to comparably sized proprietary models.",false
2024,October,6,Meta releases an opensource speechtospeech language model named <b>Meta Spirit LM</b>.,Meta releases an opensource speechtospeech language model named Meta Spirit LM.,false
2024,October,7,"Mistral AI introduces <b>Ministral</b>, a new model available in 3B and 8B parameter sizes.","Mistral AI introduces Ministral, a new model available in 3B and 8B parameter sizes.",false
2024,October,8,"<b>Janus AI</b>, a multimodal language model capable of recognizing and generating both text and images, is released as open source by DeepSeekAI.","Janus AI, a multimodal language model capable of recognizing and generating both text and images, is released as open source by DeepSeekAI.",false
2024,October,9,"Google DeepMind and MIT unveil <b>Fluid</b>, a texttoimage generation model with industryleading performance at a scale of 10.5B parameters.","Google DeepMind and MIT unveil Fluid, a texttoimage generation model with industryleading performance at a scale of 10.5B parameters.",false
2024,October,10,<b>Stable Diffusion 3.5</b> is released in three sizes as open source.,Stable Diffusion 3.5 is released in three sizes as open source.,false
2024,October,11,"Anthropic launches <b>Claude 3.5 Sonnet New</b>, demonstrating significant advancements in specific areas over its previous version, and announces <b>Claude 3.5 Haiku</b>.","Anthropic launches Claude 3.5 Sonnet New, demonstrating significant advancements in specific areas over its previous version, and announces Claude 3.5 Haiku.",false
2024,October,12,Anthropic announces an experimental feature for computer use with a public beta API.,Anthropic announces an experimental feature for computer use with a public beta API.,false
2024,October,13,"The texttoimage model <b>Recraft v3</b> has been released to the public, ranking first in benchmarks compared to similar models.","The texttoimage model Recraft v3 has been released to the public, ranking first in benchmarks compared to similar models.",false
2024,October,14,"OpenAI has launched <b>Search GPT</b>, allowing users to perform web searches directly within the platform.","OpenAI has launched Search GPT, allowing users to perform web searches directly within the platform.",false
2024,November,1,"Alibaba released its new model, <b>QwQ 32B Preview</b>, which integrates reasoning capabilities before responding. The model competes with, and sometimes surpasses, OpenAI's o1-preview model.","Alibaba released its new model, QwQ 32B Preview, which integrates reasoning capabilities before responding. The model competes with, and sometimes surpasses, OpenAI's o1-preview model.",false
2024,November,2,"Alibaba opensourced the model <b>Qwen2.5 Coder 32B</b>, which offers comparable capabilities to leading proprietary language models in the coding domain.","Alibaba opensourced the model Qwen2.5 Coder 32B, which offers comparable capabilities to leading proprietary language models in the coding domain.",false
2024,November,3,"DeepSeek unveiled its new AI model, <b>DeepSeek-R1-Lite-Preview</b>, which incorporates reasoning capabilities and delivers impressive performance on the AIME and MATH benchmarks, matching the level of OpenAI's o1-preview.","DeepSeek unveiled its new AI model, DeepSeek-R1-Lite-Preview, which incorporates reasoning capabilities and delivers impressive performance on the AIME and MATH benchmarks, matching the level of OpenAI's o1-preview.",false
2024,November,4,"<b>Suno</b> upgraded its AIpowered music generator to <b>v4</b>, introducing new features and performance improvements.","Suno upgraded its AIpowered music generator to v4, introducing new features and performance improvements.",false
2024,November,5,"Mistral AI launched the <b>Pixtral Large</b> model, a multimodal language model excelling in image recognition and advanced performance metrics, and an update to Mistral Large, 2411.","Mistral AI launched the Pixtral Large model, a multimodal language model excelling in image recognition and advanced performance metrics, and an update to Mistral Large, 2411.",false
2024,November,6,"Google introduced two experimental models, <b>gemini-exp-1114</b> and <b>gemini-exp-1121</b>, currently leading the arena chatbot with enhanced performance.","Google introduced two experimental models, gemini-exp-1114 and gemini-exp-1121, currently leading the arena chatbot with enhanced performance.",false
2024,November,7,Anthropic launches <b>Claude 3.5 Haiku</b> and Visual PDF Analysis in Claude.,Anthropic launches Claude 3.5 Haiku and Visual PDF Analysis in Claude.,false
2024,December,1,"Amazon introduced a new series of models called <b>NOVA</b>, designed for text, image, and video processing.","Amazon introduced a new series of models called NOVA, designed for text, image, and video processing.",false
2024,December,2,"OpenAI released <b>SORA</b>, a video generation model, along with the full version of <b>o1</b> and <b>o1 Pro</b> for advanced subscribers. Additionally, the company launched a live video mode for <b>GPT 4o</b>.","OpenAI released SORA, a video generation model, along with the full version of o1 and o1 Pro for advanced subscribers. Additionally, the company launched a live video mode for GPT 4o.",true
2024,December,3,"Google unveiled the experimental model <b>Gemini-Exp-1206</b>, which ranked first in the chatbot leaderboard.","Google unveiled the experimental model Gemini-Exp-1206, which ranked first in the chatbot leaderboard.",false
2024,December,4,"Google launched <b>Gemini 2.0 Flash</b> in beta. This model leads benchmarks and outperforms the previous version, <b>Gemini Pro 1.5</b>. Additionally, Google introduced live speech and video mode and announced built-in image generation capabilities within the model.","Google launched Gemini 2.0 Flash in beta. This model leads benchmarks and outperforms the previous version, Gemini Pro 1.5. Additionally, Google introduced live speech and video mode and announced built-in image generation capabilities within the model.",true
2024,December,5,"Google revealed <b>Gemini-2.0-Flash-Thinking</b>, a thinking model based on <b>Gemini 2.0 Flash</b>, which secured second place in the chatbot leaderboard.","Google revealed Gemini-2.0-Flash-Thinking, a thinking model based on Gemini 2.0 Flash, which secured second place in the chatbot leaderboard.",true
2024,December,6,"Google introduced <b>Veo 2</b>, a beta version video generation model capable of producing 4K videos up to two minutes long. The model outperformed <b>SORA</b> in human evaluations. Additionally, Google updated <b>Imagen 3</b>, offering enhanced image quality and realism.","Google introduced Veo 2, a beta version video generation model capable of producing 4K videos up to two minutes long. The model outperformed SORA in human evaluations. Additionally, Google updated Imagen 3, offering enhanced image quality and realism.",true
2024,December,7,"xAI integrated <b>Aurora</b>, a new model for generating high-quality and realistic images.","xAI integrated Aurora, a new model for generating high-quality and realistic images.",false
2024,December,8,"Microsoft open-sourced the <b>Phi4</b> model, sized at 14B, showcasing impressive capabilities for its size.","Microsoft open-sourced the Phi4 model, sized at 14B, showcasing impressive capabilities for its size.",false
2024,December,9,"Meta released <b>Llama 3.3 70B</b>, a model offering performance comparable to <b>Llama 3.1 405B</b>.","Meta released Llama 3.3 70B, a model offering performance comparable to Llama 3.1 405B.",false
2024,December,10,"Google launched a multi-modal open-source model called <b>PaliGemma 2</b>, integrated with existing <b>Gemma</b> models.","Google launched a multi-modal open-source model called PaliGemma 2, integrated with existing Gemma models.",false
2024,December,11,"Pika Labs released <b>2.0</b>, the latest version of its AI-powered video generator.","Pika Labs released 2.0, the latest version of its AI-powered video generator.",false
2024,December,12,"Meta introduced <b>Apollo</b>, a video generation model available in three different sizes.","Meta introduced Apollo, a video generation model available in three different sizes.",false
2024,December,13,"Deepseek open-sourced <b>Deepseek V3</b>, a model with 671B parameters that surpasses closed-source SOTA models across several benchmarks.","Deepseek open-sourced Deepseek V3, a model with 671B parameters that surpasses closed-source SOTA models across several benchmarks.",true
2024,December,14,"Alibaba unveiled <b>QVQ-72B-Preview</b>, a cutting-edge thinking model capable of analyzing images, featuring SOTA-level performance.","Alibaba unveiled QVQ-72B-Preview, a cutting-edge thinking model capable of analyzing images, featuring SOTA-level performance.",true
2024,December,15,"OpenAI announced <b>o3</b>, a groundbreaking AI model achieving 87.5% in the <b>ARC-AGI</b> benchmark, 25.2% in the <b>Frontier Math Benchmark</b> (compared to under 2% in previous models), and 87.7% in Ph.D.-level science questions. A cost-effective version, <b>o3 Mini</b>, is expected in January 2025, with performance similar to <b>o1</b>, alongside improved speed and efficiency.","OpenAI announced o3, a groundbreaking AI model achieving 87.5% in the ARC-AGI benchmark, 25.2% in the Frontier Math Benchmark (compared to under 2% in previous models), and 87.7% in Ph.D.-level science questions. A cost-effective version, o3 Mini, is expected in January 2025, with performance similar to o1, alongside improved speed and efficiency.",true
2024,December,16,"The video generation model <b>Kling 1.6</b> was released, offering significant performance enhancements.","The video generation model Kling 1.6 was released, offering significant performance enhancements.",false
2025,January,1,OpenAI released <b>Operator</b> for Pro subscribers – an experimental AI agent capable of browsing websites and performing actions.,OpenAI released Operator for Pro subscribers – an experimental AI agent capable of browsing websites and performing actions.,true
2025,January,2,"Google introduced <b>Gemini Flash Thinking 0121</b>, an enhanced reasoning model that secured the top spot in the Arena Chatbots rankings.","Google introduced Gemini Flash Thinking 0121, an enhanced reasoning model that secured the top spot in the Arena Chatbots rankings.",false
2025,January,3,"DeepSeek open-sourced the reasoning models <b>R1</b> and <b>R1-Zero</b>, which demonstrated capabilities similar to <b>o1</b> across various domains at a fraction of the cost. Additionally, smaller distilled models were released, achieving high performance relative to their size.","DeepSeek open-sourced the reasoning models R1 and R1-Zero, which demonstrated capabilities similar to o1 across various domains at a fraction of the cost. Additionally, smaller distilled models were released, achieving high performance relative to their size.",true
2025,January,4,"Google published a research paper on a new language model architecture called <b>Titans</b>, designed to enable models to retain both short- and long-term memory. This architecture significantly improves processing for extended context windows.","Google published a research paper on a new language model architecture called Titans, designed to enable models to retain both short- and long-term memory. This architecture significantly improves processing for extended context windows.",true
2025,January,5,"DeepSeek open-sourced a fully multimodal model, <b>Janus Pro 7B</b>, which supports both text and image generation.","DeepSeek open-sourced a fully multimodal model, Janus Pro 7B, which supports both text and image generation.",false
2025,January,6,"Alibaba unveiled <b>Qwen2.5-Max</b>, a large language model that surpasses several leading models, including <b>DeepSeek-V3</b>, <b>GPT-4o</b>, and <b>Claude 3.5</b>. Additionally, the <b>Qwen2.5-1M</b> series was open-sourced, capable of processing up to one million tokens, along with the <b>Qwen2.5-VL</b> vision model series in three different sizes.","Alibaba unveiled Qwen2.5-Max, a large language model that surpasses several leading models, including DeepSeek-V3, GPT-4o, and Claude 3.5. Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes.",false
2025,January,7,"OpenAI made the <b>o3 mini</b> reasoning model available to all users, including the free tier, featuring three reasoning levels. The model matches or comes close to o1 in several benchmarks, significantly surpasses it in coding, and remains significantly faster and more cost-efficient.","OpenAI made the o3 mini reasoning model available to all users, including the free tier, featuring three reasoning levels. The model matches or comes close to o1 in several benchmarks, significantly surpasses it in coding, and remains significantly faster and more cost-efficient.",true
2025,February 2025,1,"xAI launches <b>Grok 3</b>, <b>Grok 3 Reasoning</b> and <b>Grok 3 mini</b>, next-generation AI models trained with 10 times the computing power of Grok 2, significantly improving SOTA performance. They include ""Think"" and ""Big Brain"" modes for advanced reasoning, as well as <b>DeepSearch</b> for autonomous web searches.","xAI launches Grok 3, Grok 3 Reasoning and Grok 3 mini, next-generation AI models trained with 10 times the computing power of Grok 2, significantly improving SOTA performance. They include ""Think"" and ""Big Brain"" modes for advanced reasoning, as well as DeepSearch for autonomous web searches.",true
2025,February 2025,2,"Anthropic introduces <b>Claude 3.7</b> and <b>Claude 3.7 Thinking</b>, a new model with enhanced coding performance, support for ""Extended Thinking"" mode, and the ability to analyze reasoning processes.","Anthropic introduces Claude 3.7 and Claude 3.7 Thinking, a new model with enhanced coding performance, support for ""Extended Thinking"" mode, and the ability to analyze reasoning processes.",true
