final_event_id,release_date_parsed,release_date,event_name,true_model_creator,creator_country,creator_type,model_names,model_modality,model_modalities,candidate_tier,is_open_weight_or_open_source,is_chinese_model,llm_capability_sample_flag,media_capability_sample_flag,aa_intelligence_index,aa_media_elo
FMR-0046,2025-08-05,2025/8/5,gpt-oss family,OpenAI,United States,private_us_company,gpt-oss-20b; gpt-oss-120b,reasoning_llm,reasoning_llm,Tier 1,1,0,1,0,33.3,
FMR-0047,2025-08-26,2025/8/26,Gemini 2.5 Flash Image,Google,United States,listed_us_company,Gemini 2.5 Flash Image,image_editing,image_editing,Tier 1,0,0,0,1,,1175.0
FMR-0048,2025-09-05,2025/9/5,Qwen-3-Max,Alibaba,China,public_non_us_company,Qwen-3-Max,text_llm,text_llm,Tier 1,0,1,1,0,31.4,
FMR-0049,2025-09-25,2025/9/25,Claude Sonnet 4.5,Anthropic,United States,private_us_company,Claude Sonnet 4.5,text_llm,text_llm,Tier 2,0,0,1,0,43.0,
FMR-0050,2025-10-14,2025/10/14,Claude 4.5 Haiku,Anthropic,United States,private_us_company,Claude 4.5 Haiku,text_llm,text_llm,Tier 2,0,0,1,0,37.1,
FMR-0051,2025-12-02,2025/12/2,Mistral 3,Mistral AI,France,private_non_us_company,Mistral 3,text_llm,text_llm,Tier 2,1,0,1,0,22.8,
FMR-0052,2025-12-09,2025/12/9,Devstral 2,Mistral AI,France,private_non_us_company,Devstral 2,coding_llm,coding_llm,Tier 2,1,0,1,0,22.0,
FMR-0054,2025-12-18,2025/12/18,GPT-5.2,OpenAI,United States,private_us_company,GPT-5.2,text_llm,text_llm,Tier 1,0,0,1,0,51.3,
FMR-0053,2025-12-18,2025/12/18,Z-Image-Turbo,Alibaba,China,public_non_us_company,Z-Image-Turbo,image_generation,image_generation,Tier 2,1,1,0,1,,1110.0
FMR-0055,2025-12-31,2025/12/31,Qwen-Image-2512,Alibaba,China,public_non_us_company,Qwen-Image-2512,image_generation,image_generation,Tier 2,1,1,0,1,,1161.0
FMR-0056,2026-02-05,2026/2/5,Claude Opus 4.6,Anthropic,United States,private_us_company,Claude Opus 4.6,reasoning_llm,reasoning_llm,Tier 2,0,0,1,0,53.0,
FMR-0057,2026-02-12,2026/2/12,GPT-5.3-Codex,OpenAI,United States,private_us_company,GPT-5.3-Codex,coding_llm,coding_llm,Tier 1,0,0,1,0,53.6,
FMR-0058,2026-02-16,2026/2/16,Claude Sonnet 4.6,Anthropic,United States,private_us_company,Claude Sonnet 4.6,reasoning_llm,reasoning_llm,Tier 2,0,0,1,0,51.7,
FMR-0059,2026-02-26,2026/2/26,Nano Banana 2,Google,United States,listed_us_company,Nano Banana 2,image_generation,image_generation,Tier 2,0,0,0,1,,1228.0
FMR-0060,2026-03-17,2026/3/17,GPT-5.4 family,OpenAI,United States,private_us_company,GPT-5.4 mini; GPT-5.4; GPT-5.4 nano,reasoning_llm,reasoning_llm,Tier 1,0,0,1,0,56.8,
