"event_id","model_names","representative_aa_name","model_modalities","is_cross_modality_release","is_model_family","is_multimodal","is_reasoning_model","is_coding_model","is_media_generation_model","is_open_weight_or_open_source","is_chinese_model","notes","coder","coded_at"
"AIT-2023-12-002","Gemini Pro","Gemini 1.0 Pro","language","0","0","1","0","0","0","0","0","代表模型为 Gemini 1.0 Pro，AA 模态为 language；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-02-001","Stable Diffusion 3","Stable Diffusion 3 Large","text-to-image","0","1","0","0","0","1","0","0","SD3 在该事件中是公告和等待名单，未见当日开放权重证据，开放权重按 0。","B","2026-07-03"
"AIT-2024-02-003","Gemini Pro 1.5","Gemini 1.5 Pro (May '24)","language","0","0","1","0","0","0","0","0","代表模型为 Gemini 1.5 Pro (May '24)，AA 模态为 language；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-03-002","Claude 3","Claude 3 Opus","language","0","1","1","0","0","0","0","0","代表模型为 Claude 3 Opus，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-04-001","Stable Audio 2.0","Stable Audio 2.0","music-instrumental","0","0","0","0","0","1","0","0","代表模型为 Stable Audio 2.0，AA 模态为 music-instrumental；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2024-04-003","Mixtral 8x22B","Mixtral 8x22B Instruct","language","0","0","0","0","0","0","1","0","代表模型为 Mixtral 8x22B Instruct，AA 模态为 language；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-04-004","LLaMA 3","Llama 3 Instruct 70B","language","0","1","0","0","0","0","1","0","代表模型为 Llama 3 Instruct 70B，AA 模态为 language；同事件含同系列多规格或多档变体；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-04-005","Phi-3-mini","Phi-3 Mini Instruct 3.8B","language","0","0","0","0","0","0","1","0","代表模型为 Phi-3 Mini Instruct 3.8B，AA 模态为 language；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-05-001","GPT-4o model","GPT-4o (May '24)","language","0","0","1","0","0","0","0","0","代表模型为 GPT-4o (May '24)，AA 模态为 language；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-05-002","Gemini Flash 1.5 model","Gemini 1.5 Flash (May '24)","language","0","0","1","0","0","0","0","0","代表模型为 Gemini 1.5 Flash (May '24)，AA 模态为 language；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-06-001","Stable Diffusion 3","Stable Diffusion 3 Medium","text-to-image","0","0","0","0","0","1","1","0","代表模型为 Stable Diffusion 3 Medium，AA 模态为 text-to-image；事件包含媒体生成模态；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-06-003","DeepSeekCoderV2","DeepSeek-Coder-V2","language","0","0","0","0","1","0","1","1","代表模型为 DeepSeek-Coder-V2，AA 模态为 language；代表模型主打代码或软件工程任务；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2024-06-004","Gen3 Alpha","Runway Gen 3 Alpha","text-to-video","0","0","0","0","0","1","0","0","代表模型为 Runway Gen 3 Alpha，AA 模态为 text-to-video；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2024-06-005","Claude Sonnet 3.5","Claude 3.5 Sonnet (June '24)","language","0","0","1","0","0","0","0","0","代表模型为 Claude 3.5 Sonnet (June '24)，AA 模态为 language；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-07-001","GPT-4o mini","GPT-4o mini","language","0","0","1","0","0","0","0","0","代表模型为 GPT-4o mini，AA 模态为 language；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-07-002","llama 3.1 model","Llama 3.1 Instruct 405B","language","0","1","0","0","0","0","1","0","代表模型为 Llama 3.1 Instruct 405B，AA 模态为 language；同事件含同系列多规格或多档变体；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-07-006","Udio v1.5","Udio v1.5 Allegro","music-instrumental","0","0","0","0","0","1","0","0","代表模型为 Udio v1.5 Allegro，AA 模态为 music-instrumental；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2024-07-007","Mistral Large 2","Mistral Large 2 (Jul '24)","language","0","0","0","0","0","0","1","0","代表模型为 Mistral Large 2 (Jul '24)，AA 模态为 language；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-07-008","Midjourney v6.1","Midjourney v6.1","text-to-image","0","0","0","0","0","1","0","0","代表模型为 Midjourney v6.1，AA 模态为 text-to-image；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2024-08-001","Flux","FLUX.1 [pro]","text-to-image","0","1","0","0","0","1","1","0","代表模型为 FLUX.1 [pro]，AA 模态为 text-to-image；同事件含同系列多规格或多档变体；事件包含媒体生成模态；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-08-002","GPT-4o 0806","GPT-4o (Aug '24)","language","0","0","1","0","0","0","0","0","代表模型为 GPT-4o (Aug '24)，AA 模态为 language；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-08-003","Imagen 3","Imagen 3 (v002)","text-to-image","0","0","0","0","0","1","0","0","代表模型为 Imagen 3 (v002)，AA 模态为 text-to-image；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2024-08-004","Grok 2","Grok 2 (Dec '24)","language","0","1","1","0","0","0","0","0","代表模型为 Grok 2 (Dec '24)，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-08-006","Gemini 1.5 Flash8B","Gemini 1.5 Flash-8B","language","0","1","1","0","0","0","0","0","代表模型为 Gemini 1.5 Flash-8B，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-09-002","o1 preview; o1 mini","o1-preview","language","0","1","0","1","0","0","0","0","代表模型为 o1-preview，AA 模态为 language；同事件含同系列多规格或多档变体；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2024-09-003","Qwen 2.5","Qwen2.5 Instruct 72B","language","0","1","0","0","0","0","1","1","代表模型为 Qwen2.5 Instruct 72B，AA 模态为 language；同事件含同系列多规格或多档变体；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2024-09-006","Llama 3.2","Llama 3.2 Instruct 90B (Vision)","language","0","1","1","0","0","0","1","0","代表模型为 Llama 3.2 Instruct 90B (Vision)，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-09-007","Gemini Pro 1.5 002; Gemini Flash 1.5 002","Gemini 1.5 Pro (Sep '24)","language","0","1","1","0","0","0","0","0","代表模型为 Gemini 1.5 Pro (Sep '24)，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-09-008","Moshi","Moshi","speech-to-speech","0","0","0","0","0","1","1","0","代表模型为 Moshi，AA 模态为 speech-to-speech；事件包含媒体生成模态；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-09-010","Mistral Small","Mistral Small (Sep '24)","language","0","0","0","0","0","0","0","0","Mistral Small 事件文本未说明开放权重，按不确定从 0。","B","2026-07-03"
"AIT-2024-10-001","Flux 1.1 Pro","FLUX1.1 [pro]","text-to-image","0","0","0","0","0","1","0","0","代表模型为 FLUX1.1 [pro]，AA 模态为 text-to-image；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2024-10-010","Stable Diffusion 3.5","Stable Diffusion 3.5 Large","text-to-image","0","1","0","0","0","1","1","0","代表模型为 Stable Diffusion 3.5 Large，AA 模态为 text-to-image；同事件含同系列多规格或多档变体；事件包含媒体生成模态；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-10-011","Claude 3.5 Sonnet New","Claude 3.5 Sonnet (Oct '24)","language","0","0","1","0","0","0","0","0","代表模型为 Claude 3.5 Sonnet (Oct '24)，AA 模态为 language；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-10-013","Recraft v3","Recraft V3","text-to-image","0","0","0","0","0","1","0","0","代表模型为 Recraft V3，AA 模态为 text-to-image；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2024-11-001","QwQ 32B Preview","QwQ 32B-Preview","language","0","0","0","1","0","0","1","1","代表模型为 QwQ 32B-Preview，AA 模态为 language；名称或事件文本指向推理模型；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2024-11-002","Qwen2.5 Coder 32B","Qwen2.5 Coder Instruct 32B","language","0","0","0","0","1","0","1","1","代表模型为 Qwen2.5 Coder Instruct 32B，AA 模态为 language；代表模型主打代码或软件工程任务；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2024-11-005","Pixtral Large","Pixtral Large","language","0","0","1","0","0","0","1","0","代表模型为 Pixtral Large，AA 模态为 language；代表模型支持多模态输入或输出；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-11-007","Claude 3.5 Haiku","Claude 3.5 Haiku","language","0","0","1","0","0","0","0","0","代表模型为 Claude 3.5 Haiku，AA 模态为 language；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-12-001","NOVA","Nova Pro","language","0","1","1","0","0","0","0","0","代表模型为 Nova Pro，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-12-002","SORA; o1; o1 Pro","o1","image-to-video; language","1","1","1","1","0","1","0","0","同一事件含 Sora 和 o1，两者跨语言与视频模态；o1/o1 Pro 按同系列两档处理。","B","2026-07-03"
"AIT-2024-12-004","Gemini 2.0 Flash","Gemini 2.0 Flash (experimental)","language","0","0","1","0","0","0","0","0","代表模型为 Gemini 2.0 Flash (experimental)，AA 模态为 language；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2024-12-005","Gemini-2.0-Flash-Thinking","Gemini 2.0 Flash Thinking Experimental (Dec '24)","language","0","0","1","1","0","0","0","0","代表模型为 Gemini 2.0 Flash Thinking Experimental (Dec '24)，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2024-12-006","Veo 2","Veo 2","text-to-video","0","0","0","0","0","1","0","0","代表模型为 Veo 2，AA 模态为 text-to-video；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2024-12-008","Phi4","Phi-4","language","0","0","0","0","0","0","1","0","代表模型为 Phi-4，AA 模态为 language；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-12-009","Llama 3.3 70B","Llama 3.3 Instruct 70B","language","0","0","0","0","0","0","1","0","代表模型为 Llama 3.3 Instruct 70B，AA 模态为 language；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2024-12-013","Deepseek V3","DeepSeek V3 (Dec '24)","language","0","0","0","0","0","0","1","1","代表模型为 DeepSeek V3 (Dec '24)，AA 模态为 language；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-01-002","Gemini Flash Thinking 0121","Gemini 2.0 Flash Thinking Experimental (Jan '25)","language","0","0","1","1","0","0","0","0","代表模型为 Gemini 2.0 Flash Thinking Experimental (Jan '25)，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-01-003","R1","DeepSeek R1 (Jan '25)","language","0","0","0","1","0","0","1","1","代表模型为 DeepSeek R1 (Jan '25)，AA 模态为 language；名称或事件文本指向推理模型；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-01-005","Janus Pro 7B","Janus Pro","text-to-image","0","0","1","0","0","1","1","1","代表模型为 Janus Pro，AA 模态为 text-to-image；代表模型支持多模态输入或输出；事件包含媒体生成模态；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-01-006","Qwen2.5-Max","Qwen2.5 Max","language","0","0","0","0","0","0","0","1","代表模型为 Qwen2.5 Max，AA 模态为 language；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-01-007","o3 mini","o3-mini (high)","language","0","0","0","1","0","0","0","0","代表模型为 o3-mini (high)，AA 模态为 language；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-02-001","Grok 3; Grok 3 Reasoning; Grok 3 mini","Grok 3 mini Reasoning (high)","language","0","1","1","1","0","0","0","0","代表模型为 Grok 3 mini Reasoning (high)，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-02-002","Claude 3.7","Claude 3.7 Sonnet (Reasoning)","language","0","0","1","1","0","0","0","0","代表模型为 Claude 3.7 Sonnet (Reasoning)，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-02-004","Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental","Gemini 2.0 Flash (Feb '25)","language","0","1","1","0","0","0","0","0","代表模型为 Gemini 2.0 Flash (Feb '25)，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2025-02-006","Phi4-mini; Phi4 Multimodal","Phi-4 Multimodal Instruct","language","0","1","1","0","0","0","1","0","代表模型为 Phi-4 Multimodal Instruct，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2025-02-007","GPT-4.5","GPT-4.5 (Preview)","language","0","0","1","0","0","0","0","0","代表模型为 GPT-4.5 (Preview)，AA 模态为 language；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2025-03-001","Gemini 2.5 Pro","Gemini 2.5 Pro","language","0","0","1","1","0","0","0","0","代表模型为 Gemini 2.5 Pro，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-03-003","GPT-4o Image Generation","GPT Image 1 (high)","image-editing","0","0","0","0","0","1","0","0","GPT-4o 图像生成作为媒体事件处理，多模态字段不因文生图自动记 1。","B","2026-07-03"
"AIT-2025-03-005","QwQ-32B","QwQ 32B","language","0","0","0","1","0","0","1","1","代表模型为 QwQ 32B，AA 模态为 language；名称或事件文本指向推理模型；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-03-007","DeepSeek-V3-0324","DeepSeek V3 0324","language","0","0","0","1","0","0","1","1","代表模型为 DeepSeek V3 0324，AA 模态为 language；名称或事件文本指向推理模型；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-04-001","Llama 4","Llama 4 Maverick","language","0","1","1","0","0","0","1","0","代表模型为 Llama 4 Maverick，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2025-04-002","Gemini 2.5 Flash","Gemini 2.5 Flash (Reasoning)","language","0","0","1","1","0","0","0","0","代表模型为 Gemini 2.5 Flash (Reasoning)，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-04-004","GPT-4.1","GPT-4.1","language","0","1","1","0","0","0","0","0","代表模型为 GPT-4.1，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2025-04-005","o3 full; o4 mini","o3","language","0","0","1","1","0","0","0","0","o3 与 o4 mini 都是推理模型，但不是同一模型家族的多档发布。","B","2026-07-03"
"AIT-2025-04-006","v7","Midjourney v7 Alpha","text-to-image","0","0","0","0","0","1","0","0","代表模型为 Midjourney v7 Alpha，AA 模态为 text-to-image；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2025-04-007","Runway Gen-4; Vidu Q1; Kling 2.0","Kling 2.0","image-to-video; text-to-video","0","0","0","0","0","1","0","1","多厂商视频模型同发，含中国厂商 Kling 和 Vidu，但不是同系列家族发布。","B","2026-07-03"
"AIT-2025-04-008","Qwen 3","Qwen3 235B A22B (Reasoning)","language","0","1","0","1","0","0","1","1","代表模型为 Qwen3 235B A22B (Reasoning)，AA 模态为 language；同事件含同系列多规格或多档变体；名称或事件文本指向推理模型；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-05-002","Suno 4.5","Suno V4.5","music-instrumental","0","0","0","0","0","1","0","0","代表模型为 Suno V4.5，AA 模态为 music-instrumental；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2025-05-003","Claude 4 Opus; Claude Sonnet 4","Claude 4 Opus (Reasoning)","language","0","1","1","1","0","0","0","0","代表模型为 Claude 4 Opus (Reasoning)，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-05-004","Veo 3; Imagen 4","Veo 3","text-to-image; text-to-video","0","0","0","0","0","1","0","0","代表模型为 Veo 3，AA 模态为 text-to-image; text-to-video；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2025-05-009","R1-0528","DeepSeek R1 0528 (May '25)","language","0","0","0","1","0","0","1","1","代表模型为 DeepSeek R1 0528 (May '25)，AA 模态为 language；名称或事件文本指向推理模型；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-05-012","Gemma 3n","Gemma 3n E2B Instruct","language","0","0","1","0","0","0","1","0","代表模型为 Gemma 3n E2B Instruct，AA 模态为 language；代表模型支持多模态输入或输出；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2025-06-002","Eleven v3 (alpha)","Eleven v3","text-to-speech","0","0","0","0","0","1","0","0","代表模型为 Eleven v3，AA 模态为 text-to-speech；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2025-06-003","o3 pro","o3-pro","language","0","0","1","1","0","0","0","0","代表模型为 o3-pro，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-07-001","Grok 4","Grok 4","language","0","0","1","1","0","0","0","0","代表模型为 Grok 4，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-07-005","Qwen3-235B-A22B-Instruct-2507; Qwen3-Coder","Qwen3 235B A22B 2507 Instruct","language","0","1","0","0","0","0","1","1","代表模型为 Qwen3 235B A22B 2507 Instruct，AA 模态为 language；同事件含同系列多规格或多档变体；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-07-006","Kimi K2","Kimi K2","language","0","0","0","0","0","0","1","1","代表模型为 Kimi K2，AA 模态为 language；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-07-007","GLM-4.5","GLM-4.5 (Reasoning)","language","0","0","0","1","0","0","1","1","代表模型为 GLM-4.5 (Reasoning)，AA 模态为 language；名称或事件文本指向推理模型；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-08-002","Claude Opus 4.1","Claude 4.1 Opus (Reasoning)","language","0","0","1","1","0","0","0","0","代表模型为 Claude 4.1 Opus (Reasoning)，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-08-004","gpt-oss-120b; gpt-oss-20b","gpt-oss-120b (high)","language","0","1","0","1","0","0","1","0","代表模型为 gpt-oss-120b (high)，AA 模态为 language；同事件含同系列多规格或多档变体；名称或事件文本指向推理模型；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2025-08-005","GPT-5","GPT-5 (high)","language","0","0","1","1","0","0","0","0","代表模型为 GPT-5 (high)，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-08-006","DeepSeek V3.1","DeepSeek V3.1 (Reasoning)","language","0","0","0","1","0","0","1","1","代表模型为 DeepSeek V3.1 (Reasoning)，AA 模态为 language；名称或事件文本指向推理模型；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-08-007","Gemini 2.5 Flash Image","Nano Banana (Gemini 2.5 Flash Image)","image-editing","0","0","0","0","0","1","0","0","代表模型为 Nano Banana (Gemini 2.5 Flash Image)，AA 模态为 image-editing；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2025-09-001","Seedream 4.0","Seedream 4.0","text-to-image","0","0","0","0","0","1","0","1","代表模型为 Seedream 4.0，AA 模态为 text-to-image；事件包含媒体生成模态；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-09-004","Suno v5","Suno V5","music-instrumental","0","0","0","0","0","1","0","0","代表模型为 Suno V5，AA 模态为 music-instrumental；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2025-09-005","Qwen-3-Max","Qwen3 Max","language","0","0","0","0","0","0","0","1","代表模型为 Qwen3 Max，AA 模态为 language；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-09-007","Claude Sonnet 4.5","Claude 4.5 Sonnet (Reasoning)","language","0","0","1","1","0","0","0","0","代表模型为 Claude 4.5 Sonnet (Reasoning)，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-09-008","Sora 2","Sora 2 (October)","text-to-video","0","0","0","0","0","1","0","0","代表模型为 Sora 2 (October)，AA 模态为 text-to-video；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2025-09-009","DeepSeek-V3.2-Exp","DeepSeek V3.2 Exp (Reasoning)","language","0","0","0","1","0","0","1","1","代表模型为 DeepSeek V3.2 Exp (Reasoning)，AA 模态为 language；名称或事件文本指向推理模型；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-10-003","Claude 4.5 Haiku","Claude 4.5 Haiku (Reasoning)","language","0","0","1","1","0","0","0","0","代表模型为 Claude 4.5 Haiku (Reasoning)，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-11-001","Kimi K2 Thinking","Kimi K2 Thinking","language","0","0","0","1","0","0","1","1","代表模型为 Kimi K2 Thinking，AA 模态为 language；名称或事件文本指向推理模型；事件含开放权重或开源主要模型；发布方属于中国模型生态。","B","2026-07-03"
"AIT-2025-11-002","GPT 5.1","GPT-5.1 (high)","language","0","0","1","1","0","0","0","0","代表模型为 GPT-5.1 (high)，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-11-003","Grok 4.1","Grok 4.1 Fast (Reasoning)","language","0","0","1","1","0","0","0","0","代表模型为 Grok 4.1 Fast (Reasoning)，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-11-004","Gemini 3.0","Gemini 3 Pro Preview (high)","language","0","0","1","1","0","0","0","0","代表模型为 Gemini 3 Pro Preview (high)，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-11-006","Nano Banana Pro","Nano Banana Pro (Gemini 3 Pro Image)","text-to-image","0","0","0","0","0","1","0","0","代表模型为 Nano Banana Pro (Gemini 3 Pro Image)，AA 模态为 text-to-image；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2025-11-007","Claude Opus 4.5","Claude Opus 4.5 (Reasoning)","language","0","0","1","1","0","0","0","0","代表模型为 Claude Opus 4.5 (Reasoning)，AA 模态为 language；代表模型支持多模态输入或输出；名称或事件文本指向推理模型。","B","2026-07-03"
"AIT-2025-11-008","FLUX 2","FLUX.2 [pro]","image-editing","0","1","0","0","0","1","1","0","代表模型为 FLUX.2 [pro]，AA 模态为 image-editing；同事件含同系列多规格或多档变体；事件包含媒体生成模态；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2025-12-001","Mistral 3; Devstral 2","Mistral Large 3","language","0","1","1","0","0","0","1","0","代表模型为 Mistral Large 3，AA 模态为 language；同事件含同系列多规格或多档变体；代表模型支持多模态输入或输出；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2025-12-002","GPT-5.2; GPT-Image 1.5","GPT-5.2 (xhigh)","language; text-to-image","1","0","1","1","0","1","0","0","代表模型为 GPT-5.2 (xhigh)，AA 模态为 language; text-to-image；代表模型支持多模态输入或输出；名称或事件文本指向推理模型；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2025-12-003","Gemini 3.0 Flash; Gemini 2.5 Flash Audio","Gemini 3 Flash Preview (Reasoning)","language; speech-to-speech","1","0","1","1","0","1","0","0","Gemini 3 Flash 和 Gemini 2.5 Flash Audio 属不同版本与模态，家族字段保守记 0。","B","2026-07-03"
"AIT-2025-12-004","Nova 2; Nova 2 Sonic","Nova 2.0 Pro Preview (medium)","language; speech-to-speech","1","1","1","0","0","1","0","0","Nova 2 系列含语言和语音组件，按跨模态、家族和多模态事件处理；未把 medium 档自动视为推理档。","B","2026-07-03"
"AIT-2025-12-005","Gen-4.5","Runway Gen-4.5","text-to-video","0","0","0","0","0","1","0","0","代表模型为 Runway Gen-4.5，AA 模态为 text-to-video；事件包含媒体生成模态。","B","2026-07-03"
