event_id,ai_year,ai_month,official_date,official_date_all,model_names,aa_creators,model_count,date_status,date_confidence,date_source_types
AIT-2024-09-006,2024,September,2024-09-25,2024-09-25,Llama 3.2,Meta,4,day_resolved,high,official_blog
AIT-2024-09-007,2024,September,2024-09-24,2024-09-24,Gemini Pro 1.5 002; Gemini Flash 1.5 002,Google,2,day_resolved,high,Google AI for Developers release notes
AIT-2024-09-008,2024,September,2024-09-18,2024-09-18,Moshi,Kyutai,1,day_resolved,high,official technical blog
AIT-2024-09-010,2024,September,2024-09-17,2024-09-17,Mistral Small,Mistral,1,day_resolved,high,official_model_card
AIT-2024-10-001,2024,October,2024-10-02,2024-10-02,Flux 1.1 Pro,Black Forest Labs,1,day_resolved,high,official blog
AIT-2024-10-010,2024,October,2024-10-22,2024-10-22,Stable Diffusion 3.5,Stability.ai,3,day_resolved,high,official blog
AIT-2024-10-011,2024,October,2024-10-22,2024-10-22,Claude 3.5 Sonnet New,Anthropic,1,day_resolved,high,official_news
AIT-2024-10-013,2024,October,2024-10-30,2024-10-30,Recraft v3,Recraft,1,day_resolved,high,official blog
AIT-2024-11-001,2024,November,2024-11-28,2024-11-28,QwQ 32B Preview,Alibaba,1,day_resolved,high,official_technical_blog
AIT-2024-11-002,2024,November,2024-11-12,2024-11-12,Qwen2.5 Coder 32B,Alibaba,1,day_resolved,high,official_technical_blog
AIT-2024-11-005,2024,November,2024-11-18,2024-11-18,Pixtral Large,Mistral,1,day_resolved,high,official_blog
AIT-2024-11-007,2024,November,2024-11-04,2024-11-04,Claude 3.5 Haiku,Anthropic,1,day_resolved,medium,platform release notes; official_news
AIT-2024-12-001,2024,December,2024-12-03,2024-12-03,NOVA,Amazon,3,day_resolved,high,official AWS News Blog
AIT-2024-12-002,2024,December,2024-12-05,2024-12-05; 2024-12-09,SORA; o1; o1 Pro,OpenAI,3,day_resolved,medium,official product announcement; official release notes
AIT-2024-12-004,2024,December,2024-12-11,2024-12-11,Gemini 2.0 Flash,Google,1,day_resolved,high,Google Blog
AIT-2024-12-005,2024,December,2024-12-19,2024-12-19,Gemini-2.0-Flash-Thinking,Google,1,day_resolved,high,Google AI for Developers release notes
AIT-2024-12-006,2024,December,2024-12-16,2024-12-16,Veo 2,Google,1,day_resolved,high,Google DeepMind model page; official blog
AIT-2024-12-008,2024,December,2024-12-12,2024-12-12,Phi4,Microsoft,1,day_resolved,high,official_model_card
AIT-2024-12-009,2024,December,2024-12-06,2024-12-06,Llama 3.3 70B,Meta,1,day_resolved,high,official_model_card
AIT-2024-12-013,2024,December,2024-12-26,2024-12-26,Deepseek V3,DeepSeek,1,day_resolved,high,official_api_announcement
AIT-2025-01-002,2025,January,2025-01-21,2025-01-21,Gemini Flash Thinking 0121,Google,1,day_resolved,high,Google AI for Developers release notes
AIT-2025-01-003,2025,January,2025-01-20,2025-01-20,R1,DeepSeek,1,day_resolved,high,official_api_announcement
AIT-2025-01-005,2025,January,2025-01-27,2025-01-27,Janus Pro 7B,DeepSeek,1,day_resolved,high,official_github_repository
AIT-2025-01-006,2025,January,2025-01-28,2025-01-28,Qwen2.5-Max,Alibaba,1,day_resolved,high,official_technical_blog
AIT-2025-01-007,2025,January,2025-01-31,2025-01-31,o3 mini,OpenAI,1,day_resolved,high,official product/research announcement
AIT-2025-02-001,2025,February 2025,2025-02-19,2025-02-19,Grok 3; Grok 3 Reasoning; Grok 3 mini,xAI,3,day_resolved,high,official technical blog
AIT-2025-02-002,2025,February 2025,2025-02-24,2025-02-24,Claude 3.7,Anthropic,1,day_resolved,high,official_news
AIT-2025-02-004,2025,February 2025,2025-02-05,2025-02-05,Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental,Google,3,day_resolved,high,Google AI for Developers release notes
AIT-2025-02-006,2025,February 2025,2025-02-26,2025-02-26,Phi4-mini; Phi4 Multimodal,Microsoft,2,day_resolved,high,official_blog
AIT-2025-02-007,2025,February 2025,2025-02-27,2025-02-27,GPT-4.5,OpenAI,1,day_resolved,high,official product/research announcement
AIT-2025-03-001,2025,March 2025,2025-03-25,2025-03-25,Gemini 2.5 Pro,Google,1,day_resolved,high,Google Blog
AIT-2025-03-003,2025,March 2025,2025-03-25,2025-03-25,GPT-4o Image Generation,OpenAI,1,day_resolved,high,official product/release announcement
AIT-2025-03-005,2025,March 2025,2025-03-06,2025-03-06,QwQ-32B,Alibaba,1,day_resolved,high,official_technical_blog
AIT-2025-03-007,2025,March 2025,2025-03-25,2025-03-25,DeepSeek-V3-0324,DeepSeek,1,day_resolved,high,official_api_announcement
AIT-2025-04-001,2025,April 2025,2025-04-05,2025-04-05,Llama 4,Meta,2,day_resolved,high,official_blog
AIT-2025-04-002,2025,April 2025,2025-04-17,2025-04-17,Gemini 2.5 Flash,Google,1,day_resolved,high,Google Developers Blog
AIT-2025-04-004,2025,April 2025,2025-04-14,2025-04-14,GPT-4.1,OpenAI,1,day_resolved,high,official product/research announcement
AIT-2025-04-005,2025,April 2025,2025-04-16,2025-04-16,o3 full; o4 mini,OpenAI,2,day_resolved,high,official product/research announcement
AIT-2025-04-006,2025,April 2025,2025-04-03,2025-04-03,v7,Midjourney,1,day_resolved,high,official documentation
AIT-2025-04-007,2025,April 2025,2025-03-31,2025-03-31,Runway Gen-4; Vidu Q1; Kling 2.0,KlingAI; Runway; Vidu,3,day_resolved,medium,official research page; official source not found
AIT-2025-04-008,2025,April 2025,2025-04-29,2025-04-29,Qwen 3,Alibaba,3,day_resolved,high,official_technical_blog
AIT-2025-05-002,2025,May 2025,2025-05-01,2025-05-01,Suno 4.5,Suno,1,day_resolved,high,official product blog
AIT-2025-05-003,2025,May 2025,2025-05-22,2025-05-22,Claude 4 Opus; Claude Sonnet 4,Anthropic,2,day_resolved,high,official_news
AIT-2025-05-004,2025,May 2025,2025-05-20,2025-05-20,Veo 3; Imagen 4,Google,4,day_resolved,high,Google Blog
AIT-2025-05-009,2025,May 2025,2025-05-28,2025-05-28,R1-0528,DeepSeek,1,day_resolved,high,official_api_announcement
AIT-2025-05-012,2025,May 2025,2025-05-20,2025-05-20,Gemma 3n,Google,1,day_resolved,high,Google Developers Blog
AIT-2025-06-002,2025,June 2025,2025-06-03,2025-06-03,Eleven v3 (alpha),ElevenLabs,1,day_resolved,high,official research blog
AIT-2025-06-003,2025,June 2025,2025-06-10,2025-06-10,o3 pro,OpenAI,1,day_resolved,medium,official release notes
AIT-2025-07-001,2025,July 2025,2025-07-09,2025-07-09,Grok 4,xAI,1,day_resolved,high,official technical blog
AIT-2025-07-005,2025,July 2025,2025-07-21,2025-07-21; 2025-07-22,Qwen3-235B-A22B-Instruct-2507; Qwen3-Coder,Alibaba,2,day_resolved,medium,official_model_card; official_technical_blog
AIT-2025-07-006,2025,July 2025,2025-07-11,2025-07-11,Kimi K2,Kimi,1,day_resolved,high,official_research_page
AIT-2025-07-007,2025,July 2025,2025-07-28,2025-07-28,GLM-4.5,Z AI,1,day_resolved,medium,official_blog_js_rendered
AIT-2025-08-002,2025,August 2025,2025-08-05,2025-08-05,Claude Opus 4.1,Anthropic,1,day_resolved,high,official_news
AIT-2025-08-004,2025,August 2025,2025-08-05,2025-08-05,gpt-oss-120b; gpt-oss-20b,OpenAI,2,day_resolved,high,official product/research announcement
AIT-2025-08-005,2025,August 2025,2025-08-07,2025-08-07,GPT-5,OpenAI,1,day_resolved,high,official product/research announcement
AIT-2025-08-006,2025,August 2025,2025-08-21,2025-08-21,DeepSeek V3.1,DeepSeek,1,day_resolved,high,official_api_announcement
AIT-2025-08-007,2025,August 2025,2025-08-26,2025-08-26,Gemini 2.5 Flash Image,Google,1,day_resolved,high,Google AI for Developers release notes
AIT-2025-09-001,2025,September 2025,2025-09-24,2025-09-24,Seedream 4.0,ByteDance Seed,1,day_resolved,medium,first-party technical report
AIT-2025-09-004,2025,September 2025,2025-09-23,2025-09-23,Suno v5,Suno,1,day_resolved,high,official release notes
AIT-2025-09-005,2025,September 2025,2025-09-24,2025-09-24,Qwen-3-Max,Alibaba,1,day_resolved,medium,official_blog_js_rendered
AIT-2025-09-007,2025,September 2025,2025-09-29,2025-09-29,Claude Sonnet 4.5,Anthropic,1,day_resolved,high,official_news
AIT-2025-09-008,2025,September 2025,2025-09-30,2025-09-30,Sora 2,OpenAI,1,day_resolved,high,official product/research announcement
AIT-2025-09-009,2025,September 2025,2025-09-29,2025-09-29,DeepSeek-V3.2-Exp,DeepSeek,1,day_resolved,high,official_api_announcement
AIT-2025-10-003,2025,October 2025,2025-10-15,2025-10-15,Claude 4.5 Haiku,Anthropic,1,day_resolved,high,official_product
AIT-2025-11-001,2025,November 2025,2025-11-06,2025-11-06,Kimi K2 Thinking,Kimi,1,day_resolved,high,official_research_page
AIT-2025-11-002,2025,November 2025,2025-11-12,2025-11-12,GPT 5.1,OpenAI,1,day_resolved,high,official product/release announcement
AIT-2025-11-003,2025,November 2025,2025-11-17,2025-11-17,Grok 4.1,xAI,1,day_resolved,high,official technical blog
AIT-2025-11-004,2025,November 2025,2025-11-18,2025-11-18,Gemini 3.0,Google,1,day_resolved,high,Google AI for Developers release notes
AIT-2025-11-006,2025,November 2025,2025-11-20,2025-11-20,Nano Banana Pro,Google,1,day_resolved,high,Google AI for Developers release notes
AIT-2025-11-007,2025,November 2025,2025-11-24,2025-11-24,Claude Opus 4.5,Anthropic,1,day_resolved,high,official_news
AIT-2025-11-008,2025,November 2025,2025-11-25,2025-11-25,FLUX 2,Black Forest Labs,3,day_resolved,medium,official model page
AIT-2025-12-001,2025,December 2025,2025-12-02,2025-12-02; 2025-12-09,Mistral 3; Devstral 2,Mistral,5,day_resolved,high,official_blog; official_blog
AIT-2025-12-002,2025,December 2025,2025-12-11,2025-12-11; 2025-12-16,GPT-5.2; GPT-Image 1.5,OpenAI,2,day_resolved,medium,official product/research announcement; official release notes
AIT-2025-12-003,2025,December 2025,2025-12-17,2025-12-17,Gemini 3.0 Flash; Gemini 2.5 Flash Audio,Google,2,day_resolved,high,Google AI for Developers release notes
AIT-2025-12-004,2025,December 2025,2025-12-02,2025-12-02,Nova 2; Nova 2 Sonic,Amazon,3,day_resolved,high,official what's-new post
AIT-2025-12-005,2025,December 2025,2025-12-01,2025-12-01,Gen-4.5,Runway,1,day_resolved,medium,official research page not retrieved
AIT-2025-12-006,2025,December 2025,2025-12-17,2025-12-17,Grok Voice Agent API,xAI,1,day_resolved,high,official technical blog
AIT-2025-12-007,2025,December 2025,2025-12-22,2025-12-22,GLM-4.7,Z AI,1,day_resolved,medium,official_blog_js_rendered
AIT-2025-12-009,2025,December 2025,2025-12-20,2025-12-20,MiniMax-M2.1,MiniMax,1,day_resolved,medium,first-party model repo (createdAt)
AIT-2026-01-003,2026,January 2026,2026-01-27,2026-01-27,Kimi K2.5,Kimi,1,day_resolved,high,official_research_page
AIT-2026-01-004,2026,January 2026,2026-01-28,2026-01-28,Imagine Video,xAI,1,day_resolved,medium,official technical blog
AIT-2026-02-001,2026,February 2026,2026-02-05,2026-02-05; 2026-02-17,Claude Opus 4.6; Claude Sonnet 4.6,Anthropic,2,day_resolved,high,official_news; official_product
AIT-2026-02-002,2026,February 2026,2026-02-05,2026-02-05,GPT-5.3-Codex,OpenAI,1,day_resolved,high,official product/research announcement
AIT-2026-02-005,2026,February 2026,2026-02-11,2026-02-11,GLM-5,Z AI,1,day_resolved,medium,official_blog_js_rendered
AIT-2026-02-006,2026,February 2026,2026-03-10,2026-03-10,Grok 4.20,xAI,1,day_resolved,low,official docs release notes
AIT-2026-02-008,2026,February 2026,2026-02-26,2026-02-26,Nano Banana 2,Google,1,day_resolved,high,Google AI for Developers release notes
AIT-2026-03-002,2026,March 2026,2026-03-05,2026-03-05; 2026-03-17,GPT-5.4; GPT-5.4 mini; GPT-5.4 nano,OpenAI,3,day_resolved,medium,official release notes; official product announcement
AIT-2026-03-003,2026,March 2026,2026-03-16,2026-03-16,Mistral Small 4,Mistral,1,day_resolved,high,official_model_card
AIT-2026-03-004,2026,March 2026,2026-03-26,2026-03-26,Suno v5.5,Suno,1,day_resolved,high,official product blog
