event_id,ai_year,ai_month,official_date,official_date_all,model_names,aa_creators,model_count,date_status,date_confidence,date_source_types,event_trading_date,first_us_trading_date_on_or_after_official_date,official_date_is_trading_day,date_roll_rule,price_start_for_return_at_t_minus_200,estimation_start_t_minus_200,estimation_end_t_minus_10,pre_window_start_t_minus_10,pre_window_end_t_minus_2,event_window_end_t_plus_20,official_date_month_matches_ai_month,multi_component_date_flag,release_time_status,date_review_flag
AIT-2024-05-001,2024,May,2024-05-13,2024-05-13,GPT-4o model,OpenAI,1,day_resolved,high,official research/product announcement,2024-05-13,2024-05-13,True,same_day,2023-07-26,2023-07-27,2024-04-29,2024-04-29,2024-05-09,2024-06-11,True,False,unknown,False
AIT-2024-05-002,2024,May,2024-05-14,2024-05-14,Gemini Flash 1.5 model,Google,1,day_resolved,high,Google Blog,2024-05-14,2024-05-14,True,same_day,2023-07-27,2023-07-28,2024-04-30,2024-04-30,2024-05-10,2024-06-12,True,False,unknown,False
AIT-2024-06-001,2024,June,2024-06-12,2024-06-12,Stable Diffusion 3,Stability.ai,1,day_resolved,high,official blog,2024-06-12,2024-06-12,True,same_day,2023-08-24,2023-08-25,2024-05-29,2024-05-29,2024-06-10,2024-07-12,True,False,unknown,False
AIT-2024-06-003,2024,June,2024-06-17,2024-06-17,DeepSeekCoderV2,DeepSeek,1,day_resolved,high,first-party_technical_report,2024-06-17,2024-06-17,True,same_day,2023-08-29,2023-08-30,2024-06-03,2024-06-03,2024-06-13,2024-07-17,True,False,unknown,False
AIT-2024-06-004,2024,June,2024-06-17,2024-06-17,Gen3 Alpha,Runway,1,day_resolved,high,official research blog,2024-06-17,2024-06-17,True,same_day,2023-08-29,2023-08-30,2024-06-03,2024-06-03,2024-06-13,2024-07-17,True,False,unknown,False
AIT-2024-06-005,2024,June,2024-06-20,2024-06-20,Claude Sonnet 3.5,Anthropic,1,day_resolved,high,official_news,2024-06-20,2024-06-20,True,same_day,2023-08-31,2023-09-01,2024-06-05,2024-06-05,2024-06-17,2024-07-19,True,False,unknown,False
AIT-2024-07-001,2024,July,2024-07-18,2024-07-18,GPT-4o mini,OpenAI,1,day_resolved,high,official product announcement,2024-07-18,2024-07-18,True,same_day,2023-09-28,2023-09-29,2024-07-03,2024-07-03,2024-07-16,2024-08-15,True,False,unknown,False
AIT-2024-07-002,2024,July,2024-07-23,2024-07-23,llama 3.1 model,Meta,3,day_resolved,high,official_blog,2024-07-23,2024-07-23,True,same_day,2023-10-03,2023-10-04,2024-07-09,2024-07-09,2024-07-19,2024-08-20,True,False,unknown,False
AIT-2024-07-006,2024,July,2024-07-23,2024-07-23,Udio v1.5,Udio,1,day_resolved,high,official blog,2024-07-23,2024-07-23,True,same_day,2023-10-03,2023-10-04,2024-07-09,2024-07-09,2024-07-19,2024-08-20,True,False,unknown,False
AIT-2024-07-007,2024,July,2024-07-24,2024-07-24,Mistral Large 2,Mistral,1,day_resolved,high,official_blog,2024-07-24,2024-07-24,True,same_day,2023-10-04,2023-10-05,2024-07-10,2024-07-10,2024-07-22,2024-08-21,True,False,unknown,False
AIT-2024-07-008,2024,July,2024-07-30,2024-07-30,Midjourney v6.1,Midjourney,1,day_resolved,high,official documentation,2024-07-30,2024-07-30,True,same_day,2023-10-10,2023-10-11,2024-07-16,2024-07-16,2024-07-26,2024-08-27,True,False,unknown,False
AIT-2024-08-001,2024,August,2024-08-01,2024-08-01,Flux,Black Forest Labs,3,day_resolved,high,official blog,2024-08-01,2024-08-01,True,same_day,2023-10-12,2023-10-13,2024-07-18,2024-07-18,2024-07-30,2024-08-29,True,False,unknown,False
AIT-2024-08-002,2024,August,2024-08-06,2024-08-06,GPT-4o 0806,OpenAI,1,day_resolved,high,official blog (dated via Wayback first snapshot),2024-08-06,2024-08-06,True,same_day,2023-10-17,2023-10-18,2024-07-23,2024-07-23,2024-08-02,2024-09-04,True,False,unknown,False
AIT-2024-08-003,2024,August,2024-08-13,2024-08-13,Imagen 3,Google,1,day_resolved,medium,first-party technical report (arXiv),2024-08-13,2024-08-13,True,same_day,2023-10-24,2023-10-25,2024-07-30,2024-07-30,2024-08-09,2024-09-11,True,False,unknown,False
AIT-2024-08-004,2024,August,2024-08-13,2024-08-13,Grok 2,xAI,1,day_resolved,high,official technical blog,2024-08-13,2024-08-13,True,same_day,2023-10-24,2023-10-25,2024-07-30,2024-07-30,2024-08-09,2024-09-11,True,False,unknown,False
AIT-2024-08-006,2024,August,2024-08-27,2024-08-27,Gemini 1.5 Flash8B,Google,1,day_resolved,high,official changelog,2024-08-27,2024-08-27,True,same_day,2023-11-07,2023-11-08,2024-08-13,2024-08-13,2024-08-23,2024-09-25,True,False,unknown,False
AIT-2024-09-002,2024,September,2024-09-12,2024-09-12,o1 preview; o1 mini,OpenAI,2,day_resolved,high,official product announcement,2024-09-12,2024-09-12,True,same_day,2023-11-22,2023-11-24,2024-08-28,2024-08-28,2024-09-10,2024-10-10,True,False,unknown,False
AIT-2024-09-003,2024,September,2024-09-19,2024-09-19,Qwen 2.5,Alibaba,2,day_resolved,high,official_technical_blog,2024-09-19,2024-09-19,True,same_day,2023-11-30,2023-12-01,2024-09-05,2024-09-05,2024-09-17,2024-10-17,True,False,unknown,False
AIT-2024-09-006,2024,September,2024-09-25,2024-09-25,Llama 3.2,Meta,4,day_resolved,high,official_blog,2024-09-25,2024-09-25,True,same_day,2023-12-06,2023-12-07,2024-09-11,2024-09-11,2024-09-23,2024-10-23,True,False,unknown,False
AIT-2024-09-007,2024,September,2024-09-24,2024-09-24,Gemini Pro 1.5 002; Gemini Flash 1.5 002,Google,2,day_resolved,high,Google AI for Developers release notes,2024-09-24,2024-09-24,True,same_day,2023-12-05,2023-12-06,2024-09-10,2024-09-10,2024-09-20,2024-10-22,True,False,unknown,False
AIT-2024-09-008,2024,September,2024-09-18,2024-09-18,Moshi,Kyutai,1,day_resolved,high,official technical blog,2024-09-18,2024-09-18,True,same_day,2023-11-29,2023-11-30,2024-09-04,2024-09-04,2024-09-16,2024-10-16,True,False,unknown,False
AIT-2024-09-010,2024,September,2024-09-17,2024-09-17,Mistral Small,Mistral,1,day_resolved,high,official_model_card,2024-09-17,2024-09-17,True,same_day,2023-11-28,2023-11-29,2024-09-03,2024-09-03,2024-09-13,2024-10-15,True,False,unknown,False
AIT-2024-10-001,2024,October,2024-10-02,2024-10-02,Flux 1.1 Pro,Black Forest Labs,1,day_resolved,high,official blog,2024-10-02,2024-10-02,True,same_day,2023-12-13,2023-12-14,2024-09-18,2024-09-18,2024-09-30,2024-10-30,True,False,unknown,False
AIT-2024-10-010,2024,October,2024-10-22,2024-10-22,Stable Diffusion 3.5,Stability.ai,3,day_resolved,high,official blog,2024-10-22,2024-10-22,True,same_day,2024-01-04,2024-01-05,2024-10-08,2024-10-08,2024-10-18,2024-11-19,True,False,unknown,False
AIT-2024-10-011,2024,October,2024-10-22,2024-10-22,Claude 3.5 Sonnet New,Anthropic,1,day_resolved,high,official_news,2024-10-22,2024-10-22,True,same_day,2024-01-04,2024-01-05,2024-10-08,2024-10-08,2024-10-18,2024-11-19,True,False,unknown,False
AIT-2024-10-013,2024,October,2024-10-30,2024-10-30,Recraft v3,Recraft,1,day_resolved,high,official blog,2024-10-30,2024-10-30,True,same_day,2024-01-12,2024-01-16,2024-10-16,2024-10-16,2024-10-28,2024-11-27,True,False,unknown,False
AIT-2024-11-001,2024,November,2024-11-28,2024-11-28,QwQ 32B Preview,Alibaba,1,day_resolved,high,official_technical_blog,2024-11-29,2024-11-29,False,next_trading_day_nonmarket,2024-02-13,2024-02-14,2024-11-14,2024-11-14,2024-11-26,2024-12-30,True,False,unknown,False
AIT-2024-11-002,2024,November,2024-11-12,2024-11-12,Qwen2.5 Coder 32B,Alibaba,1,day_resolved,high,official_technical_blog,2024-11-12,2024-11-12,True,same_day,2024-01-26,2024-01-29,2024-10-29,2024-10-29,2024-11-08,2024-12-11,True,False,unknown,False
AIT-2024-11-005,2024,November,2024-11-18,2024-11-18,Pixtral Large,Mistral,1,day_resolved,high,official_blog,2024-11-18,2024-11-18,True,same_day,2024-02-01,2024-02-02,2024-11-04,2024-11-04,2024-11-14,2024-12-17,True,False,unknown,False
AIT-2024-11-007,2024,November,2024-11-04,2024-11-04,Claude 3.5 Haiku,Anthropic,1,day_resolved,medium,platform release notes; official_news,2024-11-04,2024-11-04,True,same_day,2024-01-18,2024-01-19,2024-10-21,2024-10-21,2024-10-31,2024-12-03,True,False,unknown,False
AIT-2024-12-001,2024,December,2024-12-03,2024-12-03,NOVA,Amazon,3,day_resolved,high,official AWS News Blog,2024-12-03,2024-12-03,True,same_day,2024-02-15,2024-02-16,2024-11-18,2024-11-18,2024-11-29,2025-01-02,True,False,unknown,False
AIT-2024-12-002,2024,December,2024-12-05,2024-12-05; 2024-12-09,SORA; o1; o1 Pro,OpenAI,3,day_resolved,medium,official product announcement; official release notes,2024-12-05,2024-12-05,True,same_day,2024-02-20,2024-02-21,2024-11-20,2024-11-20,2024-12-03,2025-01-06,True,True,unknown,True
AIT-2024-12-004,2024,December,2024-12-11,2024-12-11,Gemini 2.0 Flash,Google,1,day_resolved,high,Google Blog,2024-12-11,2024-12-11,True,same_day,2024-02-26,2024-02-27,2024-11-26,2024-11-26,2024-12-09,2025-01-13,True,False,unknown,False
AIT-2024-12-005,2024,December,2024-12-19,2024-12-19,Gemini-2.0-Flash-Thinking,Google,1,day_resolved,high,Google AI for Developers release notes,2024-12-19,2024-12-19,True,same_day,2024-03-05,2024-03-06,2024-12-05,2024-12-05,2024-12-17,2025-01-22,True,False,unknown,False
AIT-2024-12-006,2024,December,2024-12-16,2024-12-16,Veo 2,Google,1,day_resolved,high,Google DeepMind model page; official blog,2024-12-16,2024-12-16,True,same_day,2024-02-29,2024-03-01,2024-12-02,2024-12-02,2024-12-12,2025-01-16,True,False,unknown,False
AIT-2024-12-008,2024,December,2024-12-12,2024-12-12,Phi4,Microsoft,1,day_resolved,high,official_model_card,2024-12-12,2024-12-12,True,same_day,2024-02-27,2024-02-28,2024-11-27,2024-11-27,2024-12-10,2025-01-14,True,False,unknown,False
AIT-2024-12-009,2024,December,2024-12-06,2024-12-06,Llama 3.3 70B,Meta,1,day_resolved,high,official_model_card,2024-12-06,2024-12-06,True,same_day,2024-02-21,2024-02-22,2024-11-21,2024-11-21,2024-12-04,2025-01-07,True,False,unknown,False
AIT-2024-12-013,2024,December,2024-12-26,2024-12-26,Deepseek V3,DeepSeek,1,day_resolved,high,official_api_announcement,2024-12-26,2024-12-26,True,same_day,2024-03-11,2024-03-12,2024-12-11,2024-12-11,2024-12-23,2025-01-28,True,False,unknown,False
AIT-2025-01-002,2025,January,2025-01-21,2025-01-21,Gemini Flash Thinking 0121,Google,1,day_resolved,high,Google AI for Developers release notes,2025-01-21,2025-01-21,True,same_day,2024-04-02,2024-04-03,2025-01-03,2025-01-03,2025-01-16,2025-02-19,True,False,unknown,False
AIT-2025-01-003,2025,January,2025-01-20,2025-01-20,R1,DeepSeek,1,day_resolved,high,official_api_announcement,2025-01-21,2025-01-21,False,next_trading_day_nonmarket,2024-04-02,2024-04-03,2025-01-03,2025-01-03,2025-01-16,2025-02-19,True,False,unknown,False
AIT-2025-01-005,2025,January,2025-01-27,2025-01-27,Janus Pro 7B,DeepSeek,1,day_resolved,high,official_github_repository,2025-01-27,2025-01-27,True,same_day,2024-04-08,2024-04-09,2025-01-10,2025-01-10,2025-01-23,2025-02-25,True,False,unknown,False
AIT-2025-01-006,2025,January,2025-01-28,2025-01-28,Qwen2.5-Max,Alibaba,1,day_resolved,high,official_technical_blog,2025-01-28,2025-01-28,True,same_day,2024-04-09,2024-04-10,2025-01-13,2025-01-13,2025-01-24,2025-02-26,True,False,unknown,False
AIT-2025-01-007,2025,January,2025-01-31,2025-01-31,o3 mini,OpenAI,1,day_resolved,high,official product/research announcement,2025-01-31,2025-01-31,True,same_day,2024-04-12,2024-04-15,2025-01-16,2025-01-16,2025-01-29,2025-03-03,True,False,unknown,False
AIT-2025-02-001,2025,February 2025,2025-02-19,2025-02-19,Grok 3; Grok 3 Reasoning; Grok 3 mini,xAI,3,day_resolved,high,official technical blog,2025-02-19,2025-02-19,True,same_day,2024-04-30,2024-05-01,2025-02-04,2025-02-04,2025-02-14,2025-03-19,True,False,unknown,False
AIT-2025-02-002,2025,February 2025,2025-02-24,2025-02-24,Claude 3.7,Anthropic,1,day_resolved,high,official_news,2025-02-24,2025-02-24,True,same_day,2024-05-03,2024-05-06,2025-02-07,2025-02-07,2025-02-20,2025-03-24,True,False,unknown,False
AIT-2025-02-004,2025,February 2025,2025-02-05,2025-02-05,Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental,Google,3,day_resolved,high,Google AI for Developers release notes,2025-02-05,2025-02-05,True,same_day,2024-04-17,2024-04-18,2025-01-22,2025-01-22,2025-02-03,2025-03-06,True,False,unknown,False
AIT-2025-02-006,2025,February 2025,2025-02-26,2025-02-26,Phi4-mini; Phi4 Multimodal,Microsoft,2,day_resolved,high,official_blog,2025-02-26,2025-02-26,True,same_day,2024-05-07,2024-05-08,2025-02-11,2025-02-11,2025-02-24,2025-03-26,True,False,unknown,False
AIT-2025-02-007,2025,February 2025,2025-02-27,2025-02-27,GPT-4.5,OpenAI,1,day_resolved,high,official product/research announcement,2025-02-27,2025-02-27,True,same_day,2024-05-08,2024-05-09,2025-02-12,2025-02-12,2025-02-25,2025-03-27,True,False,unknown,False
AIT-2025-03-001,2025,March 2025,2025-03-25,2025-03-25,Gemini 2.5 Pro,Google,1,day_resolved,high,Google Blog,2025-03-25,2025-03-25,True,same_day,2024-06-04,2024-06-05,2025-03-11,2025-03-11,2025-03-21,2025-04-23,True,False,unknown,False
AIT-2025-03-003,2025,March 2025,2025-03-25,2025-03-25,GPT-4o Image Generation,OpenAI,1,day_resolved,high,official product/release announcement,2025-03-25,2025-03-25,True,same_day,2024-06-04,2024-06-05,2025-03-11,2025-03-11,2025-03-21,2025-04-23,True,False,unknown,False
AIT-2025-03-005,2025,March 2025,2025-03-06,2025-03-06,QwQ-32B,Alibaba,1,day_resolved,high,official_technical_blog,2025-03-06,2025-03-06,True,same_day,2024-05-15,2024-05-16,2025-02-20,2025-02-20,2025-03-04,2025-04-03,True,False,unknown,False
AIT-2025-03-007,2025,March 2025,2025-03-25,2025-03-25,DeepSeek-V3-0324,DeepSeek,1,day_resolved,high,official_api_announcement,2025-03-25,2025-03-25,True,same_day,2024-06-04,2024-06-05,2025-03-11,2025-03-11,2025-03-21,2025-04-23,True,False,unknown,False
AIT-2025-04-001,2025,April 2025,2025-04-05,2025-04-05,Llama 4,Meta,2,day_resolved,high,official_blog,2025-04-07,2025-04-07,False,next_trading_day_nonmarket,2024-06-17,2024-06-18,2025-03-24,2025-03-24,2025-04-03,2025-05-06,True,False,unknown,False
AIT-2025-04-002,2025,April 2025,2025-04-17,2025-04-17,Gemini 2.5 Flash,Google,1,day_resolved,high,Google Developers Blog,2025-04-17,2025-04-17,True,same_day,2024-06-28,2024-07-01,2025-04-03,2025-04-03,2025-04-15,2025-05-16,True,False,unknown,False
AIT-2025-04-004,2025,April 2025,2025-04-14,2025-04-14,GPT-4.1,OpenAI,1,day_resolved,high,official product/research announcement,2025-04-14,2025-04-14,True,same_day,2024-06-25,2024-06-26,2025-03-31,2025-03-31,2025-04-10,2025-05-13,True,False,unknown,False
AIT-2025-04-005,2025,April 2025,2025-04-16,2025-04-16,o3 full; o4 mini,OpenAI,2,day_resolved,high,official product/research announcement,2025-04-16,2025-04-16,True,same_day,2024-06-27,2024-06-28,2025-04-02,2025-04-02,2025-04-14,2025-05-15,True,False,unknown,False
AIT-2025-04-006,2025,April 2025,2025-04-03,2025-04-03,v7,Midjourney,1,day_resolved,high,official documentation,2025-04-03,2025-04-03,True,same_day,2024-06-13,2024-06-14,2025-03-20,2025-03-20,2025-04-01,2025-05-02,True,False,unknown,False
AIT-2025-04-007,2025,April 2025,2025-03-31,2025-03-31,Runway Gen-4; Vidu Q1; Kling 2.0,KlingAI; Runway; Vidu,3,day_resolved,medium,official research page; official source not found,2025-03-31,2025-03-31,True,same_day,2024-06-10,2024-06-11,2025-03-17,2025-03-17,2025-03-27,2025-04-29,False,False,unknown,True
AIT-2025-04-008,2025,April 2025,2025-04-29,2025-04-29,Qwen 3,Alibaba,3,day_resolved,high,official_technical_blog,2025-04-29,2025-04-29,True,same_day,2024-07-10,2024-07-11,2025-04-14,2025-04-14,2025-04-25,2025-05-28,True,False,unknown,False
AIT-2025-05-002,2025,May 2025,2025-05-01,2025-05-01,Suno 4.5,Suno,1,day_resolved,high,official product blog,2025-05-01,2025-05-01,True,same_day,2024-07-12,2024-07-15,2025-04-16,2025-04-16,2025-04-29,2025-05-30,True,False,unknown,False
AIT-2025-05-003,2025,May 2025,2025-05-22,2025-05-22,Claude 4 Opus; Claude Sonnet 4,Anthropic,2,day_resolved,high,official_news,2025-05-22,2025-05-22,True,same_day,2024-08-02,2024-08-05,2025-05-08,2025-05-08,2025-05-20,2025-06-23,True,False,unknown,False
AIT-2025-05-004,2025,May 2025,2025-05-20,2025-05-20,Veo 3; Imagen 4,Google,4,day_resolved,high,Google Blog,2025-05-20,2025-05-20,True,same_day,2024-07-31,2024-08-01,2025-05-06,2025-05-06,2025-05-16,2025-06-18,True,False,unknown,False
AIT-2025-05-009,2025,May 2025,2025-05-28,2025-05-28,R1-0528,DeepSeek,1,day_resolved,high,official_api_announcement,2025-05-28,2025-05-28,True,same_day,2024-08-07,2024-08-08,2025-05-13,2025-05-13,2025-05-23,2025-06-26,True,False,unknown,False
AIT-2025-05-012,2025,May 2025,2025-05-20,2025-05-20,Gemma 3n,Google,1,day_resolved,high,Google Developers Blog,2025-05-20,2025-05-20,True,same_day,2024-07-31,2024-08-01,2025-05-06,2025-05-06,2025-05-16,2025-06-18,True,False,unknown,False
AIT-2025-06-002,2025,June 2025,2025-06-03,2025-06-03,Eleven v3 (alpha),ElevenLabs,1,day_resolved,high,official research blog,2025-06-03,2025-06-03,True,same_day,2024-08-13,2024-08-14,2025-05-19,2025-05-19,2025-05-30,2025-07-02,True,False,unknown,False
AIT-2025-06-003,2025,June 2025,2025-06-10,2025-06-10,o3 pro,OpenAI,1,day_resolved,medium,official release notes,2025-06-10,2025-06-10,True,same_day,2024-08-20,2024-08-21,2025-05-27,2025-05-27,2025-06-06,2025-07-10,True,False,unknown,False
AIT-2025-07-001,2025,July 2025,2025-07-09,2025-07-09,Grok 4,xAI,1,day_resolved,high,official technical blog,2025-07-09,2025-07-09,True,same_day,2024-09-17,2024-09-18,2025-06-24,2025-06-24,2025-07-07,2025-08-06,True,False,unknown,False
AIT-2025-07-005,2025,July 2025,2025-07-21,2025-07-21; 2025-07-22,Qwen3-235B-A22B-Instruct-2507; Qwen3-Coder,Alibaba,2,day_resolved,medium,official_model_card; official_technical_blog,2025-07-21,2025-07-21,True,same_day,2024-09-27,2024-09-30,2025-07-07,2025-07-07,2025-07-17,2025-08-18,True,True,unknown,True
AIT-2025-07-006,2025,July 2025,2025-07-11,2025-07-11,Kimi K2,Kimi,1,day_resolved,high,official_research_page,2025-07-11,2025-07-11,True,same_day,2024-09-19,2024-09-20,2025-06-26,2025-06-26,2025-07-09,2025-08-08,True,False,unknown,False
AIT-2025-07-007,2025,July 2025,2025-07-28,2025-07-28,GLM-4.5,Z AI,1,day_resolved,medium,official_blog_js_rendered,2025-07-28,2025-07-28,True,same_day,2024-10-04,2024-10-07,2025-07-14,2025-07-14,2025-07-24,2025-08-25,True,False,unknown,False
AIT-2025-08-002,2025,August 2025,2025-08-05,2025-08-05,Claude Opus 4.1,Anthropic,1,day_resolved,high,official_news,2025-08-05,2025-08-05,True,same_day,2024-10-14,2024-10-15,2025-07-22,2025-07-22,2025-08-01,2025-09-03,True,False,unknown,False
AIT-2025-08-004,2025,August 2025,2025-08-05,2025-08-05,gpt-oss-120b; gpt-oss-20b,OpenAI,2,day_resolved,high,official product/research announcement,2025-08-05,2025-08-05,True,same_day,2024-10-14,2024-10-15,2025-07-22,2025-07-22,2025-08-01,2025-09-03,True,False,unknown,False
AIT-2025-08-005,2025,August 2025,2025-08-07,2025-08-07,GPT-5,OpenAI,1,day_resolved,high,official product/research announcement,2025-08-07,2025-08-07,True,same_day,2024-10-16,2024-10-17,2025-07-24,2025-07-24,2025-08-05,2025-09-05,True,False,unknown,False
AIT-2025-08-006,2025,August 2025,2025-08-21,2025-08-21,DeepSeek V3.1,DeepSeek,1,day_resolved,high,official_api_announcement,2025-08-21,2025-08-21,True,same_day,2024-10-30,2024-10-31,2025-08-07,2025-08-07,2025-08-19,2025-09-19,True,False,unknown,False
AIT-2025-08-007,2025,August 2025,2025-08-26,2025-08-26,Gemini 2.5 Flash Image,Google,1,day_resolved,high,Google AI for Developers release notes,2025-08-26,2025-08-26,True,same_day,2024-11-04,2024-11-05,2025-08-12,2025-08-12,2025-08-22,2025-09-24,True,False,unknown,False
AIT-2025-09-001,2025,September 2025,2025-09-24,2025-09-24,Seedream 4.0,ByteDance Seed,1,day_resolved,medium,first-party technical report,2025-09-24,2025-09-24,True,same_day,2024-12-03,2024-12-04,2025-09-10,2025-09-10,2025-09-22,2025-10-22,True,False,unknown,False
AIT-2025-09-004,2025,September 2025,2025-09-23,2025-09-23,Suno v5,Suno,1,day_resolved,high,official release notes,2025-09-23,2025-09-23,True,same_day,2024-12-02,2024-12-03,2025-09-09,2025-09-09,2025-09-19,2025-10-21,True,False,unknown,False
AIT-2025-09-005,2025,September 2025,2025-09-24,2025-09-24,Qwen-3-Max,Alibaba,1,day_resolved,medium,official_blog_js_rendered,2025-09-24,2025-09-24,True,same_day,2024-12-03,2024-12-04,2025-09-10,2025-09-10,2025-09-22,2025-10-22,True,False,unknown,False
AIT-2025-09-007,2025,September 2025,2025-09-29,2025-09-29,Claude Sonnet 4.5,Anthropic,1,day_resolved,high,official_news,2025-09-29,2025-09-29,True,same_day,2024-12-06,2024-12-09,2025-09-15,2025-09-15,2025-09-25,2025-10-27,True,False,unknown,False
AIT-2025-09-008,2025,September 2025,2025-09-30,2025-09-30,Sora 2,OpenAI,1,day_resolved,high,official product/research announcement,2025-09-30,2025-09-30,True,same_day,2024-12-09,2024-12-10,2025-09-16,2025-09-16,2025-09-26,2025-10-28,True,False,unknown,False
