source_row_number,event_name,creator,release_date,refined_event_type,aa_match_status,current_aa_candidate,match_score,failure_reason,candidate_1,candidate_2,candidate_3,recommended_action,manual_confirmed_model_id,manual_notes
19,Gemini 1.5,Google,2024/2/15,multimodal_model,matched_low_confidence,Gemini 1.5 Flash-8B | id=94229066-9381-4ee1-bf70-a16d63756a6e | score=0.6989 | method=fuzzy_name+creator,0.6989,ambiguous_variant,Gemini 1.5 Flash-8B | id=94229066-9381-4ee1-bf70-a16d63756a6e | score=0.6989 | method=fuzzy_name+creator | release_date=2024-10-03,Gemini 1.5 Pro (May '24) | id=16f2578b-1b28-4be3-b371-700c2677bcd6 | score=0.65 | method=fuzzy_name+creator | release_date=2024-05-15,Gemini 1.5 Pro (Sep '24) | id=2ac96b67-f4f8-4c8c-ac08-c7510faa7bb9 | score=0.65 | method=fuzzy_name+creator | release_date=2024-09-24,manual_select_specific_variant,,
21,Gemini 2.0 Flash Experimental,Google,2025/3/12,multimodal_model,matched_low_confidence,Gemini 2.0 Flash (Feb '25) | id=bcca0e70-7e80-4c07-b1fa-b33bcfb19e51 | score=0.84 | method=ambiguous_base_name+creator,0.84,ambiguous_variant,Gemini 2.0 Flash (experimental) | id=fddb72bd-60d3-41af-acc5-3df9a290eb8e | score=1.0 | method=exact_base_name+creator | release_date=2024-12-11,Gemini 2.0 Flash (Feb '25) | id=bcca0e70-7e80-4c07-b1fa-b33bcfb19e51 | score=0.9 | method=exact_base_name+creator | release_date=2025-02-05,Gemini 2.0 Flash-Lite (Preview) | id=3de55b83-e02b-412e-8211-315bbebe3e94 | score=0.8162 | method=fuzzy_name+creator | release_date=2025-02-05,manual_select_specific_variant,,
23,Gemini 2.5 Flash Image (Nano Banana),Google,2025/8/26,image_model,matched_low_confidence,Gemini 2.5 Flash (Non-reasoning) | id=6afbfb62-27e4-435e-9c85-d9fe1b92519e | score=0.7219 | method=fuzzy_name+creator,0.7219,non_llm_endpoint_mismatch,Gemini 2.5 Flash (Non-reasoning) | id=6afbfb62-27e4-435e-9c85-d9fe1b92519e | score=0.7219 | method=fuzzy_name+creator | release_date=2025-05-20,Gemini 2.5 Flash-Lite (Non-reasoning) | id=1d81aa1c-64c8-442a-9c41-81b37e407b91 | score=0.6929 | method=fuzzy_name+creator | release_date=2025-06-17,Gemini 2.5 Flash-Lite (Reasoning) | id=f4e8194a-d0e6-48eb-92be-4307de5aeeec | score=0.6918 | method=fuzzy_name+creator | release_date=2025-06-17,use_aa_media_endpoint,,
25,Gemini 3.0,Google,2025/11/15,multimodal_model,unmatched,,,name_alias_issue,Gemini 1.0 Pro | id=8ddacd41-bf43-411b-aa30-43ebf0567dd8 | score=0.422 | method=fuzzy_name+creator | release_date=2023-12-06,Gemini 1.0 Ultra | id=2ae624ca-25b4-4cc8-8970-cdfdd3320691 | score=0.3805 | method=fuzzy_name+creator | release_date=2023-12-06,Gemini 3 Deep Think | id=a5092ece-d5a7-461f-b036-3faef262423f | score=0.3789 | method=fuzzy_name+creator | release_date=2026-02-05,manual_alias_confirm_then_backfill,,
26,Gemini 3.0 Flash,Google,2025/12/10,multimodal_model,unmatched,,,name_alias_issue,Gemini 2.0 Flash (Feb '25) | id=bcca0e70-7e80-4c07-b1fa-b33bcfb19e51 | score=0.4974 | method=fuzzy_name+creator | release_date=2025-02-05,Gemini 3 Flash Preview (Reasoning) | id=7c73c3be-7f51-4d14-bec8-d5789488df25 | score=0.4415 | method=fuzzy_name+creator | release_date=2025-12-17,Gemini 2.0 Flash (experimental) | id=fddb72bd-60d3-41af-acc5-3df9a290eb8e | score=0.44 | method=fuzzy_name+creator | release_date=2024-12-11,manual_alias_confirm_then_backfill,,
27,Gemini Deep Think,Google,2025/7/20,reasoning_llm,matched_low_confidence,Gemini 3 Deep Think | id=a5092ece-d5a7-461f-b036-3faef262423f | score=0.8268 | method=fuzzy_name+creator,0.8268,name_alias_issue,Gemini 3 Deep Think | id=a5092ece-d5a7-461f-b036-3faef262423f | score=0.8268 | method=fuzzy_name+creator | release_date=2026-02-05,Gemini 2.5 Pro | id=27202e5f-c82d-4710-92e9-4317877d4883 | score=0.3844 | method=fuzzy_name+creator | release_date=2025-06-05,Gemini 3 Pro Preview (high) | id=d1122eff-ee85-4fdc-8a9f-23bee6590667 | score=0.3714 | method=fuzzy_name+creator | release_date=2025-11-18,manual_alias_confirm_then_backfill,,
28,Gemini Diffusion,Google,2025/5/20,image_model,unmatched,,,non_llm_endpoint_mismatch,Gemini 2.5 Flash (Reasoning) | id=219ed587-60c5-4a48-9517-8480e08d0ca1 | score=0.4559 | method=fuzzy_name+creator | release_date=2025-05-20,Gemini 2.5 Flash (Non-reasoning) | id=6afbfb62-27e4-435e-9c85-d9fe1b92519e | score=0.42 | method=fuzzy_name+creator | release_date=2025-05-20,Gemini 3 Deep Think | id=a5092ece-d5a7-461f-b036-3faef262423f | score=0.3941 | method=fuzzy_name+creator | release_date=2026-02-05,use_aa_media_endpoint,,
29,Gemini Flash 1.5,Google,2024/5/14,multimodal_model,matched_low_confidence,Gemini 1.5 Flash-8B | id=94229066-9381-4ee1-bf70-a16d63756a6e | score=0.84 | method=ambiguous_fuzzy_match,0.84,ambiguous_variant,Gemini 1.5 Flash-8B | id=94229066-9381-4ee1-bf70-a16d63756a6e | score=0.9226 | method=fuzzy_name+creator | release_date=2024-10-03,Gemini 1.5 Flash (May '24) | id=ac48c49d-9e77-4394-ac4e-d1ee51fd5fee | score=0.9205 | method=fuzzy_name+creator | release_date=2024-05-14,Gemini 1.5 Flash (Sep '24) | id=41faf421-118b-465b-b170-d200776580d1 | score=0.8205 | method=fuzzy_name+creator | release_date=2024-09-24,manual_select_specific_variant,,
30,Gemini Flash Thinking 0121,Google,2025/1/21,reasoning_llm,unmatched,,,name_alias_issue,Gemini 2.0 Flash Thinking Experimental (Jan '25) | id=0399e614-5d46-484f-9183-e4f32d74e1c6 | score=0.5091 | method=fuzzy_name+creator | release_date=2025-01-21,Gemini 2.0 Flash Thinking Experimental (Dec '24) | id=dfeeb904-e784-4d5c-ad66-9400146b150b | score=0.4391 | method=fuzzy_name+creator | release_date=2024-12-19,Gemini 2.5 Flash (Reasoning) | id=219ed587-60c5-4a48-9517-8480e08d0ca1 | score=0.4262 | method=fuzzy_name+creator | release_date=2025-05-20,manual_alias_confirm_then_backfill,,
31,Gemini Pro,Google,2024/2/15,multimodal_model,matched_low_confidence,Gemini 1.0 Pro | id=8ddacd41-bf43-411b-aa30-43ebf0567dd8 | score=0.708 | method=fuzzy_name+creator,0.708,ambiguous_variant,Gemini 1.0 Pro | id=8ddacd41-bf43-411b-aa30-43ebf0567dd8 | score=0.708 | method=fuzzy_name+creator | release_date=2023-12-06,Gemini 2.5 Pro | id=27202e5f-c82d-4710-92e9-4317877d4883 | score=0.658 | method=fuzzy_name+creator | release_date=2025-06-05,Gemini 1.5 Pro (May '24) | id=16f2578b-1b28-4be3-b371-700c2677bcd6 | score=0.5317 | method=fuzzy_name+creator | release_date=2024-05-15,manual_select_specific_variant,,
32,gemini-exp,Google,2024/11/1,multimodal_model,unmatched,,,name_alias_issue,Gemini 1.0 Pro | id=8ddacd41-bf43-411b-aa30-43ebf0567dd8 | score=0.48 | method=fuzzy_name+creator | release_date=2023-12-06,Gemini 2.5 Pro | id=27202e5f-c82d-4710-92e9-4317877d4883 | score=0.48 | method=fuzzy_name+creator | release_date=2025-06-05,Gemini 1.5 Pro (Sep '24) | id=2ac96b67-f4f8-4c8c-ac08-c7510faa7bb9 | score=0.4508 | method=fuzzy_name+creator | release_date=2024-09-24,manual_alias_confirm_then_backfill,,
33,Gemma 2 2B,Google,2024/7/30,text_llm,unmatched,,,name_alias_issue,Gemma 3n E2B Instruct | id=a8c67863-9d66-44dd-8d27-f58654ecde03 | score=0.4947 | method=fuzzy_name+creator | release_date=2025-06-26,Gemma 4 E2B (Reasoning) | id=b07aef0a-b192-46a1-b1c9-40b06d1b9061 | score=0.4447 | method=fuzzy_name+creator | release_date=2026-04-02,Gemma 4 E2B (Non-reasoning) | id=755d7281-2ed8-48c7-808f-709ec4cbfb71 | score=0.3903 | method=fuzzy_name+creator | release_date=2026-04-02,manual_alias_confirm_then_backfill,,
34,Gemma 3,Google,2025/3/12,text_llm,matched_low_confidence,Gemma 3 270M | id=04781a0e-40f0-4e2a-a4e5-18e389364a79 | score=0.7567 | method=fuzzy_name+creator,0.7567,model_family_not_specific,Gemma 3 270M | id=04781a0e-40f0-4e2a-a4e5-18e389364a79 | score=0.7567 | method=fuzzy_name+creator | release_date=2025-08-14,Gemma 3 4B Instruct | id=222fb320-6e55-4672-846a-b6d5a24a45f4 | score=0.6627 | method=fuzzy_name+creator | release_date=2025-03-12,Gemma 3 27B Instruct | id=2bfdd17a-e027-4068-a54e-b0e90a6df118 | score=0.6457 | method=fuzzy_name+creator | release_date=2025-03-12,manual_select_specific_variant,,
35,Gemma 3n,Google,2025/5/18,text_llm,matched_low_confidence,Gemma 3n E2B Instruct | id=a8c67863-9d66-44dd-8d27-f58654ecde03 | score=0.6032 | method=fuzzy_name+creator,0.6032,ambiguous_variant,Gemma 3n E2B Instruct | id=a8c67863-9d66-44dd-8d27-f58654ecde03 | score=0.6032 | method=fuzzy_name+creator | release_date=2025-06-26,Gemma 3n E4B Instruct | id=a797eaf3-6d75-4f29-86a8-e1243ce52d43 | score=0.6032 | method=fuzzy_name+creator | release_date=2025-06-26,Gemma 3n E4B Instruct Preview (May '25) | id=bd2c3517-00d8-4ba5-a989-1f1e52f3ffab | score=0.4424 | method=fuzzy_name+creator | release_date=2025-05-20,manual_select_specific_variant,,
36,Genie 3.0,Google,2025/8/20,video_model,unmatched,,,non_llm_endpoint_mismatch,Gemma 3 270M | id=04781a0e-40f0-4e2a-a4e5-18e389364a79 | score=0.3474 | method=fuzzy_name+creator | release_date=2025-08-14,Gemini 1.0 Pro | id=8ddacd41-bf43-411b-aa30-43ebf0567dd8 | score=0.2549 | method=fuzzy_name+creator | release_date=2023-12-06,Gemini 3.1 Pro Preview | id=bbd93ebe-80da-4594-bb19-61e69d0331df | score=0.2316 | method=fuzzy_name+creator | release_date=2026-02-19,use_aa_media_endpoint,,
38,Google Titans,Google,2025/1/15,research_system,unmatched,,,research_system_not_on_leaderboard,Gemma 3 4B Instruct | id=222fb320-6e55-4672-846a-b6d5a24a45f4 | score=0.22 | method=fuzzy_name+creator | release_date=2025-03-12,Gemma 3 1B Instruct | id=d1720545-d0a8-4c15-a53e-ef5ca99ac7ea | score=0.22 | method=fuzzy_name+creator | release_date=2025-03-13,Gemma 3 27B Instruct | id=2bfdd17a-e027-4068-a54e-b0e90a6df118 | score=0.2118 | method=fuzzy_name+creator | release_date=2025-03-12,exclude_from_llm_leaderboard_merge,,
42,GPT 5.1,OpenAI,2025/11/15,multimodal_model,matched_low_confidence,GPT-5.1 (Non-reasoning) | id=d0b3d47e-aec6-425e-9de7-168dcc6d1e28 | score=0.84 | method=ambiguous_base_name+creator,0.84,ambiguous_variant,GPT-5.1 (Non-reasoning) | id=d0b3d47e-aec6-425e-9de7-168dcc6d1e28 | score=0.98 | method=exact_base_name+creator | release_date=2025-11-13,GPT-5.1 (high) | id=4dc12a38-b18f-4c43-8e1b-678f8434b5b1 | score=0.98 | method=exact_base_name+creator | release_date=2025-11-13,GPT-5.1 Codex (high) | id=04d023f3-025c-4d78-9571-53edda3eaf2a | score=0.7112 | method=fuzzy_name+creator | release_date=2025-11-13,manual_select_specific_variant,,
51,GPT-4o 0806,OpenAI,2024/8/6,text_llm,matched_low_confidence,GPT-4o (Aug '24) | id=8c1be908-67b6-4cf4-ba08-83ddbe44fde3 | score=0.662 | method=fuzzy_name+creator,0.662,ambiguous_variant,GPT-4o (Aug '24) | id=8c1be908-67b6-4cf4-ba08-83ddbe44fde3 | score=0.662 | method=fuzzy_name+creator | release_date=2024-08-06,GPT-4o mini | id=b5c1c91a-7474-4409-9a9c-9c2ac45d9eb6 | score=0.6582 | method=fuzzy_name+creator | release_date=2024-07-18,GPT-4o (ChatGPT) | id=b4784397-aa28-411b-b011-9c4331bfa9c8 | score=0.5814 | method=fuzzy_name+creator | release_date=2025-02-15,manual_select_specific_variant,,
55,GPT-5.2,OpenAI,2025/12/15,text_llm,matched_low_confidence,GPT-5.2 (xhigh) | id=498862c3-f9ac-49d2-852f-16a02bb0c38f | score=0.84 | method=ambiguous_base_name+creator,0.84,ambiguous_variant,GPT-5.2 (xhigh) | id=498862c3-f9ac-49d2-852f-16a02bb0c38f | score=0.98 | method=exact_base_name+creator | release_date=2025-12-11,GPT-5.2 (Non-reasoning) | id=6dd8ba55-5680-44a9-b309-82928165d5f0 | score=0.98 | method=exact_base_name+creator | release_date=2025-12-11,GPT-5.2 (medium) | id=84e3f11e-d659-4941-8988-1dbfabbaf538 | score=0.98 | method=exact_base_name+creator | release_date=2025-12-11,manual_select_specific_variant,,
56,gpt-oss-120b,OpenAI,2025/8/1,text_llm,matched_low_confidence,gpt-oss-120B (high) | id=f0083258-8646-45b8-8082-7aaf6c2ea82a | score=0.84 | method=ambiguous_base_name+creator,0.84,ambiguous_variant,gpt-oss-120B (high) | id=f0083258-8646-45b8-8082-7aaf6c2ea82a | score=0.98 | method=exact_base_name+creator | release_date=2025-08-05,gpt-oss-120B (low) | id=c99f3bde-7c08-4de8-bd5c-8ee9123ebffa | score=0.98 | method=exact_base_name+creator | release_date=2025-08-05,gpt-oss-20B (low) | id=16149b9c-a1e9-4669-a5cb-ff3c00d78f89 | score=0.5811 | method=fuzzy_name+creator | release_date=2025-08-05,manual_select_specific_variant,,
57,Grok 1.5,xAI,2024/3/28,text_llm,matched_low_confidence,Grok-1 | id=4c111fbc-d13a-42b4-858c-1dc17fe3c1d1 | score=0.7212 | method=fuzzy_name+creator,0.7212,name_alias_issue,Grok-1 | id=4c111fbc-d13a-42b4-858c-1dc17fe3c1d1 | score=0.7212 | method=fuzzy_name+creator | release_date=2024-03-17,Grok Beta | id=a04f5b78-f397-4fd8-a2b1-00dcab50324c | score=0.4935 | method=fuzzy_name+creator | release_date=2024-08-13,Grok 3 | id=2443ac9e-a3db-423d-accb-8963f6fb0a53 | score=0.4136 | method=fuzzy_name+creator | release_date=2025-02-19,manual_alias_confirm_then_backfill,,
58,Grok 1.5v,xAI,2024/4/12,text_llm,matched_low_confidence,Grok-1 | id=4c111fbc-d13a-42b4-858c-1dc17fe3c1d1 | score=0.6367 | method=fuzzy_name+creator,0.6367,name_alias_issue,Grok-1 | id=4c111fbc-d13a-42b4-858c-1dc17fe3c1d1 | score=0.6367 | method=fuzzy_name+creator | release_date=2024-03-17,Grok Beta | id=a04f5b78-f397-4fd8-a2b1-00dcab50324c | score=0.47 | method=fuzzy_name+creator | release_date=2024-08-13,Grok 3 | id=2443ac9e-a3db-423d-accb-8963f6fb0a53 | score=0.37 | method=fuzzy_name+creator | release_date=2025-02-19,manual_alias_confirm_then_backfill,,
62,Grok 4.1,xAI,2025/11/17,text_llm,matched_low_confidence,Grok 4.1 Fast (Reasoning) | id=23149f9b-c904-43e2-9ec4-afa2bf843941 | score=0.6796 | method=fuzzy_name+creator,0.6796,ambiguous_variant,Grok 4.1 Fast (Reasoning) | id=23149f9b-c904-43e2-9ec4-afa2bf843941 | score=0.6796 | method=fuzzy_name+creator | release_date=2025-11-19,Grok 4 | id=5ea94a4a-55ac-4ea1-8898-2b3971e94af6 | score=0.6612 | method=fuzzy_name+creator | release_date=2025-07-10,Grok-1 | id=4c111fbc-d13a-42b4-858c-1dc17fe3c1d1 | score=0.6112 | method=fuzzy_name+creator | release_date=2024-03-17,manual_select_specific_variant,,
65,Imagen 3,Google,2024/8/1,image_model,unmatched,,,non_llm_endpoint_mismatch,Gemma 3 4B Instruct | id=222fb320-6e55-4672-846a-b6d5a24a45f4 | score=0.3527 | method=fuzzy_name+creator | release_date=2025-03-12,Gemma 3 1B Instruct | id=d1720545-d0a8-4c15-a53e-ef5ca99ac7ea | score=0.3527 | method=fuzzy_name+creator | release_date=2025-03-13,Gemini 3 Deep Think | id=a5092ece-d5a7-461f-b036-3faef262423f | score=0.3527 | method=fuzzy_name+creator | release_date=2026-02-05,use_aa_media_endpoint,,
66,Imagen 4,Google,2025/5/15,image_model,unmatched,,,non_llm_endpoint_mismatch,Gemma 4 31B (Reasoning) | id=cd26a386-4873-46ff-b853-d239050025a2 | score=0.3343 | method=fuzzy_name+creator | release_date=2026-04-02,Gemma 4 E2B (Reasoning) | id=b07aef0a-b192-46a1-b1c9-40b06d1b9061 | score=0.3343 | method=fuzzy_name+creator | release_date=2026-04-02,Gemma 4 E4B (Reasoning) | id=d80eb0f1-f62e-4d31-99d2-7a925eb126b0 | score=0.3343 | method=fuzzy_name+creator | release_date=2026-04-03,use_aa_media_endpoint,,
67,LLaMA,Meta,2023/2/24,text_llm,matched_low_confidence,Llama 65B | id=fe11ab6c-a4dd-4c28-9fef-07da76d5ed14 | score=0.7138 | method=fuzzy_name+creator,0.7138,model_family_not_specific,Llama 65B | id=fe11ab6c-a4dd-4c28-9fef-07da76d5ed14 | score=0.7138 | method=fuzzy_name+creator | release_date=2023-02-24,Llama 2 Chat 7B | id=ffd65ef7-fbdb-4145-98ae-b5d01cda770b | score=0.4135 | method=fuzzy_name+creator | release_date=2023-07-18,Llama 4 Scout | id=adf9a85e-abc3-4f28-937b-db6655cc5238 | score=0.4133 | method=fuzzy_name+creator | release_date=2025-04-05,manual_select_specific_variant,,
68,LLaMA 2,Meta,2023/7/18,text_llm,matched_low_confidence,Llama 2 Chat 7B | id=ffd65ef7-fbdb-4145-98ae-b5d01cda770b | score=0.75 | method=fuzzy_name+creator,0.75,ambiguous_variant,Llama 2 Chat 7B | id=ffd65ef7-fbdb-4145-98ae-b5d01cda770b | score=0.75 | method=fuzzy_name+creator | release_date=2023-07-18,Llama 2 Chat 70B | id=599da8e0-bd9c-4b38-a127-b50e371fbcf8 | score=0.7247 | method=fuzzy_name+creator | release_date=2023-07-18,Llama 2 Chat 13B | id=6b08a75a-19ee-40b4-be33-133b8ef42f92 | score=0.7247 | method=fuzzy_name+creator | release_date=2023-07-18,manual_select_specific_variant,,
69,LLaMA 3,Meta,2024/4/18,text_llm,matched_low_confidence,Llama 3 Instruct 8B | id=82879bb8-89fb-4adc-b519-315b8ef30b77 | score=0.6627 | method=fuzzy_name+creator,0.6627,ambiguous_variant,Llama 3 Instruct 8B | id=82879bb8-89fb-4adc-b519-315b8ef30b77 | score=0.6627 | method=fuzzy_name+creator | release_date=2024-04-18,Llama 3 Instruct 70B | id=aa83359a-d804-4f0b-b5bf-dc637711c26f | score=0.6457 | method=fuzzy_name+creator | release_date=2024-04-18,Llama 65B | id=fe11ab6c-a4dd-4c28-9fef-07da76d5ed14 | score=0.4033 | method=fuzzy_name+creator | release_date=2023-02-24,manual_select_specific_variant,,
70,llama 3.1,Meta,2024/7/23,text_llm,matched_low_confidence,Llama 3.1 Instruct 8B | id=739684ba-0f63-4e2a-b4ee-30741c9e9320 | score=0.73 | method=fuzzy_name+creator,0.73,ambiguous_variant,Llama 3.1 Instruct 8B | id=739684ba-0f63-4e2a-b4ee-30741c9e9320 | score=0.73 | method=fuzzy_name+creator | release_date=2024-07-23,Llama 3.1 Instruct 70B | id=466aecdb-3d96-4191-bc52-b3366db38851 | score=0.7161 | method=fuzzy_name+creator | release_date=2024-07-23,Llama 3.1 Instruct 405B | id=45c87531-2d57-48e0-8012-202cd636189e | score=0.703 | method=fuzzy_name+creator | release_date=2024-07-23,manual_select_specific_variant,,
71,Llama 3.2,Meta,2024/9/25,text_llm,matched_low_confidence,Llama 3.2 Instruct 3B | id=71e8d48c-1920-4f27-8ea9-1f10becc615a | score=0.73 | method=fuzzy_name+creator,0.73,ambiguous_variant,Llama 3.2 Instruct 3B | id=71e8d48c-1920-4f27-8ea9-1f10becc615a | score=0.73 | method=fuzzy_name+creator | release_date=2024-09-25,Llama 3.2 Instruct 1B | id=80f7860a-7665-4658-9f05-15bccf5f832f | score=0.73 | method=fuzzy_name+creator | release_date=2024-09-25,Llama 3.2 Instruct 90B (Vision) | id=9ca71ac4-41c8-42c0-87dd-5704a9e5b94d | score=0.6111 | method=fuzzy_name+creator | release_date=2024-09-25,manual_select_specific_variant,,
73,LLaMA 4,Meta,2025/4/5,text_llm,matched_low_confidence,Llama 4 Scout | id=adf9a85e-abc3-4f28-937b-db6655cc5238 | score=0.84 | method=ambiguous_fuzzy_match,0.84,ambiguous_variant,Llama 4 Scout | id=adf9a85e-abc3-4f28-937b-db6655cc5238 | score=0.8749 | method=fuzzy_name+creator | release_date=2025-04-05,Llama 4 Maverick | id=922c69c7-9037-43c6-8bcf-a1c555e7f3eb | score=0.8049 | method=fuzzy_name+creator | release_date=2025-04-05,Llama 65B | id=fe11ab6c-a4dd-4c28-9fef-07da76d5ed14 | score=0.4033 | method=fuzzy_name+creator | release_date=2023-02-24,manual_select_specific_variant,,
