firm_ticker,firm,business_upstream_universal,business_upstream_reason,business_downstream,business_downstream_reason,classification_confidence,manual_review_required
6702 JP,Fujitsu,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
6758 JP,Sony,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
6954 JP,Panasonic,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
700 HK,Tencent,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
AAPL,Apple,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
ACN,Accenture,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
ADBE,Adobe,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
AI,C3.ai,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
AMBA,Ambarella,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
AMD,AMD,0,business_upstream follows evidence-based upstream (not universal),0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
AMP IM,Amplifon,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
AMZN,Amazon,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
APP,AppLovin,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
AVGO,Broadcom,0,business_upstream follows evidence-based upstream (not universal),0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
BABA,Alibaba,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
BIDU,Baidu,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
CCC,CCC Intelligent Solutions,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
CDNS,Cadence,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
CRM,Salesforce,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
CRWV,CareCloud,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
CSCO,Cisco,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
CYBR,CyberArk,0,Not positioned as upstream AI ecosystem supplier,0,Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core business does not clearly commercialize generative-AI model capabilities under the narrowed interpretation. Flagged for review.,low,yes
DDOG,Datadog,0,Not positioned as upstream AI ecosystem supplier,0,Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core business does not clearly commercialize generative-AI model capabilities under the narrowed interpretation. Flagged for review.,low,yes
DXC,DXC Technology,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
ERIC,Ericsson,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
EXPN LN,Experian,0,Not positioned as upstream AI ecosystem supplier,0,Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core business does not clearly commercialize generative-AI model capabilities under the narrowed interpretation. Flagged for review.,low,yes
FTNT,Fortinet,0,Not positioned as upstream AI ecosystem supplier,0,Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core business does not clearly commercialize generative-AI model capabilities under the narrowed interpretation. Flagged for review.,low,yes
G,Genpact,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
GEHC,GE HealthCare,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
GOOGL,Alphabet,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
HPE,HPE,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
HUT,Hut 8 Mining,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
IBM,IBM,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
IFX GR,Infineon,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
INTC,Intel,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
META,Meta,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
MRVL,Marvell,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
MSFT,Microsoft,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
MU,Micron Technology,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
NFLX,Netflix,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
NICE,NICE,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
NOW,ServiceNow,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
NVDA,Nvidia,1,"Researcher-designated universal upstream: Nvidia designs and supplies AI GPUs and CUDA platform, essential AI training/inference infrastructure.",0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
NXPI,NXP Semiconductors,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
OKTA,Okta,0,Not positioned as upstream AI ecosystem supplier,0,Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core business does not clearly commercialize generative-AI model capabilities under the narrowed interpretation. Flagged for review.,low,yes
ORCL,Oracle,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
PATH,UiPath,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
PEGA,Pegasystems,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
PLTR,Palantir,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
PONY,Pony.ai,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
QCOM,Qualcomm,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
QUBT,Quantum Computing,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
SHOP,Shopify,0,Not positioned as upstream AI ecosystem supplier,0,Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core business does not clearly commercialize generative-AI model capabilities under the narrowed interpretation. Flagged for review.,low,yes
SIE GR,Siemens,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
SMCI,Super Micro,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
SNAP,Snap,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,yes
SNOW,Snowflake,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
SNPS,Synopsys,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
SOUN,SoundHound AI,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
STNE,StoneCo,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
STX,Seagate,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
TDC,Teradata,0,Not positioned as upstream AI ecosystem supplier,0,Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core business does not clearly commercialize generative-AI model capabilities under the narrowed interpretation. Flagged for review.,low,yes
TEMN SW,Temenos,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
TIETO FH,Tietoevry,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
TRI,Thomson Reuters,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
TSLA,Tesla,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
TSM,TSMC,1,"Researcher-designated universal upstream: TSMC manufactures advanced AI GPUs, critical to global LLM production ecosystem.",0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
TTD,The Trade Desk,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
TWLO,Twilio,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
UBER,Uber,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
WDAY,Workday,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
WIX,Wix,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
WKL NA,Wolters Kluwer,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
WRD,WeRock,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
ZBRA,Zebra Technologies,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
ZS,Zscaler,0,Not positioned as upstream AI ecosystem supplier,0,Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core business does not clearly commercialize generative-AI model capabilities under the narrowed interpretation. Flagged for review.,low,yes
