firm,firm_ticker,model_company,model,event_date,relationship,value,evidence_text,source_name,source_url,source_date,before_event_date,confidence,notes
Micron Technology,MU,Meta,LLaMA 3,2024-04-18,business_downstream,0,[BUSINESS POSITION — NARROWED] Researcher coding convention: Micron Technology is NOT classified as business_downstream under the narrowed definition. Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,Researcher Convention,N/A,N/A,N/A,medium,business_downstream=0 confirmed under narrowed definition.
Micron Technology,MU,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of Micron Technology integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
Micron Technology,MU,Meta,LLaMA 3,2024-04-18,competitor,0,No public evidence found of Micron Technology developing or offering directly competing foundation models or AI platforms vs Meta before event date,N/A,N/A,N/A,N/A,high,
AMD,AMD,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that AMD owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
AMD,AMD,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of AMD making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
AMD,AMD,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of AMD providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
AMD,AMD,Meta,LLaMA 3,2024-04-18,business_upstream,0,[BUSINESS POSITION] AMD is not positioned as a key upstream supplier to the LLM/generative-AI production ecosystem.,Researcher Convention,N/A,N/A,N/A,medium,AMD is not a designated business_upstream firm.
AMD,AMD,Meta,LLaMA 3,2024-04-18,real_upstream,0,"No public evidence found of AMD supplying key upstream inputs (GPUs, chips, infrastructure) to Meta before event date",N/A,N/A,N/A,N/A,medium,[MAPPED from upstream] 
AMD,AMD,Meta,LLaMA 3,2024-04-18,business_downstream,0,[BUSINESS POSITION — NARROWED] Researcher coding convention: AMD is NOT classified as business_downstream under the narrowed definition. Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,Researcher Convention,N/A,N/A,N/A,medium,business_downstream=0 confirmed under narrowed definition.
AMD,AMD,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of AMD integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
AMD,AMD,Meta,LLaMA 3,2024-04-18,competitor,0,No public evidence found of AMD developing or offering directly competing foundation models or AI platforms vs Meta before event date,N/A,N/A,N/A,N/A,high,
SK Hynix,000660 KS,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that SK Hynix owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
SK Hynix,000660 KS,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of SK Hynix making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
SK Hynix,000660 KS,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of SK Hynix providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
SK Hynix,000660 KS,Meta,LLaMA 3,2024-04-18,business_upstream,1,[BUSINESS POSITION] SK Hynix has documented upstream role in the AI accelerator ecosystem for this model company/event. See real_upstream evidence.,Researcher Convention / Real Upstream Evidence,N/A,N/A,N/A,low,business_upstream follows real_upstream evidence. SK Hynix is not universal upstream.
SK Hynix,000660 KS,Meta,LLaMA 3,2024-04-18,real_upstream,1,"SK Hynix is the primary global supplier of HBM3/HBM3E high-bandwidth memory, an essential component of Nvidia H100/H200 AI GPUs used for LLM training and inference by major model companies and cloud providers. [HUMAN DECISION: researcher adopts ecosystem-based upstream definition — indirect supply chain (SK Hynix HBM → Nvidia GPU → cloud → model companies) is accepted as upstream=1.]",SK Hynix Newsroom / Human Decision,https://news.skhynix.com/sk-hynix-starts-mass-production-of-24gb-hbm3e/,2023-08-08,yes,low,[MAPPED from upstream] RESTORED to 1 by human decision. Researcher accepts indirect ecosystem-based upstream link (SK Hynix HBM → Nvidia GPU → cloud → model companies).
SK Hynix,000660 KS,Meta,LLaMA 3,2024-04-18,business_downstream,0,[BUSINESS POSITION — NARROWED] Researcher coding convention: SK Hynix is NOT classified as business_downstream under the narrowed definition. Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,Researcher Convention,N/A,N/A,N/A,medium,business_downstream=0 confirmed under narrowed definition.
SK Hynix,000660 KS,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of SK Hynix integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
SK Hynix,000660 KS,Meta,LLaMA 3,2024-04-18,competitor,0,No public evidence found of SK Hynix developing or offering directly competing foundation models or AI platforms vs Meta before event date,N/A,N/A,N/A,N/A,high,
Alibaba,BABA,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that Alibaba owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
Alibaba,BABA,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of Alibaba making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
Alibaba,BABA,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of Alibaba providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
Alibaba,BABA,Meta,LLaMA 3,2024-04-18,business_upstream,0,[BUSINESS POSITION] Alibaba is not positioned as a key upstream supplier to the LLM/generative-AI production ecosystem.,Researcher Convention,N/A,N/A,N/A,medium,Alibaba is not a designated business_upstream firm.
Alibaba,BABA,Meta,LLaMA 3,2024-04-18,real_upstream,0,"No public evidence found of Alibaba supplying key upstream inputs (GPUs, chips, infrastructure) to Meta before event date",N/A,N/A,N/A,N/A,high,[MAPPED from upstream] 
Alibaba,BABA,Meta,LLaMA 3,2024-04-18,business_downstream,0,"[BUSINESS POSITION — NARROWED] Researcher coding convention: Alibaba is NOT classified as business_downstream under the narrowed definition. Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",Researcher Convention,N/A,N/A,N/A,high,Changed 1→0 under narrowed business_downstream definition.
Alibaba,BABA,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of Alibaba integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
Alibaba,BABA,Meta,LLaMA 3,2024-04-18,competitor,1,Alibaba launched Qwen/Tongyi as a directly competing foundation model/AI platform versus Meta models.,Alibaba Official,https://www.alibabacloud.com/blog/introducing-tongyi-qianwen-an-llm-by-alibaba-cloud_599117,2023-04-07,yes,high,
TSMC,TSM,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that TSMC owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
TSMC,TSM,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of TSMC making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
TSMC,TSM,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of TSMC providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
TSMC,TSM,Meta,LLaMA 3,2024-04-18,business_upstream,1,"[BUSINESS POSITION] Researcher-designated universal upstream: TSMC manufactures advanced AI GPUs (Nvidia H100/H200/B200) on 4nm process, critical to global LLM production ecosystem.",Researcher Convention,N/A,N/A,N/A,low,TSMC is researcher-designated universal business_upstream.
TSMC,TSM,Meta,LLaMA 3,2024-04-18,real_upstream,1,"TSMC manufactures Nvidia H100/H200/B200 AI GPUs on advanced process nodes (4nm). TSMC is the sole manufacturer of Nvidia data center AI GPUs used by cloud providers (Azure, GCP, AWS) and model companies for LLM training and inference. [HUMAN DECISION: researcher adopts ecosystem-based upstream definition — indirect supply chain through Nvidia to the LLM production ecosystem is accepted as upstream=1.]",AnandTech / Human Decision,https://www.anandtech.com/show/20010/nvidia-gh200-grace-hopper-superchip-fully-unveiled,2023-08-08,yes,low,[MAPPED from upstream] RESTORED to 1 by human decision. Researcher accepts indirect ecosystem-based upstream link (TSMC → Nvidia → cloud → model companies).
TSMC,TSM,Meta,LLaMA 3,2024-04-18,business_downstream,0,[BUSINESS POSITION — NARROWED] Researcher coding convention: TSMC is NOT classified as business_downstream under the narrowed definition. Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,Researcher Convention,N/A,N/A,N/A,medium,business_downstream=0 confirmed under narrowed definition.
TSMC,TSM,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of TSMC integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
TSMC,TSM,Meta,LLaMA 3,2024-04-18,competitor,0,No public evidence found of TSMC developing or offering directly competing foundation models or AI platforms vs Meta before event date,N/A,N/A,N/A,N/A,high,
Tesla,TSLA,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that Tesla owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
Tesla,TSLA,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of Tesla making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
Tesla,TSLA,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of Tesla providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
Tesla,TSLA,Meta,LLaMA 3,2024-04-18,business_upstream,0,[BUSINESS POSITION] Tesla is not positioned as a key upstream supplier to the LLM/generative-AI production ecosystem.,Researcher Convention,N/A,N/A,N/A,medium,Tesla is not a designated business_upstream firm.
Tesla,TSLA,Meta,LLaMA 3,2024-04-18,real_upstream,0,"No public evidence found of Tesla supplying key upstream inputs (GPUs, chips, infrastructure) to Meta before event date",N/A,N/A,N/A,N/A,high,[MAPPED from upstream] 
Tesla,TSLA,Meta,LLaMA 3,2024-04-18,business_downstream,0,[BUSINESS POSITION — NARROWED] Researcher coding convention: Tesla is NOT classified as business_downstream under the narrowed definition. Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,Researcher Convention,N/A,N/A,N/A,medium,business_downstream=0 confirmed under narrowed definition.
Tesla,TSLA,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of Tesla integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
Tesla,TSLA,Meta,LLaMA 3,2024-04-18,competitor,0,No public evidence found of Tesla developing or offering directly competing foundation models or AI platforms vs Meta before event date,N/A,N/A,N/A,N/A,high,
Apple,AAPL,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that Apple owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
Apple,AAPL,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of Apple making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
Apple,AAPL,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of Apple providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
Apple,AAPL,Meta,LLaMA 3,2024-04-18,business_upstream,0,[BUSINESS POSITION] Apple is not positioned as a key upstream supplier to the LLM/generative-AI production ecosystem.,Researcher Convention,N/A,N/A,N/A,medium,Apple is not a designated business_upstream firm.
Apple,AAPL,Meta,LLaMA 3,2024-04-18,real_upstream,0,"No public evidence found of Apple supplying key upstream inputs (GPUs, chips, infrastructure) to Meta before event date",N/A,N/A,N/A,N/A,high,[MAPPED from upstream] 
Apple,AAPL,Meta,LLaMA 3,2024-04-18,business_downstream,0,"[BUSINESS POSITION — NARROWED] Researcher coding convention: Apple is NOT classified as business_downstream under the narrowed definition. Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",Researcher Convention,N/A,N/A,N/A,high,Changed 1→0 under narrowed business_downstream definition.
Apple,AAPL,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of Apple integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
Apple,AAPL,Meta,LLaMA 3,2024-04-18,competitor,0,No public evidence found of Apple developing or offering directly competing foundation models or AI platforms vs Meta before event date,N/A,N/A,N/A,N/A,medium,
Broadcom,AVGO,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that Broadcom owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
Broadcom,AVGO,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of Broadcom making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
Broadcom,AVGO,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of Broadcom providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
Broadcom,AVGO,Meta,LLaMA 3,2024-04-18,business_upstream,0,[BUSINESS POSITION] Broadcom is not positioned as a key upstream supplier to the LLM/generative-AI production ecosystem.,Researcher Convention,N/A,N/A,N/A,medium,Broadcom is not a designated business_upstream firm.
Broadcom,AVGO,Meta,LLaMA 3,2024-04-18,real_upstream,0,"No public evidence found of Broadcom supplying key upstream inputs (GPUs, chips, infrastructure) to Meta before event date",N/A,N/A,N/A,N/A,medium,[MAPPED from upstream] 
Broadcom,AVGO,Meta,LLaMA 3,2024-04-18,business_downstream,0,[BUSINESS POSITION — NARROWED] Researcher coding convention: Broadcom is NOT classified as business_downstream under the narrowed definition. Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,Researcher Convention,N/A,N/A,N/A,medium,business_downstream=0 confirmed under narrowed definition.
Broadcom,AVGO,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of Broadcom integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
Broadcom,AVGO,Meta,LLaMA 3,2024-04-18,competitor,0,No public evidence found of Broadcom developing or offering directly competing foundation models or AI platforms vs Meta before event date,N/A,N/A,N/A,N/A,high,
Cisco,CSCO,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that Cisco owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
Cisco,CSCO,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of Cisco making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
Cisco,CSCO,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of Cisco providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
Cisco,CSCO,Meta,LLaMA 3,2024-04-18,business_upstream,0,[BUSINESS POSITION] Cisco is not positioned as a key upstream supplier to the LLM/generative-AI production ecosystem.,Researcher Convention,N/A,N/A,N/A,medium,Cisco is not a designated business_upstream firm.
Cisco,CSCO,Meta,LLaMA 3,2024-04-18,real_upstream,0,"No public evidence found of Cisco supplying key upstream inputs (GPUs, chips, infrastructure) to Meta before event date",N/A,N/A,N/A,N/A,high,[MAPPED from upstream] 
Cisco,CSCO,Meta,LLaMA 3,2024-04-18,business_downstream,0,"[BUSINESS POSITION — NARROWED] Researcher coding convention: Cisco is NOT classified as business_downstream under the narrowed definition. Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",Researcher Convention,N/A,N/A,N/A,high,Changed 1→0 under narrowed business_downstream definition.
Cisco,CSCO,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of Cisco integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
Cisco,CSCO,Meta,LLaMA 3,2024-04-18,competitor,0,No public evidence found of Cisco developing or offering directly competing foundation models or AI platforms vs Meta before event date,N/A,N/A,N/A,N/A,high,
Tencent,700 HK,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that Tencent owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
Tencent,700 HK,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of Tencent making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
Tencent,700 HK,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of Tencent providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
Tencent,700 HK,Meta,LLaMA 3,2024-04-18,business_upstream,0,[BUSINESS POSITION] Tencent is not positioned as a key upstream supplier to the LLM/generative-AI production ecosystem.,Researcher Convention,N/A,N/A,N/A,medium,Tencent is not a designated business_upstream firm.
Tencent,700 HK,Meta,LLaMA 3,2024-04-18,real_upstream,0,"No public evidence found of Tencent supplying key upstream inputs (GPUs, chips, infrastructure) to Meta before event date",N/A,N/A,N/A,N/A,high,[MAPPED from upstream] 
Tencent,700 HK,Meta,LLaMA 3,2024-04-18,business_downstream,0,"[BUSINESS POSITION — NARROWED] Researcher coding convention: Tencent is NOT classified as business_downstream under the narrowed definition. Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",Researcher Convention,N/A,N/A,N/A,high,Changed 1→0 under narrowed business_downstream definition.
Tencent,700 HK,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of Tencent integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
Tencent,700 HK,Meta,LLaMA 3,2024-04-18,competitor,1,Tencent launched Hunyuan as a directly competing foundation model/AI platform versus Meta models.,Tencent Official,https://www.reuters.com/technology/tencent-launches-hunyuan-ai-model-amid-china-tech-race-2023-09-07/,2023-09-07,yes,high,
Nvidia,NVDA,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that Nvidia owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
Nvidia,NVDA,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of Nvidia making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
Nvidia,NVDA,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of Nvidia providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
Nvidia,NVDA,Meta,LLaMA 3,2024-04-18,business_upstream,1,"[BUSINESS POSITION] Researcher-designated universal upstream: Nvidia designs and supplies AI GPUs (H100/H200/B200) and CUDA platform, essential AI training/inference infrastructure.",Researcher Convention,N/A,N/A,N/A,low,Nvidia is researcher-designated universal business_upstream.
Nvidia,NVDA,Meta,LLaMA 3,2024-04-18,real_upstream,1,"Meta publicly disclosed using Nvidia A100 and H100 GPUs to train Llama models. Meta announced plans to acquire 350,000 Nvidia H100 GPUs by end of 2024.",Meta AI / Reuters,https://ai.meta.com/blog/llama-2-large-language-model/,2023-02-24,yes,high,[MAPPED from upstream] 
Nvidia,NVDA,Meta,LLaMA 3,2024-04-18,business_downstream,0,[BUSINESS POSITION — NARROWED] Researcher coding convention: Nvidia is NOT classified as business_downstream under the narrowed definition. Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,Researcher Convention,N/A,N/A,N/A,medium,business_downstream=0 confirmed under narrowed definition.
Nvidia,NVDA,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of Nvidia integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
Nvidia,NVDA,Meta,LLaMA 3,2024-04-18,competitor,0,No public evidence found of Nvidia developing or offering directly competing foundation models or AI platforms vs Meta before event date,N/A,N/A,N/A,N/A,medium,
Amazon,AMZN,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that Amazon owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
Amazon,AMZN,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of Amazon making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
Amazon,AMZN,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of Amazon providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
Amazon,AMZN,Meta,LLaMA 3,2024-04-18,business_upstream,0,[BUSINESS POSITION] Amazon is not positioned as a key upstream supplier to the LLM/generative-AI production ecosystem.,Researcher Convention,N/A,N/A,N/A,medium,Amazon is not a designated business_upstream firm.
Amazon,AMZN,Meta,LLaMA 3,2024-04-18,real_upstream,0,"No public evidence found of Amazon supplying key upstream inputs (GPUs, chips, infrastructure) to Meta before event date",N/A,N/A,N/A,N/A,high,[MAPPED from upstream] 
Amazon,AMZN,Meta,LLaMA 3,2024-04-18,business_downstream,0,"[BUSINESS POSITION — NARROWED] Researcher coding convention: Amazon is NOT classified as business_downstream under the narrowed definition. Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",Researcher Convention,N/A,N/A,N/A,high,Changed 1→0 under narrowed business_downstream definition.
Amazon,AMZN,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of Amazon integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
Amazon,AMZN,Meta,LLaMA 3,2024-04-18,competitor,1,Amazon launched Bedrock/Titan/Nova as a directly competing foundation model/AI platform versus Meta models.,Amazon Official,https://aws.amazon.com/blogs/aws/amazon-bedrock-build-and-scale-generative-ai-apps-with-foundation-models/,2023-04-13,yes,high,
Palantir,PLTR,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that Palantir owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
Palantir,PLTR,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of Palantir making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
Palantir,PLTR,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of Palantir providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
Palantir,PLTR,Meta,LLaMA 3,2024-04-18,business_upstream,0,[BUSINESS POSITION] Palantir is not positioned as a key upstream supplier to the LLM/generative-AI production ecosystem.,Researcher Convention,N/A,N/A,N/A,medium,Palantir is not a designated business_upstream firm.
Palantir,PLTR,Meta,LLaMA 3,2024-04-18,real_upstream,0,"No public evidence found of Palantir supplying key upstream inputs (GPUs, chips, infrastructure) to Meta before event date",N/A,N/A,N/A,N/A,high,[MAPPED from upstream] 
