event_id,year,month,month_num,event_order,event_text,raw_html,bold_entities,event_type,inferred_creator,is_special,source
AIT-2023-12-002,2023,December,12,28,"Google upgrades Bard in limited areas, moving it to be based on the upgraded Gemini Pro language model.","Google upgrades Bard in limited areas, moving it to be based on the upgraded <b>Gemini Pro</b> language model.",Gemini Pro,model,Google,False,AI Timeline _data/timeline.yml
AIT-2023-12-003,2023,December,12,29,X Corporation launches Grok AI chatbot for paid subscribers in English language.,X Corporation launches <b>Grok AI</b> chatbot for paid subscribers in English language.,Grok AI,product,xAI,False,AI Timeline _data/timeline.yml
AIT-2024-02-001,2024,February,2,30,Stability AI announces Stable Diffusion 3 (gradually released to waiting list).,Stability AI announces <b>Stable Diffusion 3</b> (gradually released to waiting list).,Stable Diffusion 3,model,Stability AI,False,AI Timeline _data/timeline.yml
AIT-2024-02-002,2024,February,2,31,"Google upgrades the artificial intelligence chat in Bard, basing it on the new Gemini Pro model, in all available languages. Google replaces ""Bard"" with ""Gemini"".","Google upgrades the artificial intelligence chat in Bard, basing it on the new <b>Gemini Pro</b> model, in all available languages. Google replaces ""Bard"" with ""Gemini"".",Gemini Pro,model,Google,False,AI Timeline _data/timeline.yml
AIT-2024-02-003,2024,February,2,32,"Google announces the Gemini Pro 1.5 multimodal language model capable of parsing up to a million tokens, as well as parsing video and images. The model is gradually released to developers on a waiting list.","Google announces the <b>Gemini Pro 1.5</b> multimodal language model capable of parsing up to a million tokens, as well as parsing video and images. The model is gradually released to developers on a waiting list.",Gemini Pro 1.5,model,Google,True,AI Timeline _data/timeline.yml
AIT-2024-02-004,2024,February,2,33,OpenAI announces the Sora model that produces videos up to a minute long. The model is not released to the public at this time.,OpenAI announces the <b>Sora</b> model that produces videos up to a minute long. The model is not released to the public at this time.,Sora,model,OpenAI,True,AI Timeline _data/timeline.yml
AIT-2024-03-001,2024,March,3,34,X Corporation announces the upcoming release of the Grok 1.5 open source model.,X Corporation announces the upcoming release of the <b>Grok 1.5</b> open source model.,Grok 1.5,model,xAI,False,AI Timeline _data/timeline.yml
AIT-2024-03-002,2024,March,3,35,"Anthropic announces Claude 3 , a new version of their large language model. The version is deployed in 3 different sizes, with the largest model performing better than GPT-4.","Anthropic announces <b>Claude 3</b>, a new version of their large language model. The version is deployed in 3 different sizes, with the largest model performing better than GPT-4.",Claude 3,model,Anthropic,False,AI Timeline _data/timeline.yml
AIT-2024-03-003,2024,March,3,36,"Suno AI, which develops a model for creating music, releases Suno v3 to the general public.","Suno AI, which develops a model for creating music, releases <b>Suno v3</b> to the general public.",Suno v3,model,Suno,False,AI Timeline _data/timeline.yml
AIT-2024-04-001,2024,April,4,37,Stability AI releases a new update to the music creation model - Stable Audio 2.0 .,Stability AI releases a new update to the music creation model - <b>Stable Audio 2.0</b>.,Stable Audio 2.0,model,Stability AI,False,AI Timeline _data/timeline.yml
AIT-2024-04-002,2024,April,4,38,"X Corporation releases an upgrade to its language model, Grok-1.5V , which integrates high-level image recognition. In the test presented by the company, the model is the best in identifying and analyzing images compared to other models.","X Corporation releases an upgrade to its language model, <b>Grok-1.5V</b>, which integrates high-level image recognition. In the test presented by the company, the model is the best in identifying and analyzing images compared to other models.",Grok-1.5V,model,xAI,False,AI Timeline _data/timeline.yml
AIT-2024-04-003,2024,April,4,39,The Mistral company releases its new model Mixtral 8x22B as open source. This is the most powerful model among the open source models and it contains 141 billion parameters but uses a method that allows more economical use.,The Mistral company releases its new model <b>Mixtral 8x22B</b> as open source. This is the most powerful model among the open source models and it contains 141 billion parameters but uses a method that allows more economical use.,Mixtral 8x22B,model,Mistral,False,AI Timeline _data/timeline.yml
AIT-2024-04-004,2024,April,4,40,Meta releases the LLaMA 3 model as open source in sizes 8B and 70B parameters. The large model shows better performance than Claude 3 Sonnet and Gemini Pro 1.5 in several measures. Meta is expected to later release larger models with 400 billion parameters and more.,Meta releases the <b>LLaMA 3</b> model as open source in sizes 8B and 70B parameters. The large model shows better performance than Claude 3 Sonnet and Gemini Pro 1.5 in several measures. Meta is expected to later release larger models with 400 billion parameters and more.,LLaMA 3,model,Meta,False,AI Timeline _data/timeline.yml
AIT-2024-04-005,2024,April,4,41,"Microsoft releases the Phi-3-mini model in open source. The model comes in a reduced version of 3.8B parameters, which allows it to run on mobile devices as well, and it presents capabilities similar to GPT-3.5.","Microsoft releases the <b>Phi-3-mini</b> model in open source. The model comes in a reduced version of 3.8B parameters, which allows it to run on mobile devices as well, and it presents capabilities similar to GPT-3.5.",Phi-3-mini,model,Microsoft,True,AI Timeline _data/timeline.yml
AIT-2024-04-006,2024,April,4,42,Adobe announces its new image creation model Firefly 3 .,Adobe announces its new image creation model <b>Firefly 3</b>.,Firefly 3,model,Adobe,False,AI Timeline _data/timeline.yml
AIT-2024-04-007,2024,April,4,43,"The startup Reka AI presents a series of multimodal language models in 3 sizes. The models are capable of processing video, audio and images. The large model featured similar capabilities to GPT-4.","The startup <b>Reka AI</b> presents a series of multimodal language models in 3 sizes. The models are capable of processing video, audio and images. The large model featured similar capabilities to GPT-4.",Reka AI,model_context_without_bold_entity,Reka AI,False,AI Timeline _data/timeline.yml
AIT-2024-04-008,2024,April,4,44,Apple releases as full open source a series of small language models under the name OpenELM . The models are available in four weights between 270 million and 3 billion parameters.,Apple releases as full open source a series of small language models under the name <b>OpenELM</b>. The models are available in four weights between 270 million and 3 billion parameters.,OpenELM,model,Apple,False,AI Timeline _data/timeline.yml
AIT-2024-05-001,2024,May,5,45,"OpenAI announces the GPT-4o model that presents full multimodal capabilities, including receiving and creating text, images, and audio. The model presents an impressive ability to speak with a high response speed and in natural language. The model is 2 times more efficient than the GPT-4 Turbo model, and has better capabilities for languages other than English.","OpenAI announces the <b>GPT-4o model</b> that presents full multimodal capabilities, including receiving and creating text, images, and audio. The model presents an impressive ability to speak with a high response speed and in natural language. The model is 2 times more efficient than the GPT-4 Turbo model, and has better capabilities for languages other than English.",GPT-4o model,model,OpenAI,True,AI Timeline _data/timeline.yml
AIT-2024-05-002,2024,May,5,46,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.","Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster <b>Gemini Flash 1.5 model</b>. Revealing the latest image creation model <b>Imagen 3</b>, music creation model <b>Music AI</b> and video creation model <b>Veo</b>. And the announcement of the <b>Astra model</b> with multimodal capabilities for realtime audio and video reception.",Gemini Flash 1.5 model; Imagen 3; Music AI; Veo; Astra model,model,Google,False,AI Timeline _data/timeline.yml
AIT-2024-05-003,2024,May,5,47,"Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability.","Microsoft announces <b>Copilot+</b> for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: <b>Phi-3 Small</b>, <b>Phi-3 Medium</b>, and <b>Phi-3 Vision</b> which includes image recognition capability.",Copilot+; Phi-3 Small; Phi-3 Medium; Phi-3 Vision,mixed,Microsoft,False,AI Timeline _data/timeline.yml
AIT-2024-05-004,2024,May,5,48,"Meta introduces Chameleon , a new multimodal model that seamlessly renders text and images.","Meta introduces <b>Chameleon</b>, a new multimodal model that seamlessly renders text and images.",Chameleon,model,Meta,False,AI Timeline _data/timeline.yml
AIT-2024-05-005,2024,May,5,49,Mistral AI releases a new open source version of its language model Mistral-7B-Instruct-v0.3 .,Mistral AI releases a new open source version of its language model <b>Mistral-7B-Instruct-v0.3</b>.,Mistral-7B-Instruct-v0.3,model,Mistral,False,AI Timeline _data/timeline.yml
AIT-2024-05-006,2024,May,5,50,Google announces AI Overviews intended to give a summary of the relevant information in Google search.,Google announces <b>AI Overviews</b> intended to give a summary of the relevant information in Google search.,AI Overviews,product,Google,True,AI Timeline _data/timeline.yml
AIT-2024-05-007,2024,May,5,51,Suno AI releases an updated music creation model Suno v3.5 .,Suno AI releases an updated music creation model <b>Suno v3.5</b>.,Suno v3.5,model,Suno,False,AI Timeline _data/timeline.yml
AIT-2024-05-008,2024,May,5,52,Mistral AI releases a new language model designed for coding Codestral in size 22B.,Mistral AI releases a new language model designed for coding <b>Codestral</b> in size 22B.,Codestral,model,Mistral,False,AI Timeline _data/timeline.yml
AIT-2024-06-001,2024,June,6,53,Stability AI releases its updated image creation model Stable Diffusion 3 in a medium version in size 2B parameters.,Stability AI releases its updated image creation model <b>Stable Diffusion 3</b> in a medium version in size 2B parameters.,Stable Diffusion 3,model,Stability AI,False,AI Timeline _data/timeline.yml
AIT-2024-06-002,2024,June,6,54,"Apple announces Apple Intelligence , an AI system that will be integrated into the company's devices and will combine AI models of different sizes for different tasks.","Apple announces <b>Apple Intelligence</b>, an AI system that will be integrated into the company's devices and will combine AI models of different sizes for different tasks.",Apple Intelligence,product,Apple,False,AI Timeline _data/timeline.yml
AIT-2024-06-003,2024,June,6,55,"DeepSeekAI publishes the DeepSeekCoderV2 open source language model which presents similar coding capabilities to models such as GPT-4, Claude 3 Opus and more.","DeepSeekAI publishes the <b>DeepSeekCoderV2</b> open source language model which presents similar coding capabilities to models such as GPT-4, Claude 3 Opus and more.",DeepSeekCoderV2,model,DeepSeek,False,AI Timeline _data/timeline.yml
AIT-2024-06-004,2024,June,6,56,"Runway introduces Gen3 Alpha , a new AI model for video generation.","<b>Runway</b> introduces <b>Gen3 Alpha</b>, a new AI model for video generation.",Runway; Gen3 Alpha,model,Runway,False,AI Timeline _data/timeline.yml
AIT-2024-06-005,2024,June,6,57,"Anthropic releases the Claude Sonnet 3.5 model, which presents better capabilities than other models with low resource usage.","Anthropic releases the <b>Claude Sonnet 3.5</b> model, which presents better capabilities than other models with low resource usage.",Claude Sonnet 3.5,model,Anthropic,True,AI Timeline _data/timeline.yml
AIT-2024-06-006,2024,June,6,58,Microsoft releases in open source a series of image recognition models called Florence 2 .,Microsoft releases in open source a series of image recognition models called <b>Florence 2</b>.,Florence 2,model,Microsoft,False,AI Timeline _data/timeline.yml
AIT-2024-06-007,2024,June,6,59,"Google announces Gemma 2 open source language models with 9B and 27B parameter sizes. Also, the company opens the context window capabilities to developers for up to 2 million tokens.","Google announces <b>Gemma 2</b> open source language models with 9B and 27B parameter sizes. Also, the company opens the context window capabilities to developers for up to 2 million tokens.",Gemma 2,model,Google,False,AI Timeline _data/timeline.yml
AIT-2024-07-001,2024,July,7,60,OpenAI has released a miniaturized model called GPT-4o mini that presents high capabilities at a low cost,OpenAI has released a miniaturized model called <b>GPT-4o mini</b> that presents high capabilities at a low cost,GPT-4o mini,model,OpenAI,False,AI Timeline _data/timeline.yml
AIT-2024-07-002,2024,July,7,61,"Meta releases as open source the llama 3.1 model in sizes 8B, 70B and 405B. The large model features the same capabilities as the best closed source models","Meta releases as open source the <b>llama 3.1 model</b> in sizes 8B, 70B and 405B. The large model features the same capabilities as the best closed source models",llama 3.1 model,model,Meta,True,AI Timeline _data/timeline.yml
AIT-2024-07-003,2024,July,7,62,"mistral ai releases three new models: Codestral Mamba , Mistral NeMo and Mathstral designed for mathematics","mistral ai releases three new models: <b>Codestral Mamba</b>, <b>Mistral NeMo</b> and <b>Mathstral</b> designed for mathematics",Codestral Mamba; Mistral NeMo; Mathstral,model,Mistral,False,AI Timeline _data/timeline.yml
AIT-2024-07-004,2024,July,7,63,"Google DeepMind has unveiled two new AI systems that won silver medals at this year's International Mathematical Olympiad (IMO), AlphaProof and AlphaGeometry 2 .","Google DeepMind has unveiled two new AI systems that won silver medals at this year's International Mathematical Olympiad (IMO),  <b>AlphaProof</b> and <b>AlphaGeometry 2</b>.",AlphaProof; AlphaGeometry 2,model,Google,True,AI Timeline _data/timeline.yml
AIT-2024-07-005,2024,July,7,64,"OpenAI launched SearchGPT , an integrated web search","OpenAI launched <b>SearchGPT</b>, an integrated web search",SearchGPT,product,OpenAI,False,AI Timeline _data/timeline.yml
AIT-2024-07-006,2024,July,7,65,"Startup Udio has released Udio v1.5 , an updated version of its music creation model","Startup Udio has released <b>Udio v1.5</b>, an updated version of its music creation model",Udio v1.5,model,Udio,False,AI Timeline _data/timeline.yml
AIT-2024-07-007,2024,July,7,66,"Mistral AI has released a large language model Mistral Large 2 in size 123B, which presents capabilities close to the closed SOTA models.","Mistral AI has released a large language model <b>Mistral Large 2</b> in size 123B, which presents capabilities close to the closed SOTA models.",Mistral Large 2,model,Mistral,True,AI Timeline _data/timeline.yml
AIT-2024-07-008,2024,July,7,67,Midjourney v6.1 is released,<b>Midjourney v6.1</b> is released,Midjourney v6.1,model,Midjourney,False,AI Timeline _data/timeline.yml
AIT-2024-07-009,2024,July,7,68,Google releases the Gemma 2 2B model as open source. The model demonstrates better capabilities than much larger models.,Google releases the <b>Gemma 2 2B</b> model as open source. The model demonstrates better capabilities than much larger models.,Gemma 2 2B,model,Google,False,AI Timeline _data/timeline.yml
AIT-2024-08-001,2024,August,8,69,"""Black Forest Labs"" releases weights for an image creation model named Flux , which shows better performance than similar closedsource models.","""Black Forest Labs"" releases weights for an image creation model named <b>Flux</b>, which shows better performance than similar closedsource models.",Flux,model,Black Forest Labs,False,AI Timeline _data/timeline.yml
AIT-2024-08-002,2024,August,8,70,"OpenAI released a new version of its model, GPT-4o 0806 , achieving 100% success in generating valid JSON output.","OpenAI released a new version of its model, <b>GPT-4o 0806</b>, achieving 100% success in generating valid JSON output.",GPT-4o 0806,model,OpenAI,False,AI Timeline _data/timeline.yml
AIT-2024-08-003,2024,August,8,71,"Google's image generation model, Imagen 3 , has been released.","Google's image generation model, <b>Imagen 3</b>, has been released.",Imagen 3,model,,False,AI Timeline _data/timeline.yml
AIT-2024-08-004,2024,August,8,72,"xAI Corporation has launched the models Grok 2 and Grok 2 mini , which demonstrate performance on par with leading SOTA models in the market.","xAI Corporation has launched the models <b>Grok 2</b> and <b>Grok 2 mini</b>, which demonstrate performance on par with leading SOTA models in the market.",Grok 2; Grok 2 mini,model,xAI,False,AI Timeline _data/timeline.yml
AIT-2024-08-005,2024,August,8,73,"Microsoft has introduced its small language models, Phi 3.5 , in three versions, each showcasing impressive performance relative to their size.","Microsoft has introduced its small language models, <b>Phi 3.5</b>, in three versions, each showcasing impressive performance relative to their size.",Phi 3.5,model,Microsoft,False,AI Timeline _data/timeline.yml
AIT-2024-08-006,2024,August,8,74,"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.","Google has introduced three new experimental AI models: <b>Gemini 1.5 Flash8B</b>, <b>Gemini 1.5 Pro</b> Enhanced, and <b>Gemini 1.5 Flash</b> Updated.",Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,model,Google,False,AI Timeline _data/timeline.yml
AIT-2024-08-007,2024,August,8,75,"Ideogram 2.0 has been released, offering image generation capabilities that surpass those of other leading models.","<b>Ideogram 2.0</b> has been released, offering image generation capabilities that surpass those of other leading models.",Ideogram 2.0,model,,False,AI Timeline _data/timeline.yml
AIT-2024-08-008,2024,August,8,76,Luma has unveiled the Dream Machine 1.5 model for video creation.,Luma has unveiled the <b>Dream Machine 1.5</b> model for video creation.,Dream Machine 1.5,model,Luma,False,AI Timeline _data/timeline.yml
AIT-2024-09-001,2024,September,9,77,"The French AI company Mistral has introduced Pixtral12B , its first multimodal model capable of processing both images and text.","The French AI company Mistral has introduced <b>Pixtral12B</b>, its first multimodal model capable of processing both images and text.",Pixtral12B,model,Mistral,False,AI Timeline _data/timeline.yml
AIT-2024-09-002,2024,September,9,78,"OPENAI has released two nextgeneration AI models to its subscribers: o1 preview and o1 mini . These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more.","OPENAI has released two nextgeneration AI models to its subscribers: <b>o1 preview</b> and <b>o1 mini</b>. These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more.",o1 preview; o1 mini,model,OpenAI,True,AI Timeline _data/timeline.yml
AIT-2024-09-003,2024,September,9,79,"Chinese company Alibaba releases the Qwen 2.5 model in various sizes, ranging from 0.5B to 72B. The models demonstrate capabilities comparable to much larger models.","Chinese company Alibaba releases the <b>Qwen 2.5</b> model in various sizes, ranging from 0.5B to 72B. The models demonstrate capabilities comparable to much larger models.",Qwen 2.5,model,Alibaba,False,AI Timeline _data/timeline.yml
AIT-2024-09-004,2024,September,9,80,The video generation model KLING 1.5 has been released.,The video generation model <b>KLING 1.5</b> has been released.,KLING 1.5,model,Kling,False,AI Timeline _data/timeline.yml
AIT-2024-09-005,2024,September,9,81,OpenAI launches the advanced voice mode of GPT 4o for all subscribers.,<b>OpenAI</b> launches the <b>advanced voice mode</b> of GPT 4o for all subscribers.,OpenAI; advanced voice mode,product,OpenAI,False,AI Timeline _data/timeline.yml
AIT-2024-09-006,2024,September,9,82,"Meta releases Llama 3.2 in sizes 1B, 3B, 11B and 90B, featuring image recognition capabilities for the first time.","<b>Meta</b> releases <b>Llama 3.2</b> in sizes 1B, 3B, 11B and 90B, featuring image recognition capabilities for the first time.",Meta; Llama 3.2,model,Meta,False,AI Timeline _data/timeline.yml
AIT-2024-09-007,2024,September,9,83,"Google has rolled out new model updates ready for deployment, Gemini Pro 1.5 002 and Gemini Flash 1.5 002 , showcasing significantly improved longcontext processing.","<b>Google</b> has rolled out new model updates ready for deployment, <b>Gemini Pro 1.5 002</b> and <b>Gemini Flash 1.5 002</b>, showcasing significantly improved longcontext processing.",Google; Gemini Pro 1.5 002; Gemini Flash 1.5 002,model,Google,False,AI Timeline _data/timeline.yml
AIT-2024-09-008,2024,September,9,84,"Kyutai releases two opensource versions of its voicetovoice model, Moshi .","<b>Kyutai</b> releases two opensource versions of its voicetovoice model, <b>Moshi</b>.",Kyutai; Moshi,model,Kyutai,False,AI Timeline _data/timeline.yml
AIT-2024-09-009,2024,September,9,85,Google releases an update to its AI tool NotebookLM that enables users to create podcasts based on their own content.,Google releases an update to its AI tool <b>NotebookLM</b> that enables users to create podcasts based on their own content.,NotebookLM,product,Google,False,AI Timeline _data/timeline.yml
AIT-2024-09-010,2024,September,9,86,Mistral AI launches a 22B model named Mistral Small .,Mistral AI launches a 22B model named <b>Mistral Small</b>.,Mistral Small,model,Mistral,False,AI Timeline _data/timeline.yml
AIT-2024-10-001,2024,October,10,87,"Flux 1.1 Pro is released, showcasing advanced capabilities for image creation.","<b>Flux 1.1 Pro</b> is released, showcasing advanced capabilities for image creation.",Flux 1.1 Pro,model,,False,AI Timeline _data/timeline.yml
AIT-2024-10-002,2024,October,10,88,"Meta unveils Movie Gen , a new AI model that generates videos, images, and audio from text input.","Meta unveils <b>Movie Gen</b>, a new AI model that generates videos, images, and audio from text input.",Movie Gen,model,Meta,False,AI Timeline _data/timeline.yml
AIT-2024-10-003,2024,October,10,89,"Pika introduces Video Model 1.5 along with ""Pika Effects.""","Pika introduces <b>Video Model 1.5</b> along with ""Pika Effects.""",Video Model 1.5,model,Pika,False,AI Timeline _data/timeline.yml
AIT-2024-10-004,2024,October,10,90,"Adobe announces its video creation model, Firefly Video .","Adobe announces its video creation model, <b>Firefly Video</b>.",Firefly Video,model,Adobe,False,AI Timeline _data/timeline.yml
AIT-2024-10-005,2024,October,10,91,"Startup Rhymes AI releases Aria , an opensource, multimodal model exhibiting capabilities similar to comparably sized proprietary models.","Startup Rhymes AI releases <b>Aria</b>, an opensource, multimodal model exhibiting capabilities similar to comparably sized proprietary models.",Aria,model,Rhymes AI,False,AI Timeline _data/timeline.yml
AIT-2024-10-006,2024,October,10,92,Meta releases an opensource speechtospeech language model named Meta Spirit LM .,Meta releases an opensource speechtospeech language model named <b>Meta Spirit LM</b>.,Meta Spirit LM,model,Meta,False,AI Timeline _data/timeline.yml
AIT-2024-10-007,2024,October,10,93,"Mistral AI introduces Ministral , a new model available in 3B and 8B parameter sizes.","Mistral AI introduces <b>Ministral</b>, a new model available in 3B and 8B parameter sizes.",Ministral,model,Mistral,False,AI Timeline _data/timeline.yml
AIT-2024-10-008,2024,October,10,94,"Janus AI , a multimodal language model capable of recognizing and generating both text and images, is released as open source by DeepSeekAI.","<b>Janus AI</b>, a multimodal language model capable of recognizing and generating both text and images, is released as open source by DeepSeekAI.",Janus AI,model,DeepSeek,False,AI Timeline _data/timeline.yml
AIT-2024-10-009,2024,October,10,95,"Google DeepMind and MIT unveil Fluid , a texttoimage generation model with industryleading performance at a scale of 10.5B parameters.","Google DeepMind and MIT unveil <b>Fluid</b>, a texttoimage generation model with industryleading performance at a scale of 10.5B parameters.",Fluid,model,Google,False,AI Timeline _data/timeline.yml
AIT-2024-10-010,2024,October,10,96,Stable Diffusion 3.5 is released in three sizes as open source.,<b>Stable Diffusion 3.5</b> is released in three sizes as open source.,Stable Diffusion 3.5,model,,False,AI Timeline _data/timeline.yml
AIT-2024-10-011,2024,October,10,97,"Anthropic launches Claude 3.5 Sonnet New , demonstrating significant advancements in specific areas over its previous version, and announces Claude 3.5 Haiku .","Anthropic launches <b>Claude 3.5 Sonnet New</b>, demonstrating significant advancements in specific areas over its previous version, and announces <b>Claude 3.5 Haiku</b>.",Claude 3.5 Sonnet New; Claude 3.5 Haiku,model,Anthropic,False,AI Timeline _data/timeline.yml
AIT-2024-10-012,2024,October,10,98,Anthropic announces an experimental feature for computer use with a public beta API.,Anthropic announces an experimental feature for computer use with a public beta API.,,other,Anthropic,False,AI Timeline _data/timeline.yml
AIT-2024-10-013,2024,October,10,99,"The texttoimage model Recraft v3 has been released to the public, ranking first in benchmarks compared to similar models.","The texttoimage model <b>Recraft v3</b> has been released to the public, ranking first in benchmarks compared to similar models.",Recraft v3,model,,False,AI Timeline _data/timeline.yml
