entity_id,event_id,year,month,month_num,event_order,entity_order,entity_name,entity_type,entity_classification_reason,inferred_creator,inferred_modality,event_text,is_special,is_comparison_reference,source,match_level,match_score,aa_record_key,aa_name,aa_slug,aa_creator,aa_modality,aa_release_date,aa_url,top_candidates_json,needs_review,auto_unmatch_reason
AIT-2024-08-008-E01,AIT-2024-08-008,2024,August,8,76,1,Dream Machine 1.5,model,model-family or model-context clue,Luma,text-to-video,Luma has unveiled the Dream Machine 1.5 model for video creation.,False,False,AI Timeline _data/timeline.yml,low,0.7027,text-to-image:1308be83-54a3-4284-880e-bd31996a9225,HiDream-O1-Image-1.5,hidream-o1-image-1-5,HiDream,text-to-image,2026-06,https://artificialanalysis.ai/models/hidream-o1-image-1-5,"[{""score"": 0.7027, ""name"": ""HiDream-O1-Image-1.5"", ""creator"": ""HiDream"", ""modality"": ""text-to-image"", ""slug"": ""hidream-o1-image-1-5""}, {""score"": 0.6897, ""name"": ""Dreamina 3.1"", ""creator"": ""Bytedance"", ""modality"": ""text-to-image"", ""slug"": ""dreamina-3-1""}, {""score"": 0.6486, ""name"": ""HiDream-E1.1"", ""creator"": ""HiDream"", ""modality"": ""image-editing"", ""slug"": ""hidream-e1-1""}, {""score"": 0.6452, ""name"": ""Jamba 1.5 Mini"", ""creator"": ""AI21 Labs"", ""modality"": ""language"", ""slug"": ""jamba-1-5-mini""}, {""score"": 0.64, ""name"": ""Mochi 1"", ""creator"": ""Genmo"", ""modality"": ""text-to-video"", ""slug"": ""mochi-1""}]",True,
AIT-2024-09-001-E01,AIT-2024-09-001,2024,September,9,77,1,Pixtral12B,model,model-family or model-context clue,Mistral,language,"The French AI company Mistral has introduced Pixtral12B , its first multimodal model capable of processing both images and text.",False,False,AI Timeline _data/timeline.yml,medium,0.8292,language:de0beaf0-c951-487a-8eb4-3dd12e74122c,Pixtral Large,pixtral-large-2411,Mistral,language,2024-11-18,https://artificialanalysis.ai/models/pixtral-large-2411,"[{""score"": 0.8292, ""name"": ""Pixtral Large"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""pixtral-large-2411""}, {""score"": 0.7968, ""name"": ""Mistral Saba"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""mistral-saba""}, {""score"": 0.7917, ""name"": ""Ministral 3 14B"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""ministral-3-14b""}, {""score"": 0.7822, ""name"": ""Devstral 2"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""devstral-2""}, {""score"": 0.7627, ""name"": ""Voxtral TTS"", ""creator"": ""Mistral"", ""modality"": ""text-to-speech"", ""slug"": ""voxtral-tts""}]",True,
AIT-2024-10-002-E01,AIT-2024-10-002,2024,October,10,88,1,Movie Gen,model,model-family or model-context clue,Meta,text-to-video,"Meta unveils Movie Gen , a new AI model that generates videos, images, and audio from text input.",False,False,AI Timeline _data/timeline.yml,medium,0.8007,music-instrumental:ee2e7e87-4130-4c63-ab1a-97d3b17e7e3c,MusicGen,,Meta,music-instrumental,,,"[{""score"": 0.8007, ""name"": ""MusicGen"", ""creator"": ""Meta"", ""modality"": ""music-instrumental"", ""slug"": """"}, {""score"": 0.6764, ""name"": ""Mochi 1"", ""creator"": ""Genmo"", ""modality"": ""text-to-video"", ""slug"": ""mochi-1""}, {""score"": 0.64, ""name"": ""Grok Voice Agent"", ""creator"": ""xAI"", ""modality"": ""speech-to-speech"", ""slug"": ""grok-voice""}, {""score"": 0.6154, ""name"": ""MetaVoice v1"", ""creator"": ""MetaVoice"", ""modality"": ""text-to-speech"", ""slug"": ""metavoice-v1""}, {""score"": 0.6117, ""name"": ""Muse Spark"", ""creator"": ""Meta"", ""modality"": ""language"", ""slug"": ""muse-spark""}]",True,
AIT-2024-10-005-E01,AIT-2024-10-005,2024,October,10,91,1,Aria,model,model-family or model-context clue,Rhymes AI,language,"Startup Rhymes AI releases Aria , an opensource, multimodal model exhibiting capabilities similar to comparably sized proprietary models.",False,False,AI Timeline _data/timeline.yml,medium,0.78,speech-to-text:88ba5688-920d-411d-a341-5f21d27ead16,"Solaria-1, Gladia",,Gladia,speech-to-text,,,"[{""score"": 0.78, ""name"": ""Solaria-1, Gladia"", ""creator"": ""Gladia"", ""modality"": ""speech-to-text"", ""slug"": """"}, {""score"": 0.78, ""name"": ""Solaria-3, Gladia"", ""creator"": ""Gladia"", ""modality"": ""speech-to-text"", ""slug"": """"}, {""score"": 0.6364, ""name"": ""Arcana v3"", ""creator"": ""Rime"", ""modality"": ""text-to-speech"", ""slug"": ""rime-arcana""}, {""score"": 0.5455, ""name"": ""Lyria 2"", ""creator"": ""Google"", ""modality"": ""music-instrumental"", ""slug"": """"}, {""score"": 0.5, ""name"": ""Sarvam M (Reasoning)"", ""creator"": ""Sarvam"", ""modality"": ""language"", ""slug"": ""sarvam-m-reasoning""}]",True,
AIT-2024-10-009-E01,AIT-2024-10-009,2024,October,10,95,1,Fluid,model,model-family or model-context clue,Google,text-to-image,"Google DeepMind and MIT unveil Fluid , a texttoimage generation model with industryleading performance at a scale of 10.5B parameters.",False,False,AI Timeline _data/timeline.yml,medium,0.78,text-to-speech:02265a20-67bc-4892-89d0-f54545b6b4a1,Studio,studio,Google,text-to-speech,,https://artificialanalysis.ai/models/studio,"[{""score"": 0.78, ""name"": ""Studio"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""studio""}, {""score"": 0.7523, ""name"": ""Lyria 2"", ""creator"": ""Google"", ""modality"": ""music-instrumental"", ""slug"": """"}, {""score"": 0.7, ""name"": ""PALM-2"", ""creator"": ""Google"", ""modality"": ""language"", ""slug"": ""palm-2""}, {""score"": 0.6807, ""name"": ""Chirp 3: HD"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""chirp3-hd""}, {""score"": 0.6754, ""name"": ""Journey"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""journey""}]",True,
AIT-2024-11-006-E01,AIT-2024-11-006,2024,November,11,106,1,gemini-exp-1114,model,model-family or model-context clue,Google,language,"Google introduced two experimental models, gemini-exp-1114 and gemini-exp-1121 , currently leading the arena chatbot with enhanced performance.",False,False,AI Timeline _data/timeline.yml,low,0.6807,language:2ac96b67-f4f8-4c8c-ac08-c7510faa7bb9,Gemini 1.5 Pro (Sep '24),gemini-1-5-pro,Google,language,2024-09-24,https://artificialanalysis.ai/models/gemini-1-5-pro,"[{""score"": 0.6807, ""name"": ""Gemini 1.5 Pro (Sep '24)"", ""creator"": ""Google"", ""modality"": ""language"", ""slug"": ""gemini-1-5-pro""}, {""score"": 0.6807, ""name"": ""Gemini 1.5 Pro (May '24)"", ""creator"": ""Google"", ""modality"": ""language"", ""slug"": ""gemini-1-5-pro-may-2024""}, {""score"": 0.6807, ""name"": ""Gemini 3.1 Flash TTS"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""gemini-3-1-tts""}, {""score"": 0.6667, ""name"": ""GPT-4.1 mini"", ""creator"": ""OpenAI"", ""modality"": ""language"", ""slug"": ""gpt-4-1-mini""}, {""score"": 0.6526, ""name"": ""Gemini 3 Pro Preview (high)"", ""creator"": ""Google"", ""modality"": ""language"", ""slug"": ""gemini-3-pro""}]",True,
AIT-2024-11-006-E02,AIT-2024-11-006,2024,November,11,106,2,gemini-exp-1121,model,model-family or model-context clue,Google,language,"Google introduced two experimental models, gemini-exp-1114 and gemini-exp-1121 , currently leading the arena chatbot with enhanced performance.",False,False,AI Timeline _data/timeline.yml,low,0.6807,language:27202e5f-c82d-4710-92e9-4317877d4883,Gemini 2.5 Pro,gemini-2-5-pro,Google,language,2025-06-05,https://artificialanalysis.ai/models/gemini-2-5-pro,"[{""score"": 0.6807, ""name"": ""Gemini 2.5 Pro"", ""creator"": ""Google"", ""modality"": ""language"", ""slug"": ""gemini-2-5-pro""}, {""score"": 0.6807, ""name"": ""Gemini 1.5 Pro (Sep '24)"", ""creator"": ""Google"", ""modality"": ""language"", ""slug"": ""gemini-1-5-pro""}, {""score"": 0.6807, ""name"": ""Gemini 1.5 Pro (May '24)"", ""creator"": ""Google"", ""modality"": ""language"", ""slug"": ""gemini-1-5-pro-may-2024""}, {""score"": 0.6807, ""name"": ""Gemini 3.1 Flash TTS"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""gemini-3-1-tts""}, {""score"": 0.6807, ""name"": ""Gemini 2.5 Pro (Dec 2025)"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""gemini-2-5-pro-dec-2025""}]",True,
AIT-2024-12-003-E01,AIT-2024-12-003,2024,December,12,110,1,Gemini-Exp-1206,model,model-family or model-context clue,Google,language,"Google unveiled the experimental model Gemini-Exp-1206 , which ranked first in the chatbot leaderboard.",False,False,AI Timeline _data/timeline.yml,low,0.6807,language:27202e5f-c82d-4710-92e9-4317877d4883,Gemini 2.5 Pro,gemini-2-5-pro,Google,language,2025-06-05,https://artificialanalysis.ai/models/gemini-2-5-pro,"[{""score"": 0.6807, ""name"": ""Gemini 2.5 Pro"", ""creator"": ""Google"", ""modality"": ""language"", ""slug"": ""gemini-2-5-pro""}, {""score"": 0.6807, ""name"": ""Gemini 1.5 Pro (Sep '24)"", ""creator"": ""Google"", ""modality"": ""language"", ""slug"": ""gemini-1-5-pro""}, {""score"": 0.6807, ""name"": ""Gemini 1.5 Pro (May '24)"", ""creator"": ""Google"", ""modality"": ""language"", ""slug"": ""gemini-1-5-pro-may-2024""}, {""score"": 0.6807, ""name"": ""Gemini 3.1 Flash TTS"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""gemini-3-1-tts""}, {""score"": 0.6807, ""name"": ""Gemini 2.5 Pro (Dec 2025)"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""gemini-2-5-pro-dec-2025""}]",True,
AIT-2025-01-004-E01,AIT-2025-01-004,2025,January,1,127,1,Titans,model,model-family or model-context clue,Google,language,"Google published a research paper on a new language model architecture called Titans , designed to enable models to retain both short- and long-term memory. This architecture significantly improves processing for extended context windows.",True,False,AI Timeline _data/timeline.yml,medium,0.7743,text-to-speech:7efc9790-17f6-44a5-8b4f-897deaeb0088,Standard,standard,Google,text-to-speech,,https://artificialanalysis.ai/models/standard,"[{""score"": 0.7743, ""name"": ""Standard"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""standard""}, {""score"": 0.7523, ""name"": ""Studio"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""studio""}, {""score"": 0.7267, ""name"": ""Lyria 2"", ""creator"": ""Google"", ""modality"": ""music-instrumental"", ""slug"": """"}, {""score"": 0.6754, ""name"": ""PALM-2"", ""creator"": ""Google"", ""modality"": ""language"", ""slug"": ""palm-2""}, {""score"": 0.6661, ""name"": ""Imagen 3 (v002)"", ""creator"": ""Google"", ""modality"": ""text-to-image"", ""slug"": ""imagen-3-v002""}]",True,
AIT-2025-01-006-E05,AIT-2025-01-006,2025,January,1,129,5,Qwen2.5-1M,model,model-family or model-context clue,DeepSeek,language,"Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes.",False,False,AI Timeline _data/timeline.yml,medium,0.8571,language:b9dc72c6-7bea-4936-a55a-4b0c835fc755,Qwen2.5 Max,qwen-2-5-max,Alibaba,language,2025-01-28,https://artificialanalysis.ai/models/qwen-2-5-max,"[{""score"": 0.8571, ""name"": ""Qwen2.5 Max"", ""creator"": ""Alibaba"", ""modality"": ""language"", ""slug"": ""qwen-2-5-max""}, {""score"": 0.7, ""name"": ""Qwen3.5 2B (Reasoning)"", ""creator"": ""Alibaba"", ""modality"": ""language"", ""slug"": ""qwen3-5-2b""}, {""score"": 0.7, ""name"": ""Qwen3.5 4B (Reasoning)"", ""creator"": ""Alibaba"", ""modality"": ""language"", ""slug"": ""qwen3-5-4b""}, {""score"": 0.7, ""name"": ""Qwen3.5 4B (Non-reasoning)"", ""creator"": ""Alibaba"", ""modality"": ""language"", ""slug"": ""qwen3-5-4b-non-reasoning""}, {""score"": 0.7, ""name"": ""Qwen3.5 2B (Non-reasoning)"", ""creator"": ""Alibaba"", ""modality"": ""language"", ""slug"": ""qwen3-5-2b-non-reasoning""}]",True,
AIT-2025-01-006-E06,AIT-2025-01-006,2025,January,1,129,6,Qwen2.5-VL,model,model-family or model-context clue,DeepSeek,language,"Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes.",False,False,AI Timeline _data/timeline.yml,medium,0.7619,language:b9dc72c6-7bea-4936-a55a-4b0c835fc755,Qwen2.5 Max,qwen-2-5-max,Alibaba,language,2025-01-28,https://artificialanalysis.ai/models/qwen-2-5-max,"[{""score"": 0.7619, ""name"": ""Qwen2.5 Max"", ""creator"": ""Alibaba"", ""modality"": ""language"", ""slug"": ""qwen-2-5-max""}, {""score"": 0.7619, ""name"": ""Qwen3 VL 4B (Reasoning)"", ""creator"": ""Alibaba"", ""modality"": ""language"", ""slug"": ""qwen3-vl-4b-reasoning""}, {""score"": 0.7619, ""name"": ""Qwen3 VL 8B (Reasoning)"", ""creator"": ""Alibaba"", ""modality"": ""language"", ""slug"": ""qwen3-vl-8b-reasoning""}, {""score"": 0.7273, ""name"": ""Qwen3 VL 32B (Reasoning)"", ""creator"": ""Alibaba"", ""modality"": ""language"", ""slug"": ""qwen3-vl-32b-reasoning""}, {""score"": 0.7, ""name"": ""Qwen3.5 2B (Reasoning)"", ""creator"": ""Alibaba"", ""modality"": ""language"", ""slug"": ""qwen3-5-2b""}]",True,
