entity_id,entity_name,event_id,algorithmic_level,algorithmic_aa_name,action,final_aa_name,reason
AIT-2024-08-005-E01,Phi 3.5,AIT-2024-08-005,medium,Phi-3 Mini Instruct 3.8B,unmatched,,AA 未收录 Phi 3.5
AIT-2024-08-006-E01,Gemini 1.5 Flash8B,AIT-2024-08-006,exact_or_near_exact,Gemini 1.5 Flash (Sep '24),redirect,Gemini 1.5 Flash-8B,AA 有独立的 Flash-8B 记录
AIT-2024-08-006-E02,Gemini 1.5 Pro,AIT-2024-08-006,exact_or_near_exact,Gemini 1.5 Pro (Sep '24),unmatched,,experimental 更新预览，正式 002 版发布为 2024-09 事件
AIT-2024-08-006-E03,Gemini 1.5 Flash,AIT-2024-08-006,exact_or_near_exact,Gemini 1.5 Flash (Sep '24),unmatched,,experimental 更新预览，正式 002 版发布为 2024-09 事件
AIT-2024-08-007-E01,Ideogram 2.0,AIT-2024-08-007,high,Ideogram 3.0,unmatched,,AA 未收录 Ideogram 2.0
AIT-2024-08-008-E01,Dream Machine 1.5,AIT-2024-08-008,low,HiDream-O1-Image-1.5,unmatched,,AA 未收录 Luma 该版本
AIT-2024-09-001-E01,Pixtral12B,AIT-2024-09-001,medium,Pixtral Large,unmatched,,AA 仅收录 Pixtral Large
AIT-2024-09-003-E01-R1,Qwen 2.5,AIT-2024-09-003,exact_or_near_exact,Qwen2.5 Max,redirect,Qwen2.5 Instruct 72B,2024-09 开源家族发布，家族全收（原错配到 2025-01 的闭源 Max）
AIT-2024-09-003-E01-R2,Qwen 2.5,AIT-2024-09-003,exact_or_near_exact,Qwen2.5 Max,redirect,Qwen2.5 Instruct 32B,2024-09 开源家族发布，家族全收（原错配到 2025-01 的闭源 Max）
AIT-2024-09-004-E01,KLING 1.5,AIT-2024-09-004,exact_or_near_exact,Kling 1.5 Pro,confirm,Kling 1.5 Pro,AA 仅收录 Pro 档，同版本算 match
AIT-2024-09-006-E02-R1,Llama 3.2,AIT-2024-09-006,exact_or_near_exact,Llama 3.2 Instruct 90B (Vision),redirect,Llama 3.2 Instruct 90B (Vision),家族全收
AIT-2024-09-006-E02-R2,Llama 3.2,AIT-2024-09-006,exact_or_near_exact,Llama 3.2 Instruct 90B (Vision),redirect,Llama 3.2 Instruct 11B (Vision),家族全收
AIT-2024-09-006-E02-R3,Llama 3.2,AIT-2024-09-006,exact_or_near_exact,Llama 3.2 Instruct 90B (Vision),redirect,Llama 3.2 Instruct 3B,家族全收
AIT-2024-09-006-E02-R4,Llama 3.2,AIT-2024-09-006,exact_or_near_exact,Llama 3.2 Instruct 90B (Vision),redirect,Llama 3.2 Instruct 1B,家族全收
AIT-2024-09-007-E02,Gemini Pro 1.5 002,AIT-2024-09-007,exact_or_near_exact,Gemini 2.5 Pro,redirect,Gemini 1.5 Pro (Sep '24),Sep '24 快照即 002 版本更新
AIT-2024-09-010-E01,Mistral Small,AIT-2024-09-010,exact_or_near_exact,Mistral Small 3,redirect,Mistral Small (Sep '24),AA 有同月快照（原错配到 2025-01 的 Small 3）
AIT-2024-10-001-E01,Flux 1.1 Pro,AIT-2024-10-001,exact_or_near_exact,FLUX.1 [pro],redirect,FLUX1.1 [pro],AA 有 FLUX1.1 [pro] 同月记录，此前被 FLUX.1 抢占 top-1
AIT-2024-10-002-E01,Movie Gen,AIT-2024-10-002,medium,MusicGen,unmatched,,AA 未收录 Meta Movie Gen
AIT-2024-10-003-E01,Video Model 1.5,AIT-2024-10-003,exact_or_near_exact,HunyuanVideo-1.5 (Fal),redirect,Pika 1.5,Pika 的视频模型 1.5，AA 有同月记录（原错配到腾讯混元）
AIT-2024-10-004-E01,Firefly Video,AIT-2024-10-004,high,Firefly Image 4,unmatched,,AA 未收录 Firefly 视频模型
AIT-2024-10-005-E01,Aria,AIT-2024-10-005,medium,"Solaria-1, Gladia",unmatched,,AA 未收录 Rhymes AI Aria
AIT-2024-10-007-E01,Ministral,AIT-2024-10-007,exact_or_near_exact,Ministral 3 3B,unmatched,,AA 未收录 2024-10 的 les Ministraux（Ministral 3 是 2025-12 家族）
AIT-2024-10-008-E01,Janus AI,AIT-2024-10-008,exact_or_near_exact,Janus Pro,unmatched,,AA 仅收录 Janus Pro（2025-01），初代 Janus 未收录
AIT-2024-10-009-E01,Fluid,AIT-2024-10-009,medium,Studio,unmatched,,AA 未收录该文生图模型
AIT-2024-10-010-E01-R1,Stable Diffusion 3.5,AIT-2024-10-010,exact_or_near_exact,Stable Diffusion 1.5,redirect,Stable Diffusion 3.5 Large,事件为三尺寸发布，家族全收，AA 同月
AIT-2024-10-010-E01-R2,Stable Diffusion 3.5,AIT-2024-10-010,exact_or_near_exact,Stable Diffusion 1.5,redirect,Stable Diffusion 3.5 Large Turbo,事件为三尺寸发布，家族全收，AA 同月
AIT-2024-10-010-E01-R3,Stable Diffusion 3.5,AIT-2024-10-010,exact_or_near_exact,Stable Diffusion 1.5,redirect,Stable Diffusion 3.5 Medium,事件为三尺寸发布，家族全收，AA 同月
AIT-2024-10-011-E02,Claude 3.5 Haiku,AIT-2024-10-011,exact_or_near_exact,Claude 3.5 Haiku,unmatched,,announce，release 为 2024-11 事件
AIT-2024-11-003-E01,DeepSeek-R1-Lite-Preview,AIT-2024-11-003,exact_or_near_exact,DeepSeek R1 (Jan '25),unmatched,,预览版；正式发布为 2025-01 R1 事件（announce/release 去重：保留 release）
AIT-2024-11-004-E02,v4,AIT-2024-11-004,exact_or_near_exact,Suno V4.5,unmatched,,AA 未收录 Suno V4
AIT-2024-11-006-E01,gemini-exp-1114,AIT-2024-11-006,low,Gemini 1.5 Pro (Sep '24),unmatched,,AA 未收录 experimental 快照
AIT-2024-11-006-E02,gemini-exp-1121,AIT-2024-11-006,low,Gemini 2.5 Pro,unmatched,,AA 未收录 experimental 快照
AIT-2024-12-001-E01-R1,NOVA,AIT-2024-12-001,exact_or_near_exact,Nova Micro,redirect,Nova Pro,2024-12 Nova 家族发布，家族全收
AIT-2024-12-001-E01-R2,NOVA,AIT-2024-12-001,exact_or_near_exact,Nova Micro,redirect,Nova Lite,2024-12 Nova 家族发布，家族全收
AIT-2024-12-001-E01-R3,NOVA,AIT-2024-12-001,exact_or_near_exact,Nova Micro,redirect,Nova Micro,2024-12 Nova 家族发布，家族全收
AIT-2024-12-002-E01,SORA,AIT-2024-12-002,exact_or_near_exact,Sora 2 Pro,redirect,Sora,2024-12 为 Sora 正式发布（原错配到 Sora 2 Pro）
AIT-2024-12-002-E04,GPT 4o,AIT-2024-12-002,exact_or_near_exact,GPT-4o (Aug '24),unmatched,,live video mode 功能提及，GPT-4o 发布为 2024-05 事件
AIT-2024-12-003-E01,Gemini-Exp-1206,AIT-2024-12-003,low,Gemini 2.5 Pro,unmatched,,AA 未收录 experimental 快照
AIT-2024-12-005-E01,Gemini-2.0-Flash-Thinking,AIT-2024-12-005,exact_or_near_exact,Gemini 2.0 Flash (experimental),redirect,Gemini 2.0 Flash Thinking Experimental (Dec '24),AA 有同月的 Thinking 专门记录
AIT-2024-12-005-E02,Gemini 2.0 Flash,AIT-2024-12-005,exact_or_near_exact,Gemini 2.0 Flash (experimental),unmatched,,'based on Gemini 2.0 Flash' 提及，发布为同月 -004 事件
AIT-2024-12-006-E03,Imagen 3,AIT-2024-12-006,exact_or_near_exact,Imagen 3 (v002),unmatched,,v002 更新提及，主发布保留 2024-08 事件
AIT-2024-12-010-E01,PaliGemma 2,AIT-2024-12-010,high,PALM-2,unmatched,,AA 未收录 PaliGemma（原错配到 PALM-2）
AIT-2024-12-010-E02,Gemma,AIT-2024-12-010,exact_or_near_exact,Gemma 4 26B A4B (Reasoning),unmatched,,'integrated with existing Gemma models' 为提及，非发布
AIT-2024-12-014-E01,QVQ-72B-Preview,AIT-2024-12-014,high,QwQ 32B-Preview,unmatched,,QVQ 视觉推理模型，AA 未收录（原错配到 QwQ）
AIT-2024-12-015-E01,o3,AIT-2024-12-015,exact_or_near_exact,o3,unmatched,,announce，release 为 2025-04 事件（o3 full）
AIT-2024-12-015-E04,o3 Mini,AIT-2024-12-015,exact_or_near_exact,o3-mini (high),unmatched,,announce（'expected in January 2025'），release 为 2025-01 事件
AIT-2024-12-016-E01,Kling 1.6,AIT-2024-12-016,exact_or_near_exact,Kling 1.6 Standard,confirm,Kling 1.6 Standard,AA 仅收录 Standard 档，同版本算 match
AIT-2025-01-002-E01,Gemini Flash Thinking 0121,AIT-2025-01-002,high,Gemini 2.0 Flash Thinking Experimental (Jan '25),redirect,Gemini 2.0 Flash Thinking Experimental (Jan '25),0121 即 2025-01-21 发布的 Thinking 快照，AA 有对应记录
AIT-2025-01-003-E02,R1-Zero,AIT-2025-01-003,exact_or_near_exact,DeepSeek R1 (Jan '25),unmatched,,R1-Zero 为独立模型，AA 未收录；同事件 R1 已覆盖
AIT-2025-01-004-E01,Titans,AIT-2025-01-004,medium,Standard,unmatched,,研究论文架构，非发布模型
AIT-2025-01-006-E05,Qwen2.5-1M,AIT-2025-01-006,medium,Qwen2.5 Max,unmatched,,AA 未收录该长上下文变体
AIT-2025-01-006-E06,Qwen2.5-VL,AIT-2025-01-006,medium,Qwen2.5 Max,unmatched,,AA 未收录 Qwen2.5-VL
AIT-2025-02-005-E01,QwQ-Max,AIT-2025-02-005,high,Qwen3 Max,unmatched,,基于 Qwen2.5-Max 的推理预览，AA 未收录（原错配到 Qwen3 Max）
AIT-2025-02-007-E01,GPT-4.5,AIT-2025-02-007,exact_or_near_exact,GPT-5.4 (Non-reasoning),redirect,GPT-4.5 (Preview),AA 有同月记录 GPT-4.5 (Preview)
AIT-2025-03-003-E01,GPT-4o Image Generation,AIT-2025-03-003,exact_or_near_exact,GPT-4o (Aug '24),redirect,GPT Image 1 (high),该能力的 AA 对应记录为 GPT Image 1（2025-04 API 化）
AIT-2025-03-004-E01,Gemini 2.0 Flash Experimental,AIT-2025-03-004,exact_or_near_exact,Gemini 2.0 Flash (experimental),unmatched,,图像功能扩展提及，非模型发布
AIT-2025-03-006-E01,Qwen2.5-VL 32B,AIT-2025-03-006,high,Qwen3 VL 32B (Reasoning),unmatched,,AA 未收录 Qwen2.5-VL（原错配到 Qwen3 VL 32B）
AIT-2025-04-001-E01-R1,Llama 4,AIT-2025-04-001,exact_or_near_exact,Llama 4 Maverick,redirect,Llama 4 Maverick,家族全收
AIT-2025-04-001-E01-R2,Llama 4,AIT-2025-04-001,exact_or_near_exact,Llama 4 Maverick,redirect,Llama 4 Scout,家族全收
AIT-2025-04-006-E01,v7,AIT-2025-04-006,exact_or_near_exact,Midjourney v7 Alpha,confirm,Midjourney v7 Alpha,AA 仅收录 v7 Alpha，同版本算 match
AIT-2025-04-007-E01,Veo 2.0,AIT-2025-04-007,exact_or_near_exact,Veo 2,unmatched,,视频模型综述提及，Veo 2 发布为 2024-12 事件
AIT-2025-04-008-E01-R1,Qwen 3,AIT-2025-04-008,exact_or_near_exact,Qwen3.5 Omni Plus Realtime,redirect,Qwen3 235B A22B (Reasoning),AA 有同月的 Qwen3 家族（2025-04-28），家族全收
AIT-2025-04-008-E01-R2,Qwen 3,AIT-2025-04-008,exact_or_near_exact,Qwen3.5 Omni Plus Realtime,redirect,Qwen3 32B (Reasoning),AA 有同月的 Qwen3 家族（2025-04-28），家族全收
AIT-2025-04-008-E01-R3,Qwen 3,AIT-2025-04-008,exact_or_near_exact,Qwen3.5 Omni Plus Realtime,redirect,Qwen3 30B A3B (Reasoning),AA 有同月的 Qwen3 家族（2025-04-28），家族全收
AIT-2025-05-001-E01,Phi-4 reasoning,AIT-2025-05-001,exact_or_near_exact,Phi-4,unmatched,,Phi-4-reasoning 为独立模型，AA 仅有 2024-12 基础版 Phi-4
AIT-2025-05-004-E02-R1,Imagen 4,AIT-2025-05-004,exact_or_near_exact,Imagen 4 Ultra Preview 0606,redirect,Imagen 4 Ultra,Imagen 4 三档发布，家族全收
AIT-2025-05-004-E02-R2,Imagen 4,AIT-2025-05-004,exact_or_near_exact,Imagen 4 Ultra Preview 0606,redirect,Imagen 4 Standard,Imagen 4 三档发布，家族全收
AIT-2025-05-004-E02-R3,Imagen 4,AIT-2025-05-004,exact_or_near_exact,Imagen 4 Ultra Preview 0606,redirect,Imagen 4 Fast,Imagen 4 三档发布，家族全收
AIT-2025-05-007-E01,Gemini 2.5 Pro,AIT-2025-05-007,exact_or_near_exact,Gemini 2.5 Pro,unmatched,,Deep Think Mode 提及，首次可用为 2025-03 事件
AIT-2025-05-007-E02,Gemini 2.5 Flash,AIT-2025-05-007,exact_or_near_exact,Gemini 2.5 Flash (Non-reasoning),unmatched,,重复提及，首次可用为 2025-04 事件
AIT-2025-05-008-E02,o3,AIT-2025-05-008,exact_or_near_exact,o3,unmatched,,Operator 产品更新提及，非模型发布
AIT-2025-05-011-E01,Gemini Diffusion,AIT-2025-05-011,medium,"Gemini 3 Flash (High), Google",unmatched,,AA 未收录该 experimental 模型
AIT-2025-05-012-E01,Gemma 3n,AIT-2025-05-012,exact_or_near_exact,Gemma 3n E2B Instruct,confirm,Gemma 3n E2B Instruct,AA 仅收录 E2B 尺寸标注版，同版本算 match
AIT-2025-06-001-E01,Gemini 2.5 Pro,AIT-2025-06-001,exact_or_near_exact,Gemini 2.5 Pro,unmatched,,GA 再发布，首次可用为 2025-03 事件（去重保留首次可用）
AIT-2025-07-004-E01,Gemini Deep Think,AIT-2025-07-004,exact_or_near_exact,Gemini 3 Deep Think,unmatched,,2025-07 事件为 Gemini 2.5 Deep Think，AA 仅有 Gemini 3 版
AIT-2025-07-005-E02,Qwen3-Coder,AIT-2025-07-005,exact_or_near_exact,Qwen3 Coder Next,redirect,Qwen3 Coder 480B A35B Instruct,2025-07 发布，AA 同月记录（原错配到 2026-02 的 Coder Next）
AIT-2025-08-001-E01,Gemini 2.5 Deep Think,AIT-2025-08-001,exact_or_near_exact,Gemini 3 Deep Think,unmatched,,AA 仅有 Gemini 3 Deep Think，2.5 版未收录
AIT-2025-08-004-E02,gpt-oss-20b,AIT-2025-08-004,exact_or_near_exact,gpt-oss-120b (high),redirect,gpt-oss-20B (high),AA 有独立 20B 记录（原错配到 120b）
AIT-2025-08-005-E01,GPT-5,AIT-2025-08-005,exact_or_near_exact,GPT-5.5 (Non-reasoning),redirect,GPT-5 (high),AA 有同月记录，取最高 effort 测量口径
AIT-2025-09-002-E01,Gemini 2.5 - Deep Think,AIT-2025-09-002,high,Gemini 3 Deep Think,unmatched,,AA 仅有 Gemini 3 Deep Think，2.5 版未收录
AIT-2025-09-004-E01,Suno v5,AIT-2025-09-004,exact_or_near_exact,Suno V5.5,redirect,Suno V5,AA 有 Suno V5
AIT-2025-09-006-E01,Wan 2.5,AIT-2025-09-006,exact_or_near_exact,Wan 2.5 Preview,confirm,Wan 2.5 Preview,AA 仅收录 Preview，同版本算 match
AIT-2025-09-007-E01,Claude Sonnet 4.5,AIT-2025-09-007,exact_or_near_exact,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",redirect,Claude 4.5 Sonnet (Reasoning),AA 有同月记录（词序差异导致排序错误），取 Reasoning 口径
AIT-2025-09-008-E01,Sora 2,AIT-2025-09-008,exact_or_near_exact,Sora 2 Pro,redirect,Sora 2 (October),事件为 Sora 2 基础版发布（原错配到 Pro 档）
AIT-2025-10-002-E01,Gemini model for computer control,AIT-2025-10-002,low,"Gemini 2.5 Lite, Google",unmatched,,无具体型号名
AIT-2025-11-003-E01,Grok 4.1,AIT-2025-11-003,exact_or_near_exact,Grok 4.1 Fast (Reasoning),confirm,Grok 4.1 Fast (Reasoning),AA 仅收录 Fast 档，同版本按档位变体规则算 match
AIT-2025-11-004-E01,Gemini 3.0,AIT-2025-11-004,medium,Gemini 3 Pro Preview (high),redirect,Gemini 3 Pro Preview (high),语义时间吻合，版本号书写差异（3.0≡3），人工确认为同一模型
AIT-2025-11-005-E01,GPT 5.1 Codex Max,AIT-2025-11-005,exact_or_near_exact,GPT-5.1 Codex (high),unmatched,,Codex Max 为独立增强模型，AA 仅有基础 GPT-5.1 Codex
AIT-2025-11-008-E01-R1,FLUX 2,AIT-2025-11-008,exact_or_near_exact,FLUX.2 [max],redirect,FLUX.2 [pro],FLUX.2 家族 2025-11 发布，家族全收（原配到 12 月的 [max]）
AIT-2025-11-008-E01-R2,FLUX 2,AIT-2025-11-008,exact_or_near_exact,FLUX.2 [max],redirect,FLUX.2 [flex],FLUX.2 家族 2025-11 发布，家族全收（原配到 12 月的 [max]）
AIT-2025-11-008-E01-R3,FLUX 2,AIT-2025-11-008,exact_or_near_exact,FLUX.2 [max],redirect,FLUX.2 [dev],FLUX.2 家族 2025-11 发布，家族全收（原配到 12 月的 [max]）
AIT-2025-11-009-E01,DeepSeekMath-V2,AIT-2025-11-009,high,DeepSeek-V2.5,unmatched,,数学专用模型，AA 未收录
AIT-2025-12-001-E01-R1,Mistral 3,AIT-2025-12-001,high,Ministral 3 3B,redirect,Mistral Large 3,Mistral 3 家族（Large & Ministral）全收（上轮判定漏写进脚本，且原错配到 Ministral 3 3B 单条）
AIT-2025-12-001-E01-R2,Mistral 3,AIT-2025-12-001,high,Ministral 3 3B,redirect,Ministral 3 3B,Mistral 3 家族（Large & Ministral）全收（上轮判定漏写进脚本，且原错配到 Ministral 3 3B 单条）
AIT-2025-12-001-E01-R3,Mistral 3,AIT-2025-12-001,high,Ministral 3 3B,redirect,Ministral 3 8B,Mistral 3 家族（Large & Ministral）全收（上轮判定漏写进脚本，且原错配到 Ministral 3 3B 单条）
AIT-2025-12-001-E01-R4,Mistral 3,AIT-2025-12-001,high,Ministral 3 3B,redirect,Ministral 3 14B,Mistral 3 家族（Large & Ministral）全收（上轮判定漏写进脚本，且原错配到 Ministral 3 3B 单条）
