original_chinese_label,original_english_name,intermediate_name,clean_name,rename_reason
媒体态度标准差,windows-5,media_sent_sd_w5,media_sent_sd_w5,renamed from duplicate or unnamed: 'windows-5' -> 'media_sent_sd_w5'
"媒体态度均值(10,10)",windows-10,media_sent_mean_w10,media_sent_mean_w10,renamed from duplicate or unnamed: 'windows-10' -> 'media_sent_mean_w10'
媒体态度标准差,windows-10,media_sent_sd_w10,media_sent_sd_w10,renamed from duplicate or unnamed: 'windows-10' -> 'media_sent_sd_w10'
"媒体态度均值(15,15)",windows-15,media_sent_mean_w15,media_sent_mean_w15,renamed from duplicate or unnamed: 'windows-15' -> 'media_sent_mean_w15'
媒体态度标准差,windows-15,media_sent_sd_w15,media_sent_sd_w15,renamed from duplicate or unnamed: 'windows-15' -> 'media_sent_sd_w15'
"媒体态度均值(20,20)",windows-20,media_sent_mean_w20,media_sent_mean_w20,renamed from duplicate or unnamed: 'windows-20' -> 'media_sent_mean_w20'
媒体态度标准差,windows-20,media_sent_sd_w20,media_sent_sd_w20,renamed from duplicate or unnamed: 'windows-20' -> 'media_sent_sd_w20'
填充代表性 AA 能力指标的模型,representative_model_name,representative_model_name,representative_model_name,"normalized (lowercase, underscores)"
合并事件包含的原始模型行数量,merged_model_count,merged_model_count,merged_model_count,"normalized (lowercase, underscores)"
合并规则,merge_rule,merge_rule,merge_rule,"normalized (lowercase, underscores)"
模型家族名称,model_family,model_family,model_family,"normalized (lowercase, underscores)"
模型变体信息,model_variants,model_variants,model_variants,"normalized (lowercase, underscores)"
模型的模态,model_modality,model_modality,model_modality,"normalized (lowercase, underscores)"
该事件包含的所有模态,model_modalities,model_modalities,model_modalities,"normalized (lowercase, underscores)"
是否跨模态发布,is_cross_modality_release,is_cross_modality_release,is_cross_modality_release,"normalized (lowercase, underscores)"
是否为模型家族或多模型事件,is_model_family,is_model_family,is_model_family,"normalized (lowercase, underscores)"
是否包含多模态模型,is_multimodal,is_multimodal,is_multimodal,"normalized (lowercase, underscores)"
是否包含推理模型,is_reasoning_model,is_reasoning_model,is_reasoning_model,"normalized (lowercase, underscores)"
是否包含代码模型,is_coding_model,is_coding_model,is_coding_model,"normalized (lowercase, underscores)"
是否包含图像、视频等媒体生成模型,is_media_generation_model,is_media_generation_model,is_media_generation_model,"normalized (lowercase, underscores)"
是否开源或开放权重,is_open_weight_or_open_source,is_open_weight_or_open_source,is_open_weight_or_open_source,"normalized (lowercase, underscores)"
是否为中国发布者或中国模型体系,is_chinese_model,is_chinese_model,is_chinese_model,"normalized (lowercase, underscores)"
候选事件重要性分层，Tier 1 最高,candidate_tier,candidate_tier,candidate_tier,"normalized (lowercase, underscores)"
对美股 AI 相关公司的潜在相关性,likely_us_market_relevance,likely_us_market_relevance,likely_us_market_relevance,"normalized (lowercase, underscores)"
潜在美股暴露类型，用于后续公司-事件关系映射,potential_us_exposure_type,potential_us_exposure_type,potential_us_exposure_type,"normalized (lowercase, underscores)"
显而易见的潜在美股暴露 ticker,possible_us_exposed_tickers,possible_us_exposed_tickers,possible_us_exposed_tickers,"normalized (lowercase, underscores)"
是否仍需构造公司,needs_relationship_mapping,needs_relationship_mapping,needs_relationship_mapping,"normalized (lowercase, underscores)"
是否可进入 LLM 能力机制样本,llm_capability_sample_flag,llm_capability_sample_flag,llm_capability_sample_flag,"normalized (lowercase, underscores)"
是否可进入 media 模型能力补充样本,media_capability_sample_flag,media_capability_sample_flag,media_capability_sample_flag,"normalized (lowercase, underscores)"
,representative_aa_model_id,representative_aa_model_id,representative_aa_model_id,"normalized (lowercase, underscores)"
代表模型在 Artificial Analysis 中的名称,representative_aa_model_name,representative_aa_model_name,representative_aa_model_name,"normalized (lowercase, underscores)"
代表模型在 Artificial Analysis 中的发布者名称,representative_aa_creator_name,representative_aa_creator_name,representative_aa_creator_name,"normalized (lowercase, underscores)"
模型来自 AA LLM 表还是 AA media 表,representative_aa_source_table,representative_aa_source_table,representative_aa_source_table,"normalized (lowercase, underscores)"
模型选择规则说明,representative_selection_rule,representative_selection_rule,representative_selection_rule,"normalized (lowercase, underscores)"
该事件中所有匹配到的 AA 模型 ID,aa_model_ids,aa_model_ids,aa_model_ids,"normalized (lowercase, underscores)"
该事件中所有匹配到的 AA 模型名称,aa_model_names,aa_model_names,aa_model_names,"normalized (lowercase, underscores)"
LLM 模型的 AA 指标,aa_intelligence_index,aa_intelligence_index,aa_intelligence_index,"normalized (lowercase, underscores)"
,aa_coding_index,aa_coding_index,aa_coding_index,"normalized (lowercase, underscores)"
,aa_math_index,aa_math_index,aa_math_index,"normalized (lowercase, underscores)"
,mmlu_pro,mmlu_pro,mmlu_pro,"normalized (lowercase, underscores)"
,gpqa,gpqa,gpqa,"normalized (lowercase, underscores)"
,hle,hle,hle,"normalized (lowercase, underscores)"
,livecodebench,livecodebench,livecodebench,"normalized (lowercase, underscores)"
,scicode,scicode,scicode,"normalized (lowercase, underscores)"
,math_500,math_500,math_500,"normalized (lowercase, underscores)"
,aime,aime,aime,"normalized (lowercase, underscores)"
,price_1m_input_tokens,price_1m_input_tokens,price_1m_input_tokens,"normalized (lowercase, underscores)"
,price_1m_output_tokens,price_1m_output_tokens,price_1m_output_tokens,"normalized (lowercase, underscores)"
,price_1m_blended_3_to_1,price_1m_blended_3_to_1,price_1m_blended_3_to_1,"normalized (lowercase, underscores)"
,median_output_tokens_per_second,median_output_tokens_per_second,median_output_tokens_per_second,"normalized (lowercase, underscores)"
,median_time_to_first_token_seconds,median_time_to_first_token_seconds,median_time_to_first_token_seconds,"normalized (lowercase, underscores)"
,median_time_to_first_answer_token,median_time_to_first_answer_token,median_time_to_first_answer_token,"normalized (lowercase, underscores)"
,aa_media_task,aa_media_task,aa_media_task,"normalized (lowercase, underscores)"
,aa_media_elo,aa_media_elo,aa_media_elo,"normalized (lowercase, underscores)"
,aa_media_rank,aa_media_rank,aa_media_rank,"normalized (lowercase, underscores)"
,aa_media_ci95,aa_media_ci95,aa_media_ci95,"normalized (lowercase, underscores)"
,aa_media_appearances,aa_media_appearances,aa_media_appearances,"normalized (lowercase, underscores)"
,aa_media_category_rows,aa_media_category_rows,aa_media_category_rows,"normalized (lowercase, underscores)"
,release_date_confidence,release_date_confidence,release_date_confidence,"normalized (lowercase, underscores)"
,release_source_urls,release_source_urls,release_source_urls,"normalized (lowercase, underscores)"
,release_source_titles,release_source_titles,release_source_titles,"normalized (lowercase, underscores)"
(auxiliary column for traceability),release_date_raw,release_date_raw,release_date_raw,auxiliary column added during date cleaning to preserve original values
(auxiliary column for traceability),release_month_raw,release_month_raw,release_month_raw,auxiliary column added during date cleaning to preserve original values
