new_event_id,new_ai_month,new_ai_year,new_model_names,new_aa_names,new_aa_release_dates,new_aa_creators,new_model_count,new_event_text
AIT-2024-07-001,2024-07,2024,GPT-4o mini,GPT-4o mini,2024-07-18,OpenAI,1,OpenAI has released a miniaturized model called GPT-4o mini that presents high capabilities at a low cost
AIT-2024-07-007,2024-07,2024,Mistral Large 2,Mistral Large 2 (Jul '24),2024-07-24,Mistral,1,"Mistral AI has released a large language model Mistral Large 2 in size 123B, which presents capabilities close to the closed SOTA models."
AIT-2024-07-008,2024-07,2024,Midjourney v6.1,Midjourney v6.1,2024-07,Midjourney,1,Midjourney v6.1 is released
AIT-2024-08-004,2024-08,2024,Grok 2,Grok 2,2024-12,xAI,1,"xAI Corporation has launched the models Grok 2 and Grok 2 mini , which demonstrate performance on par with leading SOTA models in the market."
AIT-2024-08-006,2024-08,2024,Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,Gemini 1.5 Flash-8B; Gemini 1.5 Pro (May '24); Gemini 1.5 Flash (May '24),2024-10-03; 2024-05-15; 2024-05-14,Google,3,"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated."
AIT-2024-09-002,2024-09,2024,o1 preview; o1 mini,o1-preview; o1-mini,2024-09-12; 2024-09-12,OpenAI,2,"OPENAI has released two nextgeneration AI models to its subscribers: o1 preview and o1 mini . These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more."
AIT-2024-09-008,2024-09,2024,Moshi,Moshi,,Kyutai,1,"Kyutai releases two opensource versions of its voicetovoice model, Moshi ."
AIT-2024-09-010,2024-09,2024,Mistral Small,Mistral Small (Sep '24),2024-09-17,Mistral,1,Mistral AI launches a 22B model named Mistral Small .
AIT-2024-10-001,2024-10,2024,Flux 1.1 Pro,FLUX1.1 [pro],2024-10,Black Forest Labs,1,"Flux 1.1 Pro is released, showcasing advanced capabilities for image creation."
AIT-2024-10-011,2024-10,2024,Claude 3.5 Haiku,Claude 3.5 Haiku,2024-10-22,Anthropic,1,"Anthropic launches Claude 3.5 Sonnet New , demonstrating significant advancements in specific areas over its previous version, and announces Claude 3.5 Haiku ."
AIT-2024-10-013,2024-10,2024,Recraft v3,Recraft V3,2024-10,Recraft,1,"The texttoimage model Recraft v3 has been released to the public, ranking first in benchmarks compared to similar models."
AIT-2024-11-001,2024-11,2024,QwQ 32B Preview,QwQ 32B-Preview,2024-11-27,Alibaba,1,"Alibaba released its new model, QwQ 32B Preview , which integrates reasoning capabilities before responding. The model competes with, and sometimes surpasses, OpenAI's o1-preview model."
AIT-2024-11-005,2024-11,2024,Pixtral Large,Pixtral Large,2024-11-18,Mistral,1,"Mistral AI launched the Pixtral Large model, a multimodal language model excelling in image recognition and advanced performance metrics, and an update to Mistral Large, 2411."
AIT-2024-11-007,2024-11,2024,Claude 3.5 Haiku,Claude 3.5 Haiku,2024-10-22,Anthropic,1,Anthropic launches Claude 3.5 Haiku and Visual PDF Analysis in Claude.
AIT-2024-12-002,2024-12,2024,SORA; o1; o1 Pro; GPT 4o,Sora; o1; o1-pro; GPT-4o (May '24),2024-12; 2024-12-05; 2025-03-19; 2024-05-13,OpenAI,4,"OpenAI released SORA , a video generation model, along with the full version of o1 and o1 Pro for advanced subscribers. Additionally, the company launched a live video mode for GPT 4o ."
AIT-2024-12-004,2024-12,2024,Gemini 2.0 Flash,Gemini 2.0 Flash (Feb '25),2025-02-05,Google,1,"Google launched Gemini 2.0 Flash in beta. This model leads benchmarks and outperforms the previous version, Gemini Pro 1.5 . Additionally, Google introduced live speech and video mode and announced built-in image generation capabilities within the model."
AIT-2024-12-005,2024-12,2024,Gemini 2.0 Flash,Gemini 2.0 Flash (Feb '25),2025-02-05,Google,1,"Google revealed Gemini-2.0-Flash-Thinking , a thinking model based on Gemini 2.0 Flash , which secured second place in the chatbot leaderboard."
AIT-2024-12-006,2024-12,2024,Veo 2; SORA,Veo 2; Sora,2024-12; 2024-12,Google; OpenAI,2,"Google introduced Veo 2 , a beta version video generation model capable of producing 4K videos up to two minutes long. The model outperformed SORA in human evaluations. Additionally, Google updated Imagen 3 , offering enhanced image quality and realism."
AIT-2024-12-008,2024-12,2024,Phi4,Phi-4,2024-12-12,Microsoft,1,"Microsoft open-sourced the Phi4 model, sized at 14B, showcasing impressive capabilities for its size."
AIT-2024-12-013,2024-12,2024,Deepseek V3,DeepSeek V3 (Dec '24),2024-12-26,DeepSeek,1,"Deepseek open-sourced Deepseek V3 , a model with 671B parameters that surpasses closed-source SOTA models across several benchmarks."
AIT-2024-12-015,2024-12,2024,o3; o3 Mini; o1,o3; o3-mini; o1,2025-04-16; 2025-01-31; 2024-12-05,OpenAI,3,"OpenAI announced o3 , a groundbreaking AI model achieving 87.5% in the ARC-AGI benchmark, 25.2% in the Frontier Math Benchmark (compared to under 2% in previous models), and 87.7% in Ph.D.-level science questions. A cost-effective version, o3 Mini , is expected in January 2025, with performance similar to o1 , alongside improved speed and efficiency."
AIT-2025-01-003,2025-01,2025,o1,o1,2024-12-05,OpenAI,1,"DeepSeek open-sourced the reasoning models R1 and R1-Zero , which demonstrated capabilities similar to o1 across various domains at a fraction of the cost. Additionally, smaller distilled models were released, achieving high performance relative to their size."
AIT-2025-01-006,2025-01,2025,Qwen2.5-Max; DeepSeek-V3; GPT-4o,Qwen2.5 Max; DeepSeek V3 (Dec '24); GPT-4o (May '24),2025-01-28; 2024-12-26; 2024-05-13,Alibaba; DeepSeek; OpenAI,3,"Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes."
AIT-2025-01-007,2025-01,2025,o3 mini,o3-mini,2025-01-31,OpenAI,1,"OpenAI made the o3 mini reasoning model available to all users, including the free tier, featuring three reasoning levels. The model matches or comes close to o1 in several benchmarks, significantly surpasses it in coding, and remains significantly faster and more cost-efficient."
AIT-2025-02-001,2025-02,2025,Grok 3,Grok 3,2025-02-19,xAI,1,"xAI launches Grok 3 , Grok 3 Reasoning and Grok 3 mini , next-generation AI models trained with 10 times the computing power of Grok 2, significantly improving SOTA performance. They include ""Think"" and ""Big Brain"" modes for advanced reasoning, as well as DeepSearch for autonomous web searches."
AIT-2025-02-004,2025-02,2025,Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental,Gemini 2.0 Flash (Feb '25); Gemini 2.0 Flash-Lite (Preview); Gemini 2.0 Pro Experimental (Feb '25),2025-02-05; 2025-02-05; 2025-02-05,Google,3,"Google releases Gemini 2.0 Flash , Gemini 2.0 Flash-Lite Preview , and Gemini 2.0 Pro Experimental ."
AIT-2025-03-001,2025-03,2025,Gemini 2.5 Pro,Gemini 2.5 Pro (Dec 2025),,Google,1,"Google introduced Gemini 2.5 Pro , an experimental ""Thinking model"" with advanced reasoning and planning capabilities, a 1 million token context window, achieving top rankings across several key benchmarks."
AIT-2025-03-004,2025-03,2025,Gemini 2.0 Flash Experimental,Gemini 2.0 Flash Experimental,2025-03,Google,1,"Google expanded experimental image generation and editing within Gemini 2.0 Flash Experimental , enabling image generation and editing, including enhanced text creation capabilities."
AIT-2025-03-005,2025-03,2025,QwQ-32B,QwQ 32B,2025-03-05,Alibaba,1,"Alibaba released QwQ-32B , an open-source 32B parameter reasoning model with exceptional math and coding performance, rivaling much larger models."
AIT-2025-03-007,2025-03,2025,DeepSeek-V3-0324,DeepSeek V3 0324,2025-03-25,DeepSeek,1,"DeepSeek updated its open-source MoE model with DeepSeek-V3-0324 , featuring enhanced reasoning, coding, and math capabilities, positioning it as a top-tier base model."
AIT-2025-04-004,2025-04,2025,GPT-4.1,GPT-4.1,2025-04-14,OpenAI,1,"OpenAI releases GPT-4.1 in three sizes, with a context window of 1 million tokens."
AIT-2025-04-007,2025-04,2025,Runway Gen-4; Vidu Q1; Kling 2.0,Runway Gen 4; Vidu Q1; Kling 2.0,2025-03; 2025-04; 2025-04,KlingAI; Runway; Vidu,3,"A series of video model updates - Veo 2.0 (Google), Runway Gen-4 , Vidu Q1 , and Kling 2.0 – a leap forward in high-quality video generation, with improvements in response times, realism, and style."
AIT-2025-05-004,2025-05,2025,Veo 3,Veo 3,2025-07,Google,1,"Google releases Veo 3 , a video generation model for synchronized 4K video with natural audio integration, and Imagen 4 , an advanced image model with deeper contextual understanding and artistic style support."
AIT-2025-05-007,2025-05,2025,Gemini 2.5 Pro,Gemini 2.5 Pro (Dec 2025),,Google,1,"Google releases Gemini 2.5 Pro (Deep Think Mode) and Gemini 2.5 Flash , featuring improved reasoning, native audio support, extended context, and high-frequency task handling."
AIT-2025-05-008,2025-05,2025,o3,o3,2025-04-16,OpenAI,1,"OpenAI updates Operator to use the o3 model, achieving SOTA on OSWorld benchmarks and enhancing autonomous browser capabilities."
AIT-2025-06-001,2025-06,2025,Gemini 2.5 Pro,Gemini 2.5 Pro,2025-06-05,Google,1,"Google releases Gemini 2.5 Pro (final production-ready version), which leads benchmarks across the board."
AIT-2025-06-003,2025-06,2025,o3 pro,o3-pro,2025-06-10,OpenAI,1,"OpenAI debuts o3 pro , an enhanced reasoning model offering extended context and real-time tool integrations."
AIT-2025-07-001,2025-07,2025,Grok 4,Grok 4,2025-07-10,xAI,1,"xAI releases Grok 4 , achieving a new SOTA of 15.9% on ARC-AGI v2 and 25.4% on Humanity’s Last Exam."
AIT-2025-07-006,2025-07,2025,Kimi K2,Kimi K2,2025-07-11,Kimi,1,"Moonshot AI debuts Kimi K2 , a Chinese LLM praised for its open-research focus and robust performance."
AIT-2025-09-001,2025-09,2025,Seedream 4.0,Seedream 4.0,2025-09,ByteDance Seed,1,"ByteDance released Seedream 4.0 , a next-generation image model unifying high-quality text-to-image generation and natural-language image editing."
AIT-2025-09-004,2025-09,2025,Suno v5,Suno V5,,Suno,1,"Suno released Suno v5 , an upgrade in music generation with studio-grade fidelity and more natural-sounding vocals."
AIT-2025-09-005,2025-09,2025,Qwen-3-Max,Qwen3 Max,2025-09-23,Alibaba,1,"Alibaba unveiled Qwen-3-Max , its flagship model with over a trillion parameters, focusing on long context and agent capabilities."
AIT-2025-11-001,2025-11,2025,Kimi K2 Thinking,Kimi K2 Thinking,2025-11-06,Kimi,1,"Moonshot AI released Kimi K2 Thinking , an open model setting new records in reasoning benchmarks."
AIT-2025-12-001,2025-12,2025,Devstral 2,Devstral 2,2025-12-09,Mistral,1,"Mistral AI launches the Mistral 3 family (Large & Ministral) alongside Mistral OCR 3 and the Devstral 2 coding series, reinforcing its open-weight leadership with advanced agentic workflows and Vibe CLI integration."
AIT-2025-12-008,2025-12,2025,Z-Image-Turbo,Z-Image Turbo,2025-12,Alibaba,1,"Alibaba open-sources Z-Image-Turbo , a highly efficient 6B model, and releases Qwen-Image-2512 , which specializes in high-fidelity typography and complex visual compositions."
AIT-2025-12-009,2025-12,2025,MiniMax-M2.1,MiniMax-M2.1,2025-12-23,MiniMax,1,"MiniMax releases MiniMax-M2.1 , a 200k-context MoE model that rises to the top of web development and coding leaderboards, establishing itself as a leading open model for developers."
AIT-2026-02-003,2026-02,2026,Gemini 3 Deep Think,Gemini 3 Deep Think,2026-02-05,Google,1,"Google launches Gemini 3 Deep Think , a specialized reasoning mode that reaches 84.6% on ARC-AGI-2 ."
AIT-2026-03-004,2026-03,2026,Suno v5.5,Suno V5.5,,Suno,1,"Suno launches Suno v5.5 , adding Voices, Custom Models, and My Taste for more personalized music creation."
