old_match_status,old_event_id,old_release_date,old_event_name,old_model_names,old_aa_names,old_creator,matched_new_event_ids,matched_new_months,matched_new_model_names,match_timing,month_gaps,matched_names
matched_new61,FMR-0025,2025-02-17,Grok 3 family,Grok 3; Grok 3 Reasoning; Grok 3 mini,Grok 3; Grok 3 Reasoning Beta; Grok 3 mini Reasoning (high),xAI,AIT-2025-02-001,2025-02,Grok 3,same_month,0,Grok 3 = Grok 3 family
old60_only,FMR-0026,2025-02-18,Claude 3.7,Claude 3.7,Claude 3.7 Sonnet (Reasoning),Anthropic,,,,,,
matched_new61,FMR-0027,2025-02-25,Gemini 2.0 Flash-Lite Preview,Gemini 2.0 Flash-Lite Preview,Gemini 2.0 Flash-Lite (Preview),Google,AIT-2025-02-004,2025-02,Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental,same_month,0,Gemini 2.0 Flash-Lite (Preview) = Gemini 2.0 Flash-Lite (Preview)
old60_only,FMR-0028,2025-02-26,Phi-4 mini / multimodal family,Phi4 Multimodal; Phi4-mini,Phi-4 Multimodal Instruct; Phi-4 Mini Instruct,Microsoft,,,,,,
matched_new61,FMR-0029,2025-03-12,Gemini 2.0 Flash Experimental,Gemini 2.0 Flash Experimental,Gemini 2.0 Flash (experimental),Google,AIT-2025-03-004,2025-03,Gemini 2.0 Flash Experimental,same_month,0,Gemini 2.0 Flash Experimental = Gemini 2.0 Flash (experimental)
matched_new61,FMR-0030,2025-03-31,Runway Gen-4,Runway Gen-4,Runway Gen 4,Runway,AIT-2025-04-007,2025-04,Runway Gen-4; Vidu Q1; Kling 2.0,adjacent_month,1,Runway Gen 4 = Runway Gen 4
matched_new61,FMR-0031,2025-04-15,Veo 2.0,Veo 2.0,Veo 2,Google,AIT-2024-12-006,2024-12,Veo 2; SORA,time_far,4,Veo 2 = Veo 2
matched_new61,FMR-0032,2025-04-15,Kling 2.0,Kling 2.0,Kling 2.0,Kuaishou,AIT-2025-04-007,2025-04,Runway Gen-4; Vidu Q1; Kling 2.0,same_month,0,Kling 2.0 = Kling 2.0
matched_new61,FMR-0033,2025-04-16,o3 full,o3 full,o3,OpenAI,AIT-2024-12-015; AIT-2025-05-008,2024-12; 2025-05,o3; o3 Mini; o1; o3,time_far; adjacent_month,4; 1,o3 = o3; o3 = o3
old60_only,FMR-0034,2025-04-16,o4 mini,o4 mini,o4-mini (high),OpenAI,,,,,,
matched_new61,FMR-0035,2025-04-21,Vidu Q1,Vidu Q1,Vidu Q1,ShengShu Technology,AIT-2025-04-007,2025-04,Runway Gen-4; Vidu Q1; Kling 2.0,same_month,0,Vidu Q1 = Vidu Q1
matched_new61,FMR-0036,2025-05-06,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Google,AIT-2025-03-001; AIT-2025-05-007; AIT-2025-06-001,2025-03; 2025-05; 2025-06,Gemini 2.5 Pro; Gemini 2.5 Pro; Gemini 2.5 Pro,time_far; same_month; adjacent_month,2; 0; 1,Gemini 2.5 Pro (Dec 2025) = Gemini 2.5 Pro; Gemini 2.5 Pro (Dec 2025) = Gemini 2.5 Pro; Gemini 2.5 Pro = Gemini 2.5 Pro
old60_only,FMR-0037,2025-05-20,Gemma 3n,Gemma 3n,Gemma 3n E2B Instruct,Google,,,,,,
old60_only,FMR-0038,2025-05-21,Claude Sonnet 4,Claude Sonnet 4,Claude 4 Sonnet (Reasoning),Anthropic,,,,,,
matched_new61,FMR-0039,2025-05-21,Google I/O media model family,Veo 3; Imagen 4,Veo 3; Imagen 4 Ultra Preview 0606,Google,AIT-2025-05-004,2025-05,Veo 3,same_month,0,Veo 3 = Veo 3
old60_only,FMR-0040,2025-05-22,Claude 4 Opus,Claude 4 Opus,Claude 4 Opus (Reasoning),Anthropic,,,,,,
old60_only,FMR-0041,2025-06-17,Gemini 2.5 Flash,Gemini 2.5 Flash,Gemini 2.5 Flash (Reasoning),Google,,,,,,
matched_new61,FMR-0042,2025-06-17,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Google,AIT-2025-03-001; AIT-2025-05-007; AIT-2025-06-001,2025-03; 2025-05; 2025-06,Gemini 2.5 Pro; Gemini 2.5 Pro; Gemini 2.5 Pro,time_far; adjacent_month; same_month,3; 1; 0,Gemini 2.5 Pro (Dec 2025) = Gemini 2.5 Pro; Gemini 2.5 Pro (Dec 2025) = Gemini 2.5 Pro; Gemini 2.5 Pro = Gemini 2.5 Pro
old60_only,FMR-0043,2025-07-21,Qwen3-235B-A22B-Instruct-2507,Qwen3-235B-A22B-Instruct-2507,Qwen3 235B A22B 2507 Instruct,Alibaba,,,,,,
old60_only,FMR-0044,2025-07-22,Qwen3-Coder,Qwen3-Coder,Qwen3 Coder 480B A35B Instruct,Alibaba,,,,,,
old60_only,FMR-0045,2025-07-28,GLM-4.5,GLM-4.5,GLM-4.5 (Reasoning),Zhipu AI,,,,,,
old60_only,FMR-0046,2025-08-05,gpt-oss family,gpt-oss-20b; gpt-oss-120b,gpt-oss-20B (low); gpt-oss-120B (high),OpenAI,,,,,,
old60_only,FMR-0047,2025-08-26,Gemini 2.5 Flash Image,Gemini 2.5 Flash Image,Nano Banana (Gemini 2.5 Flash Image),Google,,,,,,
matched_new61,FMR-0048,2025-09-05,Qwen-3-Max,Qwen-3-Max,Qwen3 Max,Alibaba,AIT-2025-09-005,2025-09,Qwen-3-Max,same_month,0,Qwen3 Max = Qwen3 Max
old60_only,FMR-0049,2025-09-25,Claude Sonnet 4.5,Claude Sonnet 4.5,Claude 4.5 Sonnet (Reasoning),Anthropic,,,,,,
old60_only,FMR-0050,2025-10-14,Claude 4.5 Haiku,Claude 4.5 Haiku,Claude 4.5 Haiku (Reasoning),Anthropic,,,,,,
old60_only,FMR-0051,2025-12-02,Mistral 3,Mistral 3,Mistral Large 3,Mistral AI,,,,,,
matched_new61,FMR-0052,2025-12-09,Devstral 2,Devstral 2,Devstral 2,Mistral AI,AIT-2025-12-001,2025-12,Devstral 2,same_month,0,Devstral 2 = Devstral 2
matched_new61,FMR-0053,2025-12-18,Z-Image-Turbo,Z-Image-Turbo,Z-Image Turbo,Alibaba,AIT-2025-12-008,2025-12,Z-Image-Turbo,same_month,0,Z-Image Turbo = Z-Image Turbo
old60_only,FMR-0054,2025-12-18,GPT-5.2,GPT-5.2,GPT-5.2 (xhigh),OpenAI,,,,,,
old60_only,FMR-0055,2025-12-31,Qwen-Image-2512,Qwen-Image-2512,Qwen Image Max 2512,Alibaba,,,,,,
old60_only,FMR-0056,2026-02-05,Claude Opus 4.6,Claude Opus 4.6,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",Anthropic,,,,,,
old60_only,FMR-0057,2026-02-12,GPT-5.3-Codex,GPT-5.3-Codex,GPT-5.3 Codex (xhigh),OpenAI,,,,,,
old60_only,FMR-0058,2026-02-16,Claude Sonnet 4.6,Claude Sonnet 4.6,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",Anthropic,,,,,,
old60_only,FMR-0059,2026-02-26,Nano Banana 2,Nano Banana 2,Nano Banana 2 (Gemini 3.1 Flash Image Preview),Google,,,,,,
old60_only,FMR-0060,2026-03-17,GPT-5.4 family,GPT-5.4 mini; GPT-5.4; GPT-5.4 nano,GPT-5.4 mini (medium); GPT-5.4 (xhigh); GPT-5.4 nano (xhigh),OpenAI,,,,,,
