match_timing,month_gap,matched_names,new_event_id,new_ai_month,new_model_names,new_aa_names,new_event_text,old_event_id,old_release_date,old_event_name,old_model_names,old_aa_names,old_creator
adjacent_month,1,Claude 3.5 Haiku = Claude 3.5 Haiku,AIT-2024-11-007,2024-11,Claude 3.5 Haiku,Claude 3.5 Haiku,Anthropic launches Claude 3.5 Haiku and Visual PDF Analysis in Claude.,FMR-0013,2024-10-22,Claude 3.5 Sonnet New / Haiku family,Claude 3.5 Sonnet New; Claude 3.5 Haiku,Claude 3.5 Sonnet (Oct '24); Claude 3.5 Haiku,Anthropic
same_month,0,Sora = Sora,AIT-2024-12-002,2024-12,SORA; o1; o1 Pro; GPT 4o,Sora; o1; o1-pro; GPT-4o (May '24),"OpenAI released SORA , a video generation model, along with the full version of o1 and o1 Pro for advanced subscribers. Additionally, the company launched a live video mode for GPT 4o .",FMR-0016,2024-12-09,SORA,SORA,Sora,OpenAI
same_month,0,o1 = o1,AIT-2024-12-002,2024-12,SORA; o1; o1 Pro; GPT 4o,Sora; o1; o1-pro; GPT-4o (May '24),"OpenAI released SORA , a video generation model, along with the full version of o1 and o1 Pro for advanced subscribers. Additionally, the company launched a live video mode for GPT 4o .",FMR-0018,2024-12-17,o1,o1,o1,OpenAI
same_month,0,o1-pro = o1-pro,AIT-2024-12-002,2024-12,SORA; o1; o1 Pro; GPT 4o,Sora; o1; o1-pro; GPT-4o (May '24),"OpenAI released SORA , a video generation model, along with the full version of o1 and o1 Pro for advanced subscribers. Additionally, the company launched a live video mode for GPT 4o .",FMR-0019,2024-12-17,o1 Pro,o1 Pro,o1-pro,OpenAI
time_far,2,Gemini 2.0 Flash (Feb '25) = Gemini 2.0 Flash,AIT-2024-12-004,2024-12,Gemini 2.0 Flash,Gemini 2.0 Flash (Feb '25),"Google launched Gemini 2.0 Flash in beta. This model leads benchmarks and outperforms the previous version, Gemini Pro 1.5 . Additionally, Google introduced live speech and video mode and announced built-in image generation capabilities within the model.",FMR-0024,2025-02-05,Gemini 2.0 family,Gemini 2.0 Pro Experimental; Gemini 2.0 Flash,Gemini 2.0 Pro Experimental (Feb '25); Gemini 2.0 Flash (experimental),Google
time_far,2,Gemini 2.0 Flash (Feb '25) = Gemini 2.0 Flash,AIT-2024-12-005,2024-12,Gemini 2.0 Flash,Gemini 2.0 Flash (Feb '25),"Google revealed Gemini-2.0-Flash-Thinking , a thinking model based on Gemini 2.0 Flash , which secured second place in the chatbot leaderboard.",FMR-0024,2025-02-05,Gemini 2.0 family,Gemini 2.0 Pro Experimental; Gemini 2.0 Flash,Gemini 2.0 Pro Experimental (Feb '25); Gemini 2.0 Flash (experimental),Google
same_month,0,Sora = Sora,AIT-2024-12-006,2024-12,Veo 2; SORA,Veo 2; Sora,"Google introduced Veo 2 , a beta version video generation model capable of producing 4K videos up to two minutes long. The model outperformed SORA in human evaluations. Additionally, Google updated Imagen 3 , offering enhanced image quality and realism.",FMR-0016,2024-12-09,SORA,SORA,Sora,OpenAI
time_far,4,Veo 2 = Veo 2,AIT-2024-12-006,2024-12,Veo 2; SORA,Veo 2; Sora,"Google introduced Veo 2 , a beta version video generation model capable of producing 4K videos up to two minutes long. The model outperformed SORA in human evaluations. Additionally, Google updated Imagen 3 , offering enhanced image quality and realism.",FMR-0031,2025-04-15,Veo 2.0,Veo 2.0,Veo 2,Google
same_month,0,o1 = o1,AIT-2024-12-015,2024-12,o3; o3 Mini; o1,o3; o3-mini; o1,"OpenAI announced o3 , a groundbreaking AI model achieving 87.5% in the ARC-AGI benchmark, 25.2% in the Frontier Math Benchmark (compared to under 2% in previous models), and 87.7% in Ph.D.-level science questions. A cost-effective version, o3 Mini , is expected in January 2025, with performance similar to o1 , alongside improved speed and efficiency.",FMR-0018,2024-12-17,o1,o1,o1,OpenAI
same_month,0,o3-mini = o3-mini; o3 = o3,AIT-2024-12-015,2024-12,o3; o3 Mini; o1,o3; o3-mini; o1,"OpenAI announced o3 , a groundbreaking AI model achieving 87.5% in the ARC-AGI benchmark, 25.2% in the Frontier Math Benchmark (compared to under 2% in previous models), and 87.7% in Ph.D.-level science questions. A cost-effective version, o3 Mini , is expected in January 2025, with performance similar to o1 , alongside improved speed and efficiency.",FMR-0020,2024-12-20,o3 family announcement,o3; o3 Mini,o3; o3-mini,OpenAI
adjacent_month,1,o3-mini = o3-mini,AIT-2024-12-015,2024-12,o3; o3 Mini; o1,o3; o3-mini; o1,"OpenAI announced o3 , a groundbreaking AI model achieving 87.5% in the ARC-AGI benchmark, 25.2% in the Frontier Math Benchmark (compared to under 2% in previous models), and 87.7% in Ph.D.-level science questions. A cost-effective version, o3 Mini , is expected in January 2025, with performance similar to o1 , alongside improved speed and efficiency.",FMR-0023,2025-01-31,o3 mini,o3 mini,o3-mini,OpenAI
time_far,4,o3 = o3,AIT-2024-12-015,2024-12,o3; o3 Mini; o1,o3; o3-mini; o1,"OpenAI announced o3 , a groundbreaking AI model achieving 87.5% in the ARC-AGI benchmark, 25.2% in the Frontier Math Benchmark (compared to under 2% in previous models), and 87.7% in Ph.D.-level science questions. A cost-effective version, o3 Mini , is expected in January 2025, with performance similar to o1 , alongside improved speed and efficiency.",FMR-0033,2025-04-16,o3 full,o3 full,o3,OpenAI
adjacent_month,1,o1 = o1,AIT-2025-01-003,2025-01,o1,o1,"DeepSeek open-sourced the reasoning models R1 and R1-Zero , which demonstrated capabilities similar to o1 across various domains at a fraction of the cost. Additionally, smaller distilled models were released, achieving high performance relative to their size.",FMR-0018,2024-12-17,o1,o1,o1,OpenAI
same_month,0,Qwen2.5 Max = Qwen2.5 Max,AIT-2025-01-006,2025-01,Qwen2.5-Max; DeepSeek-V3; GPT-4o,Qwen2.5 Max; DeepSeek V3 (Dec '24); GPT-4o (May '24),"Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes.",FMR-0022,2025-01-28,Qwen2.5-Max,Qwen2.5-Max,Qwen2.5 Max,Alibaba
adjacent_month,1,o3-mini = o3-mini,AIT-2025-01-007,2025-01,o3 mini,o3-mini,"OpenAI made the o3 mini reasoning model available to all users, including the free tier, featuring three reasoning levels. The model matches or comes close to o1 in several benchmarks, significantly surpasses it in coding, and remains significantly faster and more cost-efficient.",FMR-0020,2024-12-20,o3 family announcement,o3; o3 Mini,o3; o3-mini,OpenAI
same_month,0,o3-mini = o3-mini,AIT-2025-01-007,2025-01,o3 mini,o3-mini,"OpenAI made the o3 mini reasoning model available to all users, including the free tier, featuring three reasoning levels. The model matches or comes close to o1 in several benchmarks, significantly surpasses it in coding, and remains significantly faster and more cost-efficient.",FMR-0023,2025-01-31,o3 mini,o3 mini,o3-mini,OpenAI
same_month,0,Grok 3 = Grok 3 family,AIT-2025-02-001,2025-02,Grok 3,Grok 3,"xAI launches Grok 3 , Grok 3 Reasoning and Grok 3 mini , next-generation AI models trained with 10 times the computing power of Grok 2, significantly improving SOTA performance. They include ""Think"" and ""Big Brain"" modes for advanced reasoning, as well as DeepSearch for autonomous web searches.",FMR-0025,2025-02-17,Grok 3 family,Grok 3; Grok 3 Reasoning; Grok 3 mini,Grok 3; Grok 3 Reasoning Beta; Grok 3 mini Reasoning (high),xAI
same_month,0,Gemini 2.0 Pro Experimental (Feb '25) = Gemini 2.0 Pro Experimental (Feb '25); Gemini 2.0 Flash (Feb '25) = Gemini 2.0 Flash,AIT-2025-02-004,2025-02,Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental,Gemini 2.0 Flash (Feb '25); Gemini 2.0 Flash-Lite (Preview); Gemini 2.0 Pro Experimental (Feb '25),"Google releases Gemini 2.0 Flash , Gemini 2.0 Flash-Lite Preview , and Gemini 2.0 Pro Experimental .",FMR-0024,2025-02-05,Gemini 2.0 family,Gemini 2.0 Pro Experimental; Gemini 2.0 Flash,Gemini 2.0 Pro Experimental (Feb '25); Gemini 2.0 Flash (experimental),Google
same_month,0,Gemini 2.0 Flash-Lite (Preview) = Gemini 2.0 Flash-Lite (Preview),AIT-2025-02-004,2025-02,Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental,Gemini 2.0 Flash (Feb '25); Gemini 2.0 Flash-Lite (Preview); Gemini 2.0 Pro Experimental (Feb '25),"Google releases Gemini 2.0 Flash , Gemini 2.0 Flash-Lite Preview , and Gemini 2.0 Pro Experimental .",FMR-0027,2025-02-25,Gemini 2.0 Flash-Lite Preview,Gemini 2.0 Flash-Lite Preview,Gemini 2.0 Flash-Lite (Preview),Google
time_far,2,Gemini 2.5 Pro (Dec 2025) = Gemini 2.5 Pro,AIT-2025-03-001,2025-03,Gemini 2.5 Pro,Gemini 2.5 Pro (Dec 2025),"Google introduced Gemini 2.5 Pro , an experimental ""Thinking model"" with advanced reasoning and planning capabilities, a 1 million token context window, achieving top rankings across several key benchmarks.",FMR-0036,2025-05-06,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Google
time_far,3,Gemini 2.5 Pro (Dec 2025) = Gemini 2.5 Pro,AIT-2025-03-001,2025-03,Gemini 2.5 Pro,Gemini 2.5 Pro (Dec 2025),"Google introduced Gemini 2.5 Pro , an experimental ""Thinking model"" with advanced reasoning and planning capabilities, a 1 million token context window, achieving top rankings across several key benchmarks.",FMR-0042,2025-06-17,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Google
adjacent_month,1,Gemini 2.0 Flash Experimental = Gemini 2.0 Flash (experimental),AIT-2025-03-004,2025-03,Gemini 2.0 Flash Experimental,Gemini 2.0 Flash Experimental,"Google expanded experimental image generation and editing within Gemini 2.0 Flash Experimental , enabling image generation and editing, including enhanced text creation capabilities.",FMR-0024,2025-02-05,Gemini 2.0 family,Gemini 2.0 Pro Experimental; Gemini 2.0 Flash,Gemini 2.0 Pro Experimental (Feb '25); Gemini 2.0 Flash (experimental),Google
same_month,0,Gemini 2.0 Flash Experimental = Gemini 2.0 Flash (experimental),AIT-2025-03-004,2025-03,Gemini 2.0 Flash Experimental,Gemini 2.0 Flash Experimental,"Google expanded experimental image generation and editing within Gemini 2.0 Flash Experimental , enabling image generation and editing, including enhanced text creation capabilities.",FMR-0029,2025-03-12,Gemini 2.0 Flash Experimental,Gemini 2.0 Flash Experimental,Gemini 2.0 Flash (experimental),Google
adjacent_month,1,Runway Gen 4 = Runway Gen 4,AIT-2025-04-007,2025-04,Runway Gen-4; Vidu Q1; Kling 2.0,Runway Gen 4; Vidu Q1; Kling 2.0,"A series of video model updates - Veo 2.0 (Google), Runway Gen-4 , Vidu Q1 , and Kling 2.0 – a leap forward in high-quality video generation, with improvements in response times, realism, and style.",FMR-0030,2025-03-31,Runway Gen-4,Runway Gen-4,Runway Gen 4,Runway
same_month,0,Kling 2.0 = Kling 2.0,AIT-2025-04-007,2025-04,Runway Gen-4; Vidu Q1; Kling 2.0,Runway Gen 4; Vidu Q1; Kling 2.0,"A series of video model updates - Veo 2.0 (Google), Runway Gen-4 , Vidu Q1 , and Kling 2.0 – a leap forward in high-quality video generation, with improvements in response times, realism, and style.",FMR-0032,2025-04-15,Kling 2.0,Kling 2.0,Kling 2.0,Kuaishou
same_month,0,Vidu Q1 = Vidu Q1,AIT-2025-04-007,2025-04,Runway Gen-4; Vidu Q1; Kling 2.0,Runway Gen 4; Vidu Q1; Kling 2.0,"A series of video model updates - Veo 2.0 (Google), Runway Gen-4 , Vidu Q1 , and Kling 2.0 – a leap forward in high-quality video generation, with improvements in response times, realism, and style.",FMR-0035,2025-04-21,Vidu Q1,Vidu Q1,Vidu Q1,ShengShu Technology
same_month,0,Veo 3 = Veo 3,AIT-2025-05-004,2025-05,Veo 3,Veo 3,"Google releases Veo 3 , a video generation model for synchronized 4K video with natural audio integration, and Imagen 4 , an advanced image model with deeper contextual understanding and artistic style support.",FMR-0039,2025-05-21,Google I/O media model family,Veo 3; Imagen 4,Veo 3; Imagen 4 Ultra Preview 0606,Google
same_month,0,Gemini 2.5 Pro (Dec 2025) = Gemini 2.5 Pro,AIT-2025-05-007,2025-05,Gemini 2.5 Pro,Gemini 2.5 Pro (Dec 2025),"Google releases Gemini 2.5 Pro (Deep Think Mode) and Gemini 2.5 Flash , featuring improved reasoning, native audio support, extended context, and high-frequency task handling.",FMR-0036,2025-05-06,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Google
adjacent_month,1,Gemini 2.5 Pro (Dec 2025) = Gemini 2.5 Pro,AIT-2025-05-007,2025-05,Gemini 2.5 Pro,Gemini 2.5 Pro (Dec 2025),"Google releases Gemini 2.5 Pro (Deep Think Mode) and Gemini 2.5 Flash , featuring improved reasoning, native audio support, extended context, and high-frequency task handling.",FMR-0042,2025-06-17,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Google
time_far,5,o3 = o3,AIT-2025-05-008,2025-05,o3,o3,"OpenAI updates Operator to use the o3 model, achieving SOTA on OSWorld benchmarks and enhancing autonomous browser capabilities.",FMR-0020,2024-12-20,o3 family announcement,o3; o3 Mini,o3; o3-mini,OpenAI
adjacent_month,1,o3 = o3,AIT-2025-05-008,2025-05,o3,o3,"OpenAI updates Operator to use the o3 model, achieving SOTA on OSWorld benchmarks and enhancing autonomous browser capabilities.",FMR-0033,2025-04-16,o3 full,o3 full,o3,OpenAI
adjacent_month,1,Gemini 2.5 Pro = Gemini 2.5 Pro,AIT-2025-06-001,2025-06,Gemini 2.5 Pro,Gemini 2.5 Pro,"Google releases Gemini 2.5 Pro (final production-ready version), which leads benchmarks across the board.",FMR-0036,2025-05-06,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Google
same_month,0,Gemini 2.5 Pro = Gemini 2.5 Pro,AIT-2025-06-001,2025-06,Gemini 2.5 Pro,Gemini 2.5 Pro,"Google releases Gemini 2.5 Pro (final production-ready version), which leads benchmarks across the board.",FMR-0042,2025-06-17,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Google
same_month,0,Qwen3 Max = Qwen3 Max,AIT-2025-09-005,2025-09,Qwen-3-Max,Qwen3 Max,"Alibaba unveiled Qwen-3-Max , its flagship model with over a trillion parameters, focusing on long context and agent capabilities.",FMR-0048,2025-09-05,Qwen-3-Max,Qwen-3-Max,Qwen3 Max,Alibaba
same_month,0,Devstral 2 = Devstral 2,AIT-2025-12-001,2025-12,Devstral 2,Devstral 2,"Mistral AI launches the Mistral 3 family (Large & Ministral) alongside Mistral OCR 3 and the Devstral 2 coding series, reinforcing its open-weight leadership with advanced agentic workflows and Vibe CLI integration.",FMR-0052,2025-12-09,Devstral 2,Devstral 2,Devstral 2,Mistral AI
same_month,0,Z-Image Turbo = Z-Image Turbo,AIT-2025-12-008,2025-12,Z-Image-Turbo,Z-Image Turbo,"Alibaba open-sources Z-Image-Turbo , a highly efficient 6B model, and releases Qwen-Image-2512 , which specializes in high-fidelity typography and complex visual compositions.",FMR-0053,2025-12-18,Z-Image-Turbo,Z-Image-Turbo,Z-Image Turbo,Alibaba
