new_match_status,new_event_id,new_ai_month,new_model_names,new_aa_names,new_aa_release_dates,matched_old_event_ids,matched_old_dates,matched_old_event_names,match_timing,month_gaps,matched_names,new_event_text
new61_only,AIT-2024-07-007,2024-07,Mistral Large 2,Mistral Large 2 (Jul '24),2024-07-24,,,,,,,"Mistral AI has released a large language model Mistral Large 2 in size 123B, which presents capabilities close to the closed SOTA models."
new61_only,AIT-2024-07-008,2024-07,Midjourney v6.1,Midjourney v6.1,2024-07,,,,,,,Midjourney v6.1 is released
matched_old60,AIT-2024-08-004,2024-08,Grok 2,Grok 2,2024-12,FMR-0006,2024-08-13,Grok 2,same_month,0,Grok 2 = Grok 2 (Dec '24),"xAI Corporation has launched the models Grok 2 and Grok 2 mini , which demonstrate performance on par with leading SOTA models in the market."
matched_old60,AIT-2024-08-006,2024-08,Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,Gemini 1.5 Flash-8B; Gemini 1.5 Pro (May '24); Gemini 1.5 Flash (May '24),2024-10-03; 2024-05-15; 2024-05-14,FMR-0003; FMR-0005; FMR-0010; FMR-0011; FMR-0012,2024-05-30; 2024-08-08; 2024-09-24; 2024-10-03; 2024-10-03,Gemini Flash 1.5; Gemini 1.5 Flash; Gemini 1.5 002 family; Gemini 1.5 Pro; Gemini 1.5 Flash8B,time_far; same_month; adjacent_month; time_far; time_far,3; 0; 1; 2; 2,Gemini 1.5 Flash (May '24) = Gemini 1.5 Flash (May '24); Gemini 1.5 Flash (May '24) = Gemini 1.5 Flash (Sep '24); Gemini 1.5 Flash (May '24) = Gemini 1.5 Flash (Sep '24); Gemini 1.5 Pro (May '24) = Gemini 1.5 Pro (Sep '24); Gemini 1.5 Pro (May '24) = Gemini 1.5 Pro (Sep '24); Gemini 1.5 Flash-8B = Gemini 1.5 Flash-8B,"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated."
matched_old60,AIT-2024-09-002,2024-09,o1 preview; o1 mini,o1-preview; o1-mini,2024-09-12; 2024-09-12,FMR-0008; FMR-0009,2024-09-12; 2024-09-12,o1 preview; o1 mini,same_month; same_month,0; 0,o1-preview = o1-preview; o1-mini = o1-mini,"OPENAI has released two nextgeneration AI models to its subscribers: o1 preview and o1 mini . These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more."
new61_only,AIT-2024-09-008,2024-09,Moshi,Moshi,,,,,,,,"Kyutai releases two opensource versions of its voicetovoice model, Moshi ."
new61_only,AIT-2024-09-010,2024-09,Mistral Small,Mistral Small (Sep '24),2024-09-17,,,,,,,Mistral AI launches a 22B model named Mistral Small .
new61_only,AIT-2024-10-001,2024-10,Flux 1.1 Pro,FLUX1.1 [pro],2024-10,,,,,,,"Flux 1.1 Pro is released, showcasing advanced capabilities for image creation."
matched_old60,AIT-2024-10-011,2024-10,Claude 3.5 Haiku,Claude 3.5 Haiku,2024-10-22,FMR-0013,2024-10-22,Claude 3.5 Sonnet New / Haiku family,same_month,0,Claude 3.5 Haiku = Claude 3.5 Haiku,"Anthropic launches Claude 3.5 Sonnet New , demonstrating significant advancements in specific areas over its previous version, and announces Claude 3.5 Haiku ."
new61_only,AIT-2024-10-013,2024-10,Recraft v3,Recraft V3,2024-10,,,,,,,"The texttoimage model Recraft v3 has been released to the public, ranking first in benchmarks compared to similar models."
new61_only,AIT-2024-11-001,2024-11,QwQ 32B Preview,QwQ 32B-Preview,2024-11-27,,,,,,,"Alibaba released its new model, QwQ 32B Preview , which integrates reasoning capabilities before responding. The model competes with, and sometimes surpasses, OpenAI's o1-preview model."
new61_only,AIT-2024-11-005,2024-11,Pixtral Large,Pixtral Large,2024-11-18,,,,,,,"Mistral AI launched the Pixtral Large model, a multimodal language model excelling in image recognition and advanced performance metrics, and an update to Mistral Large, 2411."
matched_old60,AIT-2024-11-007,2024-11,Claude 3.5 Haiku,Claude 3.5 Haiku,2024-10-22,FMR-0013,2024-10-22,Claude 3.5 Sonnet New / Haiku family,adjacent_month,1,Claude 3.5 Haiku = Claude 3.5 Haiku,Anthropic launches Claude 3.5 Haiku and Visual PDF Analysis in Claude.
matched_old60,AIT-2024-12-002,2024-12,SORA; o1; o1 Pro; GPT 4o,Sora; o1; o1-pro; GPT-4o (May '24),2024-12; 2024-12-05; 2025-03-19; 2024-05-13,FMR-0016; FMR-0018; FMR-0019,2024-12-09; 2024-12-17; 2024-12-17,SORA; o1; o1 Pro,same_month; same_month; same_month,0; 0; 0,Sora = Sora; o1 = o1; o1-pro = o1-pro,"OpenAI released SORA , a video generation model, along with the full version of o1 and o1 Pro for advanced subscribers. Additionally, the company launched a live video mode for GPT 4o ."
matched_old60,AIT-2024-12-004,2024-12,Gemini 2.0 Flash,Gemini 2.0 Flash (Feb '25),2025-02-05,FMR-0024,2025-02-05,Gemini 2.0 family,time_far,2,Gemini 2.0 Flash (Feb '25) = Gemini 2.0 Flash,"Google launched Gemini 2.0 Flash in beta. This model leads benchmarks and outperforms the previous version, Gemini Pro 1.5 . Additionally, Google introduced live speech and video mode and announced built-in image generation capabilities within the model."
matched_old60,AIT-2024-12-005,2024-12,Gemini 2.0 Flash,Gemini 2.0 Flash (Feb '25),2025-02-05,FMR-0024,2025-02-05,Gemini 2.0 family,time_far,2,Gemini 2.0 Flash (Feb '25) = Gemini 2.0 Flash,"Google revealed Gemini-2.0-Flash-Thinking , a thinking model based on Gemini 2.0 Flash , which secured second place in the chatbot leaderboard."
matched_old60,AIT-2024-12-006,2024-12,Veo 2; SORA,Veo 2; Sora,2024-12; 2024-12,FMR-0016; FMR-0031,2024-12-09; 2025-04-15,SORA; Veo 2.0,same_month; time_far,0; 4,Sora = Sora; Veo 2 = Veo 2,"Google introduced Veo 2 , a beta version video generation model capable of producing 4K videos up to two minutes long. The model outperformed SORA in human evaluations. Additionally, Google updated Imagen 3 , offering enhanced image quality and realism."
new61_only,AIT-2024-12-008,2024-12,Phi4,Phi-4,2024-12-12,,,,,,,"Microsoft open-sourced the Phi4 model, sized at 14B, showcasing impressive capabilities for its size."
new61_only,AIT-2024-12-013,2024-12,Deepseek V3,DeepSeek V3 (Dec '24),2024-12-26,,,,,,,"Deepseek open-sourced Deepseek V3 , a model with 671B parameters that surpasses closed-source SOTA models across several benchmarks."
matched_old60,AIT-2024-12-015,2024-12,o3; o3 Mini; o1,o3; o3-mini; o1,2025-04-16; 2025-01-31; 2024-12-05,FMR-0018; FMR-0020; FMR-0023; FMR-0033,2024-12-17; 2024-12-20; 2025-01-31; 2025-04-16,o1; o3 family announcement; o3 mini; o3 full,same_month; same_month; adjacent_month; time_far,0; 0; 1; 4,o1 = o1; o3-mini = o3-mini; o3 = o3; o3-mini = o3-mini; o3 = o3,"OpenAI announced o3 , a groundbreaking AI model achieving 87.5% in the ARC-AGI benchmark, 25.2% in the Frontier Math Benchmark (compared to under 2% in previous models), and 87.7% in Ph.D.-level science questions. A cost-effective version, o3 Mini , is expected in January 2025, with performance similar to o1 , alongside improved speed and efficiency."
matched_old60,AIT-2025-01-003,2025-01,o1,o1,2024-12-05,FMR-0018,2024-12-17,o1,adjacent_month,1,o1 = o1,"DeepSeek open-sourced the reasoning models R1 and R1-Zero , which demonstrated capabilities similar to o1 across various domains at a fraction of the cost. Additionally, smaller distilled models were released, achieving high performance relative to their size."
matched_old60,AIT-2025-01-006,2025-01,Qwen2.5-Max; DeepSeek-V3; GPT-4o,Qwen2.5 Max; DeepSeek V3 (Dec '24); GPT-4o (May '24),2025-01-28; 2024-12-26; 2024-05-13,FMR-0022,2025-01-28,Qwen2.5-Max,same_month,0,Qwen2.5 Max = Qwen2.5 Max,"Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes."
matched_old60,AIT-2025-01-007,2025-01,o3 mini,o3-mini,2025-01-31,FMR-0020; FMR-0023,2024-12-20; 2025-01-31,o3 family announcement; o3 mini,adjacent_month; same_month,1; 0,o3-mini = o3-mini; o3-mini = o3-mini,"OpenAI made the o3 mini reasoning model available to all users, including the free tier, featuring three reasoning levels. The model matches or comes close to o1 in several benchmarks, significantly surpasses it in coding, and remains significantly faster and more cost-efficient."
matched_old60,AIT-2025-02-001,2025-02,Grok 3,Grok 3,2025-02-19,FMR-0025,2025-02-17,Grok 3 family,same_month,0,Grok 3 = Grok 3 family,"xAI launches Grok 3 , Grok 3 Reasoning and Grok 3 mini , next-generation AI models trained with 10 times the computing power of Grok 2, significantly improving SOTA performance. They include ""Think"" and ""Big Brain"" modes for advanced reasoning, as well as DeepSearch for autonomous web searches."
matched_old60,AIT-2025-02-004,2025-02,Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental,Gemini 2.0 Flash (Feb '25); Gemini 2.0 Flash-Lite (Preview); Gemini 2.0 Pro Experimental (Feb '25),2025-02-05; 2025-02-05; 2025-02-05,FMR-0024; FMR-0027,2025-02-05; 2025-02-25,Gemini 2.0 family; Gemini 2.0 Flash-Lite Preview,same_month; same_month,0; 0,Gemini 2.0 Pro Experimental (Feb '25) = Gemini 2.0 Pro Experimental (Feb '25); Gemini 2.0 Flash (Feb '25) = Gemini 2.0 Flash; Gemini 2.0 Flash-Lite (Preview) = Gemini 2.0 Flash-Lite (Preview),"Google releases Gemini 2.0 Flash , Gemini 2.0 Flash-Lite Preview , and Gemini 2.0 Pro Experimental ."
matched_old60,AIT-2025-03-001,2025-03,Gemini 2.5 Pro,Gemini 2.5 Pro (Dec 2025),,FMR-0036; FMR-0042,2025-05-06; 2025-06-17,Gemini 2.5 Pro; Gemini 2.5 Pro,time_far; time_far,2; 3,Gemini 2.5 Pro (Dec 2025) = Gemini 2.5 Pro; Gemini 2.5 Pro (Dec 2025) = Gemini 2.5 Pro,"Google introduced Gemini 2.5 Pro , an experimental ""Thinking model"" with advanced reasoning and planning capabilities, a 1 million token context window, achieving top rankings across several key benchmarks."
matched_old60,AIT-2025-03-004,2025-03,Gemini 2.0 Flash Experimental,Gemini 2.0 Flash Experimental,2025-03,FMR-0024; FMR-0029,2025-02-05; 2025-03-12,Gemini 2.0 family; Gemini 2.0 Flash Experimental,adjacent_month; same_month,1; 0,Gemini 2.0 Flash Experimental = Gemini 2.0 Flash (experimental); Gemini 2.0 Flash Experimental = Gemini 2.0 Flash (experimental),"Google expanded experimental image generation and editing within Gemini 2.0 Flash Experimental , enabling image generation and editing, including enhanced text creation capabilities."
new61_only,AIT-2025-03-005,2025-03,QwQ-32B,QwQ 32B,2025-03-05,,,,,,,"Alibaba released QwQ-32B , an open-source 32B parameter reasoning model with exceptional math and coding performance, rivaling much larger models."
new61_only,AIT-2025-03-007,2025-03,DeepSeek-V3-0324,DeepSeek V3 0324,2025-03-25,,,,,,,"DeepSeek updated its open-source MoE model with DeepSeek-V3-0324 , featuring enhanced reasoning, coding, and math capabilities, positioning it as a top-tier base model."
new61_only,AIT-2025-04-004,2025-04,GPT-4.1,GPT-4.1,2025-04-14,,,,,,,"OpenAI releases GPT-4.1 in three sizes, with a context window of 1 million tokens."
matched_old60,AIT-2025-04-007,2025-04,Runway Gen-4; Vidu Q1; Kling 2.0,Runway Gen 4; Vidu Q1; Kling 2.0,2025-03; 2025-04; 2025-04,FMR-0030; FMR-0032; FMR-0035,2025-03-31; 2025-04-15; 2025-04-21,Runway Gen-4; Kling 2.0; Vidu Q1,adjacent_month; same_month; same_month,1; 0; 0,Runway Gen 4 = Runway Gen 4; Kling 2.0 = Kling 2.0; Vidu Q1 = Vidu Q1,"A series of video model updates - Veo 2.0 (Google), Runway Gen-4 , Vidu Q1 , and Kling 2.0 – a leap forward in high-quality video generation, with improvements in response times, realism, and style."
matched_old60,AIT-2025-05-004,2025-05,Veo 3,Veo 3,2025-07,FMR-0039,2025-05-21,Google I/O media model family,same_month,0,Veo 3 = Veo 3,"Google releases Veo 3 , a video generation model for synchronized 4K video with natural audio integration, and Imagen 4 , an advanced image model with deeper contextual understanding and artistic style support."
matched_old60,AIT-2025-05-007,2025-05,Gemini 2.5 Pro,Gemini 2.5 Pro (Dec 2025),,FMR-0036; FMR-0042,2025-05-06; 2025-06-17,Gemini 2.5 Pro; Gemini 2.5 Pro,same_month; adjacent_month,0; 1,Gemini 2.5 Pro (Dec 2025) = Gemini 2.5 Pro; Gemini 2.5 Pro (Dec 2025) = Gemini 2.5 Pro,"Google releases Gemini 2.5 Pro (Deep Think Mode) and Gemini 2.5 Flash , featuring improved reasoning, native audio support, extended context, and high-frequency task handling."
matched_old60,AIT-2025-05-008,2025-05,o3,o3,2025-04-16,FMR-0020; FMR-0033,2024-12-20; 2025-04-16,o3 family announcement; o3 full,time_far; adjacent_month,5; 1,o3 = o3; o3 = o3,"OpenAI updates Operator to use the o3 model, achieving SOTA on OSWorld benchmarks and enhancing autonomous browser capabilities."
matched_old60,AIT-2025-06-001,2025-06,Gemini 2.5 Pro,Gemini 2.5 Pro,2025-06-05,FMR-0036; FMR-0042,2025-05-06; 2025-06-17,Gemini 2.5 Pro; Gemini 2.5 Pro,adjacent_month; same_month,1; 0,Gemini 2.5 Pro = Gemini 2.5 Pro; Gemini 2.5 Pro = Gemini 2.5 Pro,"Google releases Gemini 2.5 Pro (final production-ready version), which leads benchmarks across the board."
new61_only,AIT-2025-06-003,2025-06,o3 pro,o3-pro,2025-06-10,,,,,,,"OpenAI debuts o3 pro , an enhanced reasoning model offering extended context and real-time tool integrations."
new61_only,AIT-2025-07-001,2025-07,Grok 4,Grok 4,2025-07-10,,,,,,,"xAI releases Grok 4 , achieving a new SOTA of 15.9% on ARC-AGI v2 and 25.4% on Humanity’s Last Exam."
new61_only,AIT-2025-07-006,2025-07,Kimi K2,Kimi K2,2025-07-11,,,,,,,"Moonshot AI debuts Kimi K2 , a Chinese LLM praised for its open-research focus and robust performance."
new61_only,AIT-2025-09-001,2025-09,Seedream 4.0,Seedream 4.0,2025-09,,,,,,,"ByteDance released Seedream 4.0 , a next-generation image model unifying high-quality text-to-image generation and natural-language image editing."
new61_only,AIT-2025-09-004,2025-09,Suno v5,Suno V5,,,,,,,,"Suno released Suno v5 , an upgrade in music generation with studio-grade fidelity and more natural-sounding vocals."
matched_old60,AIT-2025-09-005,2025-09,Qwen-3-Max,Qwen3 Max,2025-09-23,FMR-0048,2025-09-05,Qwen-3-Max,same_month,0,Qwen3 Max = Qwen3 Max,"Alibaba unveiled Qwen-3-Max , its flagship model with over a trillion parameters, focusing on long context and agent capabilities."
new61_only,AIT-2025-11-001,2025-11,Kimi K2 Thinking,Kimi K2 Thinking,2025-11-06,,,,,,,"Moonshot AI released Kimi K2 Thinking , an open model setting new records in reasoning benchmarks."
matched_old60,AIT-2025-12-001,2025-12,Devstral 2,Devstral 2,2025-12-09,FMR-0052,2025-12-09,Devstral 2,same_month,0,Devstral 2 = Devstral 2,"Mistral AI launches the Mistral 3 family (Large & Ministral) alongside Mistral OCR 3 and the Devstral 2 coding series, reinforcing its open-weight leadership with advanced agentic workflows and Vibe CLI integration."
matched_old60,AIT-2025-12-008,2025-12,Z-Image-Turbo,Z-Image Turbo,2025-12,FMR-0053,2025-12-18,Z-Image-Turbo,same_month,0,Z-Image Turbo = Z-Image Turbo,"Alibaba open-sources Z-Image-Turbo , a highly efficient 6B model, and releases Qwen-Image-2512 , which specializes in high-fidelity typography and complex visual compositions."
new61_only,AIT-2025-12-009,2025-12,MiniMax-M2.1,MiniMax-M2.1,2025-12-23,,,,,,,"MiniMax releases MiniMax-M2.1 , a 200k-context MoE model that rises to the top of web development and coding leaderboards, establishing itself as a leading open model for developers."
new61_only,AIT-2026-02-003,2026-02,Gemini 3 Deep Think,Gemini 3 Deep Think,2026-02-05,,,,,,,"Google launches Gemini 3 Deep Think , a specialized reasoning mode that reaches 84.6% on ARC-AGI-2 ."
new61_only,AIT-2026-03-004,2026-03,Suno v5.5,Suno V5.5,,,,,,,,"Suno launches Suno v5.5 , adding Voices, Custom Models, and My Taste for more personalized music creation."
