source,destination,reason,status
new data set/processed/old60_vs_ai_timeline61_old_view.csv,old/new data set/processed/old60_vs_ai_timeline61_old_view.csv,old-vs-new comparison table,moved
new data set/agent_tasks 2,old/new data set/agent_tasks 2,empty duplicate old folder,moved
new data set/processed 2,old/new data set/processed 2,empty duplicate old folder,moved
new data set/raw 2,old/new data set/raw 2,empty duplicate old folder,moved
new data set/reports 2,old/new data set/reports 2,empty duplicate old folder,moved
new data set/scripts 2,old/new data set/scripts 2,empty duplicate old folder,moved
agent_tasks/analysis_report_20260521-133006,old/agent_tasks/analysis_report_20260521-133006,old analysis task,moved
agent_tasks/car_pre_control_20260627,old/agent_tasks/car_pre_control_20260627,old CAR control task,moved
agent_tasks/coder_a_relationship_coding_2026062418,old/agent_tasks/coder_a_relationship_coding_2026062418,old relationship coding task,moved
agent_tasks/coder_ab_discrepancy_audit_20260624-211116,old/agent_tasks/coder_ab_discrepancy_audit_20260624-211116,old relationship discrepancy task,moved
agent_tasks/data_consolidation_20260614-122508,old/agent_tasks/data_consolidation_20260614-122508,old data consolidation task,moved
agent_tasks/econometric_robustness_20260613-210000,old/agent_tasks/econometric_robustness_20260613-210000,old econometric robustness task,moved
agent_tasks/event_data_cleaning_202606021351,old/agent_tasks/event_data_cleaning_202606021351,old event cleaning task,moved
agent_tasks/event_selection_provenance_2026062515,old/agent_tasks/event_selection_provenance_2026062515,old event provenance task,moved
agent_tasks/frl-draft_20260611-134549,old/agent_tasks/frl-draft_20260611-134549,old FRL draft task,moved
agent_tasks/frl_project_review_20260613-204658,old/agent_tasks/frl_project_review_20260613-204658,old project review task,moved
agent_tasks/frl_project_review_20260613-204850,old/agent_tasks/frl_project_review_20260613-204850,old project review task,moved
agent_tasks/frl_submission_20260614-091455,old/agent_tasks/frl_submission_20260614-091455,old submission package task,moved
agent_tasks/full_length_data_collection_todo_20260614.md,old/agent_tasks/full_length_data_collection_todo_20260614.md,old data collection task note,moved
agent_tasks/full_length_data_collection_todo_20260614 2.md,old/agent_tasks/full_length_data_collection_todo_20260614 2.md,old data collection task note duplicate,moved
agent_tasks/full_length_paper_gap_assessment_20260614.md,old/agent_tasks/full_length_paper_gap_assessment_20260614.md,old paper gap task note,moved
agent_tasks/latex_paper_2026061100,old/agent_tasks/latex_paper_2026061100,old LaTeX paper task,moved
agent_tasks/lit_review_long_new_20260625-194602,old/agent_tasks/lit_review_long_new_20260625-194602,old literature task tied to old draft,moved
agent_tasks/paper_b_robustness_2026062514,old/agent_tasks/paper_b_robustness_2026062514,old paper robustness task,moved
agent_tasks/proposal_gap_analysis_20260619-092947,old/agent_tasks/proposal_gap_analysis_20260619-092947,old proposal gap task,moved
agent_tasks/proposal_gap_completion_20260619-104007,old/agent_tasks/proposal_gap_completion_20260619-104007,old proposal completion task,moved
agent_tasks/publishable_results_inventory_20260613-233641.md,old/agent_tasks/publishable_results_inventory_20260613-233641.md,old results inventory task note,moved
agent_tasks/publishable_results_inventory_20260613-233641 2.md,old/agent_tasks/publishable_results_inventory_20260613-233641 2.md,old results inventory task note duplicate,moved
agent_tasks/ref_audit_20260625-233637,old/agent_tasks/ref_audit_20260625-233637,old reference audit task,moved
agent_tasks/relationship_coding_20260624-184054,old/agent_tasks/relationship_coding_20260624-184054,old relationship coding task,moved
agent_tasks/relationship_coding_20260624-184413,old/agent_tasks/relationship_coding_20260624-184413,old relationship coding task,moved
agent_tasks/relationship_coding_20260624-205216,old/agent_tasks/relationship_coding_20260624-205216,old relationship coding task,moved
agent_tasks/relationship_merge_20260625-0005,old/agent_tasks/relationship_merge_20260625-0005,old relationship merge task,moved
agent_tasks/relationship_recode_switch_2026062500,old/agent_tasks/relationship_recode_switch_2026062500,old relationship recode task,moved
agent_tasks/relationship_specr_newrel_20260625-005125,old/agent_tasks/relationship_specr_newrel_20260625-005125,old relationship specification task,moved
agent_tasks/specr_star_scan_20260627,old/agent_tasks/specr_star_scan_20260627,old specification scan task,moved
