final_event_id,release_date,release_year,release_month,release_quarter,trend_month_since_2022_11,event_name,true_model_creator,creator_country,creator_type,model_names,representative_model_name,merged_model_count,merge_rule,model_family,model_variants,model_modality,model_modalities,is_cross_modality_release,is_model_family,is_multimodal,is_reasoning_model,is_coding_model,is_media_generation_model,is_open_weight_or_open_source,is_chinese_model,candidate_tier,likely_us_market_relevance,potential_us_exposure_type,possible_us_exposed_tickers,needs_relationship_mapping,llm_capability_sample_flag,media_capability_sample_flag,representative_aa_model_id,representative_aa_model_name,representative_aa_creator_name,representative_aa_source_table,representative_selection_rule,aa_model_ids,aa_model_names,aa_intelligence_index,aa_coding_index,aa_math_index,mmlu_pro,gpqa,hle,livecodebench,scicode,math_500,aime,price_1m_input_tokens,price_1m_output_tokens,price_1m_blended_3_to_1,median_output_tokens_per_second,median_time_to_first_token_seconds,aa_media_elo,aa_media_rank,aa_media_ci95,aa_media_appearances,aa_media_category_rows
FMR-0011,2024-10-03,2024,2024-10,2024Q4,23,Gemini 1.5 Pro,Google,United States,listed_us_company,Gemini 1.5 Pro,Gemini 1.5 Pro,1,single_model_event,Gemini,1.5 Pro,text_llm,text_llm,0,1,0,0,0,0,0,0,Tier 2,high,publisher,GOOGL,0,1,0,2ac96b67-f4f8-4c8c-ac08-c7510faa7bb9,Gemini 1.5 Pro (Sep '24),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,2ac96b67-f4f8-4c8c-ac08-c7510faa7bb9,Gemini 1.5 Pro (Sep '24),16.0,23.6,,0.75,0.589,0.049,0.316,0.295,0.876,0.23,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0012,2024-10-03,2024,2024-10,2024Q4,23,Gemini 1.5 Flash8B,Google,United States,listed_us_company,Gemini 1.5 Flash8B,Gemini 1.5 Flash8B,1,single_model_event,Gemini,1.5 Flash8B,text_llm,text_llm,0,1,0,0,0,0,0,0,Tier 2,high,publisher,GOOGL,0,1,0,94229066-9381-4ee1-bf70-a16d63756a6e,Gemini 1.5 Flash-8B,Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,94229066-9381-4ee1-bf70-a16d63756a6e,Gemini 1.5 Flash-8B,11.1,,,0.569,0.359,0.045,0.217,0.229,0.689,0.033,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0013,2024-10-22,2024,2024-10,2024Q4,23,Claude 3.5 Sonnet New / Haiku family,Anthropic,United States,private_us_company,Claude 3.5 Sonnet New; Claude 3.5 Haiku,Claude 3.5 Haiku,2,Claude 3.5 Sonnet New / Haiku family,Claude,3.5 Sonnet New; 3.5 Haiku,text_llm,text_llm,0,1,0,0,0,0,0,0,Tier 2,high,major_investor,AMZN;GOOGL,1,1,0,033e4aa9-a556-4224-87b0-341ed1070257,Claude 3.5 Haiku,Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,0a603978-03b9-4f47-a273-2f7fd969be85; 033e4aa9-a556-4224-87b0-341ed1070257,Claude 3.5 Sonnet (Oct '24); Claude 3.5 Haiku,18.7,10.7,,0.634,0.408,0.035,0.314,0.274,0.721,0.033,0.8,4.0,1.6,0.0,0.0,,,,,
FMR-0014,2024-11-12,2024,2024-11,2024Q4,24,Qwen2.5 Coder 32B,Alibaba,China,public_non_us_company,Qwen2.5 Coder 32B,Qwen2.5 Coder 32B,1,single_model_event,Qwen,2.5 Coder 32B,coding_llm,coding_llm,0,1,0,0,1,0,1,1,Tier 2,high,direct_competitor,,1,1,0,04586102-6a28-48f8-a82e-85775d7ed779,Qwen2.5 Coder Instruct 32B,Alibaba,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,04586102-6a28-48f8-a82e-85775d7ed779,Qwen2.5 Coder Instruct 32B,12.9,,,0.635,0.417,0.038,0.295,0.271,0.767,0.12,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0015,2024-12-06,2024,2024-12,2024Q4,25,Llama 3.3 70B,Meta,United States,listed_us_company,Llama 3.3 70B,Llama 3.3 70B,1,single_model_event,Llama,3.3 70B,text_llm,text_llm,0,1,0,0,0,0,0,0,Tier 1,high,publisher,META,0,1,0,976cc8ad-7904-4056-83c5-960181f47d5f,Llama 3.3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,976cc8ad-7904-4056-83c5-960181f47d5f,Llama 3.3 Instruct 70B,14.5,10.7,7.7,0.713,0.498,0.04,0.288,0.26,0.773,0.3,0.585,0.71,0.675,95.3,0.572,,,,,
FMR-0016,2024-12-09,2024,2024-12,2024Q4,25,SORA,OpenAI,United States,private_us_company,SORA,SORA,1,single_model_event,Sora,,video_generation,video_generation,0,0,0,1,0,1,0,0,Tier 1,high,strategic_partner,MSFT;NVDA,1,0,1,fe4a10a5-abd4-42a7-9bb2-852089d1a550,Sora,OpenAI,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,fe4a10a5-abd4-42a7-9bb2-852089d1a550,Sora,,,,,,,,,,,,,,,,978.0,73.0,-1.0,5156.0,55.0
FMR-0017,2024-12-11,2024,2024-12,2024Q4,25,Gemini-2.0-Flash-Thinking,Google,United States,listed_us_company,Gemini-2.0-Flash-Thinking,Gemini-2.0-Flash-Thinking,1,single_model_event,Gemini,2.0-Flash-Thinking,reasoning_llm,reasoning_llm,0,0,0,1,0,0,0,0,Tier 1,high,publisher,GOOGL,0,1,0,dfeeb904-e784-4d5c-ad66-9400146b150b,Gemini 2.0 Flash Thinking Experimental (Dec '24),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,dfeeb904-e784-4d5c-ad66-9400146b150b,Gemini 2.0 Flash Thinking Experimental (Dec '24),12.3,,,,,,,,0.48,,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0018,2024-12-17,2024,2024-12,2024Q4,25,o1,OpenAI,United States,private_us_company,o1,o1,1,single_model_event,o-series,,reasoning_llm,reasoning_llm,0,0,0,1,0,0,0,0,Tier 1,high,strategic_partner,MSFT;NVDA,1,1,0,5ad2f60f-ee05-49fd-85a0-cef69aa7cb7b,o1,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,5ad2f60f-ee05-49fd-85a0-cef69aa7cb7b,o1,30.8,20.5,,0.841,0.747,0.077,0.679,0.358,0.97,0.723,15.0,60.0,26.25,105.718,20.792,,,,,
FMR-0019,2024-12-17,2024,2024-12,2024Q4,25,o1 Pro,OpenAI,United States,private_us_company,o1 Pro,o1 Pro,1,single_model_event,o-series,,reasoning_llm,reasoning_llm,0,0,0,1,0,0,0,0,Tier 1,high,strategic_partner,MSFT;NVDA,1,1,0,e8d4100e-165b-4c5d-ac11-ac553590a334,o1-pro,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,e8d4100e-165b-4c5d-ac11-ac553590a334,o1-pro,25.8,,,,,,,,,,150.0,600.0,262.5,0.0,0.0,,,,,
FMR-0020,2024-12-20,2024,2024-12,2024Q4,25,o3 family announcement,OpenAI,United States,private_us_company,o3; o3 Mini,o3,2,o3 family announcement,o-series,,reasoning_llm,reasoning_llm,0,1,0,1,0,0,0,0,Tier 3,high,strategic_partner,MSFT;NVDA,1,1,0,16c5b637-8bce-4252-81f2-1b87a36a4e4c,o3,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,16c5b637-8bce-4252-81f2-1b87a36a4e4c; 2dad8957-4c16-4e74-bf2d-8b21514e0ae9,o3; o3-mini,38.4,38.4,88.3,0.853,0.827,0.2,0.808,0.41,0.992,0.903,2.0,8.0,3.5,104.719,7.67,,,,,
FMR-0021,2025-01-22,2025,2025-01,2025Q1,26,DeepSeek R1,DeepSeek,China,private_non_us_company,DeepSeek R1,DeepSeek R1,1,single_model_event,DeepSeek,R1,reasoning_llm,reasoning_llm,0,1,0,1,0,0,1,1,Tier 1,high,open_source_competition,,1,1,0,0e34f05c-387e-4968-be15-ccec4a55d8c1,DeepSeek R1 (Jan '25),DeepSeek,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,0e34f05c-387e-4968-be15-ccec4a55d8c1,DeepSeek R1 (Jan '25),18.8,15.9,68.0,0.844,0.708,0.093,0.617,0.357,0.966,0.683,1.675,4.7,2.362,0.0,0.0,,,,,
FMR-0022,2025-01-28,2025,2025-01,2025Q1,26,Qwen2.5-Max,Alibaba,China,public_non_us_company,Qwen2.5-Max,Qwen2.5-Max,1,single_model_event,Qwen,2.5-Max,text_llm,text_llm,0,1,0,0,0,0,1,1,Tier 1,high,direct_competitor,,1,1,0,b9dc72c6-7bea-4936-a55a-4b0c835fc755,Qwen2.5 Max,Alibaba,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,b9dc72c6-7bea-4936-a55a-4b0c835fc755,Qwen2.5 Max,16.3,,,0.762,0.587,0.045,0.359,0.337,0.835,0.233,1.6,6.4,2.8,48.809,1.137,,,,,
FMR-0023,2025-01-31,2025,2025-01,2025Q1,26,o3 mini,OpenAI,United States,private_us_company,o3 mini,o3 mini,1,single_model_event,o-series,,reasoning_llm,reasoning_llm,0,0,0,1,1,0,0,0,Tier 2,high,strategic_partner,MSFT;NVDA,1,1,0,2dad8957-4c16-4e74-bf2d-8b21514e0ae9,o3-mini,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,2dad8957-4c16-4e74-bf2d-8b21514e0ae9,o3-mini,25.9,17.9,,0.791,0.748,0.087,0.717,0.399,0.973,0.77,1.1,4.4,1.925,150.402,6.94,,,,,
FMR-0024,2025-02-05,2025,2025-02,2025Q1,27,Gemini 2.0 family,Google,United States,listed_us_company,Gemini 2.0 Pro Experimental; Gemini 2.0 Flash,Gemini 2.0 Pro Experimental,2,Gemini 2.0 family,Gemini,2.0 Pro Experimental; 2.0 Flash,text_llm,text_llm,0,1,0,0,0,0,0,0,Tier 2,high,publisher,GOOGL,0,1,0,c6a47d8a-7517-46e2-8383-329fe7241725,Gemini 2.0 Pro Experimental (Feb '25),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,c6a47d8a-7517-46e2-8383-329fe7241725; fddb72bd-60d3-41af-acc5-3df9a290eb8e,Gemini 2.0 Pro Experimental (Feb '25); Gemini 2.0 Flash (experimental),18.1,25.5,,0.805,0.622,0.068,0.347,0.312,0.923,0.36,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0025,2025-02-17,2025,2025-02,2025Q1,27,Grok 3 family,xAI,United States,private_us_company,Grok 3; Grok 3 Reasoning; Grok 3 mini,Grok 3 mini,3,Grok 3 family,Grok,3; 3 Reasoning; 3 mini,reasoning_llm,text_llm; reasoning_llm,1,1,0,1,0,0,0,0,Tier 1,high,compute_supplier_demand,NVDA,1,1,0,ff9bc5e5-a02f-4270-983e-4b3f834f3363,Grok 3 mini Reasoning (high),xAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,2443ac9e-a3db-423d-accb-8963f6fb0a53; ec3b22e6-48ac-416a-b4ae-55565a4f3046; ff9bc5e5-a02f-4270-983e-4b3f834f3363,Grok 3; Grok 3 Reasoning Beta; Grok 3 mini Reasoning (high),32.1,25.2,84.7,0.828,0.791,0.111,0.696,0.406,0.992,0.933,0.3,0.5,0.35,214.083,0.395,,,,,
FMR-0026,2025-02-18,2025,2025-02,2025Q1,27,Claude 3.7,Anthropic,United States,private_us_company,Claude 3.7,Claude 3.7,1,single_model_event,Claude,3.7,reasoning_llm,reasoning_llm,0,0,0,1,1,0,0,0,Tier 1,high,major_investor,AMZN;GOOGL,1,1,0,13358187-4584-479c-ab43-5bcdf8f297a4,Claude 3.7 Sonnet (Reasoning),Anthropic,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,13358187-4584-479c-ab43-5bcdf8f297a4,Claude 3.7 Sonnet (Reasoning),34.7,27.6,56.3,0.837,0.772,0.103,0.473,0.403,0.947,0.487,3.0,15.0,6.0,0.0,0.0,,,,,
FMR-0027,2025-02-25,2025,2025-02,2025Q1,27,Gemini 2.0 Flash-Lite Preview,Google,United States,listed_us_company,Gemini 2.0 Flash-Lite Preview,Gemini 2.0 Flash-Lite Preview,1,single_model_event,Gemini,2.0 Flash-Lite Preview,text_llm,text_llm,0,1,0,0,0,0,0,0,Tier 2,high,publisher,GOOGL,0,1,0,3de55b83-e02b-412e-8211-315bbebe3e94,Gemini 2.0 Flash-Lite (Preview),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,3de55b83-e02b-412e-8211-315bbebe3e94,Gemini 2.0 Flash-Lite (Preview),14.5,,,,0.542,0.044,0.179,0.247,0.873,0.303,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0028,2025-02-26,2025,2025-02,2025Q1,27,Phi-4 mini / multimodal family,Microsoft,United States,listed_us_company,Phi4 Multimodal; Phi4-mini,Phi4 Multimodal,2,Phi-4 mini / multimodal family,Phi,4 Multimodal; 4-mini,multimodal_llm,multimodal_llm; text_llm,1,1,1,0,0,0,0,0,Tier 2,high,publisher,MSFT,0,1,0,2cd04201-2b6e-47ef-853e-7601f705f2a8,Phi-4 Multimodal Instruct,Microsoft,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,2cd04201-2b6e-47ef-853e-7601f705f2a8; 9f873c2f-2c2d-4ccb-9e1b-71bf61b052be,Phi-4 Multimodal Instruct; Phi-4 Mini Instruct,10.0,,,0.485,0.315,0.044,0.131,0.11,0.693,0.093,0.0,0.0,0.0,16.946,0.363,,,,,
FMR-0029,2025-03-12,2025,2025-03,2025Q1,28,Gemini 2.0 Flash Experimental,Google,United States,listed_us_company,Gemini 2.0 Flash Experimental,Gemini 2.0 Flash Experimental,1,single_model_event,Gemini,2.0 Flash Experimental,multimodal_llm,multimodal_llm,0,0,1,0,0,0,0,0,Tier 1,high,publisher,GOOGL,0,1,0,fddb72bd-60d3-41af-acc5-3df9a290eb8e,Gemini 2.0 Flash (experimental),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,fddb72bd-60d3-41af-acc5-3df9a290eb8e,Gemini 2.0 Flash (experimental),16.8,,,0.782,0.636,0.047,0.21,0.34,0.911,0.3,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0030,2025-03-31,2025,2025-03,2025Q1,28,Runway Gen-4,Runway,United States,private_us_company,Runway Gen-4,Runway Gen-4,1,single_model_event,Runway Gen,4,video_generation,video_generation,0,1,0,0,0,1,0,1,Tier 1,high,media_generation_competition,ADBE,1,0,1,d4684d1c-c874-4f2f-8e6a-1d2a21902663,Runway Gen 4,Runway,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,d4684d1c-c874-4f2f-8e6a-1d2a21902663,Runway Gen 4,,,,,,,,,,,,,,,,1093.0,61.0,-1.0,9895.0,28.0
FMR-0031,2025-04-15,2025,2025-04,2025Q2,29,Veo 2.0,Google,United States,listed_us_company,Veo 2.0,Veo 2.0,1,single_model_event,Veo,2,video_generation,video_generation,0,1,0,0,0,1,0,1,Tier 1,high,publisher,GOOGL,0,0,1,2175641c-9303-4ac3-af3c-21cc7113adb0,Veo 2,Google,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,2175641c-9303-4ac3-af3c-21cc7113adb0,Veo 2,,,,,,,,,,,,,,,,1092.0,62.0,-1.0,5212.0,54.0
FMR-0032,2025-04-15,2025,2025-04,2025Q2,29,Kling 2.0,Kuaishou,China,public_non_us_company,Kling 2.0,Kling 2.0,1,single_model_event,Kling,2,video_generation,video_generation,0,1,0,0,0,1,0,1,Tier 1,high,media_generation_competition,ADBE,1,0,1,53ce6c01-8a4d-4d22-94a8-d48ffe32ce32,Kling 2.0,KlingAI,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,53ce6c01-8a4d-4d22-94a8-d48ffe32ce32,Kling 2.0,,,,,,,,,,,,,,,,1173.0,49.0,-1.0,4663.0,55.0
FMR-0033,2025-04-16,2025,2025-04,2025Q2,29,o3 full,OpenAI,United States,private_us_company,o3 full,o3 full,1,single_model_event,o-series,,reasoning_llm,reasoning_llm,0,1,0,1,1,0,0,0,Tier 2,high,strategic_partner,MSFT;NVDA,1,1,0,16c5b637-8bce-4252-81f2-1b87a36a4e4c,o3,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,16c5b637-8bce-4252-81f2-1b87a36a4e4c,o3,38.4,38.4,88.3,0.853,0.827,0.2,0.808,0.41,0.992,0.903,2.0,8.0,3.5,104.719,7.67,,,,,
FMR-0034,2025-04-16,2025,2025-04,2025Q2,29,o4 mini,OpenAI,United States,private_us_company,o4 mini,o4 mini,1,single_model_event,o-series,,reasoning_llm,reasoning_llm,0,1,0,1,1,0,0,0,Tier 2,high,strategic_partner,MSFT;NVDA,1,1,0,84b49308-6b93-47aa-a4f6-776ee1a1e8cd,o4-mini (high),OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,84b49308-6b93-47aa-a4f6-776ee1a1e8cd,o4-mini (high),33.1,25.6,90.7,0.832,0.784,0.175,0.859,0.465,0.989,0.94,1.1,4.4,1.925,145.63,27.91,,,,,
FMR-0035,2025-04-21,2025,2025-04,2025Q2,29,Vidu Q1,ShengShu Technology,China,private_non_us_company,Vidu Q1,Vidu Q1,1,single_model_event,Vidu,Q1,video_generation,video_generation,0,1,0,0,0,1,0,1,Tier 1,high,media_generation_competition,GOOGL;ADBE,1,0,1,21bce815-dea9-4e48-8515-cf2b193ae711,Vidu Q1,Vidu,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,21bce815-dea9-4e48-8515-cf2b193ae711,Vidu Q1,,,,,,,,,,,,,,,,1026.0,65.0,-1.0,3057.0,51.0
FMR-0036,2025-05-06,2025,2025-05,2025Q2,30,Gemini 2.5 Pro,Google,United States,listed_us_company,Gemini 2.5 Pro,Gemini 2.5 Pro,1,single_model_event,Gemini,2.5 Pro,multimodal_llm,multimodal_llm,0,1,1,1,0,0,0,0,Tier 2,high,publisher,GOOGL,0,1,0,27202e5f-c82d-4710-92e9-4317877d4883,Gemini 2.5 Pro,Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,27202e5f-c82d-4710-92e9-4317877d4883,Gemini 2.5 Pro,34.6,31.9,87.7,0.862,0.844,0.211,0.801,0.428,0.967,0.887,1.25,10.0,3.438,131.471,19.206,,,,,
FMR-0037,2025-05-20,2025,2025-05,2025Q2,30,Gemma 3n,Google,United States,listed_us_company,Gemma 3n,Gemma 3n,1,single_model_event,Gemma,3n,text_llm,text_llm,0,0,1,0,0,0,1,0,Tier 3,high,publisher,GOOGL,0,1,0,a8c67863-9d66-44dd-8d27-f58654ecde03,Gemma 3n E2B Instruct,Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,a8c67863-9d66-44dd-8d27-f58654ecde03,Gemma 3n E2B Instruct,4.8,2.2,10.3,0.378,0.229,0.04,0.095,0.052,0.691,0.09,0.0,0.0,0.0,58.39,0.482,,,,,
