firm,firm_ticker,model_company,model,event_date,owner,investor,cloud,business_upstream,real_upstream,business_downstream,real_downstream,competitor,notes
Cisco,CSCO,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Networking/IT infrastructure firm; AI networking, positioned to supply and deplo); No identified relationship"
Tencent,700 HK,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Tencent Cloud AI, WeChat AI features — positioned as both competitor (Hunyuan) a); competitor=1 (high)"
Nvidia,NVDA,Meta,LLaMA 3,2024-04-18,0,0,0,1,1,0,0,0,business_upstream=1 by researcher convention (Nvidia is universal upstream); upstream=1 (high)
Amazon,AMZN,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (AWS AI/ML services, Amazon.com AI features, Alexa — positioned as both competito); competitor=1 (high)"
Palantir,PLTR,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Data analytics/AI platform; AIP (Artificial Intelligence Platform) integrates LL); No identified relationship
IBM,IBM,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Enterprise IT/consulting/software firm; watsonx AI platform, major AI consulting); competitor=1 (medium)"
Microsoft,MSFT,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise software/productivity/cloud firm; Azure OpenAI Service, Copilot, Offi); No identified relationship"
Meta,META,Meta,LLaMA 3,2024-04-18,1,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Social media platform; AI-powered content recommendation, advertising, AI assist); owner=1 (high)"
Siemens,SIE GR,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Salesforce,CRM,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise CRM/software firm; Einstein GPT integrates LLM capabilities into CRM ); No identified relationship
Netflix,NFLX,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Streaming entertainment platform; AI-driven content recommendation, positioned t); No identified relationship"
Oracle,ORCL,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Enterprise software/cloud firm; OCI Generative AI hosts and serves AI models, po); competitor=1 (medium)"
Intel,INTC,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Accenture,ACN,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Global IT services/consulting firm; major AI consulting and deployment partner, ); No identified relationship"
Uber,UBER,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Ridesharing/delivery platform; uses AI/ML for matching, routing, pricing — posit); No identified relationship"
Qualcomm,QCOM,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Shopify,SHOP,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (E-commerce platform; Shopify Magic integrates generative AI for merchant tools, ); No identified relationship"
AppLovin,APP,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Mobile advertising/marketing platform; AI-driven ad targeting, positioned as dow); No identified relationship"
ServiceNow,NOW,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise workflow automation platform; integrates AI/LLM capabilities into Now); No identified relationship
Adobe,ADBE,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Creative software firm; Adobe Firefly integrates generative AI into Creative Clo); No identified relationship
Synopsys,SNPS,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Electronic design automation (EDA) software; AI-driven chip design and verificat); No identified relationship"
Cadence,CDNS,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Electronic design automation (EDA) software; AI-driven chip design tools, positi); No identified relationship"
Hut 8 Mining,HUT,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Seagate,STX,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Marvell,MRVL,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Snowflake,SNOW,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Cloud data platform/analytics; integrates AI/LLM capabilities into Data Cloud th); No identified relationship
Meituan,3690 HK,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Infineon,IFX GR,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Fortinet,FTNT,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Cybersecurity/firewall firm; FortiAI integrates AI into threat detection and sec); No identified relationship
Mitsubishi Electric,5803 JP,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
NXP Semiconductors,NXPI,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
创见资讯,3443 TT,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Fujitsu,6702 JP,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Global IT services/hardware firm; Fujitsu Kozuchi AI platform, positioned to dep); No identified relationship"
Thomson Reuters,TRI,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Professional information/content firm; integrates AI into legal, tax, and news p); No identified relationship"
NEC,6701 JP,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (IT services/technology firm; positioned to integrate AI into enterprise and gove); No identified relationship
Baidu,BIDU,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Baidu Cloud AI, search AI features — positioned as both competitor (ERNIE) and d); competitor=1 (high)"
Datadog,DDOG,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Cloud monitoring/observability platform; integrates AI for anomaly detection, in); No identified relationship"
Panasonic,6954 JP,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Workday,WDAY,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise HR/finance cloud software; positioned to embed AI capabilities into e); No identified relationship
Ericsson,ERIC,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
CareCloud,CRWV,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Teradata,TDC,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Enterprise data analytics/data warehousing; positioned to integrate AI/ML into a); No identified relationship
GE HealthCare,GEHC,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Tietoevry,TIETO FH,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Nordic IT services/consulting firm; positioned to deploy AI solutions for enterp); No identified relationship
Experian,EXPN LN,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Consumer credit data/analytics firm; positioned to leverage AI for credit modeli); No identified relationship
Zscaler,ZS,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Cloud security/SASE platform; positioned to integrate AI into cloud security and); No identified relationship
CyberArk,CYBR,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Identity security/privileged access management; positioned to integrate AI into ); No identified relationship
StoneCo,STNE,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
UiPath,PATH,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise automation/RPA software; integrates AI/LLM capabilities into business); No identified relationship
Rakuten Group,4755 JP,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (E-commerce/fintech/digital services conglomerate; positioned to leverage AI acro); No identified relationship"
HPE,HPE,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Enterprise IT infrastructure/solutions; HPE GreenLake AI, positioned to deploy A); No identified relationship"
Temenos,TEMN SW,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Banking software platform; positioned to integrate AI into financial services so); No identified relationship
Pony.ai,PONY,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Twilio,TWLO,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Cloud communications/SaaS platform; positioned to integrate AI into customer eng); No identified relationship
Genpact,G,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Business process/IT services firm; positioned to deploy and integrate AI capabil); No identified relationship
DXC Technology,DXC,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (IT services/solutions firm; positioned to deploy AI infrastructure and solutions); No identified relationship
Ambarella,AMBA,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Okta,OKTA,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Identity/access management SaaS; positioned to integrate AI into enterprise iden); No identified relationship
WeRock,WRD,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Pegasystems,PEGA,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise software/CRM platform; Pega AI integrates generative AI into business); No identified relationship
Toshiba,6588 JP,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Wolters Kluwer,WKL NA,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Professional information/software firm; integrates AI into legal, tax, health, a); No identified relationship"
SoundHound AI,SOUN,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Voice AI/conversational intelligence firm; directly leverages generative AI and ); No identified relationship
研华科技,2395 TT,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
CCC Intelligent Solutions,CCC,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Insurance claims software/SaaS; AI integration into insurance automation workflo); No identified relationship
宏基,2353 TT,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Sony,6758 JP,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Snap,SNAP,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a com; business_downstream=1 (Social media/camera platform; My AI chatbot powered by LLMs, Lens AI uses genera); No identified relationship"
Zebra Technologies,ZBRA,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
NICE,NICE,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Customer service automation software; CXone AI platform integrates conversationa); No identified relationship
Amplifon,AMP IM,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Super Micro,SMCI,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Quantum Computing,QUBT,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Wix,WIX,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Website builder/SaaS platform; Wix AI website builder leverages generative AI fo); No identified relationship
The Trade Desk,TTD,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Programmatic advertising/demand-side platform; AI-driven bidding, positioned to ); No identified relationship"
C3.ai,AI,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise AI software firm; provides AI application platform directly leveragin); No identified relationship
Samsung Electronics,005930 KS,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
Alphabet,GOOGL,Google,Imagen 3,2024-05-14,1,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Google Cloud AI services, Google Workspace AI features, search AI — positioned a); owner=1 (high)"
Micron Technology,MU,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
AMD,AMD,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
SK Hynix,000660 KS,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
Alibaba,BABA,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Alibaba Cloud AI, e-commerce AI features — positioned as both competitor (Qwen) ); competitor=1 (high)"
TSMC,TSM,Google,Imagen 3,2024-05-14,0,0,0,1,1,0,0,0,business_upstream=1 by researcher convention (TSMC is universal upstream); upstream=1 (medium)
Tesla,TSLA,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
Apple,AAPL,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Apple Intelligence, Siri, on-device AI features — positioned as both competitor ); No identified relationship"
Broadcom,AVGO,Google,Imagen 3,2024-05-14,0,0,0,1,1,0,0,0,upstream=1 (medium)
Cisco,CSCO,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Networking/IT infrastructure firm; AI networking, positioned to supply and deplo); No identified relationship"
Tencent,700 HK,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Tencent Cloud AI, WeChat AI features — positioned as both competitor (Hunyuan) a); competitor=1 (high)"
Nvidia,NVDA,Google,Imagen 3,2024-05-14,0,0,0,1,1,0,0,0,business_upstream=1 by researcher convention (Nvidia is universal upstream); upstream=1 (medium)
Amazon,AMZN,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (AWS AI/ML services, Amazon.com AI features, Alexa — positioned as both competito); competitor=1 (high)"
Palantir,PLTR,Google,Imagen 3,2024-05-14,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Data analytics/AI platform; AIP (Artificial Intelligence Platform) integrates LL); No identified relationship
IBM,IBM,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Enterprise IT/consulting/software firm; watsonx AI platform, major AI consulting); competitor=1 (medium)"
Microsoft,MSFT,Google,Imagen 3,2024-05-14,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise software/productivity/cloud firm; Azure OpenAI Service, Copilot, Offi); No identified relationship"
Meta,META,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Social media platform; AI-powered content recommendation, advertising, AI assist); competitor=1 (high)"
Siemens,SIE GR,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
Salesforce,CRM,Google,Imagen 3,2024-05-14,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise CRM/software firm; Einstein GPT integrates LLM capabilities into CRM ); No identified relationship
Netflix,NFLX,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Streaming entertainment platform; AI-driven content recommendation, positioned t); No identified relationship"
Oracle,ORCL,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Enterprise software/cloud firm; OCI Generative AI hosts and serves AI models, po); competitor=1 (medium)"
Intel,INTC,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
Accenture,ACN,Google,Imagen 3,2024-05-14,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Global IT services/consulting firm; major AI consulting and deployment partner, ); No identified relationship"
Uber,UBER,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Ridesharing/delivery platform; uses AI/ML for matching, routing, pricing — posit); No identified relationship"
Qualcomm,QCOM,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
Shopify,SHOP,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (E-commerce platform; Shopify Magic integrates generative AI for merchant tools, ); No identified relationship"
AppLovin,APP,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Mobile advertising/marketing platform; AI-driven ad targeting, positioned as dow); No identified relationship"
ServiceNow,NOW,Google,Imagen 3,2024-05-14,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Enterprise workflow automation platform; integrates AI/LLM capabilities into Now); No identified relationship
Adobe,ADBE,Google,Imagen 3,2024-05-14,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Creative software firm; Adobe Firefly integrates generative AI into Creative Clo); No identified relationship
Synopsys,SNPS,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Electronic design automation (EDA) software; AI-driven chip design and verificat); No identified relationship"
Cadence,CDNS,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Electronic design automation (EDA) software; AI-driven chip design tools, positi); No identified relationship"
Hut 8 Mining,HUT,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
Seagate,STX,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
Marvell,MRVL,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
Snowflake,SNOW,Google,Imagen 3,2024-05-14,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Cloud data platform/analytics; integrates AI/LLM capabilities into Data Cloud th); No identified relationship
Meituan,3690 HK,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
Infineon,IFX GR,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
Fortinet,FTNT,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Cybersecurity/firewall firm; FortiAI integrates AI into threat detection and sec); No identified relationship
Mitsubishi Electric,5803 JP,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
NXP Semiconductors,NXPI,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
创见资讯,3443 TT,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,No identified relationship
Fujitsu,6702 JP,Google,Imagen 3,2024-05-14,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Global IT services/hardware firm; Fujitsu Kozuchi AI platform, positioned to dep); No identified relationship"
Thomson Reuters,TRI,Google,Imagen 3,2024-05-14,0,0,0,0,0,1,0,0,"business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (Professional information/content firm; integrates AI into legal, tax, and news p); No identified relationship"
NEC,6701 JP,Google,Imagen 3,2024-05-14,0,0,0,0,0,1,0,0,business_downstream=1 (narrowed definition: core business directly commercializes generative-AI capabilities) (IT services/technology firm; positioned to integrate AI into enterprise and gove); No identified relationship
Baidu,BIDU,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Baidu Cloud AI, search AI features — positioned as both competitor (ERNIE) and d); competitor=1 (high)"
Datadog,DDOG,Google,Imagen 3,2024-05-14,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Borderline firm: default to business_downstream=0 under narrowed definition. May use AI or have AI features but core bus; business_downstream=1 (Cloud monitoring/observability platform; integrates AI for anomaly detection, in); No identified relationship"
